{'短评内容': '早餐一般般啦。离办事的地方近，所以没得选。', '短评打分': 4}
{'短评内容': '有地铁到达，出行很方便。入住的时候是内景房，所以环境相对安静，适合休息。楼下就是免费得泳池。父亲比较喜欢这里的气氛。', '短评打分': 5}
{'短评内容': '酒店正在装修，餐厅也关门了。\n虽然是酒店的客人，还要花30元钱才可以游泳。\n看酒店的大堂就可以知道，这个酒店的人气已经不行了。。。', '短评打分': 1}
{'短评内容': '酒店很新，环境不错。离会展中心也不远，只是走路去的话要绕得比较远。值得推荐。', '短评打分': 5}
{'短评内容': '388的标准件很超值，房间装修很好 ，下次还会推荐朋友注\n', '短评打分': 5}
{'短评内容': '还不错吧，是帮老板订的，貌似还挺满意的。', '短评打分': 5}
{'短评内容': '酒店环境很安静，去参加展览会比较方便.但周围吃饭的地方比较难找。', '短评打分': 5}
{'短评内容': '酒店周边环境很好，是高档住宅区，很安静，新装修过，比较干净，服务态度也不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总体还可以，但是入住时楼层都在装修，服务不错！', '短评打分': 5}
{'短评内容': '房间设施还可以,尤其是大屏幕的电视可以看往期节目,可惜门面有点旧。', '短评打分': 3}
{'短评内容': '正在装修，气味较大。', '短评打分': 3}
{'短评内容': '还可以，位置不错，就是服务感觉不太好，一般。', '短评打分': 5}
{'短评内容': '还可以，条件不错，位置也不错，出行很方便。', '短评打分': 5}
{'短评内容': '入住的房间，洗澡的热水发洒，不太好，希望服务员在清理房间的时候，要检查好所有用具的完整性。', '短评打分': 5}
{'短评内容': '太古老 装修太老了 沉闷 很安静 吃得不好 以后不会再来了 ', '短评打分': 1}
{'短评内容': '补充一下：便笺纸上的英文HOTEL都拼成了HOTLE，还四星呢', '短评打分': 1}
{'短评内容': '根本不够星级，虚假宣传。淋浴忽冷忽热，害得着凉感冒了。早餐餐厅要等一刻钟以上，还很贵。', '短评打分': 1}
{'短评内容': '广州南国酒店在网上看是四星，就帮客户订了，可客户到了发现那里的服务员基本不会说英语，完全不象四星级酒店，不过房间里面还可以', '短评打分': 3}
{'短评内容': '离展馆很近，方便。下次还去住。设施一般，卫生还可以。', '短评打分': 5}
{'短评内容': '＋满意', '短评打分': 5}
{'短评内容': '酒店周围环境还挺好的！不错', '短评打分': 5}
{'短评内容': '还是帮朋友订的，还可以~ 方便工作，所以订了好多次了', '短评打分': 3}
{'短评内容': '所有的東西都很一般，沒有怎樣差也沒有怎樣好', '短评打分': 1}
{'短评内容': '还是帮朋友订的，说还可以，在附近办事可以考虑', '短评打分': 3}
{'短评内容': '帮朋友订的，说还不错,到珠江新城办事的可以考虑，不过性价比一般', '短评打分': 5}
{'短评内容': '酒店设施什么的都还算不错，不过位置太难找啦。主要是新城区，标示不明显，建议酒店在网页上做好详细的地图说明。', '短评打分': 5}
{'短评内容': '酒店的隔音效果很好，休息的很舒适，餐饮也很不错。', '短评打分': 5}
{'短评内容': '房间宽敞舒适，配置也比较全。卫生也算是比较达标的。', '短评打分': 5}
{'短评内容': '酒店地处繁华地段，出行附近交通都非常方便。设施有些陈旧了。', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': '位置好,其它各方面一般.', '短评打分': 1}
{'短评内容': '位置也不好找的，价格服务都很一般，环境也一般。', '短评打分': 1}
{'短评内容': '酒店还不错挺好的。', '短评打分': 5}
{'短评内容': '帮朋友订的，说还可以，下次还住', '短评打分': 5}
{'短评内容': '设施比较旧一些，可能是建造年份较早的缘故。位置处于一个住宅小区中，其实称为小区会所更合适些。服务态度还是不错的。', '短评打分': 1}
{'短评内容': '比较安静.但房子有点旧', '短评打分': 5}
{'短评内容': '酒店设施很老，房间很大有点儿空，就是安静程度比较高，还有楼下的早茶好。', '短评打分': 5}
{'短评内容': '房间较大，比较整洁。但整个酒店设施简单，与四星标准不匹配。', '短评打分': 1}
{'短评内容': '房间一般干净，走道很宽敞，房间也不小。交通一般方便，有些出租车不知道怎么走进来。室内室外游泳池都是按照小时收费。', '短评打分': 5}
