{'短评内容': '下面广场太吵了', '短评打分': 4}
{'短评内容': '整体尚可，早餐一般，说是百色最好的酒店了。', '短评打分': 5}
{'短评内容': ' 条件一般  床垫较软  ', '短评打分': 5}
{'短评内容': '地点、服务都好，就是地毯旧了，不是每个房都可以上网，要说明！', '短评打分': 5}
{'短评内容': '还算可以，不过酒店的停车场还要另外交钱，不太合理。', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 5}
{'短评内容': '基本上可以算这个城市性价比最好的一个了，值得再次入住', '短评打分': 5}
{'短评内容': '位置不错挺方便出行的,而且综合性价比还是蛮高的,硬件条件比较到位,服务也很周到.整体水平还可以.', '短评打分': 5}
{'短评内容': '房间比较干净,中央空调,因为是出差,没有太深刻的感觉,总体来说,这家酒店不错。', '短评打分': 5}
{'短评内容': '环境还是一般的，卫生细节上面做的不是太好，设施嘛该有也都有，位置还可以吧靠近市中心和商业街那块了出行很方便的，价格倒是挺便宜的。整体看起来还是挺好的。', '短评打分': 5}
{'短评内容': '环境还是一般的，卫生细节上面做的不是太好，设施嘛该有也都有，位置还可以吧靠近市中心和商业街那块了出行很方便的，价格倒是挺便宜的。整体看起来还是挺好的。', '短评打分': 5}
{'短评内容': '该酒店位于森林公园对面，环境不错，早餐也丰富，价格较便宜，下次去百色我还会住这酒店。', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '百色本地最好的一家酒店了，老牌子，当然装修也老了。服务就很一般了。', '短评打分': 5}
{'短评内容': '我于2009年11月在广西凤山县恒升大酒店住过两晚,我不知道两家是否连锁.凤山县恒升大酒店标双价格比百色的还低一些,并配备电脑供客人免费上网.如果百色市的恒升大酒店也同样配备电脑供客人免费上网,价格不变,那么就非常理想了.', '短评打分': 5}
{'短评内容': '酒店不错.郁闷的是停车竟然还要收费....~~~', '短评打分': 5}
{'短评内容': '我觉得房间环境还可以，挺新的，位置也方便，整体感觉性价比还行', '短评打分': 3}
{'短评内容': '位置挺好的，服务也不错', '短评打分': 5}
{'短评内容': '还不错，房间有点旧，但总体性价比还不错', '短评打分': 3}
{'短评内容': '百色整个城市不怎么样，恒升有点鹤立鸡群的感觉，服务意识差一点很正常．', '短评打分': 5}
{'短评内容': '不错，下次去百色还要住这里。', '短评打分': 5}
{'短评内容': '国庆去的，酒店还不错，就是，门口修路，有点难找。', '短评打分': 5}
{'短评内容': '很好，就是周边在修路，交通不方便', '短评打分': 5}
