{'短评内容': '非常好！满意，房间大，电视大，非常不错', '短评打分': 5}
{'短评内容': '还行了,.......................', '短评打分': 5}
{'短评内容': '工作人员服务态度很好', '短评打分': 3}
{'短评内容': '还可以，就是对面是宿舍。', '短评打分': 3}
{'短评内容': '帮父母预定的房间，他们说酒店位置不错，周边很繁华，设施也还可以', '短评打分': 5}
{'短评内容': '房间很大，整体感觉不错。', '短评打分': 3}
{'短评内容': '干净、整洁，挺好的~交通也比较方便~下次去还会选择这家的~', '短评打分': 5}
{'短评内容': '不多说了，住了好多次了，整体都很好，。。。。。。。', '短评打分': 5}
{'短评内容': '经常在这住，不用过多评价了，性价比很高，如果隔音效果再做处理，那就完美了', '短评打分': 5}
{'短评内容': '经常入住雅悦，整体感觉都很好，希望隔音效果再做处理，其他都很满意', '短评打分': 5}
{'短评内容': '房间够大,干净卫生，硬件设施齐全，非常好很喜欢，卫生间很个性，很适合年轻情侣入住，强烈推荐', '短评打分': 3}
{'短评内容': '房间很大，浴室是全玻璃的，适合情侣去住！', '短评打分': 5}
{'短评内容': '为了给其他服务很周到，地址很好，到哪里都很方便。服务很周到，地址很好，到哪里都很方便。', '短评打分': 5}
{'短评内容': '酒店设施、卫生、服务都非常好，地理位置也不错，去龙门石窟及少林寺都很方便，门口有夜市，推荐。', '短评打分': 5}
{'短评内容': '性价比比较高，干净，房间也比较大，就是靠近马路的地方很吵', '短评打分': 3}
{'短评内容': '卫生间是巨大的玻璃房子  要是不是家人去住会尴尬。房间不小，但是很潮很潮。而且非常难找。前台美眉如果能办理入住利索点就好了。', '短评打分': 1}
{'短评内容': '干净，整洁，空间很大但外面噪音多', '短评打分': 5}
{'短评内容': '河南雅悦家居酒店（洛阳联盟路店）第一感觉门很难推开，原来是地板起皱了挡着门了&#183;&#183;&#183;卫生间不是干湿分离的，南边的客房临路比较吵，其他都还好吧，毕竟是快捷酒店要求也不能太高。不过138的价位，性价比实在不怎么高&#183;&#183;&#183; ', '短评打分': 3}
{'短评内容': '河南雅悦家居酒店（洛阳联盟路店）第一感觉门很难推开，原来是地板起皱了挡着门了&#183;&#183;&#183;卫生间不是干湿分离的，南边的客房临路比较吵，其他都还好吧，毕竟是快捷酒店要求也不能太高。不过138的价位，性价比实在不怎么高&#183;&#183;&#183; ', '短评打分': 3}
{'短评内容': '第一感觉门很难推开，原来是地板起皱了挡着门了&#183;&#183;&#183;卫生间不是干湿分离的，南边的客房临路比较吵，其他都还好吧，毕竟是快捷酒店要求也不能太高。不过138的价位，性价比实在不怎么高&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '房间挺大，设施挺齐全，卫生也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '位置挺好，出行挺方便，服务卫生也不错，总体感觉性价比挺好。', '短评打分': 5}
{'短评内容': '还不错，就是靠街的房间玻璃隔音效果极差。', '短评打分': 5}
{'短评内容': '价格很经济的一家商务酒店，环境设施基本达标。', '短评打分': 5}
{'短评内容': '房间算是比较宽敞舒适的，房间配置也比较全。', '短评打分': 5}
{'短评内容': '地理位置优越，逛街购物出行交通都很方便，硬件需要适时更新了。', '短评打分': 5}
{'短评内容': '位置很好，在联盟路上出行方便，也很安静。', '短评打分': 5}
{'短评内容': '服务很好，对客热情周到，硬件设施有待改进。', '短评打分': 5}
{'短评内容': '房间面积还可以，卫生打扫比较干净，设施方面一般，酒店的位置不错，比较安静，出行也挺方便的。性价比蛮高的。', '短评打分': 5}
{'短评内容': '电脑用不了,可能是我的房间刚好是坏的吧.希望设施能够改设好一些.', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;早上六点结帐，会计8：30上班，此前不开发票，态度不错答应邮寄，以盼一月有余 未见&amp;lt;/P&amp;gt;', '短评打分': 1}
{'短评内容': '位置有些偏,离火车站远。房间比较新，但是设施不全，没有餐厅，无早点。还没有电话可以打长途。实在不方便。空调漏水。对面是一所大学的学生宿舍，好象是女生宿舍。有很多学生妹。', '短评打分': 5}
