{'短评内容': '如家快捷酒店（东莞火车站店）。。。你最明智的选择》》》》', '短评打分': 5}
{'短评内容': '一直住的是如家还不错，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '多次住了，就一个词：方便！其他如家就是如家，标准是差不多的', '短评打分': 5}
{'短评内容': '酒店位置很好，但是就房间里面的网速不敢恭为了，还有房间一开空调超级干燥的。其它的跟一般的连锁酒店差不多。', '短评打分': 5}
{'短评内容': '还是不错的，位置很好，火车站下来就能找到，周围吃饭的地方也很多。推荐！！', '短评打分': 5}
{'短评内容': '差！太差了，早晨没有睡醒服务员直接进来了。而且凌晨2点走廊上还有人在大声说话。', '短评打分': 1}
{'短评内容': '环境还可以，卫生间不错，可就是没有电吹风（要到前台借，麻烦），如果再配个一次性刮胡刀就更好了。还是给个好评吧！', '短评打分': 5}
{'短评内容': '还不错，蛮实惠的，电视能看好多频道。只是前台服务员的态度有点不太好。', '短评打分': 3}
{'短评内容': '离火车站，汽车站太近了，很方便，周边吃饭出行也方便', '短评打分': 5}
{'短评内容': '便宜实惠···还不错···反正住一晚上也不想太浪费··选择这个也还行···', '短评打分': 5}
{'短评内容': '房间不错，就是晚上外面吵，有机器的声音，还有车的声音，走廊没地毯，走路的声音很响。', '短评打分': 5}
{'短评内容': '位置突出，也算干净，过夜而已，没什么特别的要求', '短评打分': 5}
{'短评内容': '服务很不错。楼层很大，安排房间时应咨询客人行李多少，照顾行李多的客人的房间考进电梯口。用点心就可以更进一步。', '短评打分': 5}
{'短评内容': '地理位置不错，吃饭也很方便。美中不足的就是没有窗户，有点压抑。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '就当个转脚地方而已，还可以啦，马马虎虎。', '短评打分': 5}
{'短评内容': '不错 卫生', '短评打分': 3}
{'短评内容': '除了交通方便外，没有其他什么优势，房间小，无窗户，压抑的很。', '短评打分': 5}
{'短评内容': '服务员态度很好服务周到，环境也不错', '短评打分': 3}
{'短评内容': '设施挺好，也很干净，回来的时候也住的这家酒店，很不错', '短评打分': 5}
{'短评内容': '如家一贯风格， 位置好， 交通方便， 基本满足出差休息的需要。 不过整体来说， 现在的如家已经没有以前的好了', '短评打分': 5}
{'短评内容': '感觉良好，非常舒适。', '短评打分': 3}
{'短评内容': '还好,所有的都是 还好,...............................', '短评打分': 5}
{'短评内容': 'OKOKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK', '短评打分': 5}
{'短评内容': '地理位置比较方便，就在东莞火车站旁边。价格也比较合理。', '短评打分': 5}
{'短评内容': '酒店还行，交通方便，就是房间小了点。', '短评打分': 3}
{'短评内容': '挺好的，服务、设施都很不错。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间卫生很好。交通和吃饭也比较方便\n性价比高', '短评打分': 5}
{'短评内容': '如家般温馨。 ', '短评打分': 3}
{'短评内容': '昨晚我住的是商务大床房，一到早上，走廊传入房间的客人杂声吵得要命，没想到房间的隔音那么差,一大早就被吵醒', '短评打分': 5}
{'短评内容': '各方面比较方便，就是火车站对面，楼下有711便利店和万宁超市，购物方便。还有间台湾的食店比较平宜。', '短评打分': 5}
{'短评内容': '有如家一贯的风格与舒适。从香港到广州，搭广深线动车住这里，好像比住深圳还划得来。', '短评打分': 5}
{'短评内容': '方便，地理位置佳，周边环境就不强求咯。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离火车站很近，很方便！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '交通方便，网速快，早餐丰富，服国较好。在常平火车站附近，坐公交方便，吃饭方便。', '短评打分': 5}
{'短评内容': '地點極佳但房間的空間稍小.店前停車場稍微不足.', '短评打分': 5}
{'短评内容': '房间不大，但是很干净，很舒适，价格也不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，空调质量也挺好，出行交通也很便利，感觉住的很舒适。', '短评打分': 5}
{'短评内容': '建议被子换好一点的，床是最主要的。不过服务还是蛮好。', '短评打分': 5}
{'短评内容': '酒店还不错，挺干净，服务也不错，价格也实惠，下行还来。', '短评打分': 5}
{'短评内容': '酒店比较便宜，周边交通很便利，出行很方便的。', '短评打分': 5}
{'短评内容': '没有窗户很压抑，空气不好', '短评打分': 3}
{'短评内容': '位置还可以，价格还行就是性价比挺一般，房间还不错。唯一优点靠火车站挺近的旁边也有公交总站出行倒是挺方便。', '短评打分': 5}
{'短评内容': '挺喜欢这种类型的酒店，比较简洁舒适，价格也不贵，这家酒店位置也很好，出行很便利，值得推荐。', '短评打分': 5}
{'短评内容': '这家酒店位置很好，靠近火车站和汽车站，周边交通很便利的，餐饮也很多的。', '短评打分': 5}
{'短评内容': '环境很温馨，缺点没有窗户，很压抑', '短评打分': 5}
{'短评内容': 'good hotel', '短评打分': 5}
{'短评内容': 'good hotel!', '短评打分': 5}
{'短评内容': '虽然房间不大，但是服务和卫生都不错', '短评打分': 5}
{'短评内容': '酒店的卫生条件不错.房间面积比较小显得比较拥挤.价格比较适中.位置很好很方便出行就在火车站对面.其它各方面还好.', '短评打分': 3}
{'短评内容': '我还是第一次碰到借用酒店万能充电器还是要买的。', '短评打分': 1}
