{'短评内容': '很不错，服务很到位', '短评打分': 5}
{'短评内容': '与其他快捷酒店不同的是，该快捷酒店的装修档次非常高，有住星级酒店的感觉。看了之前的评论，担心热水不热的问题，于是订之前电话询问前台是否热水不太热，答复之前是锅炉问题，现已解决后没有问题。住宿后发现唯一的不足还是洗澡的热水不热，而且中央空调的效果也不好，所以洗澡感觉有点冷，晚上盖了两床被子睡觉。', '短评打分': 5}
{'短评内容': '\n性价比超高，推荐！', '短评打分': 3}
{'短评内容': '性价比较高！130一晚很划算现在是冬天，唯一不足的是洗澡的热水不太热。', '短评打分': 5}
{'短评内容': '房间还不错，就是有点冷', '短评打分': 3}
{'短评内容': '还可以，值得推荐，就是我们晚上到的，不好找', '短评打分': 5}
{'短评内容': '经济型酒店，在武院学校院子内，停车方便，但吃饭不方便，周围没有饭店，商店，比较适合自驾的', '短评打分': 5}
{'短评内容': '酒店比较干净，交通比较方便，停车也很方便。就是酒店没有餐厅，吃饭还要到外面饭店去，比较麻烦！不满的是在结账的时候，硬收了我20元的所谓毛巾的赔偿金，关键是毛巾我根本就没有用过，气人！', '短评打分': 1}
{'短评内容': '店内没有发票。标价太高。', '短评打分': 3}
{'短评内容': '距离少林寺很近 环境还可以 可以从酒店定少林寺晚上的音乐大典的票 可以打9折 很划算', '短评打分': 5}
{'短评内容': '标间很宽敞很大 床也很大 比一般宾馆的标间床要大一些~很干净 推荐', '短评打分': 5}
{'短评内容': '未来宜居酒店就在登封市的西北角，下了高速很好找。宾馆在释小龙武校内，安全可靠。房间宽敞、明亮、整洁，工作人员热情接待，宽带还是无线的，有点4星酒店的感觉呢！', '短评打分': 5}
