{'短评内容': '挺好的，还有早餐。', '短评打分': 5}
{'短评内容': '房间卫生还可以，就是早餐品种少，而且我们八点四十去吃，稀饭已经冷了', '短评打分': 3}
{'短评内容': '价格合理，可以住一下，就是早餐不怎么样。               ', '短评打分': 5}
{'短评内容': '在这里住了3天，感觉干净整洁，服务态度好，而且在喧哗的城市中能有这样幽静的所在实在是不可多得，评价比较满意。', '短评打分': 5}
{'短评内容': '主要是插座太少，其它还算实惠，装修还可以', '短评打分': 5}
{'短评内容': '一般，房间有点小…房价贵了点！不过在派出所里面还算安全和清静！', '短评打分': 3}
{'短评内容': '住了几次了，价格便宜，干净卫生，没啥说的，就是好', '短评打分': 5}
{'短评内容': '地理位置不好。房间小。出行不很方便。可以入住。但网上订购价格是138。结账时收费168。当时没发现回家才发现。有点不地到', '短评打分': 1}
{'短评内容': '环境很好…', '短评打分': 3}
{'短评内容': '这个价位的酒店性价比还可以，卫生间有一股地沟味，酒店有餐厅比较方便。', '短评打分': 5}
{'短评内容': '酒店不错，主要有以下几个方面：\n1、安全——在南岸派出所大院内，呵呵\n2、整洁——酒店比较新，房间比较整洁，家具也新\n3、光亮——房间灯光比较亮，我喜欢\n4、就餐方便，外面有很多小吃店，酒店类也有餐厅。\n性价比真的不错，有免费停车的，因为在派出所大院内，自驾车到此的可以不必担心车的安全问题。\n', '短评打分': 5}
{'短评内容': '房间很小 感觉很局促的 不过有震动TT 感觉酒店不行 出租车司机还找不到', '短评打分': 1}
{'短评内容': '这次入住体验一般 房间里面家具的油漆味道很浓 两张床的床单都有斑点 就像没洗一样 下次不会选择这里了', '短评打分': 1}
{'短评内容': '一般吧，房间太小了，很小。。。其它都还是可以', '短评打分': 5}
{'短评内容': '酒店不错，只是房间内的插座太少，使用不太方便。', '短评打分': 5}
{'短评内容': '空调的暖气基本没效果。。其他都很好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净。非常满意！如果网速能快一点就非常完美了！', '短评打分': 5}
{'短评内容': '还可以哈，安静，就是停车的地方小了点，下次到沪州还住该店。', '短评打分': 5}
{'短评内容': '滴三次入住了，还是觉得很不错，只是这两次我定的是商务大床房，结果网站都给我定成标间去了，。', '短评打分': 5}
{'短评内容': '住的还可以  就是卫生间味道太大', '短评打分': 3}
{'短评内容': '第二次住千叶酒店，很不错，价格合理，房间也好', '短评打分': 5}
{'短评内容': ' 性价比高，80分。', '短评打分': 3}
{'短评内容': '在这里住了3天，感觉干净整洁，服务态度好，而且在喧哗的城市中能有这样幽静的所在实在是不可多得，评价比较满意。', '短评打分': 5}
{'短评内容': '很不错，房间好，价格便宜', '短评打分': 3}
{'短评内容': '环境不错，安静，安全，早餐也还可以，比较实惠！', '短评打分': 3}
{'短评内容': '总体来说还是不错的，就是前台服务有点差！还需改进', '短评打分': 5}
{'短评内容': '很安静 很干净的酒店 周边有卖凉糕的 燃面的很适合出差在外的人 性价比较高 早餐是典型的中式早餐  ', '短评打分': 5}
{'短评内容': '酒店很干净，也很安静，在一个小院里面。唯一不足的地方就是卫生间是半开放式的，有朋友过来上个厕所都不方便。', '短评打分': 5}
{'短评内容': '酒店设施很新，设置还可以。缺点就是房间有异味。早餐一般。', '短评打分': 3}
{'短评内容': ' 酒店服务和设施都不错，值得推荐', '短评打分': 3}
{'短评内容': '酒店服务和设施都不错，值得推荐', '短评打分': 3}
{'短评内容': '服务不错，好评一个', '短评打分': 3}
{'短评内容': '房间还行，有中央空调，这对于夏季炎热的泸州是很有必要的。由于没有在主马路上，晚上很安静。不过停车不太方便，服务人员的服务意识还要加强。', '短评打分': 5}
{'短评内容': '这个酒店真的很不错，有餐厅，中央空调，总之可以，这个价钱。', '短评打分': 5}
{'短评内容': '干净，跟南城派出所在一个大院里，感觉比较安全。洗手间有异味。冷气是中央空调，不够冷，出汗了。', '短评打分': 1}
{'短评内容': '环境不错，很安静，服务不错，性价比很高！！', '短评打分': 5}
{'短评内容': '泸州千叶酒店非常不错，价钱便宜，环境良好，设施齐备，交通方便。总的评价就是物美价廉，特别对工薪阶层强烈推荐，下次来泸州还住这里。', '短评打分': 3}
{'短评内容': '干净,舒服,经济型酒店,不错,值,给力', '短评打分': 3}
{'短评内容': '不是宽带免费吗？没看到电脑呢？还要自带嗦', '短评打分': 3}
{'短评内容': '房间还行，比较大，也很安静。就是吃饭不行，中午一点钟去吃被告之没饭了', '短评打分': 5}
{'短评内容': ' 千叶干净卫生，服务态度好，出行方便。', '短评打分': 3}
{'短评内容': '条件不错，很干净，还有个大的液晶电视，我很满意，就是早餐的确差了点种类很少，不过性价比很高呢，我的朋友住泸州大酒店贵了40块我看下房间条件还不如我住的，哈哈，下次来泸州一定还住这里。', '短评打分': 5}
{'短评内容': '因为就在泸州南城派出所院内，所以安全是有保障的。休息环境不错很安静。但地毯有点脏，出门建议别取房卡，就让卫生间换气扇一直开着，要不然回宾馆开门后有股很大的卫生间气味（卫生间没窗户）。', '短评打分': 5}
{'短评内容': '总的来说，这个价格能住到这种酒店，是比较可以的了··只是地毯的卫生实在太差了，既然房间装了地毯，但是酒店的服务员，应该没有用吸尘器，打扫地毯的，所以房间的地毯都比较葬。所以感觉卫生就比较不好·其它的都蛮好的，离闹市区，车站都比较方便的··如果这个方面的卫生改善一下，真的是比较不错的一个酒店·', '短评打分': 5}
{'短评内容': '干净,亮堂.临近有当地知名的小面,味道巴适,经济实惠. 物有所值. 就是交通不是特别方便', '短评打分': 5}
{'短评内容': '干净! 要注意一下卫生间的气味.其他都不错', '短评打分': 5}
{'短评内容': '对这家酒店印象不错，干净卫生，晚上也挺安静，休息的很好。', '短评打分': 3}
{'短评内容': '＋第二次入住，环境、卫生都不错，开始没查到网上订单前台美女的态度也很好，积极解决问题', '短评打分': 3}
{'短评内容': '环境挺好，挺安静挺安全的，住的挺放心，周边交通也还算便利。', '短评打分': 5}
{'短评内容': '房间住的挺舒适，价格方面挺合理的，下次还会光顾的。', '短评打分': 5}
{'短评内容': '总体来说还不错，我定的时候看有单间，结果去只有标间了，害我一人住', '短评打分': 5}
{'短评内容': '周边环境不错，小吃挺多，交通也挺便利，内部环境挺干净整洁，价格也挺合理。', '短评打分': 5}
{'短评内容': '性价比较高，房间休息非常舒服，最重要的是非常安静。六个字：干净、安静、心静。值得推荐。', '短评打分': 5}
{'短评内容': '我1月12日入住了该酒店，订的是商务间，很不错的一家酒店，房间及卫生间都很好，服务员态度也很好，下次还会住这里。', '短评打分': 5}
{'短评内容': '安静悠闲。 但大唐总有个大汉坐在门口玻璃隔断中，有点不协调。园中就是派出所， 用他何干？', '短评打分': 5}
{'短评内容': '环境不错， 安全无干扰， 周围饭店也多， 可以尝遍小吃。交通也可以', '短评打分': 5}
{'短评内容': '房间不错，价格合理，早餐一般。下次出差还是住哪里。', '短评打分': 5}
{'短评内容': '很清静,房间也还不错,不过起来得太晚,没机会试试早餐怎么样,浪费了,呵呵', '短评打分': 5}
{'短评内容': '第一次住千叶酒店，感觉挺不错，干净，清静。', '短评打分': 5}
