{'短评内容': '成都的连锁酒店，就那样，房间内部还行，位置不是很便利。', '短评打分': 5}
{'短评内容': '這一間酒店在市中心區的，地點優便，鄰近酒吧街，食市，新開發景點蘭桂坊，香格里拉大酒店，五光十色，富侨足道按摩齐備，飛机場及成都北火車站打的都是三十元左右。束來往成都北至重慶北一天內有十班动車，行車時間約ニ小時十分。', '短评打分': 5}
{'短评内容': '价格便宜，交通方便。不太安静，酒店内部的设施过于陈旧', '短评打分': 5}
{'短评内容': '价格便宜，交通方便。就是里面的设施有些陈旧，管理的一般，不是很安静', '短评打分': 5}
{'短评内容': '只是设施有些陈旧，服务态度很好，而且非常人性化', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错的，环境都还好，如果灯再亮点就好了。还有周围有点吵。', '短评打分': 5}
{'短评内容': '酒店服务不错，位置较佳。最好的还是不用信用卡担保啊', '短评打分': 3}
{'短评内容': ' 晚上鬼哭狼号到3点 根本睡不着 下次不住了', '短评打分': 3}
{'短评内容': '酒店的位置很好，出行方便；餐饮、娱乐应有尽有，商店、超市、美甲轻松得到；附近还有小吃通宵外卖可以送到你的房间；我是来参加考试的，要求只要离川大近就可以了，距离考场—研究生教学楼步行12、13分钟即到（可以通过红瓦寺街的小北门和南一环上的北门）。房间还是比较宽敞的，通风较好，隔音也可以达到你的需求，最重要的是，我住的三号楼的所有房间都是不邻马路的，对学生复习考试、经济、舒适又便捷。', '短评打分': 5}
{'短评内容': '房间宽敞，装修的风格也喜欢。就是会有人打骚扰电话，敲门。隔音效果不是很好。总的来说，这个价位，还是很不错的。', '短评打分': 5}
{'短评内容': '条件不错，服务也好', '短评打分': 3}
{'短评内容': '还不错，经济，离附近的酒吧很近，附近吃的也很近。方便。', '短评打分': 5}
{'短评内容': '10.1去的 现在要订其他酒店了 才发现美评价 。。。有点小脏。。。不是很喜欢 设备也像一般宾馆。。。没想象中的好。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '上次写的评价都不见咯...回忆一下~我是为了去川大考GRE所以订的这家~前台和服务员的服务都挺好的~听说我要考试就给我一个比较安静的房间...临街的~据说靠里面的房间下面都是酒吧慢摇~但是临街的下面就是一环路啊...总之没睡好~\n热水不好...温度不稳定，郁闷~~~~~~~~~~~~~~\n第二天早上七点就退房了~拿了早餐券，是楼下一家海鲜面馆...吃了两个小肉包和一碗粥一点泡菜就去考试了~', '短评打分': 1}
{'短评内容': '很满意，谢谢', '短评打分': 3}
{'短评内容': '周围也很多酒吧 晚上会有点吵 望单身女士注意安全 我们住的那间房子热水不太稳定 其他的都还好', '短评打分': 5}
{'短评内容': '刚才发布的都不见了又得重写...\r\n前台的态度蛮好的，我说我第二天要考试就给我安排了一个相对安静的房间，临街...外面就是一环路~据说里面的房间楼下都是酒吧慢摇之类的，比较悲催。但是外面车还是有点吵，晚上没睡好。\r\n热水比较悲剧，水流小而且温度不稳定...卫生还蛮好~\r\n送的早餐券是楼下一个海鲜面馆的~包子很油...\r\n还有，这个店不能刷卡...这个才是最郁闷人的...', '短评打分': 3}
{'短评内容': '前台态度蛮好的，我说我第二天要考试~就给了我一个相对安静的房间，靠街的（窗外是一环路南一段），据说是最安静了...因为院子里的房间下面都是酒吧慢摇之类的~但是晚上还是没睡好...\r\n房间还蛮干净~热水太小了。。。而且温度不稳定~郁闷~~\r\n送的早餐是楼下一个海鲜面馆的~早上我去喝了一碗粥吃了一个煮鸡蛋两个包子就闪了~', '短评打分': 1}
{'短评内容': '房间挺大的。。。。位置还好吧，，离生活小区比较近，，印象比较深刻的是床很舒服', '短评打分': 5}
{'短评内容': '位置很好找 和人说是好望角 基本都知道 楼下很多酒吧 吃的夜排档也超嗲 就是比一般的小贵了点 2个人 吃了120吧 一般的成都小店也就100不到 七八十了。。。可能这里消费都比较高', '短评打分': 5}
{'短评内容': '环境很好，就是外面简陋点，离川大很近~很好', '短评打分': 3}
{'短评内容': '缺点是没有自己的停车位，我是掏20元自费停车的', '短评打分': 1}
{'短评内容': '价钱我觉得还可以，屋里面也算干净，内部设置还好，就是外面看起来破了一点', '短评打分': 5}
{'短评内容': '这家酒店环境还不错，比较干净的酒店，位置距离我去的地方很近，价格算是比较合理适中的，配置硬件比较一般，就是连锁型酒店的配置还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '酒店有点老旧，服务一般，未按照网上预订优惠兑现承诺，', '短评打分': 1}
{'短评内容': '可能是年代比较久的酒店吧,感觉老气了点,不过在九眼桥附近还是对的起这个价位,但是楼下的酒吧,慢摇吧异常的闹,入睡有难度', '短评打分': 5}
{'短评内容': '总的还是不错的', '短评打分': 5}
{'短评内容': '位置比较偏，出行不方便，房间设施陈旧，热水温度不够稳定，水压小，最难受的是，一到晚上楼下夜总会通宵营业，噪音很大，严重影响睡眠。', '短评打分': 1}
{'短评内容': '酒店旁边有一个加气站 打车很方便 \r\n这是入住的唯一原因 成都打车太难了', '短评打分': 5}
