{'短评内容': '商务处差入住非常不错', '短评打分': 5}
{'短评内容': '酒店环境一般。。而且连毛巾弄脏了还要20块清洗费，说洗不掉。。10几年来第一次遇到。。。', '短评打分': 1}
{'短评内容': '这家还可以，去杭电传媒都很近。', '短评打分': 3}
{'短评内容': '不能用团购券，临街的房间有点吵', '短评打分': 3}
{'短评内容': '干净~服务态度好~不错~值得推荐~~~~~~', '短评打分': 5}
{'短评内容': '外面打出租车不方便，位置还可以，早餐不太好。', '短评打分': 5}
{'短评内容': '入住的房间比较老旧了，卫生也有待进一步提高。', '短评打分': 1}
{'短评内容': '总体还可以,就是因为临街车有点吵.', '短评打分': 3}
{'短评内容': '房间比较大，视野比较好，总体来说还是很不错的', '短评打分': 5}
{'短评内容': '总体还可以，位置比较方便，就是感觉灯比较暗。', '短评打分': 5}
{'短评内容': '好评 环境不错', '短评打分': 3}
{'短评内容': ' 房间有点点小 但是还挺温馨哈哈哈~~~~~', '短评打分': 3}
{'短评内容': '酒店的房间不大，很干净。附近吃的东西很多，还蛮方便的', '短评打分': 5}
{'短评内容': '距离浙传步行五分钟，艺考住在那里很方便。', '短评打分': 3}
{'短评内容': '房间很宽敞，很舒适。就是网络不行。', '短评打分': 3}
{'短评内容': '还是很不错的，也算比较实惠啦，下次去下沙还是会选择这的。', '短评打分': 5}
{'短评内容': '还不错，床大又软', '短评打分': 3}
{'短评内容': '空调声音很大。', '短评打分': 3}
{'短评内容': '服务还不错', '短评打分': 3}
{'短评内容': '还可以…空调不是很好', '短评打分': 3}
{'短评内容': '没有交通便利的指导和工具是它的不足，不过，优良的服务和价格能弥补这点，其它8速，比这贵多点', '短评打分': 5}
{'短评内容': '酒店不错，但是有点小贵，学生的话还是有点难以承受的，不过难得一次还是可以的', '短评打分': 5}
{'短评内容': '环境还行，店员态度一般，性价比一般', '短评打分': 3}
{'短评内容': '服务态度总体还行，房间很大，设施齐全。下次还会来住的。', '短评打分': 5}
{'短评内容': '不错，环境不错\n住的舒服，服务好，总体感觉不错，值得一住', '短评打分': 5}
{'短评内容': '环境一般，但是地理位置比较好，在高沙，附近很多吃的店', '短评打分': 5}
{'短评内容': '＋还不错，服务挺好的。', '短评打分': 3}
{'短评内容': '比较经济，地点也还好。不远有个大超市。到机场打表也是100元左右。', '短评打分': 5}
{'短评内容': '房间里面感觉很舒适，蛮好的，但是店员服务不怎么样，也许是由于那天人太多了。', '短评打分': 5}
{'短评内容': '入住，房间很旧，被单很脏，完全不值这个价！', '短评打分': 3}
{'短评内容': '酒店设施很老 性价比也不怎么好  最主要的事 房间墙体基本出现发霉的情况。', '短评打分': 1}
{'短评内容': '只有两层，人比较多，楼道理比较杂乱，房间还算干净，临马路的比即到吵', '短评打分': 1}
{'短评内容': '卫生打扫慢，床不舒服....................', '短评打分': 5}
{'短评内容': '反正在高沙算贵了，性价比不是那么高了。。。。', '短评打分': 5}
{'短评内容': '不错的 每次去下沙 都跟女朋友去折家店 \n价格还算能接受 不过对于学生 要是能再便宜点就更好了', '短评打分': 5}
{'短评内容': '总体还可以吧。。。只是总共只有两层，难免给人一种虚有声势的感觉。。里面地板不怎么样，其他都还可以。。。', '短评打分': 5}
{'短评内容': ' 吃饭挺方便的', '短评打分': 3}
{'短评内容': '房间很大，挺干净整齐的，就是卫生间没有墙壁隔开，都是玻璃，不过可以用窗帘布隔开', '短评打分': 5}
{'短评内容': '服务不到位，网站上订了两天，一开始只给我开了一天，害得我第二天又交钱续房。\n结账是莫名其妙多了个袜子盒子，说是我用的，可是我根本没用过。可能是以前的住户干的，当时没发现，然后这次就算我头上了……', '短评打分': 1}
{'短评内容': '环境不错。。也很舒适。。地理位置也很好。。。', '短评打分': 5}
{'短评内容': '前台服务太差，其他的还好，~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '房间有点小，一共两层楼，房门隔音效果不好，会听到楼道里走路的声音，价格还可以，干净一般', '短评打分': 1}
{'短评内容': '环境服务都不错', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '在下沙来说性价比是比较高的了，位置不错，临近高沙商业区；只是门外交通打的难，要走到高沙临街。', '短评打分': 5}
{'短评内容': '也就这样了，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '有点吵。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店干净整洁', '短评打分': 3}
{'短评内容': '价格很不错\u3000房间装修还行\u3000蛮干净～～AA～', '短评打分': 5}
{'短评内容': '还可以,就是毛巾最好能再软点...', '短评打分': 3}
{'短评内容': '还不错，就是淋浴水太小了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间好像有差别，比上次住的差多了，但是价格更贵了！我不知道涨价还是怎么样，性价比下降啊这是。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '交通方便，安静，房间整洁，零食便宜，布局不错，交通方便，安静，房间整洁，零食便宜，布局不错，交通方便，安静，房间整洁，零食便宜，布局不错', '短评打分': 5}
{'短评内容': '满干净的', '短评打分': 3}
{'短评内容': '酒店挺不错的，房间比较大，卫生不错，服务也还好，酒店位置不错，挺方便的，总之还行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 3}
{'短评内容': '还行、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '毛巾太旧了，墙纸发霉了，前台服务员态度不好，浴室的玻璃什么的都有霉菌，卫生实在是不大好！好在地理位置不错！', '短评打分': 5}
{'短评内容': '住的比较满意，但早餐很差', '短评打分': 3}
{'短评内容': '挺满意', '短评打分': 3}
{'短评内容': '前台服务的效率有点低，也不够热情。房间整体格局不错，但是平时可能不太通风，有点异味。而且里面放了那么多东西，都要收费，其他的也不说了，矿泉水也要钱，这个说不过去。', '短评打分': 5}
{'短评内容': '休闲大床房还行，就是办理的时候前台速度比较慢。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店挺不错的，房间比较大，卫生干净，服务也很好，打车也方便，周边就餐的地方很多，总之还是挺方便的。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置不错，离高沙商业街很近，简单吃饭酒店傍边就有，想逛街可以去高沙，晚上睡觉也不会被马路的车吵到。定的是商务大床房，房间很大，很舒服，就是房间隔音效果欠佳，外面走道的声音都很清楚。价格在下沙算中等偏上了吧，因为旁边高沙有很多实惠的旅馆。酒店还有早餐可以买，10元一人，都挺不错的', '短评打分': 5}
{'短评内容': '很好，很干净，然后交通也比较方便，楼下有很多饭店，不错的，晚上随便找了个饭店，味道也还可以。打的比较方便', '短评打分': 5}
{'短评内容': '灰常满意~很大很干净~', '短评打分': 3}
{'短评内容': '还不错…', '短评打分': 3}
{'短评内容': '典型的经济型酒店  和大部分的 速8差不多   只是地理位置有差别', '短评打分': 5}
{'短评内容': '还不错，干净卫生！服务很热情！适合大学生去开房', '短评打分': 5}
{'短评内容': '房间很好 环境不错哈 周边吃的也不错哈 绝对一流的酒店', '短评打分': 5}
{'短评内容': '价格实惠  内饰很好  坏境比较安静 还有优惠便宜好吃的早饭10元一个人  离高沙很近的\n玩玩的也比较多', '短评打分': 5}
{'短评内容': '前台服务太差，业务不熟悉，这是一个连锁酒店所不应该出现的', '短评打分': 1}
{'短评内容': '前台态度不好，作为连锁的酒店，服务是统一标准的，为何这边这么差？', '短评打分': 5}
{'短评内容': '价格优惠、设施齐全 、还蛮感觉的 、住得很舒服 。', '短评打分': 5}
{'短评内容': '还不错。服务很好', '短评打分': 3}
{'短评内容': '对的在下沙的这个价格，下次还是回来住的。。。。', '短评打分': 5}
{'短评内容': '床硬，快捷酒店中床算硬的，呵呵，反正住一晚而已', '短评打分': 1}
{'短评内容': '房间挺大的，不错，性价比很高', '短评打分': 3}
{'短评内容': '很不错，                   干净，                     舒适！', '短评打分': 5}
{'短评内容': '环境这些还好啦，就是前台的服务员态度不怎么好，一般般而已！', '短评打分': 5}
{'短评内容': '除了价格，感觉没什么吸引人的地方。。。。电梯很脏。。卫生很一般', '短评打分': 1}
{'短评内容': '酒店很干净', '短评打分': 3}
{'短评内容': '休闲大床房比较别致 就是上网还要付钱 ~~~', '短评打分': 5}
{'短评内容': '地址不错，但是没锦江来的干净，房子有点旧。', '短评打分': 5}
{'短评内容': '还好，干净，挺舒适的，窗户很明亮。就是一次性的坐垫居然要钱的说，木有表明价格。。。。。', '短评打分': 5}
{'短评内容': '前台服务态度不错，房间也还行，床很舒服。', '短评打分': 5}
{'短评内容': '环境不错  值得推荐  下次如果有机会 还会去住', '短评打分': 5}
{'短评内容': '酒店整体环境不错，靠近大学城，吃的可口~', '短评打分': 5}
{'短评内容': '环境不是很好。设备也不是很好。房卡去柜台弄了几次还是打不开', '短评打分': 1}
{'短评内容': '这个酒店是比较实惠的，不过可能是时间长了，看起来有点旧', '短评打分': 5}
{'短评内容': '还行吧 下次还回去 地理位置不错 周围什么都有  非常不错', '短评打分': 5}
{'短评内容': '干净是干净的，但是房卡的问题真的很烦人，前台的服务态度也不好', '短评打分': 3}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '在该地区还可以,就是要提前好多天预订，因为附近是高教区，很多学校', '短评打分': 5}
{'短评内容': '环境不错~价格也很实惠~\n有会员卡的更加优惠噢', '短评打分': 5}
{'短评内容': '不错   房间比较宽敞不错   房间比较宽敞不错   房间比较宽敞', '短评打分': 5}
{'短评内容': '还不错，就是之前以为是大圆床。结果没有想到。。一点点小遗憾', '短评打分': 5}
{'短评内容': '环境不错的', '短评打分': 3}
{'短评内容': '本来自己定的，后来因有事朋友去住了。反映还可以。', '短评打分': 5}
{'短评内容': '十一十二楼的房间比十楼的要好很多！', '短评打分': 3}
{'短评内容': '环境一般,房间还不错', '短评打分': 3}
{'短评内容': '速8收购了旁边的酒店，我住的房间和那酒店的房间一模一样，就是价格贵了，', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '挺好的，不过不知道为什么这次无线不能用。。以后会继续住的', '短评打分': 5}
{'短评内容': '作为一般的快捷酒店地方小点，设施差点，我相信一般的客户都不会太挑剔的，但是这家店的服务简直是让人不能忍受，总共住了4天，发生了很多不愉快的事...先是本来定好的29日-3日入住，收押金时只收了400元，结果第二天房卡就打不开门了，跟前台交涉说是得补交房费，再后来房费补交了，到了2号又开不开门了，结果又上前台刷了一次，一张房卡折腾了3回！再有一次跟酒店的服务员要一块香皂，结果等了2个多小时催了好几次', '短评打分': 1}
{'短评内容': '这个在网上操作比较方便，比较简单，而且酒店的环境也还好', '短评打分': 5}
{'短评内容': '酒店整体环境很好，房间比较大，卫生条件也比较好，很舒适', '短评打分': 3}
{'短评内容': '酒店还不错 但是墙壁有点水渍 空调声音有点大··', '短评打分': 5}
{'短评内容': ' 酒店不错！', '短评打分': 3}
{'短评内容': '性价比很高，下次还会去住！！！！！！！！', '短评打分': 5}
{'短评内容': '前台服务水平有待提高！因为语言表达上不够精确，把时间搞错了，造成了误解，结果第二天差点被赶出房间！', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '总的来说还可以,周边购物,吃饭很方便。就是前台服务有待改进,办手续排队要排半天。', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '前台服务人员态度很好，酒店环境舒适卫生，房间每日清洁很及时，总体来说很不错', '短评打分': 3}
{'短评内容': '很好很干净', '短评打分': 3}
{'短评内容': '价格便宜，不过房间有点旧，有些还有霉斑，前台服务也一般', '短评打分': 1}
{'短评内容': '性价比高 在下沙算不错的 总体不错 但是觉得被子被褥有点粗糙 睡了一觉 手臂红了', '短评打分': 5}
{'短评内容': '不错,学林街那一块算是不错的了，比如家便宜', '短评打分': 5}
{'短评内容': '文教区里,为了参加考试订的房.周遍配套齐全.缺点是电梯太少,上下不太方便.', '短评打分': 5}
{'短评内容': '希望网速能提升啊\n还有房间打扫要细致一点\n', '短评打分': 5}
{'短评内容': '给艺考的表弟订的~离浙传很近 很方便 房间也很不错~连锁酒店就是要靠谱很多~~', '短评打分': 5}
{'短评内容': '打扫房间不细致，地都没拖\n前台态度不好\n没能做到干净友好', '短评打分': 1}
{'短评内容': '不错，衣服忘房间里了，还好有提醒！哈哈哈哈哈', '短评打分': 5}
{'短评内容': '总体感觉良好，房间很大，挺干净的.有电视，无线网络。。', '短评打分': 5}
{'短评内容': '房型有误订的园床房给的是大床', '短评打分': 3}
{'短评内容': '比较干净，房间大，价格稍微有点贵，浴室比较好，电脑网速太差了', '短评打分': 5}
{'短评内容': '还是不错的…………………………………………………………………………', '短评打分': 5}
{'短评内容': '地段还行，晚上附近小吃也不少，周边有小卖部和药房，能满足大多数需求。房间里设施干净，有免费宽带，免费的点播电影，能满足商务和休闲的需要，性价比还不错', '短评打分': 5}
{'短评内容': '下沙速8酒店面积大，适合居住，就是里面的消费品太贵了。', '短评打分': 5}
{'短评内容': '还不错，除了空调的制冷效果不好，然后厕所里淋浴没有单独隔开。。', '短评打分': 5}
{'短评内容': '不错 安静  干净 以后还会去住的 哈哈哈', '短评打分': 5}
{'短评内容': '还不错，价格实惠', '短评打分': 3}
{'短评内容': '地理位子不错，价格也还好，在下沙来看，还算是不错的选择。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错，就是空调功率太小 晚上有点冷。', '短评打分': 5}
{'短评内容': '整体来讲对不起这个价钱，因为比较偏僻，而且里边的设施一般，水龙头而且都是坏的~', '短评打分': 5}
{'短评内容': '这次住的房间不怎么好。。不是原来速8的房间。是并购了鼎家后，鼎家的房间。在10楼的，洗手盆下水道漏水不说，浴室喷头也没有水。打电话后才有工作人员来维修。总体感觉破旧，不如原来11、 12楼的房间。', '短评打分': 5}
{'短评内容': '总体感觉不错，周边超市购物、交通都很方便，就是房间厕所门是透明的，感觉很尴尬。呵呵~', '短评打分': 5}
{'短评内容': '很干净，设施很齐全，特别是卫生间的设计我很喜欢，下次还会再次光临的', '短评打分': 5}
{'短评内容': '酒店还行，就是在网上订跟在店里去价格差不多，平时的话还是办张那里的会员卡比较合算，会员卡能打折，打下来比在网上订的便宜', '短评打分': 5}
{'短评内容': '房间很大而且床也很舒适，网络的速度不错，打扫的也很及时\n ', '短评打分': 5}
{'短评内容': '酒店位置在高沙都尚后面，两边还各有一家酒店，也是快捷的，好像要便宜一些，因为有事晚上又退房了，没有感受到晚上好不好，给我的是一间最边上的，有点不爽了。', '短评打分': 5}
{'短评内容': '总体来说还是很划算的，就是隔音差点，桌子不干净，网速慢点，不过性价比还是很不错的', '短评打分': 5}
{'短评内容': '价格偏高，其他的一般，性价比不怎么高，作为经济型酒店，这个价格实在不咋地。', '短评打分': 1}
{'短评内容': '价格一般吧，不算便宜，也不算贵，就怕不安全，因为是开放的，没有大门之类', '短评打分': 5}
{'短评内容': '服务员的业务素质有待提高~~~~房间大小还好，只是太郊区了', '短评打分': 1}
{'短评内容': '性价比一般，特别是商务大床房，就是常规的东西', '短评打分': 5}
{'短评内容': '环境好，比较安静，舒服，就是入住登记和退房有点慢', '短评打分': 5}
{'短评内容': '已经不是第一次入住了，还是这么好，环境干净，设备齐全。主要是我们都很喜欢速8的装修风格。', '短评打分': 5}
{'短评内容': '环境不错，房间也挺干净的，在下沙还算性价比较高的。', '短评打分': 5}
{'短评内容': '环境很好，卫生很好，地理位置也很方便，服务更好。来下沙经常住速8.', '短评打分': 5}
{'短评内容': '感觉非常温暖的，挺干净，房间布置得友好舒适，浴室也很温馨，洗漱用品齐全，价格又不是很贵，我下次去下沙还住这。。。嘿嘿', '短评打分': 5}
{'短评内容': '价格合理   空间在经济酒店中算不错的了 GOOD', '短评打分': 5}
{'短评内容': '价格便宜，浴室水太小，淋浴没有单独隔离，打车不是很方便', '短评打分': 5}
{'短评内容': '房间太旧', '短评打分': 3}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '装修过 有 气味~晚上外面比较吵 然后房间还是比较大的', '短评打分': 1}
{'短评内容': '还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。', '短评打分': 3}
{'短评内容': '还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。', '短评打分': 3}
{'短评内容': '还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。还不错。。哈哈，也便宜。', '短评打分': 5}
{'短评内容': '+还不错', '短评打分': 5}
{'短评内容': '一般~~网订的没有登记都，还好当时有房&#183;&#183;&#183;&#183;离市区这么远，上当了！！！', '短评打分': 1}
{'短评内容': '酒店服务不错，就是地方太偏远了，从杭州坐车要一个多小时才能到，附近也没什么好玩的，不过后面那条街上有家小店的东西不错，挺好吃的', '短评打分': 5}
{'短评内容': '环境不错，也挺卫生，晚上比较安静，边上交通购物都不错，下次还会去的。。', '短评打分': 5}
{'短评内容': '位置太偏了，到市区打车快一百，晕。而且电梯就像货梯，房倒是看着挺舒服，也干净。服务员不够专业，打电话问路她们除了知道酒店位置其余也一问三不知。就学源路那块都没熟悉完，还不如找个路边的人问省事。', '短评打分': 1}
{'短评内容': '非常不错  环境好  面积也比较大  但是酒店的电梯有点脏\r\n', '短评打分': 3}
{'短评内容': '环境蛮好的，干净，就是隔音效果不好，总体还可以啦\r\n', '短评打分': 3}
{'短评内容': '刚收购了楼下的一个酒店，还没完全装修好。交通稍微差一点。', '短评打分': 5}
{'短评内容': '这个季节能订到房间就算不错了，很满意，下次继续住。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在经济型连锁酒店中还是可以的 以后去下沙还会住 卫生打扫得比较干净 住得舒服', '短评打分': 5}
{'短评内容': '速8酒店下沙店环境不错，价格也适中，房间很大，热水随时都有，洗漱用品也挺齐全的，打扫房间的阿姨非常棒，人性化房间，下次我去还要住这。', '短评打分': 5}
{'短评内容': '服务还好,为甚蛮干净的。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，就是装修没完还不错，就是装修没完还不错，就是装修没完', '短评打分': 3}
{'短评内容': '杭州下沙速8酒店的房间很干净，服务态度很好。性价比高。价格比较适合,总之;不错 \r\n', '短评打分': 3}
{'短评内容': '速8环境不错。满意', '短评打分': 3}
{'短评内容': '房间很大 很舒服，楼下吃的地方很多 很方便   ', '短评打分': 3}
{'短评内容': '   基本做到干净卫生，性价比还不错。', '短评打分': 5}
{'短评内容': '10楼不晓得在装修还是怎么样。味道有点怪怪的。隔音效果不好。太吵了。一大早上就被吵醒。睡眠质量超差', '短评打分': 1}
{'短评内容': '总的来说，还是可以的，吃饭啥的都方便，可能学生太多了，很难定，呵呵', '短评打分': 5}
{'短评内容': '总体来说这家酒店性价比比较高。只是那个宽带真是要命啊，一会上了一会断了，很不爽！！！', '短评打分': 5}
{'短评内容': '服务员的态度差。体现不出良好的素质。并且房间在装修。味道很不好！', '短评打分': 1}
{'短评内容': '贵了点，相比旁边的旅馆酒店，没有优势，卫生间没隔断，洗澡不方便，到处都是水，其他还好。。。', '短评打分': 1}
{'短评内容': '位置还行，有点吵，卫生还行，相比价格而言还算不错啦，推荐。', '短评打分': 3}
{'短评内容': '预定的是4间商务标间，前台却给安排其他房型，坚持下给我换成商务标间了，但是那层正在施工，环境很脏不想住，后来给我免费升级好点房间，看了还成才住下的。', '短评打分': 5}
{'短评内容': '干净，安静，很不错，唯一就是矿泉水要两元一瓶，别的酒店有免费送的。', '短评打分': 5}
{'短评内容': '很好的酒店，东西都很干净，房间也很温馨，唯一的缺憾就是宽带不好用，反正就一会儿用的上一会儿用不上！很纠结！', '短评打分': 5}
{'短评内容': '入住办理等了很久，其他到还好，总体来说还满意吧', '短评打分': 5}
{'短评内容': '酒店性价比很不错。推荐', '短评打分': 5}
{'短评内容': ' +酒店不错  只是电梯太挤', '短评打分': 5}
{'短评内容': '房间很舒适~~很好~~下次会继续光顾的~~', '短评打分': 5}
{'短评内容': '价格应该是有些高的，设施一般，早餐是在旁边的餐厅，买了１０元的早餐券到隔壁吃时被告知，１０元券就是只可以买１０元的早餐，不是１０元券自助自己拿吃多少都行，晕！那我还不如吃多少餐厅现付多少钱啊，何必买１０元的券呢，搞不懂', '短评打分': 5}
{'短评内容': '除了价格略高,一切还好', '短评打分': 3}
{'短评内容': '算不错了', '短评打分': 3}
{'短评内容': '除了价格略微偏高,一切皆好', '短评打分': 5}
{'短评内容': '酒店还可以，房间很大，性价比不错', '短评打分': 5}
{'短评内容': '还算可以，就是位置不太好', '短评打分': 5}
{'短评内容': '卫生间有异味，下水道堵塞，淋浴时水漫金山。', '短评打分': 1}
{'短评内容': '这次入住的时候可能刚打扫完毕没多久，因此感觉刚进房间的时候有一股味道，不过开窗通了下风就好多了。还有就是厕所的门是透明的，感觉怪怪的。总体感觉不错。', '短评打分': 5}
{'短评内容': '环境很温馨 有家的感觉 就是早上噪音太大', '短评打分': 3}
{'短评内容': '环境很好，卫生也很好', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '网速 太慢了', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '感觉还可以的，就是房间隔音效果不是很好，其他位置方面还不错，离自己的目的地很近', '短评打分': 5}
{'短评内容': '房间挺舒服的，很方便。就是这次住的这个房间开了暖风的时候竟然有一股股的尿骚味，怀疑是以前的顾客晒小孩尿布来着，总之很恶心。当天下雨潮湿，想开开暖风又很臭，很无奈。房间是1111，希望你们可以检查一下。', '短评打分': 5}
{'短评内容': '这是一家不错的酒店，如果是在下沙附近出差办公的话，首推这家酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境还不错  离学校也蛮近的', '短评打分': 3}
{'短评内容': '酒店离杭电、传媒都很近，如果去那边考试什么的住这里很方便，房间不错，就是旁边有工地，稍微有点吵。', '短评打分': 3}
{'短评内容': '总体说来不错  就是旁边有 工地在施工 稍微有点煞风景', '短评打分': 5}
{'短评内容': '地址住不错，环境也不错，就是房间的镜子太多了，特别是对着床头的', '短评打分': 3}
{'短评内容': '住了好几次了，感觉不错，唯一觉得不好的，就是里面的房间离电梯太远了，有时候要走好长一段路', '短评打分': 5}
{'短评内容': '朋友住的，说还不错的~', '短评打分': 5}
{'短评内容': '没有吹风机，不过叫工作人员送一下速度很快，另外，坐电梯到楼层的时候感觉地毯很脏，房间还是不错的', '短评打分': 5}
{'短评内容': '位置方便.稍显狭小', '短评打分': 5}
{'短评内容': '干净舒适，挺安静的，设备方面最好能加一个电吹风机。', '短评打分': 5}
{'短评内容': '其他都ok，就是楼下的酒店比它便宜多了。。。感觉很亏。。。\r\n\r\n另外，酒店服务不是24小时的，有点惊讶', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还行，就是厕所居然是玻璃，可能会照成尴尬……', '短评打分': 5}
{'短评内容': '挺干净的！性价比还行，但是办理入住手续时速度有点慢', '短评打分': 3}
{'短评内容': '设施不错，旁边工地多，稍微有点吵。', '短评打分': 5}
{'短评内容': '环境挺不错的，也很干净，服务员每天都会打扫，就是卫生间里的水，洗澡的时候如果不把下面的那个盖子揭开，就会积水呢，希望改善一下吧，晚上睡觉的时候也挺安静的，不会被打扰~~推荐一下吧~~', '短评打分': 3}
{'短评内容': '还不错，挺干净的，交通也不错，就是入住时办理手续有点慢！', '短评打分': 5}
{'短评内容': '总体还是比较舒服的，就是偶住的房间的电视遥控器有问题，换台只能手动去按机顶盒。', '短评打分': 5}
{'短评内容': '酒店给人的总体感觉还是不错的，就是办理入住手续的时候速度有点慢，等的时间有点长，望改进，其他都还好~~', '短评打分': 5}
{'短评内容': '位置不错，周边比较热闹，就是服务员打扫房间有点慢，下午3点回来还没打扫完房间。', '短评打分': 5}
{'短评内容': '交通购物都很方便', '短评打分': 5}
{'短评内容': '很强大', '短评打分': 5}
{'短评内容': '各方面感觉不错，价格合适，服务不错，唯一就是位置在开区新区周围在建设盖楼，环境有点吵， 要是旅游的话住这里不方便', '短评打分': 3}
{'短评内容': '条件都不错，就是 感觉里面的房间离电梯好远。。。', '短评打分': 5}
{'短评内容': '前台办事效率不是太高当时也是因为人好多等了好久才进房间,不过里面的设施和卫生还是挺不错的,位置也还行,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '价格不贵，经济、性价比不错，设施简洁，位置不在市区，要是去开发区的话很合适', '短评打分': 3}
{'短评内容': '很新,感觉很好', '短评打分': 5}
