{'descr': '还可以，就是有蚊子', 'star': 5}
{'descr': '十一一行从杭州到乌镇再到上海，在杭州的大床房很小，但是很干净，房间也有窗户，通风很好，乌镇定的是临水豪华间，好的就不用说啦，上海的大床房实在是败笔，我定了两间，父母的那间浓浓的霉味，我和老公的那间是我最恶心的馊味，上海的阿姨告诉我原来这个酒店以前是仓库改的。后来我喷了雅诗兰黛的香水都无济于事，回房间很晚，第二天6点就得回北京了，临睡前我都险些要求换房间，实在是累了，懒得折腾，只好开着空调冒着感冒的', 'star': 1}
{'descr': '+房间很舒适,方便', 'star': 5}
{'descr': '+非常差，不会在住了', 'star': 5}
{'descr': '+谢谢', 'star': 5}
{'descr': '服务不是很好，基本上什么多没有，例如：充电器、吹风机等。不过地理位置还比较方便。', 'star': 1}
{'descr': '酒店环境好，服务好，交通便利', 'star': 5}
{'descr': '不错，很实惠，和价格还是相匹配的（毕竟在世博期间）', 'star': 5}
{'descr': '卫生条件相当不好，一进门就一股发霉的味道。而且服务生的态度也相当不热情。', 'star': 1}
{'descr': '环境非常的查，晚上睡觉的时候还有跳骚咬我，门不好，服务员素质非常低，服务态度更不用提了，真就不如100块钱的旅馆。而且潮的要命。就因为潮跳骚可多了。真是服了这样也能开。还没倒闭。', 'star': 1}
{'descr': '+住', 'star': 5}
{'descr': '有点小，有点味，价格公道合理！！！一分钱一分货，这是忠告，这回字应该够了吧。', 'star': 3}
{'descr': '环境不错，前台服务很好。本来是中午12点退房，我寄存东西到4点，酒店免费给我延了几个小时没收费。酒店离外滩，南京路都比较近附近有公交直达，交通方便。', 'star': 5}
{'descr': '性价比较高，舒适度一般。服务态度很好，基本上比较满意', 'star': 5}
{'descr': '很偏僻，不方便。老旧旅馆改的。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '门下面有缝隙  可以听到走廊的声音 这个不好', 'star': 3}
{'descr': '门下面有缝隙  可以听到走廊的声音 这个不好', 'star': 5}
{'descr': '房间挺干净的，还是不错,周边在修路有点乱', 'star': 5}
{'descr': '不错的选择。不过就是去市中心要倒几次车。总体来说还算是不错的选择', 'star': 5}
{'descr': '居然Double Check-in。。。', 'star': 1}
{'descr': '总的还可以，位置稍偏点。服务态度一般有待改进。退房太慢。', 'star': 5}
{'descr': '位置偏僻了点.其他还好', 'star': 5}
{'descr': '电视节目少而又少，房间打算的不好，卫生巾跟小旅馆一样的卫生', 'star': 3}
{'descr': '服务意识很差，环境比较潮湿，有很大的气味，浴巾及毛巾不洁净。', 'star': 3}
{'descr': '+关键是价格便宜，条件还一般吧，有点味道，隔音也一般', 'star': 5}
{'descr': '位置很差，在上海最偏僻的大杨浦，不过交通还算凑合，卫生不怎么样，一进去就发现洗手间的面池里居然有头发。\r\n不过在世博期间的上海，这个价位这个房子，还是比较能接受的', 'star': 1}
{'descr': '服务还不错 就是房间有点潮湿 空调要一直开的', 'star': 3}
{'descr': '酒店卫生不错，就是无窗房有点暗，这个价位也有点偏高。', 'star': 5}
{'descr': '环境不错，服务一般，浴巾有些破旧。\n签名:梅', 'star': 5}
{'descr': '＋房间还不错，没有窗会有点潮，酒店位置稍偏，离外滩还比较近，服务人员态度好', 'star': 5}
{'descr': '位置偏，没窗的房间味道很大，很破旧。蚊香片没有，打电话给前台开始竟然让我自己下去取。', 'star': 1}
{'descr': '环境不错，但墙上血绩斑斑，好像发生过血案，有些恐怖', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '这个店有点远，距离别的地方不方便，房间小，但是世博期间200多的房子，就很核算了', 'star': 5}
{'descr': '住宿环境很好，地理位置也行，还可以租电脑30元一天都很不错。', 'star': 3}
{'descr': '很好！很卫生！很好！很卫生！很好！很卫生！很好！很卫生！很好！很卫生！很好！很卫生！', 'star': 3}
{'descr': ' \n酒店服务和环境都非常不错,就是门锁快坏了,而且隔音效果不好,总体上性价比很高', 'star': 5}
{'descr': '进房间一看，马桶还是脏的，看着太恶心了，卫生太差', 'star': 1}
{'descr': '我是专程看世博的，杨浦区格林豪泰离世博稍远（离地铁口三站公交），但还算便宜方便，离机场也稍远了点。总体来说还行吧，性价比在中档酒店中还OK了。', 'star': 5}
{'descr': '条件还好。就是没窗户感觉不太好！', 'star': 5}
{'descr': '这个酒店除了世博期间滴价钱相对来说比较低一点之外 其他真的没什么优点了 房间味道很难闻 里面的设施破破烂烂的 还有就是房间的隔音设施很差 没什么好多讲了', 'star': 1}
{'descr': '住房隔音很差，墙纸都破了，而且进屋有很大的霉味，早点相当相当相当的差，非常的不值，还好那天我闹肚子，对我的影响不是很大，我只想喝点大米粥，但是相对于其他的格林豪泰的早点，简直不是一般的差，只能满足于我这种闹肚子的人。本来印象非常非常的差的，都不想评价了，但是走的时候，我忘记了件衣服在房间，被及时提醒了，所以我对他们的服务态度还是比较满意的。', 'star': 1}
{'descr': '酒店还不错，大床房还不错，就是地理位置不太好，出行不太方便，', 'star': 5}
{'descr': '离世博好远，打的要150元左右，此价格是酒店商务车司机说的，我们坐酒店的车子去世博是每位20元。房间要我评价也就平时只有120一间吧。现要468元。觉的网上订房好上当的感觉。', 'star': 1}
{'descr': '酒店方面没的说 都不错 还可以提供送机服务 很方便 就是位置比较偏远 到哪里都有点远啦 总的来说不错', 'star': 5}
{'descr': '房间太小', 'star': 5}
{'descr': '其实不应该叫 格林豪泰（上海杨浦大桥店｝离杨浦大桥还有蛮远的一段路，何况他们家在同一条长阳路1600号上还有一家格林豪泰，离杨浦大桥更近。', 'star': 1}
{'descr': '屋内潮湿，楼道内有其它客户吵闹无服务人员管理。', 'star': 1}
{'descr': '房间是真的真的很大一个，大的有点吓人，唉....', 'star': 3}
{'descr': '房间是真的真的很大一个，大的有点吓人，唉....', 'star': 3}
{'descr': '房间是真的真的很大一个，大的有点吓人，唉....', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '房间有点小   比较暗  地理位置还好   比较干净', 'star': 3}
{'descr': '不错   不过房间有些暗   ', 'star': 5}
{'descr': '一分钱一分货~~~~\r\n味道很大~\r\n不是星级酒店外国人不能入住~~！可惜', 'star': 1}
{'descr': '房间里有点味道 其他的没什么', 'star': 3}
{'descr': '什么都好。就是位置有些不方便。因为离地铁站比较远。出了地铁还要换乘公交车。比较麻烦。但酒店很好。', 'star': 5}
{'descr': '服务很好，态度诚恳。有什么问题找效率都很高。', 'star': 5}
{'descr': '不错！下次还会住！', 'star': 5}
{'descr': '经纬店位置很好在中央大街上，算是哈尔滨最繁华的街道。', 'star': 5}
{'descr': '个人觉得还是不错的，但是第一天来由怪味道。。。额……  很普通的房间 我住的大床房  每晚220  但是交通真不是我说 太远了 T T 下次不想定这个', 'star': 5}
{'descr': '交通还可以门口的公交车能直接到地铁站。硬件有点差，电视也太小了。空调制冷还好，就是看上去太破。', 'star': 5}
{'descr': '房间布置的温馨舒适，卫生很好，值得推荐入住。', 'star': 5}
{'descr': '在上海住到这样的还可以的酒店不错了（这个价格范围）！！！！！', 'star': 5}
{'descr': '卫生设施总体感觉不是很好没有其他快捷酒店好不过总体看起来还不错，位置还是挺好找的，服务价格都还能接受。', 'star': 5}
{'descr': '方位虽然有点偏，不过前台服务不错，我带着韩国人去入住，还是很顺利，门口有直通世博会的车子。', 'star': 5}
{'descr': '别无选择', 'star': 5}
{'descr': '世博期间，可以理解', 'star': 5}
{'descr': '第一天没有给安排上房间', 'star': 1}
{'descr': '比较方便吧', 'star': 5}
{'descr': '确认比较慢.硬件比较老，条件还可以.房间住起来还行.', 'star': 5}
{'descr': '世博期间，还算可以吧，位置有些偏', 'star': 5}
{'descr': '还是不错的酒店，服务很周全，有一般酒店隔音较差的通病，整体还好，不过个人认为位置有点过于偏远，价格上也没有太多优惠，同样在长阳路上另外两家格林豪泰或者其他酒店应该是比较好的选择而不是这家。', 'star': 1}
{'descr': '在连锁酒店当中信价比不是很高，设施有些陈旧.墙皮有脱落而且墙体不是很干净.我个人认为这家酒店不太好.', 'star': 1}
{'descr': '房间又小又脏', 'star': 1}
{'descr': '酒店的位置很好很方便出行，硬件和软件条件也不错，整体来讲还是比较符合我的要求的.', 'star': 5}
{'descr': '交通不方便，房间小，床很硬，不是很舒服。', 'star': 1}
{'descr': '房间味道很难闻', 'star': 1}
{'descr': 'its a bit far but its ok.', 'star': 3}
{'descr': '酒店位置不错，交通比较方便，服务也不错，值得推荐', 'star': 5}
{'descr': '总体感觉不错,位置很好,去哪都比较方便.圆床非常浪漫.', 'star': 5}
{'descr': '酒店很不錯，但是前臺的服務質量有問題\r\n前臺態度太傲慢了\r\n而且上網居然還收費\r\n我寧願你吧網費直接加到房費裏面標出來就好\r\n還單獨開網絡權限，麻煩要死\r\n中午到店，告訴我網管下午6店半才上班\r\n讓我等到6店半才能上，，，，鬱悶', 'star': 1}
{'descr': '可能应为我住的是圆床房的原因，房间好小而且很闷，打开一股气味 很难熬，呆久了感觉会缺氧，唯一觉得不错的是地理位置，打车和玩啥的很方便，宾馆设施还行，但是有些地方还是有灰尘，清洁的还是不到位，总的来说只能说还可以吧，住一回可以。。。。', 'star': 5}
{'descr': '吃住行都很方便\r\n推荐', 'star': 5}
