{'短评内容': '宾馆被子柔软舒服。而且风景也不错。好评', '短评打分': 5}
{'短评内容': '很不错，就是餐厅本来是禁烟的，基本每一桌都有顾客抽烟，服务员也不提醒顾客这是不能抽烟。', '短评打分': 5}
{'短评内容': '小巧，干净，便宜，推荐吗，位置也比较好，市府西面', '短评打分': 5}
{'短评内容': '酒店很干净，服务也不错。如果卫生间能再大些就更好了。', '短评打分': 5}
{'短评内容': '定的149的没房了免费给我升级179的，服务非常体贴，环境很好', '短评打分': 5}
{'短评内容': '很干净，交通方便，离商业区不远，环境不错，下次还住。', '短评打分': 5}
{'短评内容': '暖气足，被太厚，热的睡不好。\n安静、服务好，几幢小别墅，不错。', '短评打分': 5}
{'短评内容': '喜欢它的干净，有小小的情调，停车场也不错，很安全', '短评打分': 5}
{'短评内容': '有些小误会,但王启兵经理替顾客着想的精神让我难忘,\n', '短评打分': 5}
{'短评内容': '除了地段稍偏僻,其它都蛮好。适合自驾住宿。', '短评打分': 3}
{'短评内容': '每次来每次都是结净的 很干净 服务人员态度很', '短评打分': 5}
{'短评内容': ', 还不错，干净、简洁', '短评打分': 3}
{'短评内容': '酒店干净整洁，位置也不错，餐厅的饭菜种类有些单调，早餐价格略高，停车位再多些会更好!', '短评打分': 5}
{'短评内容': '*房间很好，干净，环境安静，价格也合适', '短评打分': 3}
{'短评内容': '酒店很不错，环境很好，很安静，网速特别快，我二个小时下了二部高清电影，还有三部电视连剧', '短评打分': 5}
{'短评内容': '酒店很不错，特别干净，服务特别好，酒店的网速特别快，地理位置也不错，从酒店去孔庙开车10分钟左右', '短评打分': 5}
{'短评内容': '不错的！服务热情！洗澡水很好，下次还会住。\n另：1、虽然是三层，但不都是别墅。\n2、卫生间使用座便器时，会有意外发现（仅男士，一览无遗）\n', '短评打分': 5}
{'短评内容': '酒店是个别墅式建筑，像个小花园一样美丽，旁边还有条河。离开三孔景区不算远，门口还有公交车和市政府，离银泰也就一站路。像曲阜这样的小城，很适合早上早起看看街景，早饭摊会让你想起幼年时的场景。下次如果有机会再去曲阜，可能会住在明故城里', '短评打分': 5}
{'短评内容': '服务态度不错，也干净。价格很合适。总之是挺好的。物有所值。', '短评打分': 5}
{'短评内容': '不错 很干净 交通方便 服务态度好 下次还会去住', '短评打分': 5}
{'短评内容': '该酒店周围环境很好，酒店服务人员也很热情，值得入住', '短评打分': 5}
{'短评内容': '房间挺干净,不错,就是喝水用纸杯简单了点。', '短评打分': 3}
{'短评内容': '这家锦江之星是我住过的，环境最好的之一。\n建筑风格很小资。服务也不错。', '短评打分': 5}
{'短评内容': '空间相比来说小了一点，一层的话有点潮湿，总体来说还是不错的。', '短评打分': 5}
{'短评内容': '刚入住，酒店周围环境很不错，很干净，服务人员态度也很好。', '短评打分': 5}
{'短评内容': '+一般', '短评打分': 3}
{'短评内容': '还可以，就好似贵了点。对了到连云港连岛千万不要在景区附近吃海鲜,有老阿姨来你吃饭,装的很可怜还说老公是渔民,千万不要上当,我就看这阿姨很热情就去了家&quot;天天鲜海鲜楼&quot;,海鲜分量宰客就算了,最可恨的还给我掉了包,千万不要去 .', '短评打分': 5}
{'短评内容': '很不错的一间酒店，环境幽雅、安静，在绿树从中，小溪边。', '短评打分': 3}
{'短评内容': '环境好睡得好', '短评打分': 5}
{'短评内容': '+满足', '短评打分': 5}
{'短评内容': '房间干净、卫生，房内的布局简洁、大方，性价比较高，早餐15元也可以接受。只是前台服务员不多，入住时等了蛮长时间，还有，晚上其他客人很大声地找服务员，不过，这个貌似也没办法。总之，只从硬件考虑，应该是首选。', '短评打分': 5}
{'短评内容': '房间和大堂都很温馨，周边环境好，有小河流过。另外，小餐厅也不错。', '短评打分': 3}
{'短评内容': '不错，锦江之星性价比还不错，卫生条件好，服务良好', '短评打分': 5}
{'短评内容': '下次还住！！！下次还住！！！下次还住！！！', '短评打分': 5}
{'短评内容': '好服务很好，非常的热情，房间也很不错性价比不错好', '短评打分': 3}
{'短评内容': '服务很好，非常的热情，房间也很不错性价比不错', '短评打分': 5}
{'短评内容': '酒店位置、服务、设施、卫生等都不错，性价比好。', '短评打分': 5}
{'短评内容': '除了位置有点偏，打车不方便外，都很好,很喜欢房间的设计，就是周围吃饭不太方便', '短评打分': 5}
{'短评内容': '我己入住', '短评打分': 5}
{'短评内容': '非常好的酒店，价格不高，但干净舒服，服务尤其好，在曲阜这个小县里，竟有这么好的服务，值得推荐！', '短评打分': 5}
{'短评内容': ':较好,但前台员工的业务熟练成度不够', '短评打分': 5}
{'短评内容': '这家锦江之星就象一个小别墅，很有回家的感觉。房间干净，舒适，设计相当人性，停车方便，推荐入住。不过离中心城区有几公里的距离，没有车的朋友比较麻烦些，不过门口出租很多的。', '短评打分': 5}
{'短评内容': '酒店不错的   就是有很多小虫子  估计是天气的原因', '短评打分': 5}
{'短评内容': '房间很大，床也很舒服。房间隔音很好。早餐质量不错。超赞。', '短评打分': 5}
{'短评内容': '非常好!酒店环境\\设施都不错,又一家印象深刻的锦江之星,不错,值得推荐!', '短评打分': 5}
{'短评内容': '不错 性价比很好 下次来还会入住', '短评打分': 5}
{'短评内容': '卫生环境都很不错，服务也很好，建议入住，性价比也不错', '短评打分': 5}
{'短评内容': '喜欢这家锦江之星的造型和装潢，外观有树有水环绕着，曲阜这个城市很神奇，处处透着静隘和安详，特别是清晨，早餐摊三三两两布在街道上，热气腾腾又井然有序，这家锦江之星到三孔有一定距离，大约2公里左右，不过到市政府和银座很近，市政府边上现在正在造一个超大的香格里拉，2011年开幕，到那时这家锦江之星估计不能被称作为“曲阜最美丽的酒店”了吧', '短评打分': 5}
{'短评内容': '很舒适，服务态度也不错，下次还会来', '短评打分': 5}
{'短评内容': '我所说该酒店位置比较适中，是指在曲阜这个中小城市，街上行人稀少，不会摩肩擦踵，走一两站地就能坐上比较空当的公交车，且在客房里听不见马路上噪音。酒店服务人员朴实又很得体的服务方式，不像其他小地方酒店服务员粗里粗拉的，土里土气的。曲阜锦江之星身居名人古城，却又待人谦卑和耐心。', '短评打分': 3}
{'短评内容': '锦江之星的地理位置比较适中，因为曲阜城不大，购物、乘车没有压力，山东人也实在，谈判不累；就是旅馆吃得比较贵些，城内饭店业是这样，这也是山东省城市的一个共同的缺点。', '短评打分': 5}
{'短评内容': '很干净，大床间比较小，相反的标准间比大床间还要大，主要是比较干净！！不错～～', '短评打分': 5}
{'短评内容': '周边环境幽静，房间干净整洁，设施也很新，是个很不错的旅馆', '短评打分': 5}
{'短评内容': '酒店位置很好。就是离景区远点，一切很好', '短评打分': 5}
{'短评内容': '到了几个市的酒店，还是感到锦江之星最温馨。', '短评打分': 5}
{'短评内容': '酒店设施不错，干净，房屋墙壁隔音太差，隔壁房间空调室外机声音很吵，换了房间好一点，但噪声还是可以听到。打车比较费劲。', '短评打分': 5}
{'短评内容': '  我觉得这家酒店总体来说是比较好的。卫生不错，我住的房间还有两个窗户，阳光照进来很温馨，感觉非常舒适。还有餐厅，虽然饭的种类比较少，但干净，比较好吃。另外靠近银座等大型超市，还可以去吃ＫＦＣ。在我住过的几家酒店中，是很好的。', '短评打分': 5}
{'短评内容': '干净整洁舒适，服务员很有礼貌。下次还会选择这里。', '短评打分': 5}
{'短评内容': '酒店各方面都不错，卫生干净、服务温馨，位置也不错。关键是有暖气，在冬天出行的人会喜欢。', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,位置也很好,离市中心很近,出行比较方便,是一家性价比很高的酒店.', '短评打分': 3}
