{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '房间很大 很安静', '短评打分': 3}
{'短评内容': '还不错，离市中心稍远了点，不过门口有公交直接到火车站', '短评打分': 5}
{'短评内容': '几年前是90块多一天，现在已经近200了。物价飞涨啊。不过品质一如既往，老牌单位比较正规。离机场和火车站都不算远，夏天如果没有住海边的需求，住市区这家还是不错的。不过地毯好象很难清洗，吸尘也没用，不如不铺还好。', '短评打分': 5}
{'短评内容': '环境,卫生,服务情况都非常的不错,建议大家去', '短评打分': 5}
{'短评内容': '不错，在这个季节总得来说还是不错的。早餐有点儿贵。', '短评打分': 5}
{'短评内容': '这个季节算比较便宜的酒店了，早餐有点儿贵。总的来说还不错', '短评打分': 5}
{'短评内容': '还不错，客户都安排在这里住，靠近星海广场。', '短评打分': 5}
{'短评内容': '性价比还算比较高\n只是隔壁洗手间放洗澡水的声音太响了，隔音效果不好。说话声隔音还行', '短评打分': 5}
{'短评内容': '挺好，性价比挺高，交通也方便。服务员都很Nice。', '短评打分': 5}
{'短评内容': 'jiagebugui danfangjianbuhao chuangmanshufude', '短评打分': 1}
{'短评内容': '很一般很一般 地点不好  价格还可以。 总的来说 很一般。', '短评打分': 1}
{'短评内容': '地点不好 单人房房间很小 外观还可以 挂牌三星', '短评打分': 1}
{'短评内容': '不错！满温馨的！', '短评打分': 3}
{'短评内容': '   我也是在网上看到这家酒店的，入住后感觉非常好，原来打算住两天，后来就没换地方，以后再来还住这里。', '短评打分': 5}
{'短评内容': '我也是在网上看到这家酒店的，入住后感觉非常好，以后再来还住这里。', '短评打分': 5}
{'短评内容': '前台服务差劲，设施陈旧，内部指示不明（如同迷宫），如果发生火宅估计无法逃脱。', '短评打分': 1}
{'短评内容': '设施比较陈旧了 不如以前了 早餐25  差了点', '短评打分': 3}
