{'短评内容': '好可以吧，就是半夜好冷！！', '短评打分': 5}
{'短评内容': '房间比较旧，网速慢。服务员和停车管理员很好。', '短评打分': 5}
{'短评内容': '3人间，其实就是标间加床，还算干净，价格便宜，交通也挺便利的。只不过隔音不太好，如果遇到没有素质的恐怕会很麻烦，另外，酒店的洗浴用品竟然要另外收费，一套3快', '短评打分': 5}
{'短评内容': '热水很慢，，，总体感觉卫生不够理想，，不会再住了。哎', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店房间不是特别干净，但是整体感觉不错。门口就有一个超市，里面东西也挺全的。出门走大概200m就能到比较热闹的地方。', '短评打分': 5}
{'短评内容': '总的来说还是不错的。', '短评打分': 3}
{'短评内容': '还行，挺不错的，离火车站挺进的，离泰山红门也不远，打车15左右吧。', '短评打分': 5}
{'短评内容': '房间小 设施陈旧 卫生凑合 离泰山比较近 坐车也方便 周边确实没有啥好吃的东西', '短评打分': 5}
{'短评内容': '宾馆到是清爽，服务员态度也好。只是整体小气了些，不上档次。', '短评打分': 3}
{'短评内容': '＋环境还不错，基本满意，很安静，价位也能接受。', '短评打分': 3}
{'短评内容': '挺干净的，离火车站也不算远，就是标准B小点', '短评打分': 5}
{'短评内容': '酒店挺干净卫生的，住标A，空间足够。不过感觉床有点硬，睡着不是很舒服', '短评打分': 5}
{'短评内容': '位置不错，离泰山和岱庙都很近，而且非常干净。旁边有一家摸错门牛肚火锅， 那叫一个好吃啊！', '短评打分': 5}
{'短评内容': '整体来说不错哦 卫生也可以 价格适中 很适合旅游的人去住 ', '短评打分': 5}
{'短评内容': '标间B太小了，似乎A还行，请各位驻就定A吧，价格应下调一个档次。交通还可以。东岳大街上的巨鼎家常菜还不错，就餐环境好，菜品干净，泰安三宝做的最好，荐一个。', '短评打分': 5}
{'短评内容': '还可以  必较不错', '短评打分': 3}
{'短评内容': '酒店跟三星还有相当的距离 房间很小 比较潮湿 楼道很暗 反正住的很不舒服', '短评打分': 1}
{'短评内容': '好                                                              不错 ', '短评打分': 5}
{'短评内容': '酒店环境不错，性价比很高', '短评打分': 3}
{'短评内容': '酒店不错,环境也挺好~干净卫生~性价比高~', '短评打分': 3}
{'短评内容': '从汽车站走过去的，二十多分钟吧。环境尚可，位置还可以，出门没多远就是去泰山的3路', '短评打分': 5}
{'短评内容': '真的挺好的，简单还实际，我们住的是3人间，但是家居有点老旧，电视看不到很多台，其他还好。\n\n', '短评打分': 5}
{'短评内容': '虽然地理位置距离火车站比较近，离泰山景区也不远，但对面就是医院，旁边的店铺都是跟生老病死有关的，让人看着比较压抑。房内环境还是不错的，服务也还可以。', '短评打分': 5}
{'短评内容': '酒店很好 卫生干净 位置便利 唯一的缺点是热水烧的较慢', '短评打分': 5}
{'短评内容': '地方很好 离火车站近 卫生不错 很干净 不吵 唯一不大好的就是 热水似乎烧的慢了···', '短评打分': 5}
{'短评内容': '还是可以的，方便的交通。服务生还是可以的，以后会选择！', '短评打分': 5}
{'短评内容': '感觉还行，在当地比算可以，但是电视看的不多不到20个', '短评打分': 3}
{'短评内容': '性价比高，交通方便，晚上安静。总的来说不错。 \n', '短评打分': 5}
{'短评内容': '非常好的一家酒店，前台服务很好，还免费寄存行李', '短评打分': 5}
{'短评内容': '挺不错的地方，位置好，环境安静，性价比高。', '短评打分': 5}
{'短评内容': '很老式的商务宾馆，标间空间狭小，铺着地毯，卫生间堵水，定额发票假的。', '短评打分': 1}
{'短评内容': '三人间很划算，卫生、环境都很好，值得推荐', '短评打分': 5}
{'短评内容': '还好，与120元的价格相符，会向朋友推荐的。', '短评打分': 5}
{'短评内容': '虽然空间不大，但还算干净，厕所的透明玻璃满特别的', '短评打分': 5}
{'短评内容': '酒店还行，楼下有超市早点。旁边饭店也多，下次还会去住', '短评打分': 5}
{'短评内容': '+感觉还可以，干净，没什么味道，态度还行。', '短评打分': 5}
{'短评内容': '设施对不起260的房价，5元的早餐确实是5元的水平。', '短评打分': 1}
{'短评内容': '挺有名的一家宾馆，服务热情，环境优雅，明年来泰山还要住这里！', '短评打分': 5}
{'短评内容': '觉得还可以吧，没什么特别好或特别不好的事情', '短评打分': 5}
{'短评内容': '设施老旧，尤其是卫生间；价格便宜，一分价钱一分货，凑活过夜可以接受.', '短评打分': 3}
{'短评内容': '酒店房间小，感觉性价比不高,不够专业，前台员工制服都没有，卫生间的垃圾都未处理，', '短评打分': 3}
{'短评内容': '因堵車遲了十分鐘到酒店~~結果前台說預留的房間沒有了~~要我們多付$10~~感覺是強行要我們多付$$$~~\r\n\r\n服務及設施不錯~~', '短评打分': 5}
{'短评内容': '总体来说还不错，性价比挺高。退房后，还免费寄存了一天的包，赞一个。', '短评打分': 5}
{'短评内容': '太差了！房间太小！太脏！价格与服务不成正比1', '短评打分': 3}
{'短评内容': '酒店地理位置不错，酒店内部很干净，房间比较宽敞整洁，服务也不错。对旅客来说是个很不错的选择。', '短评打分': 5}
{'短评内容': '酒店比较干净就是有点小,不过，麻雀虽小五脏俱全,呵呵…整体感觉挺好的，酒店门口吃的东西很多,很方便', '短评打分': 5}
{'短评内容': '房间小…总的来说性价比不高！最郁闷的是上一位客人在卫生间的垃圾居然未清理！', '短评打分': 5}
{'短评内容': '酒店环境很不错,服务态度也好,黄金周价格合理,赞!', '短评打分': 5}
{'短评内容': '酒店不错!', '短评打分': 5}
{'短评内容': '+房间太差了', '短评打分': 5}
{'短评内容': '交通便利，出行方便，就在火车站附近。价位合理，早餐一般。', '短评打分': 3}
{'短评内容': '酒店位于火车站附近，交通比较便利，价位也比较合理，早餐有点差，不过可去附近餐馆去用，即便宜也实惠。', '短评打分': 3}
{'短评内容': '酒店位于市中心区域，出行比较方便，性价比高，服务比较到位，', '短评打分': 5}
{'短评内容': '总体感觉良好，环境卫生，服务优良，但是和原本的感觉有点不一样，觉得离火车站稍微远点，周边呢离中心医院近', '短评打分': 3}
{'短评内容': ' 服务员没有工作装 电梯里有卫生纸 被褥上残留污渍 名不符实 ', '短评打分': 5}
{'短评内容': '该酒店价位便宜，但房间有点小，且离火车站步行也不是很近。', '短评打分': 3}
{'短评内容': '交通方便，离泰山很近，到附近坐3路公交车就能到中天门，或反方向到车站、购物区。干净卫生、很安静，推荐入住。', '短评打分': 5}
{'短评内容': '该酒店离火车站还有段距离，比较偏，不好打车。', '短评打分': 5}
{'短评内容': '酒店位置不错，距离火车站很近，就是感觉服务员人数不多忙不过来的样子，能免费上网还是不错的，性价比总体还是不错的，推荐', '短评打分': 5}
{'短评内容': '酒店破旧、房间太小.。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '＋环境还好，房间比较小', '短评打分': 5}
{'短评内容': '酒店太破旧了', '短评打分': 5}
{'短评内容': '房间很干净，洗漱也很方便，离泰山满近~~~~', '短评打分': 5}
{'短评内容': '卫生情况还有待改进。房间灯太暗。不过就这个价位。还马马虎虎吧。', '短评打分': 1}
{'短评内容': '房间还可以，挺干净，早餐另加钱，希望好吃点吧！', '短评打分': 5}
{'短评内容': '地理位置不错。楼下几个吃饭的小摊很好。下次可以住下', '短评打分': 5}
{'短评内容': '距离火车站比较近，方便，打车到红门起步价就到了，房间设施还行，没什么异味，性价比已经不错了。', '短评打分': 5}
{'短评内容': '离火车站 蛮近的，比较好找，便宜实惠，性价比高', '短评打分': 5}
{'短评内容': '我们的点评是  很好     卫    生：服    务：  设    施： 位    置： 舒适度：  性价比等 都很好', '短评打分': 5}
{'短评内容': '住宿服务条件都非常好！在此感谢泰安世纪蓝天商务宾馆全体员工！', '短评打分': 3}
{'短评内容': '很好！很干净！下次还住！推荐大家来住，环境真的不错！', '短评打分': 5}
{'短评内容': '管理还不错，服务很好，员工态度很专业。', '短评打分': 5}
{'短评内容': '服务态度很好，下次介绍给朋友胡！', '短评打分': 5}
{'短评内容': '条件很一般\r\n推荐离火车站更近的如家', '短评打分': 1}
{'短评内容': '房间很干净设施配置也比较全整体来讲比较满意。', '短评打分': 5}
{'短评内容': '觉得这个酒店非常好,如果回来泰安，一定会来光顾。', '短评打分': 5}
{'短评内容': '有机会去那边还是会考虑入住的。', '短评打分': 5}
{'短评内容': '住了两次，第二次还是很好！！', '短评打分': 3}
{'短评内容': '酒店服务不错，很人性化，离火车站不远，前台的胖胖的小姐很可爱，酒店服务很到位，很灵活，很会考虑顾客的需求，唯一感觉不足的就是那里的小饮水机不容易把水烧开', '短评打分': 5}
{'短评内容': '卫生还好，房间看起来整洁干净。', '短评打分': 5}
{'短评内容': '位置好，总台服务好，但总台不能提供银行卡结账就不太方便。', '短评打分': 3}
{'短评内容': '位置较好，总台服务态度好，如能在总台设置供客人使用的电脑就更好了，因为不是每个出门的客人都会自备电脑。', '短评打分': 5}
{'短评内容': '位置较好，总台服务热情，价格合理。如能在总台提供上网服务就更好了。', '短评打分': 5}
{'短评内容': '什么都好，就是刷卡机没有及时报修，不能刷卡。', '短评打分': 5}
{'短评内容': '5月12日住蓝天宾馆，是预定的，到前台一说，服务员马上就拿出了打好预定单，非常热情，宾馆设施也好，离开泰安时因是晚上的动车，宾馆免费替我存了东西，我非常感动。在这里我衷心谢谢宾馆和服务员们!希望游客们和我一样去蓝天宾馆入住！', '短评打分': 5}
{'短评内容': '服务不错，还帮着存包。位置有些偏', '短评打分': 5}
{'短评内容': '服务可以，特别是总台服务好', '短评打分': 3}
{'短评内容': '服务可以，特别是总台服务好', '短评打分': 5}
{'短评内容': '酒店的地理位置十分的优越，住宿房间正对着泰山，早上、晚间都是观赏泰山风景的绝佳位置，虽然贵了些，但是还是物有所值的，建议大家入住享用！！！！！', '短评打分': 5}
{'短评内容': '房间挺小的，临街有点吵，隔壁就是统一银座超市，很方便', '短评打分': 5}
{'短评内容': '性价比非常好的一家酒店，去泰安的朋友可以考虑。', '短评打分': 5}
{'短评内容': '宾馆是在他们那的中心医院对面。。边上有卖花圈之类的。。有点诡异。。。然后离火车站差不多一个路口吧，离汽车站有点远，不过从那边到天外村那还好~一直沿着龙潭路往北走就到了~打车六七块钱吧，然后他们的服务员姐姐蛮好的~一起聊的挺开心的~大堂蛮舒服的，算是经济型的吧，住的房间有墙纸蛮温馨的，不过厕所比较小，对了~他们的电梯蛮小的~在清明的时候120块还行~不过平时去的话我有看到那边有一家鲁科88的有88块', '短评打分': 5}
