{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': ' 还可以 ,适合家庭旅游住 。', '短评打分': 3}
{'短评内容': '第一次入住的你根本找不到，还要打电话让人去带。不过服务态度还蛮好的。房间属于酒店式公寓，适合长期入住，短期的不推荐。', '短评打分': 1}
{'短评内容': '这次是第二次入住了, 如上次差不多, 只是房間較小, 但真的不錯', '短评打分': 5}
{'短评内容': '位置不错，对面就是世界之窗，楼下有个大超市，房间也比较大，还算干净，有冰箱、热水壶，电视有些毛病，关机之后打不开，最大的问题就是房间里刚装修之后的板材味道很重，特别是主卧，后来那天晚上我们只好挤在客厅和客卧里，另外一个问题，淋浴间太小，转身都困难，加被子需要加钱，三十块一床被子，接待人员的态度很好，', '短评打分': 1}
{'短评内容': '优点：周边环境比较安静；离地铁口不远，去市区或机场都比较便利；有炉灶、冰箱和洗衣机，长住比较方便。\n缺点：标志不明显，第一次去不太好找；房间设施比较简单，有点象便捷酒店，但一次性用品还比不上便捷酒店，比如没有一次性拖鞋，收费也比便捷酒店高；需要信用卡担保；床是铁架床，翻身会吱吱地响。', '短评打分': 1}
{'短评内容': '整体还是可以的，就是不太好找。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '因酒店方面未能提供我訂的房間, 所以幫我們免費升級到488元的套房\n住了一晚感覺如下\n1.位置非常方便, 附近也有商場和多個場點\n2.套房非常大, 有2房\n3.房屋家具很新的, 也很整潔\n4.有大冷箱, 爐灶, 洗衣機, 微波壚. 大量衣架,有陽台可以晒衣服\n5.欠缺位置指示, 酒店說因大運被迫清走指示\n6.洗手間空間真的非常小...我想只有1.5-2平方米\n7.那床真的硬的...硬的沒辦法好好入', '短评打分': 5}
{'短评内容': '很好，性价比很高，房间很大，下次还去入住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '今年的7月住到该酒店！装修配置都很好，很干净，更难得的是有洗衣机，有家的感觉！酒店的林经理服务很不错！下次去深圳还选这家！', '短评打分': 5}
{'短评内容': '酒店态度很好…就是位置有点难找！下次再观临…', '短评打分': 3}
{'短评内容': '很好,里面有厨房,有洗衣机等,价格很便宜,但很难找到,没得刷卡很不方便', '短评打分': 5}
{'短评内容': '酒店还不错,位置比较好,服务也很热情,只是房间比想象的要小一些,最遗憾的是不能刷卡,总之还可以啦!', '短评打分': 3}
{'短评内容': '酒店员工服务态度很好，虽然地方比较难找，但工作人员会热情指引道路。', '短评打分': 5}
{'短评内容': '不能刷卡，服务差，不会再来', '短评打分': 3}
{'短评内容': '地理位置很方便，房间通风好；卫生一般，设施普通，卫生纸和牙刷质量很差。', '短评打分': 5}
{'短评内容': '还不错，有家的感觉，就是不太好找~~\n如果能有一次性拖鞋就好了，毕竟穿别人穿过的感觉八是太好~~~', '短评打分': 5}
{'短评内容': '酒店服务非常好，很适合家庭出游入住，就在世界之窗的对面！前台服务真的没话说，非常好！只是位置不大好找，不过他们会到入口接的！', '短评打分': 5}
{'短评内容': '＋挺干净，挺好。', '短评打分': 3}
{'短评内容': '首先说，我不是托儿。呵呵 其次，这家酒店的家庭房很适合家庭居住哦。在深圳一般点的酒店每晚300多  这里两房两厅一厨一卫才500多 还有洗衣机 真的很划算。而且前台的工作人员很热情，把水果送到房间。还适时地送来了我们额外要求的空调被等。最最人性化的是可以做饭做菜，让旅游的人在外也可以有家的感觉。很舒服很舒服！还有一点就是很安全，进大门 进楼门 进房门都要刷房卡，也没有半夜忽然响的骚扰电话', '短评打分': 5}
{'短评内容': '设备不错。物有所值。靠近各游乐园如世界之窗，欢乐谷等。在地铁站后。挺方便', '短评打分': 5}
{'短评内容': '地段很好，服务态度不错，房间比较干净，适合家庭旅游，就是位置难找了点', '短评打分': 5}
{'短评内容': '地方有点难找。建议先联络店家。公寓舒适。设备齐全。', '短评打分': 5}
{'短评内容': '酒店没有前台，确切地说，应该叫酒店式公寓，不过很适合家庭入住，环境和地理位置都还可以', '短评打分': 5}
{'短评内容': '非常好的公寓酒店，两房两厅，特别适合家庭。\n干净舒适，有冰箱和洗衣机，无线网络和高清电视。\n下次来深圳，还住这里。\n', '短评打分': 5}
{'短评内容': '我是第一次入住酒店公寓式的住宿，感覺像是國外的hostel，但更豪華、周到一些。整體很滿意，就是清潔有少許不到位，但還算乾淨。有廚房和洗衣機，最喜歡客廳那張大沙發。位置也很好，交通相當方便，步行距離5分鐘內有地鐵站、超市、食肆，貌似還有觀光線公車往返深圳各大著名景點；前台可以代訂折扣景點門票。最值得一讚的是，服務那是相當的好，前台人員都十分親切友善，還特地給我們領路了＝V＝＂真是很用心的一家酒店公', '短评打分': 5}
{'短评内容': '公寓式酒店。条件很好，环境很安静，床单也干净。人员服务也不错。该酒店很适合于举家旅行时居住。酒店地理位置很好，距世界公园大门只有五分钟路程。酒店位于小区内，大门和楼门都有门禁，安全有保证。缺点是该酒店没有招牌，非常难找，需要预先联系服务人员领路。酒店价格偏高，如果价格优惠些将会很有竞争力。', '短评打分': 5}
{'短评内容': '位置不錯，去世界之窗行路才幾分鐘，附近吃飯也方便，服務態度特別好，在此特別表揚一下他們。', '短评打分': 5}
{'短评内容': '房间很舒适，客厅很宽敞，真是温馨家庭套房，我们一家5口住起来很舒适，就是浴室小了点', '短评打分': 3}
