{'短评内容': '很安静～', '短评打分': 5}
{'短评内容': '还不错  挺干净的 交通挺方便  很安静，休息的很好', '短评打分': 5}
{'短评内容': '酒店外观很一般，在个自由市场的上面。但是里面的环境设施很好。很新。值得入住，而且离泰山的登山口比较近。', '短评打分': 5}
{'短评内容': '周边商服网点多，离景点近，交通方便，酒店卫生条件好，设施齐备，价格合理，性价比高。值得称赞，下次再来。', '短评打分': 5}
{'短评内容': '大堂服务员小张笑容可掬和蔼可亲有问必答值得信赖我们俩已过六十岁心脏不好她积极社法为我们调整', '短评打分': 3}
{'短评内容': '感觉还不错，房间宽敞，干净整洁。', '短评打分': 3}
{'短评内容': '房间蛮大的   环境也不错离火车站也很近~', '短评打分': 3}
{'短评内容': '酒店很干净，服务也很好，交通方便，到岱庙和天外村都不远，好评', '短评打分': 3}
{'短评内容': '环境很不错的，因为需要又加了一天，交通还算便利吧，阳光很好哦', '短评打分': 5}
{'短评内容': '环境很不错哦~很大很干净，不过洗漱用品是要买的，2元一套，很划算的', '短评打分': 5}
{'短评内容': '外表不怎么样，但是性价比很高啊，房间干净利索，交通也很方便。', '短评打分': 5}
{'短评内容': '价格不错！也蛮干净！房间也大！交通便利！', '短评打分': 5}
{'短评内容': '房间还不错，就是刚进来的时候味比较大。', '短评打分': 3}
{'短评内容': '性价比高位置也可以  比较不错 我咋没发现一开始有环保房？？？', '短评打分': 5}
{'短评内容': '房间很大，不错，也感觉还安静。可是！！竟然多报消费，多扣了我一盒面钱！冤！！以后的住户再住先要看清楚房间有什么。', '短评打分': 5}
{'短评内容': '很好，房间很大很干净，到泰山脚下打的士起步价，哟机会还来~', '短评打分': 5}
{'短评内容': '还可以，主要去爬泰山，离车站不远，呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': '房间比较大，但是很潮湿，不透气~~~~~~', '短评打分': 5}
{'短评内容': '酒店里面很干净整洁  服务挺周到。。。', '短评打分': 3}
{'短评内容': '酒店外观一般，但房间挺温馨，服务也挺好！', '短评打分': 3}
{'短评内容': ' 一般，水小，不太安静。', '短评打分': 3}
{'短评内容': '服务很好，房间很大，地理位置优越，还会再去。', '短评打分': 5}
{'短评内容': ' 整体还行，就是空调不给力，热水器也不太好用，。', '短评打分': 3}
{'短评内容': '空间挺大，设施还可以，因为是环保房，洗漱用具收费，自己带就好了，还是很实惠的', '短评打分': 5}
{'短评内容': '服务态度太查。', '短评打分': 3}
{'短评内容': '酒店环境还不错，地理位置也很好\n缺点就是热水温度不够，有些冷', '短评打分': 5}
{'短评内容': '环境挺好！', '短评打分': 3}
{'短评内容': '价格便宜环境也不错。～很好～～\n房子很大～～网络也不错\n如家的环境很不错', '短评打分': 5}
{'短评内容': '价格便宜环境也不错。～很好～～\n房子很大～～网络也不错', '短评打分': 5}
{'短评内容': '离火车站、汽车新站都很近，房间也很干净，只可惜网上订早餐不免费', '短评打分': 5}
{'短评内容': '客房干净舒适，对面麦当劳，附近有大润发超市，离泰安汽车新站就几分钟路程', '短评打分': 5}
{'短评内容': '服务态度太差了  顾客别说是上帝简直好像欠他们钱似的  一个个横的狠', '短评打分': 1}
{'短评内容': '设施确实有点差，不过房间大。我住的普通标间，没有网线，没有牙刷，没有牙膏，没有洗头水，没有沐浴露，服务一般。', '短评打分': 1}
{'短评内容': '房间宽敞，房间也很干净，早餐也很好，交通很方便，服务员态度很好。', '短评打分': 5}
{'短评内容': '不错，我们住的是三人间，房间很大，电视、空调都是新的，也比较干净。', '短评打分': 5}
{'短评内容': '酒店装修有些旧，地理位置尚可，门外有停车的地方，但没有专停车场。一次性用品简陋。算低价低质量吧', '短评打分': 5}
{'短评内容': '满意,服务很好,酒店很干净,价格很实惠,强烈推荐给朋友们', '短评打分': 5}
{'短评内容': '环境优美，房间比较大，干净，很实惠，有点不太好的是没有电梯', '短评打分': 5}
{'短评内容': '外面看起来很一般、但是里面很好。酒店很大、\n房间的空间比想象的要大的多。设施齐全/地理位置也不错；\n离大超市大商场很近、也很干净。总是十分满意。、', '短评打分': 5}
{'短评内容': '酒店环境很好,服务员也很有礼貌', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '优点：离火车站很近\n缺点：价格与质量不相称，性价比低。管理混乱，房卡次日更新失败，害得我白跑到三楼，找服务员，发现包括大堂在内，所有的服务员都不在。直到砸门才有人出来。原来所有的服务员都吃饭去了，没留人值班', '短评打分': 5}
{'短评内容': '房间的设计很不错，空间也挺大的，给人的感觉十分专业，感觉非常不错。', '短评打分': 5}
{'短评内容': '很安静，卫生。有机会去的话还会再去住这家店的。', '短评打分': 5}
{'短评内容': '房间非常干净，价位也可以，距离登山的天外村也比较近。', '短评打分': 5}
{'短评内容': '服务不错 来始房间有股下水道味后来给换了另一间就好些了 ', '短评打分': 3}
{'短评内容': '去了以后才发现 确实是物美价廉，第一次预定酒店，感觉服务很周到。', '短评打分': 5}
{'短评内容': '不错哦，就是离火车站有一点点远，而且招牌不明显，刚下火车有点难找', '短评打分': 5}
{'短评内容': '酒店环境不错 设施很齐全 房间很大 住着相当舒服 个人感觉性价比挺高了', '短评打分': 3}
{'短评内容': '设施不错，服务周到', '短评打分': 3}
{'短评内容': '  环境还可以', '短评打分': 3}
{'短评内容': '酒店从外面看不咋地，不过进入房间感觉还是很清爽的，里面很干净，给人一种耳目一新的感觉。', '短评打分': 5}
{'短评内容': '位置偏了点，周边配套较少，淡季，生意不是很好。', '短评打分': 5}
{'短评内容': '酒店服务还行，就是房间隔音效果不是很好，晚上睡觉都能听到空调压缩机得转动声音', '短评打分': 5}
{'短评内容': '酒店环境还不错，房间的卫生设施都挺好的，价格也不是很贵，服务也挺好的。', '短评打分': 5}
{'短评内容': '房间空间很大，餐厅的饭菜尤其好吃，是一家性价比很高的酒店，如果大家有机会到泰安，可以试一下', '短评打分': 5}
{'短评内容': '干净，卫生 服务态度好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体感觉很好，地理位置优越，既干净又卫生，关键是服务态度非常好！很棒！', '短评打分': 5}
{'短评内容': '\u3000宾馆不错，环境舒适，让人心旷神怡…', '短评打分': 3}
{'短评内容': '酒店从外面看挺一般但是里面装修挺温馨的，位置倒是挺好找而且离天外村泰山入口也很近，服务也挺好的，价格还行。', '短评打分': 5}
{'短评内容': '总体不错，不足之处就是因为楼层不高而没有电梯。', '短评打分': 5}
{'短评内容': '+条件在泰安算不错的哦！就是价格有些贵哈～地方离火车站挺近的，算是很方便啦～', '短评打分': 5}
