{'短评内容': '挺好，就是床有点小', '短评打分': 5}
{'短评内容': '比较一般，但是交通还算方便，也比较干净，就是淋浴喷头不好，不是花洒', '短评打分': 5}
{'短评内容': '酒店很不错，服务也很好，周边吃饭地方都有，下次还来~~', '短评打分': 5}
{'短评内容': '根据上海的房价，这样的特价房和它的价格还是蛮匹配的。', '短评打分': 5}
{'短评内容': '不错的酒店！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错 就是太复古了  房间也比较小    还算比较安静的    可以去 只能说一般般而已', '短评打分': 5}
{'短评内容': '酒店的房间不错，下次还会入住哦！！！！1', '短评打分': 5}
{'短评内容': '整体也还行~~就是没有吹风机，估计问打扫房间的阿姨要的话可能会有，但我总觉得应该一个房间配备一个吹风机比较合理吧', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '+上海锦勤假日宾馆588房。', '短评打分': 5}
{'短评内容': '没订到单人间，就只能定双人间，180的价位世博期间不多，交通还挺方便，也挺干净，就这个价位性价比还不错', '短评打分': 5}
{'短评内容': '好像离地铁站没有那么近，但是世博期间这样的价格真的很便宜。', '短评打分': 5}
{'短评内容': '在世博期间，性价比算很好了，很干净，房间也蛮大的', '短评打分': 3}
{'短评内容': '酒店性价比很不错了', '短评打分': 5}
{'短评内容': '正好赶上打折，地理位置不错，环境较干净，真的性价比很高。', '短评打分': 5}
{'短评内容': '上次住过.还不错.所以这次过来还是选了这家.世博期间价格也满合理', '短评打分': 5}
{'短评内容': '楼下很多吃的，离会展也很近。', '短评打分': 5}
{'短评内容': '此酒店服务不是一般的烂，是超级烂！打电话问酒店位置，接线的居然在客人还没有说完就挂电话！要一次性牙刷，没门！换毛巾，没门！！最可气的是晚上打电话叫前台送方便面和饮料回答说没有，问她说没有那房间里的水牌怎么回事，马上改口说晚上十点后不卖了！！真臭！！！', '短评打分': 3}
{'短评内容': '酒店还行  设施什么的相对来说都挺干净 离光大会展中心近', '短评打分': 3}
{'短评内容': '酒店不错 离光大会展中心非常的近 走走只要七八分钟左右', '短评打分': 3}
{'短评内容': '房间小一点，不过设置齐全，相对世博会期间，这个价位和房间水准，不错啦。', '短评打分': 5}
{'短评内容': '觉得很一般，没电吹风，比较旧，睡了皮肤痒。', '短评打分': 1}
{'短评内容': '蛮好的。离上海南站比较近。前台的服务也很周到和亲切呢！', '短评打分': 5}
{'短评内容': '这是我住过除了九寨沟的烂酒店以外服务最差的一家酒店！！\r\n前台服务员在忙的时候根本连抬眼看一下其他新到的顾客都懒！晚上十点打电话到前台老半天都没有人接，换个号码也是！其他诸般烂服务我都懒得说了。象这么差的服务，价格死贵，没有了世博，他们吃什么去？', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '和几个朋友为了参加光大会展中心的展会而特地定的这家，设施什么都算齐全也挺干净，最主要离光大会展中心近，走走也就七八分钟 就是早餐一般', '短评打分': 5}
{'短评内容': '整体感觉还不错~位置也算挺好的，就是世博期间价格比较高~还是挺值得推荐的', '短评打分': 5}
{'短评内容': '很棒很棒很棒很棒很棒很棒很棒很棒很棒很棒很棒很棒', '短评打分': 5}
{'短评内容': '是唯一一个不用信用卡担保的，而且价廉物美，赞！交通很方便，离光大会展中心很近！', '短评打分': 5}
{'短评内容': '服務人員態度不錯, 在預定時詢問的基本上都可以回答而且有耐心', '短评打分': 5}
{'短评内容': '环境和价格不错，但是需要信用卡担保不方便，还有就是休息时间有装修的声音。', '短评打分': 5}
{'短评内容': '在世博期间 298元的一晚的房价，确实算是不错了。。', '短评打分': 5}
{'短评内容': '这是我第N 1次入住该酒店了，虽然在装修期间，但是并没有预想的那样嘈杂和喧哗，只是有色情小广告会天天晚上塞进房门，这是在以前未装修前没有过的事情，入住第二天，会程我外出时，主动打扫房间，很温馨，回到房间很干净！值得推荐...', '短评打分': 5}
{'短评内容': '房间内有较大的装修材料气味，有些刺鼻，又让鼻侯有干燥的感觉，很不舒服。初步检查了一下，可能是装修的墙纸发出的。\r\n餐厅服务还比较好。', '短评打分': 1}
{'短评内容': '位置不错，附近饭店等都方便，就是酒店近期在装修，有点脏，其他还好，房间一般吧！', '短评打分': 5}
{'短评内容': '帮朋友定的~说是还不错~世博期间能定到这样的房间这样的价格&#183;&#183;&#183;知足了&#183;&#183;&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '总体很一般啦  对得起价格', '短评打分': 3}
{'短评内容': '总体很一般  这个价位只能这样 ', '短评打分': 1}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '周围餐饮网点很多,距地铁稍远了点,隔音不好,总体性价比还行.', '短评打分': 5}
{'短评内容': '   还是个隔音问题，其他呢性价比总体还不错&#183;&#183;', '短评打分': 5}
{'短评内容': '世博会酒店都涨价了.涨后价格还算能接受,位置有点偏', '短评打分': 5}
{'短评内容': '隔音不好其他还行~', '短评打分': 5}
{'短评内容': '位置很近,去考场走过去就好。服务员态度也非常好，干净。虽然房间小了点，一个人也够了', '短评打分': 5}
{'短评内容': '洗澡的热水要开2个小时以上才会有热水，KF解释原因是热水循环系统比较旧，水压上不来', '短评打分': 1}
{'短评内容': '酒店的位置还是不错的,出行很方便的,酒店内部环境一般了,设施方面有些陈旧了,服务倒还比较不错,挺热情的.整体感觉性价比还是不错的.', '短评打分': 3}
{'短评内容': '酒店挺干净的，设施还算是可以吧，位置不错，比较方便，价格算是适中的。', '短评打分': 3}
{'短评内容': '一般....单人间再次证实确实小.', '短评打分': 1}
{'短评内容': '单人间非常小', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这家酒店整体感觉还好,房间环境还可以,位置也方便,我觉得可以推荐 ', '短评打分': 3}
{'短评内容': '9月30日入住豪华单人间，房间比较小，楼层走廊灯光比较昏暗，标示牌位置不明显，酒店结帐时服务员MM告诉可以刷联华OK卡，但刷卡机坏掉了，不知道是不是逗我玩，国庆期间搞活动，送59元大浪淘沙消费票，但需要客人自己索要，不然服务员MM会告诉你她还没接到通知不清楚。楼下那家香辣汇服务态度比较恶劣，不给菜单怎么点菜？', '短评打分': 1}
{'短评内容': '距离光大会展很近，但是酒店面积没有所说的那么大。环境安静，卫生还可以。地铁站比较近', '短评打分': 1}
{'短评内容': '酒店的位置还不错,出行交通方便,环境硬件设施也比较达标,价格非常的优惠.', '短评打分': 5}
{'短评内容': '酒店还不错，干净舒适，服务也很好，交通也很便利', '短评打分': 5}
{'短评内容': '酒店的环境还可以,人员服务也很勤快,价格很实惠,就是网速慢了点', '短评打分': 5}
{'短评内容': '该酒店以前是咸亨酒店，几年前入住过不错，楼下的咸亨酒店菜的味道不错，客人很多。可今年变成了田林宾馆，酒店就差远了，入住的2天好像是员工闹罢工，停业了。单人房小的可怜。下次不想住了', '短评打分': 1}
{'短评内容': '一楼餐厅没装修好 ，旁边有桑拿按摩的牌子，影响形象', '短评打分': 5}
{'短评内容': '酒店离会展中心挺近的交通也挺方便的，价格也挺实惠的，服务方面还可以。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '大堂经过装修改造，比以前要美观。但门前的招牌位置挂了餐馆名称，差点走过头。', '短评打分': 3}
{'短评内容': '觉得还是物有所值。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;前台的服务员，尤其是那个男的态度实在差！看客人居然不用正眼！房间是比较老，可惜服务员从来不给你好好扫地，前一天丢在地上的一块小东西，晚上回来居然还在那儿！有一次竟然看见洗干净的床单等直接扔在地上从客梯运上去，让客人在电梯外等（只有一部电梯）。那时我还好奇，特意问了一句：这是洗过的吗?服务员慢腾腾地打了一句是的！哼哼！&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '这个价格在上海算是比较便宜的，可是一楼就是饭店的大堂，吃饭的和住店的客人同近同出，比较乱。房间只能说比较干净。如果讲究经济实惠还是可以住一住。', '短评打分': 3}
{'短评内容': '上周刚住的,价格还可以,但是离地铁站太远了偶都是打的到地铁,还有就是洗澡水太小了,打的到虹桥机场29元!', '短评打分': 3}
{'短评内容': '房间太小了,服务太差了,尤其是餐厅,结帐时竟然算错帐,真是令人气愤!!', '短评打分': 3}
{'短评内容': '傯體來說,這家酒店還可以.比盡這個价格.', '短评打分': 5}
{'短评内容': '五楼在装修，早上7点不到就开始制造噪音，一直到晚上，实在是烦人，刚住一天就走人了，马上就要精神崩溃了！据说要折腾4个月，要是在五一前去上海的人，奉劝大家不要去尝试，一定会受不了的！不过酒店很干净，也很舒适，吃饭和买日用品地方巨多，不用犯愁。交通就不是很好了，离地铁漕宝路至少10分钟，周围公交系统十分落后！柳州路属于上海比较偏远的地区了，去前要看地图，要是出来时间紧，最好不住这里，每天出行在路上就要', '短评打分': 3}
{'短评内容': '豪华标间的房间还是不小的，进门直对就是洗手间，只有淋浴没有澡盆（淋浴就可以了，卫生一点）。&lt;br /&gt;\n房间的柜子椅子桌子床等都是仿古的家居，感觉还不错！酒店门口有很多小吃，烧烤之类的。还有两家24小时的便利店，方便买零食！哈哈', '短评打分': 3}
{'短评内容': '两星的酒店有这样的住房环境我非常满意！就是服务态度差了点。这个酒店有宽带，但是好像只有6楼有。开始给我的房间宽带是坏的，换了隔壁房才可以上网。酒店附件有一号地铁 交通比较方便。从杭州过来坐火车到梅陇，然后打车只要13元就可以到酒店了。', '短评打分': 3}
{'短评内容': '酒店周围吃东西倒是挺方便的，但服务态度真是不够好，前台小姐好像谁欠了她钱似的，房间、厕所也很小，但总算房价还便宜，总的来说不太满意。', '短评打分': 3}
{'短评内容': '咸亨的地理优势在于离光大会展很近，交通还算便利。做地铁方便，交通方便。离徐家汇近，离上师大近。其他一般。', '短评打分': 3}
{'短评内容': '我5.1要去上海啊，可是我对这个我梦想的地方不是很熟悉，我要想找一个合适的住的地方，只要一个晚上，我和我的姐妹4个人，都是学生，想找一个价格合适，干净，床要够大，地势也好的，地方，&lt;br /&gt;\n&lt;br /&gt;\n我想知道上海咸亨酒店 的环境、设施、交通究竟是个什么样子，因为我们是学生做事情偶是很谨慎的，见笑的，&lt;br /&gt;\n如果你有好的地方可以介绍就更加的好了，可以', '短评打分': 3}
{'短评内容': '门锁出现两次打不开，房间是很小，但是也够用了。', '短评打分': 3}
{'短评内容': '可以告诉我从浦东机场怎么到这个酒店具体怎么做车，在哪站下吗，谢谢&lt;br /&gt;\n还有从徐家汇高客车站到酒店做93路应该在什么站下车呢，谢谢&lt;br /&gt;\n普通标准房和豪华标准房条件差的多吗，昨天打电话问价格居然差了80元', '短评打分': 3}
{'短评内容': '我是考研究生这几天住在这儿的豪标房的，屋子比我想象的要好，也很干净。&lt;br /&gt;\n就是太吵了，虽然附近购物吃饭和去上师大都很方便。&lt;br /&gt;\n但就是很难集中精神好好看书休息。', '短评打分': 3}
{'短评内容': '这地方整体不错，是物有所值。我同意楼下的说法，就是上午有点吵，隔音不是特别好。电视不大好，其它都不错。总体可评75以上。', '短评打分': 3}
{'短评内容': '前晚A标间还是188，怎么涨得这么快啊？不知道是不是我运气比较好！水龙喷头都不错，金星的电视机也还凑和，卫生间虽小，但还算干净，浴池小，床硬是一点不假，交通方便，周围吃饭的地方不少，最不爽的一点就是早晨打扫其他房间声音太大，明明挂着请勿打扰的牌子还敲（砸）门，扯着嗓子乱喊！总体还是物有所值！', '短评打分': 3}
{'短评内容': '请问谁知道它的B型房间有地毯吗？谢谢', '短评打分': 3}
{'短评内容': '同意楼下的。电视机太太太太差了，床单也太硬。房间太小&lt;br /&gt;\n其它一般，交通不错', '短评打分': 3}
{'短评内容': '浴池太小，水龙不能转，电视机太烂；环境还行，交通也挺方便，周围买吃的方便！！', '短评打分': 3}
{'短评内容': '有没有人知道住这里怎样？', '短评打分': 3}
