{'descr': '还行', 'star': 4}
{'descr': '非常意外而且超出我的想象，这个价格住到这样的酒店真是非常满意了，订的大B，房间并不小，对于我们出外旅游的人来说，已经很足够了，布置的非常有特色，感觉很温馨，同行的朋友也很满意，下次去的话，还是会入住。', 'star': 5}
{'descr': '酒店的形式很新颖，很适合年轻人。房间很干净，布置得很温馨，环境很好，很安静。酒店的服务员很热情，很满意', 'star': 5}
{'descr': '还不错，蛮温馨的，就是房间好小好小啊。。。', 'star': 5}
{'descr': '还可以  比较不错。。。。。。。。。交通便利', 'star': 5}
{'descr': ' 一般般，也就这个价位的酒店。', 'star': 3}
{'descr': '很有自己品牌特点的酒店，喜欢店内和房间的装修风格，就是房间小了点，没有足够可以放衣服以及活动的地方，服务态度不错。', 'star': 5}
{'descr': '服务还不错，最让人开心的事是就算退房也可以免费寄存行李。缺点是，房间小。最让人难以忍受的是浴室下水非常差，积水那叫一个厉害。另外，拖鞋沾水以后很滑。还有点建议就是能在浴室安个挂钩不？都没法挂毛巾，这也太不人性化了。。。还有就是隔音比较差。', 'star': 5}
{'descr': '很年轻。房间虽小但很舒适。前台很细心也很热情。', 'star': 5}
{'descr': '挺好的\n就是特价的小了点  环境好  位置好', 'star': 5}
{'descr': '隔音及其的不好，早上居然是被装修的声音吵醒的……这个让我很郁闷……跟朋友晚上逛马路回来，门缝里居然被塞了叫小姐的小广告……除了这两点其他的都还不错啦~~', 'star': 5}
{'descr': '就是小了点，说有网的却没有，其他的还好。。。。。', 'star': 5}
{'descr': '房间比想象中小，不过满漂亮的，网上没提示说要自带洗漱用品，不过态度不错，第一次来免费送了洗漱用具，隔音效果不好', 'star': 3}
{'descr': '，马马虎虎，房间太小，服务有待加强', 'star': 3}
{'descr': '酒店价格便宜,而且服务也很好,就是最后开发票时,效率有点慢.', 'star': 5}
{'descr': '性价比高.价格便宜,而且服务又好,连锁酒店还是有他的好处的.', 'star': 5}
{'descr': '服务到位,而且条件也很好,整体给我感觉非常好,而且我出行很方便.', 'star': 5}
{'descr': '房间超级小，两个人放行李的地方都没有，而且热水还出了问题，解决用了6小时之久，不满意', 'star': 1}
{'descr': '面积太小，无储存柜洗手间没门，不是很方便，个人觉得布局有点不合理房间大小差异有点大！前台服务员态度很好很满意！', 'star': 3}
{'descr': '位置还算不错，就是隔音效果差了点，交通，购物都很方便', 'star': 5}
{'descr': '隔音太差了', 'star': 3}
{'descr': '酒店服务人员态度较好，就是窗户外还是室内，看不见外面风景， 不过挺安静。', 'star': 5}
{'descr': '非常可爱 很干净 很喜欢！服务也很好！就是没有浴巾！', 'star': 5}
{'descr': '环境挺不错的，挺干净，下次还会选择入住，不错', 'star': 5}
{'descr': '空间有点小，但是挺温馨的。不错，顶一个吧', 'star': 5}
{'descr': '干净又便宜适合出差，就是楼上卡拉OK太嘈嘈嘈。。。。\n', 'star': 5}
{'descr': '在小巷子里。大门当时都没有找到，要不是靠在会议中心，肯定不会订！房间也很小，还不提供洗漱用品，很麻烦！关键结账的时候说试营业没有发票！用快递过几天邮寄过来。7死。后来打电话过去还没有邮寄，我亲自跑去拿的发票。搞的我报销日期都不对了 。', 'star': 1}
{'descr': '酒店服务和卫生不错 房间较小', 'star': 3}
{'descr': '非常超值 在苏州住城区以119住这样的酒店真的很好 房间稍微有点小不过很温馨\n推荐', 'star': 5}
{'descr': '挺干净，就是太小', 'star': 3}
{'descr': '布丁酒店以小著称，设计的瞒可爱的~就是电视摆在侧面墙壁上，看电视不怎么舒服~建议更改。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '地理位置还算不错了，很好找的，公交车站就在楼下，往观前街、苏州乐园都很方便。我订的单人房果然很袖珍也很可爱，跟图片上一样，很干净，下次还会选择住在此地。', 'star': 5}
{'descr': '不错的小布丁', 'star': 3}
{'descr': ' 酒店交通还算方便 房间比较干净 就是有点小  总体上比较满意', 'star': 5}
{'descr': '.+有点小房间。性价比适中吧', 'star': 5}
{'descr': '该酒店处在观前附近，交通便利。因为要去图书馆，所以订了该酒店。房型有些小，内窗。房间墙纸很有特色。洗漱用品是赠送的。感觉还行。', 'star': 5}
{'descr': ' 干净是挺干净的 就是隔音效果很差 ', 'star': 5}
{'descr': ' 酒店房间未免太小了，和图片相差蛮大的。不过还算干净，只是靠走廊的窗户有点夸张，租民房的感觉，隔音超差！', 'star': 5}
{'descr': '酒店的大门一开始没找到，呵呵，酒店的环境挺不错的', 'star': 5}
{'descr': '房间太小了、隔音也不好、房间没有任何洗漱用具……', 'star': 3}
{'descr': '+房间挺干净，还不错！', 'star': 5}
{'descr': '布丁酒店的服务态度很好，因为不熟悉，打了很多次电话去问地点，都很耐心的回答了，待人很热情亲切。楼下有家好利来，挺方便的，但离苏州的拙政园等地还是有点距离，不过还是可以接受的。 他们酒店没有洗漱用品和拖鞋，这点不太方便。呵呵，无线网的网速很好，赞!', 'star': 5}
{'descr': '房间挺干净的！服务也不错！交通也方便！就是房间比较小。性价比挺高的', 'star': 5}
{'descr': '房间比较小,但环境还不错.', 'star': 5}
{'descr': '+房间实在是太小了。很干净，位置也好找。', 'star': 3}
{'descr': '很好，高兴', 'star': 5}
{'descr': '前台办理入住手续太慢', 'star': 5}
