{'短评内容': '很好呢 房间卫生很好服务态度也很好', '短评打分': 5}
{'短评内容': '有4个楼层是KTV,高歌到4点多才停,基本没法睡觉!强烈建议把KTV关了，不然酒店关门算了！', '短评打分': 1}
{'短评内容': '环境良好  舒服 就是KTV比较吵  干净', '短评打分': 5}
{'短评内容': '只能说是一般，价格有点贵，双床不大，只能是一般般', '短评打分': 5}
{'短评内容': '如家的个方面还不错。总体比七天的好多了、', '短评打分': 3}
{'短评内容': '总体不错，卫生不错，交通便利，虽有心里准备但KTV还是比较吵。', '短评打分': 5}
{'短评内容': '优点：①一如既往温馨。②房间干净宽敞！缺点：①晚上KTV真的太吵，影响睡眠质量。②电视机不给力。综合评价：不错！', '短评打分': 3}
{'短评内容': '酒店干净舒适，温馨回家的感觉', '短评打分': 3}
{'短评内容': '客房服务员卫生做的很不到位，垃圾桶都倒不干净，虽然是续住的客人，被子和枕头叠的也应该叠整齐才对啊！', '短评打分': 1}
{'短评内容': '其实酒店总体都可以，不管是环境还是服务，尤其当时在前台的一个男的，特别热情，就是楼上有KTV，晚上稍微有一点吵，当然这也是在入住之前服务员有过提醒，总体可以', '短评打分': 5}
{'短评内容': 'KTV有点吵 卫生不错，交通便利。还是不错的了', '短评打分': 5}
{'短评内容': '房子有点冷，我都感冒了，楼上KTV确实很吵…但卫生条件很好。', '短评打分': 3}
{'短评内容': '环境不错  我老公很喜欢   很有家的感觉    房间的颜色我很喜欢   附近玩起来很方便   ', '短评打分': 3}
{'短评内容': '地理位置较好，房间面积和可以，就是楼层比较低，有点压抑。', '短评打分': 5}
{'短评内容': '很好，地理位置很方便，周边美食很多，值得推荐。', '短评打分': 5}
{'短评内容': '条件还行，所处地比较繁华，出门左行可到步行街，亚欧超市关门到23：00，很方便；缺点是太吵了，KTV唱歌声太大，如果你睡觉轻，则最好不要住这个酒店。', '短评打分': 1}
{'短评内容': '1.前台服务态度很差，专业水平不足，明明已经预订好，办理入住都要花很长时间，而且服务员还臭脸给你看。\n2.房间烟味太重，其他卫生还行。\n3.晚上KTV吵到一两点，故声震耳欲聋...', '短评打分': 1}
{'短评内容': '优点：\n地点在兰州市中心，离黄河大铁桥比较近。\n\n缺点：\n1.没有停车位，需要停到不远处的亚欧大厦立体停车库，每天收费15元。\n2.大楼的多个楼层都是卡拉OK厅，严重影响晚上睡眠！', '短评打分': 1}
{'短评内容': '位置不错，不过没有餐厅，但是可去对面的永和豆浆', '短评打分': 5}
{'短评内容': '房间挺大的，就是其他楼层有KTV，所以晚上有些吵。不过前台接待人员会提前通知入住客户。', '短评打分': 1}
{'短评内容': '离车站很近..................', '短评打分': 5}
{'短评内容': '还可以,就是没有停车场,其他的设施都还行,要是有无线网络就更好了', '短评打分': 5}
{'短评内容': '交通便利，很方便,房间还算安静，总体感觉不错', '短评打分': 5}
{'短评内容': '不错.......................................', '短评打分': 5}
{'短评内容': '服务蛮好，那间房子的位置真的是太好了，好评', '短评打分': 5}
{'短评内容': '房间干净整洁，舒适温馨。但是房间的隔音效果，睡觉的时候能被吵醒。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '地点不错，上下均有ktv，确实有点吵，不过如果是旅游的话，在房间呆的时间不多，就影响不大。', '短评打分': 5}
{'短评内容': '房间挺大，设施也很齐全，就是房间太吵，ktv的声音响到半夜，鬼哭狼嚎似的。', '短评打分': 5}
{'短评内容': '房间整洁服务好，但是环境较为嘈杂，凌晨一两点了令人难以入睡。', '短评打分': 3}
{'短评内容': '晚上10点到凌晨2点 直接不能睡觉 吵得要死。', '短评打分': 1}
{'短评内容': '交通便利，性价比高，位于市中心，周围小吃，购物都很方便', '短评打分': 5}
{'短评内容': '价格和其他如家比起来较便宜。还不错，值得推荐的一家。', '短评打分': 5}
{'短评内容': 'henbgucuo真的很不错  是个 很近的地方 啊   很好特别方便\n', '短评打分': 5}
{'短评内容': '有点闹但价格还好市中心很近吃饭狂街玩却步88888888888', '短评打分': 5}
{'短评内容': '方便旁边就是KTV，很吵很吵，电梯感觉也像是货梯，有点担心，其他还好，交通方便，离西关十字就几步路而已~~~', '短评打分': 5}
{'短评内容': '酒店位置不错在市中心商业街。没有停车位，很嘈杂，从4楼到7楼都是夜店和KTV夜里2，3点都还很吵，严重不推荐。', '短评打分': 1}
{'短评内容': '该酒店位置不错，基本设施一般，窗户设置的是限制位置方式不爽（也就是只能移动后开一个15cm左右的宽度），酒店的下面几层是KTV，晚上可以听见咚咚咚的音乐声，如果睡眠不好的朋友还是不要选择了。酒店离黄河铁桥不远，走路过去约10分钟。整体感觉还是一般。', '短评打分': 1}
{'短评内容': '确实很吵，如家在大厦的中间几层，其他层还有KTV，2点之前不能睡觉', '短评打分': 3}
{'短评内容': '基本都不错！就是地方有点吵！在选地方的时候最好离卡拉OK元一点～！～', '短评打分': 5}
{'短评内容': '楼上是KTV，歌舞升平，夜不能寐。。。。如果上天再给我一次机会，我会说:不要住。', '短评打分': 5}
{'短评内容': '挺方便的，离西关十字很近，出去逛街什么的都不错，就是隔壁KTV晚上很吵~', '短评打分': 3}
{'短评内容': '卫生很干净，环境也很好，唯一不好的就是电梯里太脏，不过不能怪酒店，因为这是好几家共用的', '短评打分': 5}
{'短评内容': '如家一贯的风格，位置也不错，离商圈可以步行，但是住在11楼，13楼是KTV，就像D厅一样，有轰鸣和共振。1楼都听得见。哎，睡眠不好的人就算了。', '短评打分': 1}
{'短评内容': '酒店房间挺大,不错!', '短评打分': 5}
{'短评内容': '不错，值得入住。位置比较好。服务业不错！！', '短评打分': 5}
{'短评内容': '环境离商业街近，价格便宜，太楼下歌厅太吵！', '短评打分': 3}
{'短评内容': '房间大大的特别的好，而且比外地的好些。就是下面有点乱。', '短评打分': 5}
{'短评内容': '环境一样的如家,缺点大厅蚊子太多难道蚊子只咬外地人?', '短评打分': 5}
{'短评内容': '实现不知道预定居然不能使用会员卡积分。。。。也没说明白。。。觉得服务很一般  位置还不错 ', '短评打分': 5}
{'短评内容': '地理位置优越 周围有夜市 有KTV 有火锅店 很方便 购物中心 周围 有中枢车站 电影院 不过有失眠症状的朋友还是不要选择这里', '短评打分': 5}
{'短评内容': '其他都很好，就是楼里有歌舞厅，晚上很吵的说', '短评打分': 5}
{'短评内容': '门面非常小，服务也一般，我定的是商务大床房，第一次居然给我开了一间非常小的，及其压抑，第二次开的那间倒是挺大，可是有一大块地方是空着的，连个椅子都舍不得摆，总之这是我住过的最差的如家了', '短评打分': 1}
{'短评内容': '环境非常差，楼上就是娱乐场所，很吵！\r\n屋子也很差，很小不说还没窗户。\r\n最可气的是服务员没有素质，都说不让进屋了还自己打开门进屋！\r\n让我非常不满意！！！', '短评打分': 1}
{'短评内容': '都挺好，唯一一点就是楼上楼下ktv，酒吧等有点影响，但能忍受', '短评打分': 5}
{'短评内容': '电梯和大堂给人感觉不怎么样，但客房不错，打扫很干净，而且都是在没人的时候才来打扫，不会影响休息。。。位置不错，离西关十字就几步路，逛街购物都很方便，但是上下左右的KTV有点多，晚上睡觉非常吵，要到2店多才会安静下来，即便是跟前台要了尽量安静点的位置也没什么用，不过我不是很介意这些，总体还好吧~', '短评打分': 5}
{'短评内容': '房间挺大的，位置是在兰州最繁华的西关十字，周边有黄河第一桥、夜市、小吃一条街、张掖步行街。就是楼下是KTV，唱到2点才能睡觉。', '短评打分': 3}
{'短评内容': '确实太吵了，在2点前无法入睡。要不是看世界杯，真的不能忍受。', '短评打分': 1}
{'短评内容': '这家酒店感觉住的蛮舒适的，房间打扫的挺干净，设施方面也比较齐全，服务也挺热情周到的，价格方面也蛮实惠的，整体感觉值得推荐。', '短评打分': 5}
{'短评内容': '环境不错 就是楼下KTV太吵', '短评打分': 3}
{'短评内容': '楼上楼下都是歌厅，半夜3点前你就别想安静的入睡', '短评打分': 1}
{'短评内容': '房间比较大，宽带特别慢，5楼和11楼有KTV晚上会一直吵到1点吧', '短评打分': 3}
{'短评内容': '酒店楼层跟KTV混在一起，严重影响休息！', '短评打分': 1}
{'短评内容': '还好，位置不错，就是吵了点', '短评打分': 5}
{'短评内容': '酒店位置不错，离步行街和黄河都很近，交通也方便，就是楼上夜里比较吵。', '短评打分': 3}
{'短评内容': '酒店位置不错，比旁边的如家步行街店便宜；电梯不好等，楼上KTV声音较大，夜里比较吵，最好不要住12楼，否则容易睡不着。其他还好', '短评打分': 5}
{'短评内容': '房间面积还可以，不错！', '短评打分': 5}
{'短评内容': '酒店比较吵', '短评打分': 5}
{'短评内容': '还算不错，不过酒店的电梯很不舒服，客货两用，还有去KTV的公用。', '短评打分': 5}
{'短评内容': '如家中山路店的服务很好 地理位置也不错 但同楼的KTV夜间有些扰民 且本人入住期间有一部电梯正在检修 只有一部正常使用 致使客人每次上下楼需要等待较长时间', '短评打分': 5}
{'短评内容': '整体来讲还是一家很不错的酒店,位置很好,出行都很方便,房间的卫生和设施上也都不错,住着很舒适,我很满意.', '短评打分': 3}
{'短评内容': '这酒店没办法住，现在凌晨1点了，楼上ktv震得楼板都晃', '短评打分': 1}
