{'短评内容': '经常住很方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '已经很多次很多次跟朋友推荐这家酒店了，非常不错的！！！！！！！！！', '短评打分': 5}
{'短评内容': '   环境很好，而且比较便宜、干净。交通也方便。', '短评打分': 5}
{'短评内容': '155元入住市级文物保护单位，省机关事务管理局宾馆，值！硬件好，软件也不错,交通方便，5分钟可到火车济南站和长途汽车火车站广场站。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，就是房间太小了，一点都不隔音！', '短评打分': 5}
{'短评内容': '交通很方便，离火车站很近，去大明湖什么的也不远。条件也不错，比较安静。价格适中，性价比不错~', '短评打分': 5}
{'短评内容': '老牌饭店。就是离大街近了点，晚上比较吵，还好自己带了耳塞。离火车站非常近。吃住都很方便。', '短评打分': 5}
{'短评内容': '离火车站很近，交通方便，很不错的酒店，设施稍微陈旧了点，稍微有点吵，可接受范围之内', '短评打分': 5}
{'短评内容': '位置很好，离火车站很近，去汔车站及机场也很方便。', '短评打分': 5}
{'短评内容': '已入住，酒店很好，交通方便。', '短评打分': 3}
{'短评内容': '酒店承载的历史荣誉使得外观多年未有大的变化，这也是一种财富。但酒店内部完全可以装修的好一些；另外酒店自己没有餐厅，但可以与旁边的餐厅合作，给住客提供方便。', '短评打分': 5}
{'短评内容': '还行就是房间太小。', '短评打分': 3}
{'短评内容': '有点旧，进去就有一股异味。一个人洗澡，就把卫生间全部浇湿。毛巾上血迹斑斑，只得自己再买新的。价格便宜，但我们吃了2根火腿肠2个蛋一包榨菜一碗面一瓶水，再打3个电话加上2条毛巾，竟要50元。', '短评打分': 5}
{'短评内容': '很好 很方便 干净卫生  虽然从外面看着不大 但里面房间非常多  给朋友定的 说很好', '短评打分': 5}
{'短评内容': '交通很方便，离火车站很近，去大明湖什么的也不远。条件也不错，比较安静。价格适中，性价比不错~', '短评打分': 5}
{'短评内容': '三楼 奇数房 楼上KTV太吵太吵\n服务十分可以  但是 电视太差太差（普通大床房）\n望改善硬件设施 ', '短评打分': 5}
{'短评内容': '还不错噢，前台态度很好，房间虽然不大，但是还不错，就在火车站附近，很好找的，打车也比较好打，楼下的吃饭的地方很多，比较方便，打车十块钱就到万达广场了，可以逛逛街，走三分钟就可以到火车站做机场大巴了。真的很方便，退房时间是下午两点，好人性化。比较推荐\n\n--------------------------------------------------------------------------', '短评打分': 5}
{'短评内容': '第二次来了,除了电视信号不好,其他如价格地段等都不错', '短评打分': 5}
{'短评内容': '第二次住了,建议把电视信号调好,电视没法看,其他都不错', '短评打分': 5}
{'短评内容': '155元入住市级文物保护单位，省机关事务管理局宾馆，值！硬件好，软件也不错,交通方便，5分钟可到火车济南站和长途汽车火车站广场站。', '短评打分': 5}
{'短评内容': '离济南站5分钟路程，酒店门面较小但内部房间却不少，设施虽不如快捷酒店简洁，总体入住感觉还可以。\n\n', '短评打分': 5}
{'短评内容': '酒店没有早餐提供，房间整天色调低沉，设施不新。优点是地理位置好，服务态度正规。', '短评打分': 1}
{'短评内容': '离济南站5分钟路程，酒店门面较小但内部房间却不少，设施虽不如快捷酒店简洁，总体入住感觉还可以。', '短评打分': 5}
{'短评内容': '感觉该宾馆地处济南火车站，交通很方便，只是房间小了些，尤其是比较吵，或者说噪音比较大，但其它方面还是可以的，所以今后有机会还会再入住。', '短评打分': 5}
{'短评内容': '还不错噢，前台态度很好，房间虽然不大，但是还不错，就在火车站附近，很好找的，打车也比较好打，楼下的吃饭的地方很多，比较方便，打车十块钱就到万达广场了，可以逛逛街，走三分钟就可以到火车站做机场大巴了。真的很方便，退房时间是下午两点，好人性化。比较推荐', '短评打分': 5}
{'短评内容': '还可以，晚上有点吵。', '短评打分': 3}
{'短评内容': '前台特别热情，房间特别干净，除了有点吵，都值，离火车站近方便', '短评打分': 3}
{'短评内容': '酒店位置很好，但是房间内的配套陈旧了些~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '整体不行，空调不行，电视不行，卫生间连肥皂都没有，房间隔音效果不好，大半夜的竟然有修路的!如果不是特别赶时间，一般不建议入住', '短评打分': 3}
{'短评内容': '宾馆环境不错，接待人员服务态度很好，很满意', '短评打分': 3}
{'短评内容': '酒店靠火车站很近，外表虽然有点旧但内部还不错，电脑电源需要个转换头，马上就给送来了，房间挺不错的虽然小但是看起来挺干净的，卫生间还挺大。', '短评打分': 5}
{'短评内容': '酒店服务很好，环境优美，交通便利，是商旅人士不错的选择', '短评打分': 5}
{'短评内容': '还不错，插排不给力啊 别的还好，我住的是电脑房\n这个价位这个房间 还不错吧\n', '短评打分': 1}
{'短评内容': '该酒店在周边是比较好的，到济南火车站很方便，交通非常方便。酒店曾经接待过建国初期的国家领导人，在济南市是有历史的老酒店，外形还保留着古色古香的中式建筑风格。房间也是经过重新装潢的，就是洗澡水的时间比较短，夏天还行，冬天可能就不够用了！', '短评打分': 5}
{'短评内容': '优点是靠近火车站,价格便宜。缺点是四楼的卡拉ok厅晚上噪音影响睡眠,厕所地漏臭味很大', '短评打分': 3}
{'短评内容': '交通便捷，就是噪音太大。\n性价比还可以！', '短评打分': 5}
{'短评内容': '交通便利，就是有点吵。\n楼上太乱！\n不过物有所值！！！！！！！！', '短评打分': 5}
{'短评内容': '交通是很方便，就是房间里有点怪问，不知是什么原因；另外网速超快，用来了很爽。', '短评打分': 5}
{'短评内容': '设施陈旧， 特别是卫生间 热水供应部够 只能用半个小时左右', '短评打分': 1}
{'短评内容': '还不错。离火车站近。就是屋子不是很大。推荐！！！！', '短评打分': 5}
{'短评内容': '交通方便， 环境还可以。就是隔音有点差，嘈杂。', '短评打分': 5}
{'短评内容': '交通方便，距火车站非常近，环境还可以，服务比较周到。', '短评打分': 5}
{'短评内容': '好     好好       好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '档次挺高的，别看门面小，但是里面挺大的啊，不错，好评！！', '短评打分': 5}
{'短评内容': '酒店一般，晚上四楼KTV很吵，法夜还那么大的声音让人无法睡觉，洗澡水也不能长时间供给，只能洗十五分种，还有隔音不好。', '短评打分': 1}
{'短评内容': '跟上次住感觉很不一样，现在非常好，感觉就像上了一个档次…唯一一点就是觉得床上用品不太干净…', '短评打分': 3}
{'短评内容': '酒店有点老，设施有些陈旧，离火车站近，总的来说应该还可以！但下水道反味严重，并且上面是ktv，到半夜2点还在唱，房屋较小，啸傲孤独', '短评打分': 1}
{'短评内容': '距离火车站很近。房间很干净。大堂介绍由毛泽东、西哈努克等领导人住过。就问前台是哪个房间，前台说装修好多次了，早就不知道了。在我失望的时候，前台说出一个房间号，一看就是我住的房间号。哈哈。', '短评打分': 5}
{'短评内容': '还行，很满意', '短评打分': 3}
{'短评内容': '酒店有点老，设施有些陈旧，离火车站近，总的来说应该还可以！', '短评打分': 5}
{'短评内容': '入住卫生间没有打扫卫生,洗澡热水供不上,洗到一半就没热水了。希望改善，谢谢', '短评打分': 3}
{'短评内容': '非常不错，离车站近，很好找。', '短评打分': 3}
{'短评内容': '交通方便，值得推荐！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '交通方便，性价必很高，值得推监。号！！！！！！！！', '短评打分': 5}
{'短评内容': '很好的酒店，离火车站很近，房间也挺干净的，下次还会选择。', '短评打分': 5}
{'短评内容': '住着感觉很舒适，交通也很方便，就是结账时出了点小问题，前台服务员工作不够认真', '短评打分': 5}
{'短评内容': '位于火车站附近，交通便利。但晚上太吵，到夜里一点多还在吵。不推荐入住。', '短评打分': 1}
{'短评内容': '每次来济南都住这里，已习惯了，能让人养成习惯的宾馆不多，所以强烈推荐。', '短评打分': 5}
{'短评内容': '挺好的，离火车站近，出行也挺放便，就是噪音有点大，可能后院是个练歌房', '短评打分': 5}
{'短评内容': '古色古香，对应高档，服务不错。卫生非常清洁，环境优美，价格合适，交通方便四通八达，', '短评打分': 5}
{'短评内容': '环境好，距离火车站近，赶火车和汽车的朋友不要错过啊··', '短评打分': 5}
{'短评内容': '这个酒店的设施还可以，服务也算到位，就是没有餐饮服务不大好', '短评打分': 5}
{'短评内容': '还有，KTV也有点烦。住了在三楼什么都能听到', '短评打分': 5}
{'短评内容': '条件挺好的，虽然房间有点小，但是洗手间很干净。不过对床不满意，找到了很多别人的头发，有点恶心。对服务非常满意。谢谢', '短评打分': 5}
{'短评内容': '设施还可以 就是大半夜的楼上唱歌的声音震天响有木有！让人怎么休息啊 不知道宾馆是怎么搞的', '短评打分': 1}
{'短评内容': '还不错，就是空调不是很给力，服务员很不错，大方热情，还有美女。', '短评打分': 5}
{'短评内容': '还行,本来是订了两天,结果记错时间提前去了一天,不让住.在莫泰168住了一天,第二天山东宾馆住了,感觉还行.', '短评打分': 5}
{'短评内容': '酒店房间设施不错 隔音也好 还送果盘，服务也挺好.', '短评打分': 5}
{'短评内容': '普通经济型酒店，主要是离火车站近,交通方便。没有一次性拖鞋，这个不方便', '短评打分': 5}
{'短评内容': '`房间小\\隔音不好.毛巾很旧', '短评打分': 3}
{'短评内容': '房间隔音太差楼上一晚上都有在K歌的人，吵得根本睡不着，热水器每次只能洗澡时间控制在15分钟内不然15分钟后就是凉水加热还需在等30分钟很不方便，窗户关不严漏风，下水道堵塞，除了交通方便其他没有什么优势，建议大家这个价格不如去住如家', '短评打分': 1}
{'短评内容': '总体不错，服务、设施都挺好，而且是中午2点退房', '短评打分': 5}
{'短评内容': '这次住的房间离楼下的排风扇太近了，有些吵，以后订房要提醒这一点。', '短评打分': 5}
{'短评内容': '除了有点闹,其他的都不错,位置好,感觉很值', '短评打分': 5}
{'短评内容': '还可以就是隔音不太好', '短评打分': 3}
{'短评内容': '服务不错，可以寄存，房间比较干净，就是不是特别安静，没有一次性拖鞋，离火车站很近，很容易找到，性价比还行', '短评打分': 5}
{'短评内容': '与其所谓山东省机关事务局接待三星宾馆相去甚远，与现今的如家、七天无法比拟，可以说不如相距它20米的润果时尚酒店，大失所望，很不值', '短评打分': 3}
{'短评内容': '位置不错，就在火车站对面酒店房间还可以。睡的也比较安静', '短评打分': 5}
{'短评内容': '位置优越交通便利，价格也适中，还行。就是服务有点……：有事找前台被告知找楼层服务员，楼层服务员又没固定位置，谁好意思为芝麻大点事满楼上吆喝？因此有点被踢皮球的感觉……算了，为人厚道点吧，希望以后再来时能见到他们有改进就是了。', '短评打分': 5}
{'短评内容': 'The location is good to take train for transportation.And the spaceof room is enough for 2 or more people to rest.', '短评打分': 5}
{'短评内容': '酒店还不错，里面很干净，很温馨。档次还行，知名度可以，离火车站很近。', '短评打分': 5}
{'短评内容': '干净整洁，是一家老国企，比连锁酒店强多了                  ', '短评打分': 5}
{'短评内容': '我们入住山东宾馆A225与A233房间不满意能否调换一下将一个大床房间换成二个床的房间请回复！', '短评打分': 3}
{'短评内容': '隔音效果不好  ', '短评打分': 3}
{'短评内容': '干净整洁，房屋的色彩很容易让有有睡觉的感觉~哈哈哈，好评！', '短评打分': 5}
{'短评内容': '我住在三楼，四楼的KTV太吵了，凌晨2点多了还吼呢，下次住一楼或二楼吧!', '短评打分': 5}
{'短评内容': '有电脑，环境可以，卫生条件还算不错，对得起这个价格。推荐。', '短评打分': 5}
{'短评内容': '真的没想到火车站附近会有这么性价比好的宾馆，就是五楼有点吵。。。。。。', '短评打分': 5}
{'短评内容': '干净，大床房面积可以，有飘窗。就是新装修有些味道。', '短评打分': 5}
{'短评内容': '已入住五晚', '短评打分': 3}
{'短评内容': '房间小，卫生间设施差，只是位置还方便，离火车站近，我感觉铁路大酒店更方便。因为定的是电脑房，上网很方便，也就没太多意见了。', '短评打分': 1}
{'短评内容': '酒店位置不错，离火车站很近，适合出行入住，但酒店附近环境嘈杂，最不能忍受的是酒店四楼是一家KTV，吵得要命，晚上简直没法睡觉，这样谁还敢去住呢', '短评打分': 1}
{'短评内容': '宾馆条件不错，就在火车站那儿，虽然外立面看着挺破的，但是里面还是挺好的，隔音条件也不错，整体很干净，打车去大明湖啊趵突泉什么的都在10元以内。', '短评打分': 5}
{'短评内容': '这个宾馆卫生较差，服务态度还可以。临街房间吵闹。不过交通便利，离火车站很近。', '短评打分': 3}
{'短评内容': '很好   很舒适', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '卫生条件太差，只是位置方便。', '短评打分': 3}
{'短评内容': '第一天住的2888挺好的 但是第二天给分的2楼235 就不好了 房间很小 关键问题是上面唱歌的声音很吵 位置还是很好的 离机场大巴很近 但是住之前最好联系好房子', '短评打分': 5}
{'短评内容': '该宾馆是济南市的老字号宾馆，距济南火车站很近，交通很便利。价格便宜。是来济南出差旅行的好住处。 关键是价格很便宜。我向大家推荐这。（注意设施有点陈旧）。 \n\n', '短评打分': 5}
{'短评内容': '第一天到后给安排的是2888房 很大 感觉很不错 离火车站挺近的 是一个老宾馆了 后来把行李存在了这里 又重新定了一天', '短评打分': 5}
{'短评内容': '房间还好，给的房间小了点，以后预定是否可以备注要求。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '楼上有KTV，相对较吵。隔音较差，不大推荐。', '短评打分': 5}
{'短评内容': '酒店设施及卫生都不错，交通便利，性价比高。', '短评打分': 5}
{'短评内容': '位于老火车站边上，交通方便，价格便宜，装修有点旧', '短评打分': 5}
{'短评内容': '该宾馆是济南市的老字号宾馆，距济南火车站很近，交通很便利。价格便宜。是来济南出差旅行的好住处。', '短评打分': 5}
{'短评内容': '地理位置不错，以后还会选择这里，性价比高', '短评打分': 5}
{'短评内容': '位置离济南火车站特别近，离汽车站也不远，交通很方便。关键是价格很便宜。我向大家推荐这。（注意设施有点陈旧）。', '短评打分': 5}
{'短评内容': '主要是价位非常实惠 环境也不错 离开火车站非常近 去大明湖旁边就是11路车站很方便 我们那间房间厕所稍微有点气味 只能一直开排风 不过总体还很满意', '短评打分': 5}
{'短评内容': '态度很好，干净，下次会再入主。', '短评打分': 3}
{'短评内容': '地理位置很好，酒店环境不错，设施也可以，值得推荐', '短评打分': 5}
{'短评内容': '6还好', '短评打分': 3}
{'短评内容': '距离济南火车站非常近，虽然外观看起来比较旧，但是房内设施还是很新的，虽然有点小，但是性价比已经算很高的了，服务态度也不错，以后如果有机会来还会再住的', '短评打分': 5}
{'短评内容': '性价比相对还算高。', '短评打分': 3}
{'短评内容': '环境还可以，交通挺方便！只是蚊虫太多，希望改进！', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '外面看着挺旧，但是里面还挺好，挺干净的，离火车站超级近，很方便，值得去，如果是学生肯定合适，但是我家长觉得房间有点小，不过这个价钱性价比算很高了', '短评打分': 5}
{'短评内容': '一般，离火车站挺近的，但是洒店外观感觉有点乱，跟图片信息不相符，经济实惠型的', '短评打分': 5}
{'短评内容': '干净，安静，只是窗户没有向阳导致我老婆有句小怨言，整体很好', '短评打分': 5}
{'短评内容': '既然是宾馆，那就要让客人好好休息，明明有个酒吧，那为什么还要安排客人住在旁边，能睡好吗?\n环境太差啦，吵得一晚上都没有睡好，千万别去！', '短评打分': 1}
{'短评内容': '距离火车站很近，但是店内设施陈旧还有异味，可能跟旅店历史久远有关', '短评打分': 5}
{'短评内容': '还行啦~~地理位置优越，交通方便。宾馆拥有简约整洁的，免费光纤宽带，24小时热水等，温馨舒适；餐厅经营正宗鲁菜……', '短评打分': 5}
{'短评内容': '房间有点小，设施有点旧，给人一种压抑感。', '短评打分': 5}
{'短评内容': '还可以吧，还可以吧，还可以吧，还可以吧，马马虎虎', '短评打分': 5}
{'短评内容': '很给力！很喜欢！凑20个字,凑20个字,凑20个字', '短评打分': 5}
{'短评内容': '还是可以，就是中国电信的手机信号不是很好！晚上卡拉OK很吵', '短评打分': 5}
{'短评内容': '还可以，态度不错，就是房间有点味道', '短评打分': 3}
{'短评内容': '总体感觉还不错。', '短评打分': 3}
{'短评内容': '据说是老牌宾馆，果然老。有些东西脏了就该换了。有点优点就是方便', '短评打分': 5}
{'短评内容': '离火车站近，环境可，安静。价格合适，设施齐备', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '出乎意料~~比想象中好哦 虽然设施比较老 但是很有韵味的说 再一个就是离火车站近 出了那个路口马路对面电视墙那儿就是 很便宜啦', '短评打分': 5}
{'短评内容': '位置还是环境都不错，离火车站特别近，步行几分钟就到，性价比相当较高。', '短评打分': 5}
{'短评内容': '挺不错的，地理位置很好，也挺干净的，下次去还会住的', '短评打分': 5}
{'短评内容': '离车站真近，卫生应该加强', '短评打分': 3}
{'短评内容': '好  干净  舒服  有家感觉  下次海珠  不错', '短评打分': 5}
{'短评内容': '山东宾馆条件还可以，但服务态度有点生硬。', '短评打分': 3}
{'短评内容': '很好！服务态度很好！！房间设施也不错~总之性价比很高！', '短评打分': 3}
{'短评内容': '挺好的，地理位置很优越，服务也很好', '短评打分': 3}
{'短评内容': '前台服务员素质太差,严重怠慢,发生争执,前台小姐电话纠集黑社会,本人报警,最后在派出所结的账.后该酒店负责人道歉, 说已扣工资处罚此小姐, 但未开除,以观后效, 不知真假. 永不再住此酒店. 如果不想派出所结账,慎考虑.', '短评打分': 1}
{'短评内容': '楼上有KTV很吵', '短评打分': 3}
{'短评内容': '？性价比还可以，就是离火车站太近，附近商店假东西太多，总担心被骗。', '短评打分': 3}
{'短评内容': '地理位置不错，价位适中，出行非常方便，不足之处是酒店旁边的夜总会，晚上噪音很大', '短评打分': 5}
{'短评内容': '距离火车站很近~方便~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '地理环境较好，离火车站近，是打尖的好去处，卫生有等加强。总的来说，这样的价格算不错的', '短评打分': 5}
{'短评内容': '环境挺好 下次还去~就是有隔音不是很好~走廊的声音都能听到', '短评打分': 5}
{'短评内容': '屋子干净整洁，很舒适！一句话物超所值，有机会还是要住这里。', '短评打分': 5}
{'短评内容': '不错，交通方便，吃饭也方便，房间也不错。', '短评打分': 5}
{'短评内容': '房间不错，就是房间长度有点短，电脑桌和床的距离太近了。地理位置方便至极！', '短评打分': 5}
{'短评内容': '环境还好，交通较方便，服务不是特好，床单脏想让服务员换一下，结果半个多消失才去，还想我们发脾气，说着说那的。。。', '短评打分': 5}
{'短评内容': '酒店设施一般，服务还可以。位置还可以，但是不像是曾经接待过毛泽东的地方，也跟百年老店相差甚远，有点可惜。', '短评打分': 1}
{'短评内容': '该酒店出行比较方便，房间也可以，但卫生打扫不彻底。', '短评打分': 5}
{'短评内容': '紧邻火车站交通方便，设备较陈旧，住宿条件一般', '短评打分': 5}
{'短评内容': '不错 离火车站很近 历史悠久 内部装饰 价格 都比较不错', '短评打分': 5}
{'短评内容': '服务态度非常好,下次还入住', '短评打分': 3}
{'短评内容': '离火车站很近,朋友住的,总体来说很好............', '短评打分': 5}
{'短评内容': '很干净，位置也很方便。价格也很合理', '短评打分': 3}
{'短评内容': '以入住山东宾馆！温度不够！ ', '短评打分': 3}
{'短评内容': '房间环境  周围环境都很好  离火车站也很近 挺方便的 就是前台接待服务不是很好  我等着退房呢 她们还有闲情讨论是不是应该提前为情人节买巧克力  真是服啦。。。 ', '短评打分': 5}
{'短评内容': '一進房間就聞到異味, 而且不接受外地信用卡(credit card),對外地旅客不太方便。\n\n優點:距火車站很近', '短评打分': 1}
{'短评内容': '新装修的一家酒店，性价比很高，设施环境很舒适，下次去还会入住。', '短评打分': 5}
{'短评内容': '酒店离火车站很近，房间还是蛮干净的，服务态度也很好，价格也不是太贵。', '短评打分': 5}
{'短评内容': '济南这家酒店环境很好，设施配置都很达标，卫生也很好，很干净。', '短评打分': 5}
{'短评内容': '离火车站很近步行不用5分钟，就是房间挺暗，总体还行', '短评打分': 5}
{'短评内容': '酒店员工的业务水平不是很熟练，办理入住速度比较慢，感觉像是新员工。', '短评打分': 3}
{'短评内容': '酒店位置很理想,交通方便.保安亦很嚴格.服務員態度良好.', '短评打分': 5}
{'短评内容': '靠近马路挺吵的，房间特别小。还是住连锁酒店比较好，早餐都没有', '短评打分': 1}
{'短评内容': '挺不错的服务，大气内敛，下次继续去住。不过周围吃饭的地方少了点', '短评打分': 5}
{'短评内容': '市中心比较繁华地带，出行交通都非常方便，房间也非常干净。', '短评打分': 5}
{'短评内容': '环境不错，地理位置很好，性价比非常高，我很喜欢', '短评打分': 5}
{'短评内容': '山东宾馆是山东省首批文物保护单位，建国初期毛泽东主席曾经下榻本酒店。性价比很高', '短评打分': 5}
{'短评内容': '＋不错 值得信赖', '短评打分': 3}
{'短评内容': '地理位置很好的一家酒店，距离火车站很近，出行交通也很方便。', '短评打分': 5}
{'短评内容': '房间是新装修过的，设施配置都很好，很干净，很舒适。', '短评打分': 5}
{'短评内容': '性价比还好，不过什么都没有。连按摩洗脚的也没有。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境设施不错，房间干净，房间面积较小，在火车站附近属于性价比不错的酒店', '短评打分': 5}
{'短评内容': '不错 有宽带 装修也可以 离济南火车站也非常近 交通很方便', '短评打分': 5}
{'短评内容': '各方面都非常好，有早餐的话就更完美了。一定会再来的', '短评打分': 5}
{'短评内容': '酒店设施太陈旧之外，还可以！价格低廉性价比还可以吧！', '短评打分': 5}
{'短评内容': '这家宾馆的条件还不错，性价比比较高，值得入住。离闹市区比较近，就是部分东西旧了一些。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '比起站前的快捷酒店这里安静不少。很干净。酒店布置的很别致。有机会还会入住。', '短评打分': 3}
{'短评内容': '宾馆外观很漂亮,但房间较小,卫生间有点异味,服务一般,总体一般啦~', '短评打分': 5}
{'短评内容': '还是可以推荐入住的，只是坊间下水道的味道太重，刚进房间有种刺鼻的味道，打开窗户透透气后略好些。', '短评打分': 5}
{'短评内容': '离火车站非常近，走路5分钟都用不了。这点很方便。\r\n房间设施也很齐全。就是房间稍微小了点。但是也不影响什么。\r\n挺干净的，隔音也还可以，总体来说不错。', '短评打分': 5}
{'短评内容': '宾馆性价比蛮不错，只是服务意识比较欠缺。建议多组织培训多到大酒店宾馆参观学习。房间挺干净的。', '短评打分': 5}
{'短评内容': '位置十分的好，环境也不错，相对于火车站周边的几个快捷酒店来说是相当的优惠了', '短评打分': 3}
{'短评内容': '感觉是火车站附近性价比最高的一家宾馆了,房间宽敞，环境也好，下次有机会还会再来的', '短评打分': 5}
{'短评内容': '主要是地理位置好，离火车站太近了，准三星，价格不贵，推荐', '短评打分': 5}
{'短评内容': '离火车站超近，床不是很舒服，卫生间不是很满意', '短评打分': 5}
