{'短评内容': '前台服务态度超级棒', '短评打分': 5}
{'短评内容': '首先，酒店本身干净整洁；其次，交通方便。', '短评打分': 5}
{'短评内容': '服务还是不错的，可是靠着立交太吵，半夜都不安静！ ', '短评打分': 1}
{'短评内容': '房间挺好，房间里面有UPS电源等让人感觉温馨的地方。离机场大巴近，适合商务人士。', '短评打分': 5}
{'短评内容': '离火车站比较近，公共交通方便，但是周围打车不是很方便', '短评打分': 5}
{'短评内容': '不错，安静，干净，周边环境也不错，服务态度也很好，性价比高', '短评打分': 5}
{'短评内容': '离机场快线上清寺站和轻轨牛角沱站很近，附近公交线路也很多，出行非常方便，附近购物吃饭也都挺方便，房间小了点，但总体来讲还算可以。', '短评打分': 5}
{'短评内容': 'just so so, its not bad comparing to its price \n\n', '短评打分': 5}
{'短评内容': '还行，网速偏慢，其他快捷酒店该有的都有了', '短评打分': 5}
{'短评内容': '我已经入住317,已经前台自付款', '短评打分': 3}
{'短评内容': '房间还行，不过前台做事很慢，这是唯一感觉不好的地方', '短评打分': 5}
{'短评内容': '离地铁上清寺站挺近的，酒店感觉有点潮味，服务态度中规中矩', '短评打分': 5}
{'短评内容': '环境不错，内部比较干净，下次来的话应该还会住这的', '短评打分': 5}
{'短评内容': '环境还行！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店外部环境还是不错的，交通也方便。我非常非常满意！', '短评打分': 5}
{'短评内容': '很久没住过如家了，这次感觉还是那么亲切，环境很安静，交通很便利。', '短评打分': 5}
{'短评内容': '如家，原来很喜欢住的，现在越来越差，首先网上说商务大床房20-25平米，结果只有14平米，还说我们如家都是这样大的，说谎话，如家也有大房间的；其次饮水机也不配套了；3，拖鞋有很大的塑料气味。奉劝如家一句话，别以为你现在做大了了不起钱可是在我们客户的手上的，再这样下去嘿嘿算你狠咱不住你的店了', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店很好，卫生、服务很好，是很不错的选择，下次还会来！', '短评打分': 5}
{'短评内容': '入住但房间很吵', '短评打分': 3}
{'短评内容': '位置不错,紧靠机场大巴停靠点,清轨站也不太远,去朝天门十分方便.', '短评打分': 5}
{'短评内容': '相对于其他城市的如家，环境一般。建议要多注意卫生。服务还可以。', '短评打分': 5}
{'短评内容': '位置不错，离机场大巴站点很近，环境全国统一。', '短评打分': 5}
{'短评内容': '不错，干净卫生，价格也不贵，服务态度也不错，值得推荐。', '短评打分': 5}
{'短评内容': '房间太小了。\n床太软，被子太硬。 不是很好。', '短评打分': 1}
{'短评内容': '服务是很不错的  环境也不错啊  就是房间比较小点', '短评打分': 5}
{'短评内容': '酒店距离机场大巴的起始站非常近，酒店正好在路口很显眼的地方，出门就有公交站而且不远就有公交始发站非常方便，重庆出租很难打，所以公交就起到了很重要的作用，早餐12元，还不错，对得起这个价位，前台小姐很有礼貌，服务到位，下次再去还会选择这里。', '短评打分': 5}
{'短评内容': '位置不错，酒店建筑风格很特别，每层有较大的晒台，清晨出来活动一番很是惬意！卫生也好！早餐提供的既有川蜀特色，也有商务风格，推荐！！！', '短评打分': 5}
{'短评内容': '房间很小，靠路边晚上很吵,不过离机场大巴的起始站倒是满近的', '短评打分': 1}
{'短评内容': '在上清寺附近的立交桥边上，目前酒店外墙正在装修，不好找，开着车在重庆城里转悠了一个多小时才找到！', '短评打分': 5}
{'短评内容': '交通方便，但吃东西不方便', '短评打分': 5}
{'短评内容': '距离重庆江北机场的巴士站很近，就这点优势了，其他的都很一般。', '短评打分': 5}
{'短评内容': '房间非常吵，一晚上都听到窗外汽车来往的声音，不过是为了坐机场大巴方便，不然绝对不选，下回也会选别的酒店。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '方便、快捷，如能代购车票就好了。', '短评打分': 5}
{'短评内容': '酒店商场没香烟卖，周边小超市也没烟卖，为买烟走了很远。', '短评打分': 5}
{'短评内容': '为了离坐机场大巴的地方近点才预订的这个酒店，也正是因为这个原因，这个酒店的价格要高一些，不过整体还行，就是安排给我的无窗房很让人崩溃。还好第二天给我调整了一间。', '短评打分': 3}
{'短评内容': '当时因为离机场大巴近我选了这家店，总体来说不错，但不如7天上清寺店离大巴近（大巴下车五米就是7天了），但7天一直没有房，如家这家我那天去也只有一间房了。', '短评打分': 5}
{'短评内容': '我已经住过好几次这个酒店， 主要是离机场大巴的位置很近。房间的床很大，但房间很小，不过很干净。 适合商旅。', '短评打分': 5}
{'短评内容': '我开始定的一般的，后来改成大床！实在没觉得好到什么地步，除了地段还不错外，其他的真的觉得不怎么值190\r\n这个价位真的不便宜', '短评打分': 5}
{'短评内容': '还不错，挺干净卫生的，可是窗户外面是一堵墙，有点郁闷。', '短评打分': 3}
{'短评内容': '服务挺好的，可是二层的房间全部对着一堵墙，感觉比较压抑，见不了阳光。', '短评打分': 3}
{'短评内容': '服务员到位挺快的', '短评打分': 5}
{'短评内容': '下了机场大巴不远就到了，离火车站也不远', '短评打分': 5}
{'短评内容': '还不错，位置挺方便。设施一般化', '短评打分': 5}
{'短评内容': '上次安排的房间是靠近角落的，房间面积不大，设施一般，卫生还可以，总的来说性价比不太好 ', '短评打分': 1}
{'短评内容': '酒店的性价比高，服务环境也不错，交通也便利', '短评打分': 5}
{'短评内容': '酒店的价格稍微有点贵，不过很干净，服务环境也挺不错的，地理位置交通相对来说还是挺方便的。', '短评打分': 5}
{'短评内容': '酒店的环境很安静，入住非常舒适，而且价格也很便宜，周边的交通也蛮方便的', '短评打分': 5}
{'短评内容': '我们之前在北京180的价格住过一次如家，感觉还不错所以这次也订了如家，价格竟然和北京一样，原以为环境会好点，但是住进去以后感觉没什么区别，而且他的卫生间也不是很干净，房间和餐厅都不算打，没有停车场，这样来说这个价格我觉得不合适。', '短评打分': 1}
{'短评内容': '酒店床比较硬,环境设施还可以.位置也很好酒店有机场大巴接送点.', '短评打分': 5}
{'短评内容': '酒店整体感觉还可以，干净舒适，服务也不错，交通也比较便利，酒店旁边有机场大巴，就是价格有点高', '短评打分': 5}
{'短评内容': '酒店服务，卫生都挺不错，觉得如家比较不错，不过这个店的位置不太方便，在高速路出口位置，虽然车多，不过出租车少，很难打到车。', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我和老公是０７年春节到重庆自助游入住的该酒店，之前我在网上预订了一个标准大床房，到了之后只要说名字就可以，非常方便。因为该处开业不久，内部装修都是新式的，很环保，跟我们家里的一样，所以有一种家的感觉，很温馨。虽然房间不大，但已够用，很适合我们这样自助游的人。该处交通真方便；服务员态度很好，看见我们都很真诚地打招呼；餐厅饭做得也好吃；总之，１７０元一晚挺值，比一些宾馆强。“如家”给我们留下了不错的印', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;一楼的商务大床房窗口全部都是对着墙，黑咕隆咚像是住在地下室，除了房间大一点外，还不如标准大床房合适。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '还可以，我去年&amp;#8220;十一&amp;#8221;以前住了两天，就是不是很醒目大家可是花点眼神去找找!祝大家有个愉快的心情!', '短评打分': 5}
{'短评内容': '还可以，我去年&amp;#8220;十一&amp;#8221;以前住了两天，就是不是很醒目大家可是花点眼神去找找!祝大家有个愉快的心情!', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我是去年&amp;#8220;十一&amp;#8221;前住了两天，服务还可以，不过真的是不太醒目的一个地方，里面还可以，房间很宽敞，有很不错的回忆。我还推荐了很多人去那里，不过好像房间挺紧张的哦!大家最好提前订一下!祝大家有个愉快的心情!&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我是春节回家的时候在这个酒店住了一晚上，感觉还可以。床大，被子也特别舒服，另外还可以宽带免费上网，酒店服务员的态度也很不错。下次去的时候还打算住那儿！&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '我算是如家的老顾客了，可现在这家宾馆对宾客的欺骗我已经忍无可忍了，首先是房型与价格出入很大。然后更令人可气的是，我问总台要卫生纸她竟然让我自己到下面拿，真是&amp;#8220;如家&amp;#8221;什么东西都要自己拿啊，洗澡像游冬泳，真让我&amp;#8220;终生难忘&amp;#8221;！！！！劝您啊，还是换家宾馆了，别坏了您的好心情。', '短评打分': 3}
{'短评内容': '我是10月25号入住的。房间比较干净（不过也许是新开业不久的缘故吧，呵呵），服务还算到位，交通较便利(离火车站、汽车站只有一站的距离。尤其离机场大巴站很近。附近公交线路也蛮多。）但酒店的门面不是很醒目，我从机场大巴上青寺站到这里是棒棒带我来得，否则不好找，问当地人也不知道此店）但总得来说性价比较高，可以一住。', '短评打分': 3}
{'短评内容': '在如家住了一晚,感觉非常好!首先是地点好,酒店就在上清寺路,要是需要乘机场大巴根本不用打的,5分钟不到就可以走到机场大巴车站.这对于乘飞机旅游出差的我来说非常便捷.其次是酒店内环境好,客房内设施齐备，装修色彩亮丽、温馨，真的如其名一样，有一种如家的感觉。可能因为是新开业的酒店的原因吧，所以用具都整洁且新，让我休息得很舒服。最后，服务生的服务态度很好，他们见到你都会亲切地打招呼，好象是很熟悉的朋友，', '短评打分': 5}
