{'短评内容': '就设施有点差，洗脸龙头放不出冷水', '短评打分': 5}
{'短评内容': '住着还不错  给调到了一个圆床房  房间比较大  周围吃喝玩乐都比较齐全', '短评打分': 5}
{'短评内容': '服务态度非常好，室内干净，设施很不错，位置临近商业区，很满意', '短评打分': 3}
{'短评内容': '酒店位置不错，周边交通很便利，吃饭也方便，环境干净，性价很高~', '短评打分': 5}
{'短评内容': '非常好，干净，位置好，服务好，性价比高，无可挑剔', '短评打分': 5}
{'短评内容': '宾馆条件相当好，出去游玩交通很便利。购物也很方便。', '短评打分': 5}
{'短评内容': '蛮好的，服务态度也很好', '短评打分': 3}
{'短评内容': '不知道其他的莫泰怎么样，住过如家住过7天，感觉是最好的一家，很多小细节非常到位，唯一不足的就是刚一开门时空气气味有点怪，别的都好~~', '短评打分': 5}
{'短评内容': '性价比较高，有停车场非常方便，设施很新。。。。', '短评打分': 5}
{'短评内容': '不错，性价比比较高', '短评打分': 3}
{'短评内容': '很喜欢，强烈推荐，尤其是免费升级一项，真的很不错', '短评打分': 5}
{'短评内容': '不错不错，性价比很不错，房间干净，隔音效果也不错，服务态度也不错', '短评打分': 5}
{'短评内容': '很干净哦，设施都很好，很喜欢~', '短评打分': 3}
{'短评内容': '环境很好,条件不错', '短评打分': 3}
{'短评内容': '还好吧，就是靠着学校交通有点吵吧，其他还好', '短评打分': 5}
{'短评内容': '还行，比较干净，服务态度也行，周围也有超市，购物也比较方便。', '短评打分': 5}
{'短评内容': '酒店不错，就是酒店周围实在没有什么好玩的，住的没有窗户的，感觉好憋。', '短评打分': 5}
{'短评内容': '还不错，蛮好的，就是有点闷了', '短评打分': 3}
{'短评内容': '格价合适，位置好，安静，服务态度好！出差首选，网速好，酒店有配餐服务味道挺好！', '短评打分': 5}
{'短评内容': '服务态度有待改进，早餐过了8点，就没有多少了，希望早餐的量应该添加', '短评打分': 5}
{'短评内容': 'hao 态度挺好的 环境也不错   交通也行  可以考虑\n', '短评打分': 5}
{'短评内容': '凉水太小，全是热水，让人没法洗澡！', '短评打分': 3}
{'短评内容': '挺好的 位置比较优越 楼下附近商场超市较多 购物方便', '短评打分': 5}
{'短评内容': '很舒适，各方面都不错，性价比高，就是前台一直在忽悠我半会员卡', '短评打分': 3}
{'短评内容': '总的来说还是挺好的 性价比较好 比较干净 不错', '短评打分': 5}
{'短评内容': '空调能用就更好了，暖气太暖和了，小热。', '短评打分': 3}
{'短评内容': '前台服务态度较好     \n房间很干净 价格合理  交通不怎么方便', '短评打分': 5}
{'短评内容': '选择了该店的经济大床房，超乎想象的好，比我在其他连锁酒店住的200多的房间都好，暖气很足，晚上的话有点闷，不过不影响。以后住店的话就首选莫泰了。', '短评打分': 5}
{'短评内容': '挺好的，就是太热了，没有窗户，无法通风，感觉还行', '短评打分': 5}
{'短评内容': '非常舒适 浴室很不错 下次有机会还会再来\n暖气有点热  晚上睡觉太干了', '短评打分': 5}
{'短评内容': '环境不错，卫生。服务挺好，就是网速不给力。\n预定的特价房，免费升级的178元的大床房。这个给力哦。', '短评打分': 5}
{'短评内容': '挺好的.就是冬天空调不能用.', '短评打分': 3}
{'短评内容': '环境干净整洁，房间比较宽敞，非常舒适。房间全是暖色调，非常的温馨！！', '短评打分': 5}
{'短评内容': '这个价格住这样的宾馆挺值得，设施齐全，干净，隔音也不错，离商业区近，晚上可以逛超市。', '短评打分': 5}
{'短评内容': '总体还可以，服务态度很好，房间也比较干净，祝越来越好', '短评打分': 5}
{'短评内容': '不错不错，挺干净暖和的，就是有点贵了，不过也算过的去', '短评打分': 5}
{'短评内容': '房间效果不错，服务态度很好，下次还会选择入住。', '短评打分': 5}
{'短评内容': '怎么说，住的是经济房，之前有评论说，冬天开暖气有点闷，体验了确实是这样的，还有就是走廊有点吵，隔音不好了，其他都不错的。', '短评打分': 5}
{'短评内容': '酒店还行吧，服务不错，暖气再暖点就更好了', '短评打分': 3}
{'短评内容': '房间设备很好，就是暖气不太好，开空调的话最好了', '短评打分': 5}
{'短评内容': '很好 干净！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店环境很好，距离CBD也很近，购物十分的方便，房间设施也非常的棒。当时住的是特价房，没有窗户，暖气开着感觉很闷。', '短评打分': 5}
{'短评内容': '服务挺好，住的挺舒服，周围交通便利，比较繁华', '短评打分': 5}
{'短评内容': '服务一般，且不能延时退房，一般星级酒店都可以适当可延时的，房间除了床上有污迹以外其他都可以。', '短评打分': 1}
{'短评内容': '还是相当不错的，只是早餐券要到前台买，稍显麻烦', '短评打分': 5}
{'短评内容': '酒店内饰很不错哦！很好！很强大！给大家推荐！', '短评打分': 5}
{'短评内容': '不错，环境挺好的，服务业不错，地理位置也不错，周围挨着商场也比较近，可以没事去散散心，价格也很实惠，值得推荐！！！', '短评打分': 5}
{'短评内容': '客观的讲，环境不错，客房布置也合理，早餐还是很丰富的，南北方的口味都能兼顾到。服务人员质量参差不齐，客房服务员不错，出门主动问好打招呼，我在走廊顺手拾起一片废纸扔到垃圾桶里，服务员向我说了声谢谢，这起码说明她们的主人意识。最不满意就是服务台服务员太少，办住宿时正巧时中午时间，只有一名服务员，忙的团团转，办理退房手续时，有两名服务员，大约等了45分钟，傍边其他的客房都有些抱怨。', '短评打分': 5}
{'短评内容': '交通很便利，酒店设施也不错。早点也不错，赞一个~', '短评打分': 5}
{'短评内容': '住宿条件和其他的连锁店很像。不过价格还是高了一点。而且一开始的时候，说的是178元，第二天退房的时候，又要了我多余的10元房费。心情小不爽！', '短评打分': 5}
{'短评内容': '不喜欢，管理不够精致。吃个饭非要送到房间，让人难以理解。', '短评打分': 1}
{'短评内容': '服务卫生各方面还行，就是空间太小、床也有点小。', '短评打分': 5}
{'短评内容': '交通方便，房间温馨，价位合适。离商场超市较近，经济实惠。\n不过停车不是很方便。\n总体不错。', '短评打分': 5}
{'短评内容': '酒店隔音实在太差，住了两晚！隔壁上厕所还是走动的声音很清晰 很难入睡\n酒店的餐厅，更加恶劣，服务态度极其恶劣，吃饭 加一碗饭，还要先付1块钱现金 才给你加饭，记房账都不行! 下次肯定不会再住了！', '短评打分': 1}
{'短评内容': '电视台太少了 服务还好 挺安静的 \n装修很不错  而且食品多样', '短评打分': 1}
{'短评内容': '这边的服务很热情，房间打扫的干净整洁，卫生条件蛮好的，住宿条件不错', '短评打分': 5}
{'短评内容': '环境还行.就是有点脏.水不是很热', '短评打分': 3}
{'短评内容': '刚开始营业 价格较低 特价房没窗户不太好', '短评打分': 5}
{'短评内容': '房间卫生条件挺好的，住宿环境不错，前台服务周到热情，周边交通出行也方便', '短评打分': 5}
{'短评内容': '一如既往的好  住莫泰好多次了 一直很满意 感觉很温馨', '短评打分': 5}
{'短评内容': '酒店感觉还可以，房间卫生条件不错，干净整洁，住宿环境很好，前台服务比较到位，周边出行挺方便的，其他都都还好', '短评打分': 3}
{'短评内容': '服务热情，房间较整洁干净，交通便利，价格实惠', '短评打分': 5}
{'短评内容': '服务不错。到了当天没有特价房了。就给自动升级成 带窗的大床房。设施都很贴心。赞一个。比 黄岛的如家好多了。 ', '短评打分': 5}
{'短评内容': '挺干净的 服务也很好 美中不足就是装修有点粗糙', '短评打分': 3}
{'短评内容': '+挺好的 就是房间装修不够精细', '短评打分': 5}
