{'短评内容': '挺好的，房间空间不小，卫生和酒店的位置都挺不错的', '短评打分': 5}
{'短评内容': '＋整体都不错，住了3天，非常感谢！', '短评打分': 3}
{'短评内容': '电视和房间都比较小，还算干净，无异味', '短评打分': 3}
{'短评内容': ' 非常不错很干净', '短评打分': 3}
{'短评内容': '只能说一般，但挺安静！设施比较老！服务质量也一般！', '短评打分': 1}
{'短评内容': '干净，舒适，服务人员素质较高。周围环境很安静，性价比较高。', '短评打分': 5}
{'短评内容': '客房干净简单使用起来方便妥贴，下次还会选择它', '短评打分': 3}
{'短评内容': '太偏僻，离地铁太远，出行不便，离展馆打车起步价可以到，房间小，有味道，住了一天就换地方了。', '短评打分': 1}
{'短评内容': ' good value for money. Could not ask for more, will come back for next visit.', '短评打分': 3}
{'短评内容': '离磁悬浮比较近，酒店比较大，房间也是比较大，总体感觉不错。', '短评打分': 5}
{'短评内容': '早餐很丰盛，就是冲着早餐来的，性价比较高。房间小，但是一个人够住了', '短评打分': 5}
{'短评内容': '这是第三次住这里了，干净、早餐很丰盛，主要是价格便宜。呵呵', '短评打分': 5}
{'短评内容': '和同事出差一起过来的，房间两个人住有点拥挤，行李都没有地方放了。不过还算干净整洁，一个人住就比较合适了。', '短评打分': 5}
{'短评内容': '房间比较狭窄，但是就是回来睡个觉，足够了。而且很干净。', '短评打分': 5}
{'短评内容': '这次是第二次住这里了，除了房间比较小，其他都还行。', '短评打分': 5}
{'短评内容': '价格便宜，房间干净整洁，就是有点小。早餐很丰富。', '短评打分': 5}
{'短评内容': '一家很好的酒店。服务很好，员工有礼貌，房间干净，早餐品种繁多搭配合理· \n', '短评打分': 5}
{'短评内容': '是一个不错的选择。居住地挺干净，饭菜也很可口', '短评打分': 5}
{'短评内容': '环境很好交通方便，就是房间小了点。\n比较满意！', '短评打分': 5}
{'短评内容': '价格实惠 服务稳定 交通便利 房间紧张 提前预订', '短评打分': 5}
{'短评内容': '继续入住，这家店生意一直很好，早饭不错，基本是住过的最好的', '短评打分': 5}
{'短评内容': '房间安静，周围交通都很方便，就是停车位虽然不少，但还是比较紧张。\n', '短评打分': 5}
{'短评内容': '不错的酒店，世纪公园走路15分钟就到了，安静，干净。', '短评打分': 5}
{'短评内容': '酒店不错,干净，方便，离机场线很近，起步价', '短评打分': 5}
{'短评内容': '酒店地理位置不错,很方便出行.早餐不错,比较适合商务人士', '短评打分': 5}
{'短评内容': '酒店服务不错，就是隔壁的空调声音太响，影响休息。', '短评打分': 5}
{'短评内容': '房间很干净，服务人员态度不错，唯一不足的是床和被子太小', '短评打分': 5}
{'短评内容': '服务不错，房间都挺干净，就是电视好小...', '短评打分': 5}
{'短评内容': '被子太小，顾头不顾尾的。', '短评打分': 3}
{'短评内容': '刚入住房间較大也卫生,整体感觉不錯,缺点是外出交通不是太方便.', '短评打分': 5}
{'短评内容': '的确是比较大的锦江之星店，旁边还有锦江厨房，环境还可以，到浦东机场还算方便，就是前台人员有点少，人多的时候，等待时间有点长。', '短评打分': 5}
{'短评内容': '房间有点小，但是离着浦东展览馆比较近，吃饭非常方便', '短评打分': 5}
{'短评内容': '很不错的地方。第3次入住这里了。干净，整洁。', '短评打分': 5}
{'短评内容': '这个酒店还是不错的，下次去上海的话还会去住的！', '短评打分': 5}
{'短评内容': '酒店位置设施都很不错，管理也很好，值得推荐', '短评打分': 5}
{'短评内容': '酒店干净安全，是不错选择', '短评打分': 3}
{'短评内容': '这家酒店比较干净，下次会推荐朋友过来，服务也还可以。', '短评打分': 5}
{'短评内容': '大店。楼层房间多但是不嘈杂，晚上睡觉也听不到隔壁的声音。感觉不错。', '短评打分': 5}
{'短评内容': '住过不同家锦江，感觉这家在细节上做得不错。比如电梯是刷卡式的，这样只有住店客人才能进出，安全度提高。另外床的舒适度也不错。有个问题就是浴室的冲浴和水池貌似是连在一起的，用了一个就不能用另外一个了。。。不知道当初设计的时候是怎么想的。其它还不错啦~', '短评打分': 5}
{'短评内容': '好酒店，价格也合理，位置好，出行方便，会推荐给朋友入住', '短评打分': 5}
{'短评内容': '估计是上海地区 最大的 锦江之星了，服务很好， 卫生也很干净， 交通也很方便， 下次依然会入住 这里。\n', '短评打分': 5}
{'短评内容': '1）卫生间确实小了一点，而且洗澡的东西也不是很方便\n2）一般锦江之星的早餐都是15，这家是20，说是什么锦江大厨，批了一个马甲价格就高了？而且据说即使你使用会员卡，也不送早餐了。\n\n但总体来说还不错，锦江之星比莫泰和如家还是要高半个档次的。', '短评打分': 5}
{'短评内容': '离浦东机场的距离适中，前台能说英语，服务还可以，唯一的不足就是空调不是中央空调，晚上睡觉很冷的。', '短评打分': 5}
{'短评内容': '挺干净的，不错.还有丰富的早餐可以选择.', '短评打分': 5}
{'短评内容': '酒店很干净，安全，满足入住需求', '短评打分': 3}
{'短评内容': '酒店比较干净安全，符合经济酒店定位', '短评打分': 3}
{'短评内容': '这是第二次入住,各方面条件都不错.只是这次给我安排的房间临街带阳台,本来是可以享受站在阳台看风景的,可惜这两天上海太冷了,夜间冻得睡不着.早上和前台商量能否换间房,因商务房间紧张,被告知吴方可换.但服务员很快给我送了床棉被,这夜水的还好.\n尽管是快捷酒店高,但服务却是星级的.赞一个!', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店。', '短评打分': 3}
{'短评内容': '服务很好，要是有中央空调就好了，冬天的上海冷', '短评打分': 3}
{'短评内容': '-客房还好。尤其觉得他们的锦江大厨不错，', '短评打分': 3}
{'短评内容': '房间很小,卫生间也很小。一般。', '短评打分': 3}
{'短评内容': '酒店干净、安全，在快捷酒店里还是算比较好的。', '短评打分': 5}
{'短评内容': '很干净。。。价格合理。交通方便。。。下次来还会住这里的。。', '短评打分': 5}
{'短评内容': '很不错，尤其是楼下的锦江大厨，菜非常棒，早餐也不错，很值得推荐的', '短评打分': 5}
{'短评内容': ' 入住了。谢谢了。', '短评打分': 3}
{'短评内容': ' 酒店好，下次还要来', '短评打分': 3}
{'短评内容': '不错，床很干净，早餐的一品煎饺和杭州的一样', '短评打分': 3}
{'短评内容': '不错，就是卫生间小了点，床很舒适，房间小了点', '短评打分': 5}
{'短评内容': '还好了，距离博览中心比较近，很方便的，地铁叶距离可以的。', '短评打分': 5}
{'短评内容': '+花木令我意外，不错。', '短评打分': 5}
{'短评内容': '经济型酒店中还是感觉锦江之星最干净清爽，而且一大一小的床位设计非常适合一家三口入住，智能化的门禁电梯系统也让人感觉安全，就是现在世博期间的价位偏高了。', '短评打分': 5}
{'短评内容': '这家店其实一直都比较不错，但是，本次入住，价格涨太多了，酒店急于赚多钱的心理让人比较难接受', '短评打分': 3}
{'短评内容': '设施还可以，就是价格涨了不少，性价比低了。', '短评打分': 5}
{'短评内容': '感觉挺干净，交通也方便！\r\n\r\n还不错，以后还会考虑预定这家酒店。', '短评打分': 5}
{'短评内容': '位置方便,价钱合理,还是可以住的,不过由于世博会价格还是偏高啊', '短评打分': 5}
{'短评内容': '酒店位置不错,参加会展方便,但是可能因为世界博览会的关系,价格大副标升\r\n', '短评打分': 5}
{'短评内容': '挺整洁,不错,推荐', '短评打分': 5}
{'短评内容': '很不错，建议入住，特别是参观世博的朋友，此地去世博打的大概三十元以内的花费，还不错', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，卫生条件不错，但有点偏贵，过道的通风也不是很好。', '短评打分': 5}
{'短评内容': '住在锦江之星，感觉很不错，环境好、卫生干净。', '短评打分': 5}
{'短评内容': '每次上海开会都住这酒店,很舒适,一贯的锦江作风。以后还会住这酒店\r\n\r\n楼下的锦江大厨的菜味道也不错，值得推荐', '短评打分': 3}
{'短评内容': '非常不错的一家酒店,性价比非常好.我在外通常选锦江之星,印象不错,各店像肯德鸡,麦当劳一样,各方面整齐划一,我特别喜欢锦江之星银白色的外表,给人以整洁,卫生,安逸的感觉.', '短评打分': 5}
{'短评内容': '每年会议都是住在这家酒店,很习惯了.各方面都很适应,今年世博会的原因,房价比较高,其它一切都好!', '短评打分': 5}
{'短评内容': '最称道的是早餐，虽然收费20元，但质量超过很多四星级酒店。不足之外是位置稍偏一点，房内液晶电视太小。还有就是性价比，不知是否世博原因，价格比其他城市一些四星级酒店还高，但要放在上海市内比，也还过得去了。', '短评打分': 5}
{'短评内容': '四百五的标准间，很吵，卫生还行。厕所又小，设施又旧。觉得不好。', '短评打分': 1}
{'短评内容': '房间小了一点 另外水龙头有小问题', '短评打分': 5}
{'短评内容': '一间非常舒适的酒店。性价比很高！', '短评打分': 5}
{'短评内容': '还算整洁，就是房间小了点，价格来说比如家高好多，性价比不算很高。', '短评打分': 5}
{'短评内容': '住这家酒店的基本是参与新国际展览中心展会的旅客，位置很好，打车很方便，出租车很多，黑车也很多很主动，可能因为出门的时候不是大家都出门的高峰时间吧。整体不错，有些设计很贴心，浴室墙上有吹风机，有免费的矿泉水，也可以用房卡喝咖啡。电视机的位置设计的不好，看电视很不方便，房子空间有点狭小。前台感觉很忙乱，我们预定了6间房，我们的客人也有原因，续住时候前台整个乱了手脚，等了很长时间。服务还好，会主动把客户', '短评打分': 5}
{'短评内容': '设施稍微简陋了些，卫生间里的淋浴跟洗脸池是共用一个龙头的。如果要2个人同时洗漱就会不方便了。位置距离会展中心打的起步价就到了。锦江大厨味道还不错。早餐也还不错。值得推荐。', '短评打分': 5}
{'短评内容': '店还是蛮大的，快捷酒店来说也算不错了。', '短评打分': 5}
{'短评内容': '总体感觉还不错，干净，还有免费饮料喝，停车场也很大。下次还会住。', '短评打分': 5}
{'短评内容': '性价比还算可以，早餐有点贵，内容一般，但每天不好打车，等了很久出租车也没有。', '短评打分': 5}
{'短评内容': '智能系统相当不错，大厅有茶、咖啡、橙汁供应，不错', '短评打分': 5}
{'短评内容': '位置不错,房间隔音不够好', '短评打分': 3}
{'短评内容': '位置不错.', '短评打分': 3}
{'短评内容': '早餐的品种不够丰富', '短评打分': 5}
{'短评内容': 'VERY GOOD', '短评打分': 3}
{'短评内容': '不愧是国内最大的一家锦江之星，环境好，早饭也很棒。', '短评打分': 5}
{'短评内容': '干净整洁便宜', '短评打分': 5}
{'短评内容': '酒店的服务态度很好，交通也方便，我还会再住。', '短评打分': 5}
{'短评内容': '距离我要去的地方很近，信赖锦江之星这个品牌', '短评打分': 3}
{'短评内容': '房间里沐浴露都没有，但在说话这个高消费城市，这样的价格也只能这样了。', '短评打分': 5}
{'短评内容': '环境，服务佳', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '卫生、服务、设施都很不错、性价比高', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '整体硬件设施还可以，挺简单、大方的，离国展也不远', '短评打分': 3}
{'短评内容': '交通方便，环境不错。', '短评打分': 5}
{'短评内容': '我觉得酒店还挺干净的，不过房间点小，前台服务一般，酒店离地铁也不近，需要走一段路，在这个位置打车还可以，但是要是想做公共交通工具有点不太方便', '短评打分': 3}
{'短评内容': '房间的打扫的还是挺干净的,服务态度比较一般,位置稍微偏了一些出行也不是太方便.性价比挺一般的.', '短评打分': 3}
{'短评内容': '早餐很好吃哦', '短评打分': 3}
{'短评内容': '还不错，交通很方便，就是价格不经济，住宿及餐饮价格偏高', '短评打分': 5}
{'短评内容': '如果是参加展会，应该是首选。位置离展馆很近，房间卫生很好，被褥干净。隔壁有多家餐馆，味道不错。可能因为酒店是经济型，楼道不安静；晚上8点半到前台借了吹风机，夜里十一点半被服务员敲门要走了。', '短评打分': 5}
{'短评内容': '早餐还是不错的，锦江大厨的晚餐也是可以推荐的！\r\n房间不大，不过性价比还是比较高的。', '短评打分': 5}
{'短评内容': '帮同事定的，他觉得不错，地理位置也还可以\r\n', '短评打分': 3}
{'短评内容': '环境还算比较好的！', '短评打分': 5}
{'短评内容': '帮同事们定的，觉得服务和卫生都不错，还有会议室可以开会，边上餐厅味道也不错', '短评打分': 3}
{'短评内容': '帮同事定的，他觉得不错，地理位置也还可以，离地铁和会展都不远。', '短评打分': 5}
{'短评内容': '去考试的时候预定了此酒店，感觉餐饮方面不是特别方便旁边有一个吃饭的地方但是价格稍微贵了一点，酒店离地铁口很近，交通方便。', '短评打分': 3}
{'短评内容': '走廊的地毯霉味很重,闻了很不舒服', '短评打分': 1}
{'短评内容': '房间比较干净,就是房间面积小了些,酒店的地理位置不错,出行比较方便,', '短评打分': 5}
{'短评内容': '很干净整洁，服务员素质高，房间内有点潮，离会展公交3站地，还算方便', '短评打分': 1}
{'短评内容': '酒店入住后感觉还不错,挺干净舒适的；位置也很好,如果到会展中心参加展会,还是值得推荐的酒店\r\n\r\n', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店入住后感觉还不错,挺干净舒适的；位置也很好,很符合我的要求；如果到会展中心参加展会,还是值得推荐的酒店', '短评打分': 5}
{'短评内容': '离世纪公园站步行大概15~20分，整体服务不错，营养早餐也不错，整体感觉很好', '短评打分': 5}
{'短评内容': '性价比还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '酒店的硬件设施和服务都不错，环境也还可以，价格虽然适中，但是他的位置不是特别好，附近还修路，交通不太方便，步行到科技馆也不近，如果行程不紧的话，可以考虑这里。', '短评打分': 5}
{'短评内容': '经济型酒店来说，他们的硬件设施比较一般，不过挺干净的，而且服务也还不错，地理位置交通是比较方便。', '短评打分': 5}
{'短评内容': '床太硬了，不舒服。卫生间比较小，比较局促。卫生和服务都还不错。早餐比较简单了一点。', '短评打分': 5}
{'短评内容': '总体一般,地段较好,参加展会比较方便. 房间太小.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;还不错！但车位太少！房间隔音差了些！&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '房间很简洁，服务很好，可以寄包，交通很方便地铁、出租车都有，甚至可以过马路坐公交去人民广场很实惠，设施比较简单，毕竟是准二星，觉得很舒适。', '短评打分': 5}
