{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '位置在广场边，很方便，性价比高，但介绍该店的电子地图显示位置不太准，从地图上查看似乎靠近王城大道和中州中路交叉路口附近，其实是在凯旋路靠广场一侧。', '短评打分': 5}
{'短评内容': '不喜欢那里，服务不是很周到，住两天中间不能换床单被罩令人觉得不舒服', '短评打分': 3}
{'短评内容': '印象很不好，住了两天居然中间不换床单被罩，感觉很不好', '短评打分': 1}
{'短评内容': '服务态度不错但给开的第一间房有很大气味，好在给换了', '短评打分': 5}
{'短评内容': '广场周边，又不是很乱。交通优势明显。入住后挺温馨滴。。。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '服务员说家庭房换三人间，其实就是标间加床，价格比家庭房低，换完了，又被告之，价格一样，不便宜，但房间小很多', '短评打分': 1}
{'短评内容': '房间设施还不错~就是周围可以吃饭的地方太少了~', '短评打分': 5}
{'短评内容': '别的什么都好，就是房间有点小。还就是卫生间的花洒不好用，希望可能改进', '短评打分': 5}
{'短评内容': '除了停车不太方便外，其他的都很好，服务也非常热情', '短评打分': 5}
{'短评内容': '+店很新，离王城广场在步行十分钟内', '短评打分': 5}
{'短评内容': '酒店舒适干净，地理位置优越，就在王城广场附近，坐车到龙门石窟和白马寺都很方便。', '短评打分': 5}
{'短评内容': ',挺好', '短评打分': 5}
{'短评内容': '位置不错，条件也挺好，大床房床很大，就是空间小点，下次到洛阳还会住', '短评打分': 3}
{'短评内容': '位置不错，条件也挺好，大床房床很大，就是空间小点，下次到洛阳还会住', '短评打分': 5}
{'短评内容': '非常值得推荐性价比很高，其他的格林豪泰都赶不上，而且地理位置很好，房间很干净，推荐入住！', '短评打分': 5}
{'短评内容': '不错,挺实惠的,就是一次性用品差了点,还有,吹风机应该配备一个,尤其是冬天要到了!', '短评打分': 3}
{'短评内容': '环境舒适，方便快捷', '短评打分': 5}
{'短评内容': '+位置好，干净、整洁。家具设施新。值得推荐。', '短评打分': 5}
{'短评内容': '总体来说，还是很不错的！性价比不错，交通也很方便。', '短评打分': 5}
{'短评内容': '地理位置不错，酒店设施除了淋浴以外，其他都不错，卫生条件除了床铺以外都还好，整体还行。', '短评打分': 5}
{'短评内容': '+交通位置不错，旅游很方便，房间有点小，服务态度不错，性价比较高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间舒适干净，不错', '短评打分': 5}
{'短评内容': '很安静，很干净，不错。', '短评打分': 5}
{'短评内容': '房间卫生干净，酒店在繁华市区，交通出行很方便', '短评打分': 5}
{'短评内容': '酒店的装修还是可以的，房间硬件设施很齐全，服务不错，住宿环境挺好的', '短评打分': 5}
{'短评内容': '这个酒店的基本状况都不错，但是服务就比较糟糕啦。那次我本来预定的是2晚房间，后来因为行程的问题需要加住一晚。在我办好手续之后，服务员在晚上11点半过后（我和同住的人都已经睡了）突然打电话过来要我们马上下去柜台加房钱，还说如果不加可能房间就住不成了。如果程序上需要加钱，为什么不在我们办续房手续时就讲出来，要半夜来找人加钱呢？这种服务真的需要改善。', '短评打分': 5}
{'短评内容': '房间干净，卫生，酒店的位置不错，出行挺方便的。', '短评打分': 5}
{'短评内容': '房间面积很大，很宽敞，卫生条件不错，蛮干净的，前台人员服务态度很好，周到热情，住着蛮舒服的', '短评打分': 5}
{'短评内容': '酒店位置还可以，周边环境挺好的，交通挺方便的，附近吃饭的地也蛮多的', '短评打分': 5}
{'短评内容': '全国连锁店，装修与服务基本都是一样的，所以在住宿上没有太大的争议，干净卫生。前台服务也相当的好。希望在价格上能更加优惠。', '短评打分': 3}
{'短评内容': '卫生很好，打扫的很干净，没有卫生死角，服务周到，出行方便', '短评打分': 5}
{'短评内容': '地理位置不错，房间刚装修过，而且也很干净。下回还去住这里。。。。。。。', '短评打分': 5}
{'短评内容': '当时到酒店后，酒店服务员给我们介绍的比较详细，服务没得说，房间挺宽敞，住着蛮舒服的', '短评打分': 5}
{'短评内容': '房间还是比较蛮大也比较干净，酒店的位置还是挺好找的，价格还是挺不错的，位置也很方便而且酒店也有停车场。性价比还是蛮高的。', '短评打分': 5}
{'短评内容': '另外追加一句，我所住的房间里马桶盖似乎是坏的，有点小小的心理阴影～', '短评打分': 3}
{'短评内容': '服务不好，到了宾馆竟然给开了一个别人还没有退房的房间。', '短评打分': 1}
{'短评内容': '性价比很好，下次出行还会住的。', '短评打分': 5}
{'短评内容': '吹风机还是可以准备一个的，不能一个房间一个，一个酒店一个总买的起吧？！', '短评打分': 1}
{'短评内容': '一般般，进店的时候比较郁闷，第一次给的房没收拾，第二次给的卡开不了门。。。第三次才进去~~~', '短评打分': 5}
{'短评内容': '中规中矩的酒店 都还过得去', '短评打分': 5}
{'短评内容': '房间比较小,比较拥挤.而且硬件条件也很一般,我本人不看好这家酒店.', '短评打分': 1}
{'短评内容': '住的很舒适  前台服务很好  相当客气  我们到洛阳旅游  还提供不少有用的建议   ', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 5}
