{'短评内容': '很好推荐入住。', '短评打分': 5}
{'短评内容': '房间还不错，服务也不错', '短评打分': 3}
{'短评内容': '总体感觉还好', '短评打分': 3}
{'短评内容': '酒店不错，到北京和天津住过，这次到宁波还是选择了它，到哪个城市我都会最先选择锦江之星，给人简单的感觉！', '短评打分': 5}
{'短评内容': '环境不错，内部干净，还有小卖部，下次还去。', '短评打分': 5}
{'短评内容': '酒店很干净，洗手间略小，晚上也不吵闹，旁边是个商业街，吃饭唱歌之类的比较方便。', '短评打分': 5}
{'短评内容': '酒店很干净，洗手间略小，晚上也不吵闹，旁边是个商业街，吃饭唱歌之类的比较方便。', '短评打分': 5}
{'短评内容': '酒店内设不错', '短评打分': 3}
{'短评内容': '酒店内设不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '地方太小了 啊啊啊啊~~~~~ 就在体育馆旁边不远', '短评打分': 5}
{'短评内容': '地方太小了 啊啊啊啊~~~~~ 就在体育馆旁边不远', '短评打分': 5}
{'短评内容': '没什么说的，每次到宁波来都是这个酒店，很好很喜欢。', '短评打分': 5}
{'短评内容': '没什么说的，每次到宁波来都是这个酒店，很好很喜欢。', '短评打分': 5}
{'短评内容': '酒店位置不错，环境也很干净，特别是床品很舒服，不错，属于经济实惠型', '短评打分': 5}
{'短评内容': '酒店位置不错，环境也很干净，特别是床品很舒服，不错，属于经济实惠型', '短评打分': 5}
{'短评内容': '闹市区的很方便的经济型酒店，值得一住，物美价廉，支持！', '短评打分': 5}
{'短评内容': '闹市区的很方便的经济型酒店，值得一住，物美价廉，支持！', '短评打分': 5}
{'短评内容': '基本还可以吧，就是房间比较小，其他的都还好，楼下还有停车场，但是隔音效果真的不是很好，比较吵', '短评打分': 5}
{'短评内容': '基本还可以吧，就是房间比较小，其他的都还好，楼下还有停车场，但是隔音效果真的不是很好，比较吵', '短评打分': 5}
{'短评内容': '锦江的卫生没的说的，总是很干净，比较信赖这个经济型酒店', '短评打分': 5}
{'短评内容': '锦江的卫生没的说的，总是很干净，比较信赖这个经济型酒店', '短评打分': 5}
{'短评内容': '不错，很干净环境也不错。停车场也算大，下次还会再来。', '短评打分': 5}
{'短评内容': '不错，很干净环境也不错。停车场也算大，下次还会再来。', '短评打分': 5}
{'短评内容': '房间虽然小了点，但很温暖，只是晚上时候隔音效果不是很好，半夜被走廊里走动的住客吵醒。', '短评打分': 5}
{'短评内容': '房间虽然小了点，但很温暖，只是晚上时候隔音效果不是很好，半夜被走廊里走动的住客吵醒。', '短评打分': 5}
{'短评内容': '酒店位置一般,有停车场，一楼的小餐厅提供早餐,中午晚上有套餐，房间略小但还算干净，卫生间也是。主要能睡个好觉。前台有点小忙，需耐心。', '短评打分': 5}
{'短评内容': '酒店位置一般,有停车场，一楼的小餐厅提供早餐,中午晚上有套餐，房间略小但还算干净，卫生间也是。主要能睡个好觉。前台有点小忙，需耐心。', '短评打分': 5}
{'短评内容': '很垃圾的一家酒店、卫生很差、被子是发黄的，卫生间有难闻的异味。。。走进房间就是一股很不舒服的味道。。。', '短评打分': 1}
{'短评内容': '很垃圾的一家酒店、卫生很差、被子是发黄的，卫生间有难闻的异味。。。走进房间就是一股很不舒服的味道。。。', '短评打分': 1}
{'短评内容': '朝晖路店还不错\u3000对面有美食一条街\u3000很方便', '短评打分': 5}
{'短评内容': '朝晖路店还不错\u3000对面有美食一条街\u3000很方便', '短评打分': 5}
{'短评内容': '卫生状况较好，周边环境不错，交通便利，性价比可以', '短评打分': 5}
{'短评内容': '卫生状况较好，周边环境不错，交通便利，性价比可以', '短评打分': 5}
{'短评内容': '酒店不错，在装修比较干净，停车场也还方便', '短评打分': 5}
{'短评内容': '酒店不错，在装修比较干净，停车场也还方便', '短评打分': 5}
{'短评内容': '总体不错，但对于酒店位置来说，价格有点高', '短评打分': 5}
{'短评内容': '总体不错，但对于酒店位置来说，价格有点高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '有停车场，适合自驾游的入住，缺点：餐厅太迷你，早餐时明显人多地小', '短评打分': 3}
{'短评内容': '有停车场，适合自驾游的入住，缺点：餐厅太迷你，早餐时明显人多地小', '短评打分': 3}
{'短评内容': '位置不错，周边比价方便，性价比很高哦', '短评打分': 5}
{'短评内容': '位置不错，周边比价方便，性价比很高哦', '短评打分': 5}
{'短评内容': '该酒店很清洁，价格合适，是理想的休息场所', '短评打分': 5}
{'短评内容': '就是早餐时，人多地方小，服务有点跟不上', '短评打分': 5}
{'短评内容': '位置不错,房间隔音不好', '短评打分': 3}
{'短评内容': '房间很干净，被子和床都很舒服，就是停车不方便，停车地方太小了！服务态度相当好，下次还是住他们的连锁店！', '短评打分': 5}
{'短评内容': '这个锦江之星感觉还不错，像是他们的环境挺好的，服务也还不错，而且硬件和他的地理位置我觉得都是比较不错的，除了房间不太隔音其他都还好。', '短评打分': 3}
{'短评内容': '酒店比较干净，服务方面也很热情，酒店的性价比很合适，地理位置也很不错', '短评打分': 3}
{'短评内容': '酒店总体可以，有停车场，但餐厅厨师水平，中午点了一套餐，主菜咸的的要命，所以劝大家要吃饭还是到酒店边上的惊驾路餐饮一条街。', '短评打分': 5}
{'短评内容': '酒店很干净，硬件设施感觉也是不错的，包括他的位置也挺好的，对于我这次的出行挺方便，因为我开车过去的，停车什么都挺方便的，但是他们的服务太死板了，我们在那里住了三天，前台小姐是说每天结账会比较方便，但是我住到第三天的时候，想起我住了这么多天，感觉还不错，于是想办个会员卡，到了前台被告知一下付三天的房费才可以办会员卡，而且办会员卡正好有活动，每天还可以返还50块钱，我现在每天结账是不能办理的，但是我住', '短评打分': 1}
{'短评内容': '感觉还是不错的,价格也蛮合适的.值得推荐了', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '地理位置很不错，吃饭，购物，出行都挺方便的，旁边就是天伦广场，里面有不少特色的小吃的，川菜，湘菜的，沙县小吃，当然还有兰州拉面，韩国料理，说明：韩国料理与那个湘菜的不实惠.距离南站15元打的，距离会展中心，10元，房价价格还算实惠，预订的时候标间179，单间169元；购物有家乐福；对面有休闲的足浴，美中不足的时，房间的隔音不是很好！影响睡眠，整体感觉，推荐一下！', '短评打分': 3}
{'短评内容': '酒店的位置很不错，距离会展中心4.3KM，打车10元，距离汽车南站，火车南站打车15元；周围就是天伦广场，吃饭挺方便的，购物的话有家乐福，也在旁边；酒店的设施比较新的，比较整洁，服务态度也较好；娱乐休闲方面，门口有足浴中心，对面有KTV，档次挺高，或许是经济型的缘故吧，房间的隔音效果不是很好，睡眠受到一定的影响.\r\n另外旁边的酒店有123INN连锁酒店，还有一个是什么的呀，倒是想不起来了，价位了解', '短评打分': 5}
{'短评内容': '酒店环境和设施很好，很多设备都很齐全，酒店服务也非常不错', '短评打分': 5}
