{'短评内容': '房间陈旧，价格虚高，没有性价比，早餐品种太少，不会再来了', '短评打分': 5}
{'短评内容': '很好很好，超级喜欢，无敌夜景，浴袍好暖，浴缸很大，电视的信号好像不太好，还有就是楼太高，水热的慢', '短评打分': 3}
{'短评内容': '设计独特，新颖，丽思的服务管理不错，，，', '短评打分': 5}
{'短评内容': '客房条件挺不错的，而且性价比很高，整体住宿感觉还是挺好的，舒适度好.', '短评打分': 5}
{'短评内容': '安全性很高.前台办事效果很快，而且态度也非常好.对我挺照顾的，而且客房都有额外提供免费的水饮用，比较周到.', '短评打分': 5}
{'短评内容': '新开业酒店，设计独特，服务很不错，，，推荐', '短评打分': 5}
{'短评内容': '性价比很高，而且位置也好方便出行，室内的各方面都很达标.', '短评打分': 5}
{'短评内容': '挺不错的酒店，就在IFC里，基本上挺满意', '短评打分': 5}
{'短评内容': '房间很干净设施还是很新的，服务态度也特别好特别周到，位置也很中心，价格要是再便宜就更好了。', '短评打分': 5}
{'短评内容': '房间里的硬件设施齐全，隔音效果特别好，住着很安静，房间收拾的干净整洁，感觉蛮不错的', '短评打分': 5}
{'短评内容': '房间硬件设施特别的齐全，尤其是卫生间很大，而且浴缸超豪华，设施的形状很独特，住着很舒服，值得推荐一下', '短评打分': 5}
{'短评内容': '酒店位置很好，走路就能到外滩，酒店里的硬件设施比较有档次，能感觉到是名副其实的五星级酒店。服务很好，都是面带微笑的，有宾至如归的感觉', '短评打分': 5}
{'短评内容': '感觉酒店装修比较有特色，是仿古风格的，地理位置不错，出行特别的方便，服务员态度很好，周到热情，比较有素质，住宿环境特别的好', '短评打分': 5}
{'短评内容': '酒店的服务员很热情，而且办事效率蛮高的，而且当时给我安排的房间就是靠近外滩的，透过窗户就可以看到外滩景象，简直太美了，住宿环境很好。', '短评打分': 5}
