{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '房间大小还好，卫生打扫很干净，设施有些陈旧，隔音效果还可以。', '短评打分': 5}
{'短评内容': '酒店挺经济实惠的，位置也不错，离武侯祠挺近，游玩也挺方便。', '短评打分': 5}
{'短评内容': '位置非常棒，出行很方便，房间挺干净挺明亮，通风也很好，基本设施都有，住的还是挺舒适。', '短评打分': 5}
{'短评内容': '服务人员态度很好，很乐于助人，英语说得也很好，位置不错，位于中心地带，出行还是很方便的。', '短评打分': 5}
{'短评内容': '房间设计的有点川西风格，服务上很热情很周到，卫生做得也很好，住起来挺舒适的。', '短评打分': 5}
{'短评内容': '干净整洁，设施完善，服务周到，物美价廉。', '短评打分': 5}
{'短评内容': '房间设计的简洁大方，卫生打扫也很好，床挺大挺舒适的，其他设施也不错。', '短评打分': 5}
{'短评内容': '服务很好，服务员的素质很高，英文说得也太好了吧！所以的广告招贴都是英文！', '短评打分': 5}
{'短评内容': '有特色，适合驴友，不过环境可以再好一点。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置很好，员工也很好，很有特色的客栈，舒服的院子，下次来成都还来', '短评打分': 5}
{'短评内容': '青年旅馆应由厂房改建而成 房间层高很高 别具一格 国际青年汇集地 来成都自己游玩应是个好地方', '短评打分': 3}
{'短评内容': '＋有独立卫生间就完美了', '短评打分': 3}
