{'短评内容': '前台那个小姐姐  你马着个脸什么意思  我差你钱还是咋的  房间里马桶都是烂的  被单上还有红点  脏的！', '短评打分': 3}
{'短评内容': '还不错 就是没有热水', '短评打分': 3}
{'短评内容': '的确，私人出游选择这家店真是不错的，性价比还是高，地理位置非常好，不管打车或坐公交车出行都很方便，距离自贡的一些景点及火车站都比较近。我订的商务标准间，两个大人两张早餐券，孩子都跟着免费吃了。味道也不错，算丰富了，至少有好多样可选。有一次晚餐也是在店内吃的，口味不错，干净，色香味俱全，而且份量足价格实惠。长话也可免费打，报个平安聊个天什么的很方便。清洁各方面都过得去，连卷纸也足够用。唯一有三点希望', '短评打分': 5}
{'短评内容': '酒店位置非常好，在闹市中心区的一个商业广场内。很方便。自贡不大，这里打的和坐公交都很方便，楼下就有小吃的地方，很喜欢这里的凉糕，对了还有泡冰。好吃极了。往前走200米是个彩灯公园，注意公园入口进去第一家刨冰超难吃又贵，要5元，就在对面有家3元的量多又品种丰富。超好吃呢。\r\n广场里的其他小吃也不错。\r\n扯远了。总之我们在8月份的时候去自贡住这里很方便很不错。下次有机会选择再住这里。', '短评打分': 5}
{'短评内容': '房间还是可以，看上去比较舒服，都是走廊有点长', '短评打分': 5}
{'短评内容': '房间比较大 简单 干净 不足就是有点吵~~', '短评打分': 5}
{'短评内容': ' 位置好，服务态度也不错。就是有点吵。', '短评打分': 5}
{'短评内容': '整体环境将就，就是门感觉比较差，有一间房卫生间没有帘子，无语！', '短评打分': 5}
{'短评内容': '已经两入住这家店了，本以为这么久了应该有比较大的改善，但是很让人失望，没有经济型酒店的舒适和人性化，感觉价格很贵，而且我住的豪华单间和上次的普通单间除了阳台大一点其他没有任何区别，感觉不值。此酒店最大的优势就是地理位置好……', '短评打分': 1}
{'短评内容': '位置在五星街最繁华的路段，因为是商业区，一直有音乐促销展台等声音吵闹，经打听是以前的一家私人旅馆，后来不知怎么就加盟安逸158了，除了换了店招，里面的设施还没有更新过来，也就是说并非普通映像中的经济型连锁酒店的装修风格，比较老。早餐还行，位置很好，服务员态度不错。', '短评打分': 5}
{'短评内容': '感觉还可以，但早餐很差。位置不错，只是进口的四楼是二楼。', '短评打分': 5}
{'短评内容': '性价比很好的酒店，服务效率高，房间很干净，设施齐全，下次还会住', '短评打分': 5}
{'短评内容': '自贡可选择的酒店较少，这家新改装的酒店值得推荐：房间大、设施较好。建议在楼梯口注明总台登记在四楼。', '短评打分': 5}
{'短评内容': '不错。自贡一直缺少经济型酒店，对于私人出游来说，都去住汇东大酒店就没必要了。所以安逸158为这类游客提供了另外的选择。', '短评打分': 5}
{'短评内容': '交通和周边环还可以。但酒店设施旧了点。特别是洗手间。', '短评打分': 5}
{'短评内容': '就是一个加盟店，感觉有种受骗的感觉，很差的，下次再也不住了。', '短评打分': 1}
{'短评内容': '地理位置不错，但是酒店是改装而来的，故设施比较陈旧。此外，和其他经济型酒店相比不是很注重细节，特别是早餐我个人认为很差劲！', '短评打分': 3}
{'短评内容': '酒店是改装的，设施比较陈旧！', '短评打分': 1}
