{'descr': '很好，就是有地毯，有点味道', 'star': 5}
{'descr': '总的来说灰常不错，字数很烦人啊！！！！！！1', 'star': 5}
{'descr': '酒店服务还行，就是床太旧，弹簧顶得浑身痛，好在酒店给了一件毯子铺上，稍微好一些。', 'star': 1}
{'descr': '位置还不错靠近五角场商圈。。。环境也还OK蛮干净的，总的来说还可以。。。', 'star': 5}
{'descr': ' 上海特色吧 房间小 交通方便', 'star': 3}
{'descr': '总体说不错的  环境比较安静  适合出差 旅行  地理位置优越\n\n里面的装修一般  不过对比价格来说  也就这个档次了', 'star': 5}
{'descr': ' 希望莫泰的床能柔软些', 'star': 3}
{'descr': '交通好方便，五角场商圈，商业很发达，管理较规范。', 'star': 5}
{'descr': '床有点硬，地理位置不错，稍微有点旧，还行。', 'star': 5}
{'descr': '离五角场商业中心非常近，购物就餐很方便，酒店很干净！', 'star': 5}
{'descr': '比较差，如为省钱可以选择，但我住了一晚就赶紧换酒店了，尽管卫生状况还可以，但设施太差了。与星级酒店没法比。', 'star': 1}
{'descr': '设施一般，空调不是很足！！！服务的态度非常的不好，建议事先先确认好热水和空调！', 'star': 1}
{'descr': '很垃圾的一家酒店。首先服务态度不冷不热。第二装修很陈旧，床上用品发黄。最可恶的是有天晚上竟然没热水洗澡！', 'star': 1}
{'descr': '离地铁很近～～交通方便   睡眠不好的人 要提前说不要安排在空调外挂的那间', 'star': 5}
{'descr': '住一天还可以,设备用一个字旧可以形容,电视柜都不直的,而且定好了去还要等', 'star': 1}
{'descr': '地段良好。服务于硬件价廉物美，出租车司机都知道地点。', 'star': 5}
{'descr': '房间还可以，就是价钱贵了点，但世博期间，也无可厚非。', 'star': 3}
{'descr': '我能理解这个时期价钱会贵一点，但是我中间与他们有些纠纷就是作为酒店对住客能不能态度好一点，板着脸跟我说这样也不行那样也不行，可以通融的，该变通就要懂得变通，不可以通融的我当然什么也不会强制。\r\n除了这点以外，其实酒店设施还是很不错的。感觉住得挺舒服的，世博期间确实价钱不会便宜到哪里去。', 'star': 5}
{'descr': '其实作为经济型此酒店还说得过去，房间里还是比较干净，但床的舒适度很差，非常硬，能摸到弹簧。空调系统跟星级酒店也没法比！', 'star': 1}
{'descr': '性价比很高```附近很方便`地铁```饭店``不远就是五角场```很不错的地方', 'star': 5}
{'descr': '总体上还可以，还算安静，设施一般，房间不大，床比较硬，离五角场近。', 'star': 5}
{'descr': '有一间房间不错，有一间有些简陋，世博太贵了', 'star': 5}
{'descr': '世博会酒店价高一倍多，不过以后就好了。哈哈哈哈哈哈', 'star': 5}
{'descr': '机场大巴在五角场下车后,走大概10分钟就可以到,非常方便；走5分钟就可以到五角场商业区，吃饭购物也非常方便。虽然在闹市中，但也比较安静。但因为是经济型连锁，所以大家不要期望太高', 'star': 5}
{'descr': '酒店的位置靠近商业圈，比较方便，房间属于闹中取静的，还是比较舒适的，就是商务大床房的房间电视机很小，看起来很不舒服，还有淋浴的喷头有点陈旧，用起来不方便。希望能够下次入住都很完善的房间。', 'star': 5}
{'descr': '优点：服务态度好，服务人员很有礼貌，需要什么东西也会尽量办妥，房间也挺干净。另外，这家店离五角场的万达广场非常近，走路几分钟而已，离复旦、上财等高校也不远。如果在附近办事还不错。\r\n最大的缺点：床铺实在太硬了，和直接睡在钢管上一样，背疼的很！另外，似乎酒店有个不好的做法，只要你不主动说，总是把靠电梯间或者锅炉房的房间先给客人——我住的时候特意向服务台要一间安静的房，结果还给了电梯间旁边的房子。早上', 'star': 1}
{'descr': '太失望了。。。半夜竟然有老鼠218房', 'star': 1}
{'descr': '还不错的酒店，值得一住', 'star': 3}
{'descr': '不错的酒店，值得推荐', 'star': 5}
{'descr': '订这家酒店是因为靠我去的地方比较近，但是住下来整体感觉性价比一般，尤其是早餐，实在是不怎么样，就餐环境也非常一般，希望要加强。', 'star': 1}
{'descr': '被子有点薄，毛巾不软，其他都挺好，出门吃饭逛街都很方便 ', 'star': 5}
{'descr': '性价比不错，干净安静', 'star': 5}
{'descr': '价格有点高，床单面料有点硬。', 'star': 5}
{'descr': '酒店的环境硬件设施都比较不错，卫生服务也很达标，价格在上海算是比较合理的，位置出行交通方便。值得推荐入住的酒店。', 'star': 3}
{'descr': '很好，正好在出差的附近，价格适宜。', 'star': 5}
{'descr': '服务都挺好的，所在位置出行也方便，就是觉得房间有点小，价格有点偏高，其它都还不错', 'star': 3}
{'descr': '当时因为入住时间的问题，换了一个房间。希望以后这种事情能尽量地避免。', 'star': 5}
{'descr': '经常入住经济型的酒店，这家酒店性价比还是可以的，很满意。', 'star': 3}
{'descr': '酒店的位置很好，附近交通出行方便，周围环境也很热闹，内部的服务环境也好，安静舒适', 'star': 3}
{'descr': '这样的价格还可以要求什么，但是如果周边的交通方便些，的确可以加分不少', 'star': 5}
{'descr': '除了隔音不太好，其他方面都很不错', 'star': 5}
{'descr': '挺安静的，交通比较便利。就是附近吃饭比较有问题', 'star': 5}
{'descr': ' 适合商', 'star': 5}
{'descr': '酒店的位置很好，附近交通出行方便，周围环境也很热闹，性价比很好的酒店，服务卫生舒适度硬件设施都很达标，值得推荐入住的酒店', 'star': 5}
{'descr': '酒店的位置非常好，服务、卫生也不错，就是设施很一般很简单', 'star': 5}
{'descr': '我感觉服务还是挺热情的,设施也挺新挺齐全的,价格也比较合适.', 'star': 5}
{'descr': '我感觉服务还是挺热情的,设施也挺新挺齐全的,价格也比较合适.', 'star': 5}
{'descr': '酒店比较干净，位置也很好，交通非常方便，硬件设施也还不错，如果能加强服务就好了，总体来说经济实惠。', 'star': 5}
{'descr': '挺不错的，服务很热情，酒店环境也很干净，设备也很齐全，主要是出行很方便，价格也很便宜', 'star': 5}
{'descr': '位置方便，价格经济', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '说实话，虽然200多的价格在上海住酒店不是很贵，但是这个酒店的性价比实在很不高。房间很小倒也算了，最主要是进房很大一股霉味，很是难闻。其他的隔音效果差什么的也就不说了，这个大家应该都知道。', 'star': 3}
