{'短评内容': '吃饭方便！', '短评打分': 4}
{'短评内容': '地方很难找，走进一条小路还要走半天。设施简陋。价钱相比其他位置的锦江之星算贵的了。', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这次入住感觉服务和卫生都比以前有了明显的改善', '短评打分': 5}
{'短评内容': '还可以，就是设施有点旧了，希望能更新，特别是空调', '短评打分': 5}
{'短评内容': '位置比较难找 3个房间有一个网络不通 一个空调制冷不灵 房间小 有异味。', '短评打分': 1}
{'短评内容': '感觉还行，位置不好找，晚上有人在房间门缝下面发卡片，不爽', '短评打分': 3}
{'短评内容': '旅店的服务，里面的环境都很好，就是周围的环境有点乱，不过不影响居住', '短评打分': 3}
{'短评内容': '管理有待提高，晚上有人往门下塞色情小卡片，让人不爽，觉得没安全感，其他的还好', '短评打分': 5}
{'短评内容': '地点不错，离花园东路、北土城西路、牡丹园地铁站都不太远。但是门前的小街很窄，找进来比较困难。服务态度很好，打电话告知因飞机延误晚到，留房都没有问题。早餐15元，品种不太多但也还适用可口。', '短评打分': 5}
{'短评内容': '就是位置有点偏，在小胡同里，小摊比较多，周围的卫生不太好，但旅馆里面还是很不错滴，服务也挺热情的', '短评打分': 5}
{'短评内容': '位置还行……就行有点难找……感觉街边环境乱了点……一般吧~', '短评打分': 5}
{'短评内容': '还不错，就是门前差了一些，整体还可以，在地铁边上，方便', '短评打分': 5}
{'短评内容': '基本上还可以，打扫卫生不及时，性价比较好', '短评打分': 3}
{'短评内容': '酒店卫生很好，舒适，服务也不错', '短评打分': 5}
{'短评内容': '卫生还好，空间很大。', '短评打分': 3}
{'短评内容': '位置太难找了', '短评打分': 1}
{'短评内容': '周围都是小区，吃的东西很多哦', '短评打分': 5}
{'短评内容': '设施很新，服务亲切，卫生也很好，房间装修感觉比较温馨。总体来说都比较满意。只是位置有点偏，位于一个小巷子里。不过住起来还是比较舒适的。性价比比较高', '短评打分': 5}
{'短评内容': '大床间都是天井房，手机信号很差', '短评打分': 1}
{'短评内容': '住的是三楼的标准房，房间靠外侧，旁边就是车道，早上七点就一堆车拼命按喇叭，吵到睡不著，建议入住要选里面一点.其他房型的房间。', '短评打分': 1}
{'短评内容': '总体来说，性价比较好，需要提高卫生质量和服务水平', '短评打分': 5}
{'短评内容': '比不上在上海的时候住过的锦江之星。但从总体上来看，觉得200块钱一晚也不错的，还是标间。而且标间里面是大床和小床，三口之家住都可以。服务员的态度还是可以。感觉大厅的卫生状况不是很好，而且房间里面坐的那个凳子上有污渍，也不知道是血渍还是油渍。不过床铺上看起来很干净，白色的床单，很不错。说是有自行车免费租用，结果过去的时候看见在酒店旁边废旧自行车堆成堆了，就是没有可以免费租用的。设施觉得不是很好，先是', '短评打分': 5}
{'短评内容': '还算好找吧，从10号线牡丹园东北口出来，一直往北，有个过街天桥，差不多就在那了，还可以，就是晚上楼下的市场很吵', '短评打分': 5}
{'短评内容': '在泰兴大厦对面的胡同里，小西关后街，龙翔路向南平行的那趟街上，如果不是经常来遛弯我也找不到，居住还算舒适，早上有早餐，住店15一位，还不差。但是停车是个噩梦，没人看着，是那种两层的停车位，后杠被刮了，心疼啊！！！前台服务需要提高，性价比不错，推荐入住！！', '短评打分': 5}
{'短评内容': '不错的酒店，房间整洁，卧具干净，很舒适。就是结帐太慢，最后一天还没到12点就把房间给锁了，其实剩余押金比一天房费还多呢，不知他们为什么那么紧张，好象住客都时刻准备好赖他们帐似的。', '短评打分': 1}
{'短评内容': '酒店很干净，位置、服务一般', '短评打分': 5}
{'短评内容': '酒店性价比比较好，服务质量好，下次有机会还会光临。', '短评打分': 5}
{'短评内容': '酒店服务还行，就是位置偏了', '短评打分': 3}
{'短评内容': '看了前面的评论，其实位置还是比较好找的，牡丹园（牡丹园地铁口）十字路口往北走，见到一个过街天桥，天桥下面就有个小胡同，顺着小胡同往东一直走就能看到了，胡同虽小，出租车还真不少，比一些大路感觉还更好打车。服务人员态度不错，满热情的，不过房间内部确实是一般般，地板严重开裂，设施简陋，好在还算得上整洁，淋浴确实像前面有位同学说的，出水不是很畅快，马桶盖并没有已消毒的标志，隔音也不好，不过据说它是附近价格', '短评打分': 5}
{'短评内容': '酒店地理位置不好找,人员服务很热情,房间里面的卫生条件也还不错,价位适中,还是可以作为一个选择的.', '短评打分': 3}
{'短评内容': '比较靠近牡丹园地铁站（10号线），但有点难找。建议自己打印份地图。附近小区生活很方便，价格便宜，但街道不是很干净，有些乱。房间干净，安静，大小还不错。', '短评打分': 5}
{'短评内容': '有点偏僻  不好打车很安静 ', '短评打分': 5}
{'短评内容': '不好找到,并且地图上的标示不对', '短评打分': 1}
{'短评内容': '住了很多天，感觉还可以。', '短评打分': 5}
{'短评内容': '整体不错，价格在便宜点最好', '短评打分': 3}
{'短评内容': '总体住宿和服务都不错，但是房间隔音不是很好，浴室淋浴水流不是很痛快，花洒不好用。酒店周边小商贩太多，造成环境卫生不好。酒店交通很方便，就是位置不好找。', '短评打分': 5}
{'短评内容': '酒店卫生和服务都还不错，就是位置不好找。', '短评打分': 5}
{'短评内容': '酒店的位置其实挺好，但是不好找，价格适中，在这个价格来说酒店的硬件方面是很不错的，服务也还可以，总的来说性价比还不错。', '短评打分': 5}
{'短评内容': '酒店的所处的位置和内部的设施不好，外面的环境很乱，价格还凑合', '短评打分': 1}
{'短评内容': '酒店不临街,在一个小区里,不太好找.不过交通比较方便,房间里面环境也很好,物有所值', '短评打分': 5}
{'短评内容': '酒店是在居民区里，不管是公交车还是坐地铁都要走好长一段路，房间还是挺干净的，价格也还可以，不过服务很一般', '短评打分': 5}
{'短评内容': '酒店基本上都还可以，就是周围的交通不是很方便，不过这个根酒店本身没太大关系，酒店本身还是不错的，住着蛮舒适的，价格也不贵。', '短评打分': 5}
{'短评内容': '唯一的感觉就是床比较舒服\n比住过的其他都舒服。\n隔音尤其不好', '短评打分': 5}
{'短评内容': '感觉还不错，旁边就饭馆，服务也很好！', '短评打分': 5}
{'短评内容': '其实酒店的服务和硬件环境都不错，但是位置不太好找，而且房间的隔音不好，影响休息，我想下次不会来这里了。', '短评打分': 1}
{'短评内容': '酒店的设施和服务都还不错，就是位置有些偏，不太好找。\n餐厅的饭菜口味还可以，价钱略贵。', '短评打分': 5}
{'短评内容': '就是位置不好，在一个胡同里，酒店的服务、环境都是还不错的', '短评打分': 5}
{'短评内容': '第一感觉酒店的房间挺干净的,服务还可以.位置吧不太好找,在什么胡同里,也没个明显的招牌.', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间还是蛮干净的，有点象极简主义的感觉，不象一般酒店那样浓重，不过相应的服务也是“极简”，一楼都见不到一个服务员，总体来说还可以吧，在北京这个价格也差不多了。', '短评打分': 3}
{'短评内容': '酒店蹲在居民区里面，条件较差，就是价格相对便宜点，北京房价价格现在傍上奥运会水涨船高，都指望奥运会发财的，这家算是便宜的。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '真不明白为什么在网站里搜索不到？！这种情况很多吗？Elong是怎么想的呢？住过两次，感觉人也不少啊，除了位置偏僻了一点别的都挺好！', '短评打分': 3}
