{'短评内容': '服务有待提升', '短评打分': 4}
{'短评内容': '物美价廉，交通方便，服务周到，设施齐全，是出差长沙河西的理想选择', '短评打分': 5}
{'短评内容': '酒店大厅很不错，前台服务一般，客房服务态度很好，周围交通便利，客房的叫餐食物也很美味。但是卫生间卫生真的很一般，不干净，我都不敢坐在那个马桶上。如果房价卫生改善了，总体来说还是不错的', '短评打分': 1}
{'短评内容': '麓山酒店大堂富丽堂皇，但经济房环境简陋，卫生间条件差，洗脸盆又脏又旧，不勘入目！唯一欣慰的是房间有暖气！', '短评打分': 3}
{'短评内容': '长沙通程麓山大酒店电视收视效果不好,空调效果欠佳,不令人满意。', '短评打分': 3}
{'短评内容': '还可以还可以还可以还可以，为什么要20个字?两个字就够了', '短评打分': 5}
{'短评内容': '方便，经济，舒适', '短评打分': 3}
{'短评内容': '酒店大厅还可以，虽然是三星，但是房间的设施极差，没有一次性洗漱物品，然后房间气味浓重，也非常之小，没有行李架，没有衣柜，设施也极其老旧，总之下次不会再住，住了两个晚上实在受不了了，跑去旁边的7天住了，非常不建议其他的童鞋们去住。', '短评打分': 1}
{'短评内容': '地理位置好，距岳麓书院800米，距橘子洲头500米', '短评打分': 5}
{'短评内容': '马马虎虎。。。特价房不咋的，还不如住快捷酒店', '短评打分': 1}
{'短评内容': '帮朋友顶的，房间配备不错，还可以。周围环境不错\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '装修较陈旧，沿街住房较吵，地理位置还算不错，交通方便', '短评打分': 3}
{'短评内容': '房间比较简陋', '短评打分': 3}
{'短评内容': '总体环境还可以，就是装修比较陈旧，卫生情况还可以加强一些！', '短评打分': 5}
{'短评内容': '酒店一般般吧  设备比较老，家具也有点旧了，浴室不是很干净', '短评打分': 1}
{'短评内容': '位置在通程百货旁边，还算方便。。只是订的是228的房间，标准间，是在是不敢恭维啊，有味道，设施 比较陈旧吧。晚上睡觉有蚊子还比较吵，，，诶。。但勉强还是住下来了', '短评打分': 1}
{'短评内容': '本来要住3天的，幸好因为押金不够（3天要800押金，而且现金）上网又蛋疼得很！最后住了一天，赶紧换了七天。没法比！你懂的！', '短评打分': 1}
{'短评内容': '房间陈旧，床很小，外面是马路，很吵', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '位于枫林宾馆对面，周围有商业中心，银行，靠近橘子洲，公共交通便利', '短评打分': 5}
{'短评内容': '和老板一起入住，老板很满意，性价比高。宽带速度不大灵光', '短评打分': 5}
{'短评内容': '交通便利 标间挺干净 服务也还行 特价房不行早餐有点遗憾 开车去停车场挺方便 车位还行 楼下酒店也挺方便 ', '短评打分': 5}
{'短评内容': '长沙通程麓山大酒店地理位置优越，交通方便，酒店服务质量尚可，住房价格适中，值得推荐。不足之处在于经济房无一次性梳洗用具，无早餐，给客人造成不便。', '短评打分': 5}
{'短评内容': '卫生不错，位置不错，服务也不错。在河西区域来看质价基本相符。就是上网不便，装修旧了点。早餐简单了些。', '短评打分': 5}
{'短评内容': '服务还可以，就是硬件老化.交通方便，但是打的要走到岳麓山出口东大门。', '短评打分': 5}
{'短评内容': '垃圾酒店，空调没效果，里面设备很差 不推荐', '短评打分': 1}
{'短评内容': '自助房真的好自助，15元什么都没有！\n订这个房间的一定记得毛巾牙刷牙膏香皂什么都得带齐啊，不然就得另交钱买了 \n', '短评打分': 1}
{'短评内容': '服务还可以，就是硬件老化了。楼层标示不明显像走迷宫样的。', '短评打分': 1}
{'短评内容': '停车方便,离岳麓山只有几百米的距离,酒店边上的美食城不错,不足的是早餐很一般.', '短评打分': 5}
{'短评内容': '蒸汽浴房很差，中央空调很差。马桶都裂了，我都怕坐碎了它！', '短评打分': 1}
{'短评内容': '总的还不错， 虽然是比较简陋点， 毕竟比较便宜啊， 不错啦', '短评打分': 5}
{'短评内容': '酒店附近交通很方便，很容易找到，前台的服务态度很好，房间很温馨，感觉是到家的感觉，谢谢。', '短评打分': 5}
{'短评内容': '客房卫生等各个方面还不错，就是房间太陈旧了，该适当的重新装修一下了！', '短评打分': 5}
{'短评内容': '服务态度还可以,能对客人的要求做到很快的反应,但总体的设施太过陈旧..', '短评打分': 5}
{'短评内容': '设施不错，房间足够大。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '就是无线网太差了，信号很微弱，只有在大厅还行，面子工程？', '短评打分': 5}
{'短评内容': '这家通程麓山大酒店，处于长沙湘江大桥桥头，也算是繁华地带，知名度好像也挺高，只是没想到质量和服务这么差劲。我定的是148元的经济房，不为别的，以为这个酒店离我要办事的地方近。入住之后，心里只有一个感受：差劲！ 这个所谓的星级酒店的设施陈旧，服务人员态度冷漠，比七天，汉庭等经济型的连锁酒店简直差远了。真不知道你们将来如何在越来越激烈的市场竞争中生存下去。', '短评打分': 1}
{'短评内容': '自助房真的好自助，什么都没有！\n订这个房间的一定记得毛巾牙刷牙膏香皂什么都得带齐啊，不然就得另交钱买了', '短评打分': 1}
{'短评内容': '河西的主要酒店，离湖大中南等大学都挺近的，就是有些旧了，价钱也比七天贵。', '短评打分': 5}
{'短评内容': '一分钱一分货哦，住一百多的不如住招待所，上次住的房间好旧好旧。好小。以后要住就住豪华间。', '短评打分': 1}
{'短评内容': '简约，实惠，是个不错的经济型旅店。其它的请自己发掘。', '短评打分': 5}
{'短评内容': '酒店服务很好，也较干净，就是空调不够凉快。', '短评打分': 3}
{'短评内容': '标准间装修太差  豪华间好一些', '短评打分': 3}
{'短评内容': '商务大床房，房间较大，床还算舒服，就是洗漱间太简陋了，不过一分价钱一分货嘛', '短评打分': 5}
{'短评内容': '地理位置好，但是酒店条件很一般，跟小招待所差不多', '短评打分': 1}
{'短评内容': '性价比较高，在长沙价格有一定优势,房间还干净，特别适合在周边高校办事或岳麓山转转后休息下。设施不高对商务居住不适合', '短评打分': 5}
{'短评内容': '正赶上下雨，房间的中央空调如同虚设，一点也不暖和。', '短评打分': 1}
{'短评内容': '还行吧，标间没早餐票，早餐要走到市四附近。空调效果没什么感觉，新装的开关没有标识档位', '短评打分': 5}
{'短评内容': '酒店有些偏，不过附近就是橘子洲头和岳麓山景点，内部设施很一般，说是中央空调，简直就是鼓风机。', '短评打分': 5}
{'短评内容': '价格不贵比较合理，环境一般，出门交通比较方便，靠桥边', '短评打分': 5}
{'短评内容': '干净，方便，简单，适合出差住宿，就是中央空调温度太低调不上去，对现在的天气有点冷。', '短评打分': 5}
{'短评内容': '已经入住，谢谢！', '短评打分': 3}
{'短评内容': '性价比较高，地理位置可以，但空调的声音有点大不利于晚上睡眠；前台服务人员服务态度不是很好。', '短评打分': 5}
{'短评内容': '酒店管理水平一般，服务态度一般。设施很老，如空调晚上声音很大，洗手间太小。。。', '短评打分': 1}
{'短评内容': '有些旧，8年前我在师大读书时候 还不错，', '短评打分': 5}
{'短评内容': '还可以.服务态度好 定退很自由. 宗旨是一家很不错的酒店\n', '短评打分': 5}
{'短评内容': '挺好的，地理位置好，去岳麓山、橘子洲头都很方便！', '短评打分': 5}
{'短评内容': '宽带不错，速度很快。服务态度好，行李生敬业，经适房装修一般。', '短评打分': 5}
{'短评内容': '还不错，不过感觉酒店还是太旧了，尤其是卫生间', '短评打分': 5}
{'短评内容': '号称三星级的酒店，连几十块的招待所都不如，装修陈旧，房间不整洁，被子上有污点，临着马路还特别吵，以后绝对不会再选这家了', '短评打分': 1}
{'短评内容': '总体不错,价格比较厚道!空调也不错', '短评打分': 3}
{'短评内容': '不值这个价格 ，酒店服务一般，前台态度极度的拖拉，连刷卡都换了3台机子才搞定，而且前台服务MM很得瑟，打电话问价钱的时候 问怎么和网上差这么多 答 那得是有身份的人才能享受的价格', '短评打分': 1}
{'短评内容': '性价比不错，设施齐全，无线宽带，设施有点儿老旧了，但是蛮干净，值得推荐！', '短评打分': 5}
{'短评内容': '现在人少很静，值得一住。不足之处：只提供无线上网，速度慢的可怜。', '短评打分': 5}
{'短评内容': '服务很好，先住的827，无线网络信号不好。\n酒店很快就给换了，而且换之前还特意让客房部开门试了一下。\n餐厅很有特色，各种小吃很丰富。\n', '短评打分': 5}
{'短评内容': '设备有点陈旧。不过住得还舒服。要是楼层高的话，还可以欣赏湘江，橘子洲的美景。', '短评打分': 5}
{'短评内容': '房间小点，但服务不错，位置也好，冬天去人很少', '短评打分': 5}
{'短评内容': '环境还不错，朋友来长沙出差帮忙订的。\n空调效果比较好，房价服务比较到位，打扫很及时。', '短评打分': 5}
{'短评内容': '环境不是很理想，地理位置还算可以，位于河西商圈', '短评打分': 1}
{'短评内容': '价格实惠，服务态度好。交通方便。但设施陈旧小小，例如洗手盆有被烟头烧过的痕迹。', '短评打分': 5}
{'短评内容': '酒店卫生好’但设备陈旧,特别是洗脸的瓷盆看着很不舒服。希望更换。总体建议入住', '短评打分': 5}
{'短评内容': '住的是豪华单人间，248，性价比还是比较高的，但就是有些旧', '短评打分': 5}
{'短评内容': '设施比较旧，应该给予更换了啊。服务态度一般，其他没什么啦。', '短评打分': 1}
{'短评内容': '只想说~住这里不如住附近的七天~\nover~', '短评打分': 1}
{'短评内容': '太小太旧，隔音效果不好，离市区很远。但是跟橘子洲头很近', '短评打分': 1}
{'短评内容': '挺好的，一直想住，不过感觉走廊，里面空荡荡的，挺干净的，噪音也小，卫生间有点小，娱乐措施也多 不过没去', '短评打分': 5}
{'短评内容': '干净卫生 有点小', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '价格适当\n设施很有古典韵味\n不过就是与商业用房合用就不怎么好了\n', '短评打分': 5}
{'短评内容': '还可以，就是牙膏等用具收费！', '短评打分': 3}
{'短评内容': '＋环境还可以…比较干净…淋浴比较舒服…！', '短评打分': 3}
{'短评内容': '酒店卫生好’但设备陈旧,特别是洗脸的瓷盆看着很不舒服。希望更换。总体建议入住', '短评打分': 3}
{'短评内容': '交通便利 价格便宜 服务什么的就没有了 房间很小 设施很陈旧 \n', '短评打分': 5}
{'短评内容': '交通便利 价格便宜 服务什么的就没有了 房间很小 设施很陈旧', '短评打分': 5}
{'短评内容': '房间虽然是加装的卫生间，但也还是方便。此处离岳麓山和橘子洲两个风景点都很近，步行即可游览。空气清新，早餐15元一位的自助餐也可以。', '短评打分': 5}
{'短评内容': '住房比较干净，蛮舒服的，比较满意，地理条件很好\n', '短评打分': 5}
{'短评内容': '长沙通程麓山大酒店（原长沙麓山宾馆）>：该酒店总体还行，交通方便，卫生干净，价格\n还行，下次还来住～', '短评打分': 5}
{'短评内容': '面朝湘江，背临麓山，周边环境非常出色，下次还回来', '短评打分': 5}
{'短评内容': '宾馆处于闹市，周围有许多像样的商场、餐馆。宾馆底楼还有个餐厅可以随便点你想要的东西，对于旅行客人确实方便。房间和餐厅的价钱都适中，内部设施基本齐全。对怕吵的人来说，可能靠街的房间车子声音稍响了一点，不过完全在可以忍受的范围之内。', '短评打分': 5}
{'短评内容': '房间还可以，房间的网速好快，每秒3.2M，差的部分就是门锁的问题', '短评打分': 3}
{'短评内容': '住房比较干净，蛮舒服的，比较满意，地理条件很好\n＼~o~/', '短评打分': 3}
{'短评内容': '很古老的酒店，设施陈旧。还是和写字楼混用楼层的。', '短评打分': 1}
{'短评内容': '性价比高，位置不错。酒店附近还有商场可以逛逛，比较方便。', '短评打分': 5}
{'短评内容': '还不错，服务水平不错，硬件上面一般，下次还会入住。', '短评打分': 5}
{'短评内容': '别住1号楼', '短评打分': 5}
{'短评内容': '第二次入住了 还好 交通方便 虽然比较旧了', '短评打分': 5}
{'短评内容': '七间房间，四间标双，三间单间属于一比订单。均入住', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '国庆节期间，去长沙旅游住了几天；总体感觉位置非常好，服务也不错；旁边就有旅行社和新一佳超市；是出差旅游的好地方！下次去还住那里，就是2号楼的设施稍显陈旧，别的都挺好！', '短评打分': 5}
{'短评内容': '房间比较小，床比较小，酒店比较旧了，只是那个地段，也只有这个最便宜', '短评打分': 5}
{'短评内容': '服务较好，卫生和安全不错。', '短评打分': 5}
{'短评内容': '地理位置很不错，就在湘江边，步行可到岳麓山和橘子洲。', '短评打分': 3}
{'短评内容': '如期入住，感觉还不错，物美价廉，还返券，挺实惠的。', '短评打分': 3}
{'短评内容': '地理位置还不错，第二天游玩岳麓山非常方便，值得推荐', '短评打分': 5}
{'短评内容': '环境不怎么好，房间比较小，东西都比较旧了， 厕所的门都坏了。\r\n', '短评打分': 1}
{'短评内容': '己入住，条件还行', '短评打分': 3}
{'短评内容': '入住条件还算行，打八十五分吧', '短评打分': 5}
{'短评内容': '+交通很方便，环境很好，服务也到位，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '麻雀虽小,五脏俱全!隔音效果较差,位置较方便,老三星也差不多了!', '短评打分': 5}
{'短评内容': '忘说了&#183;&#183;&#183;走道里人说话的声音听的太清楚了&#183;&#183;&#183;隔音那个差&#183;&#183;&#183;晚上就像睡在马路上一样，特别是夜间堵车的时候，根本睡不着&#183;&#183;&#183;', '短评打分': 3}
{'短评内容': '经济间房间又小，空调也不管用，电视那个烂（好在不看电视），卫生间很脏的样子而且很小很小&#183;&#183;&#183;\r\n长沙待了三天，第一天在7天连锁~我只能说差不多的价钱和百米外的7天没法比&#183;&#183;&#183;去岳麓山还是住7天吧~\r\n以后还会到长沙所以特意去岳麓山周围宾馆看了下，便宜干净设施齐全有很多', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很差，完全没有三星级的样子。设备陈旧，房间狭小，浴室不卫生，隔音效果基本没有。性价比太低！', '短评打分': 5}
{'短评内容': '地理位置不错，就在湘江边（西边），步行可到岳麓山东门、可到橘子洲。房间条件不算很好，但是还可以。总的来说不错的。', '短评打分': 3}
{'短评内容': '酒店位置不错，就在湘江西边，走路可到岳麓山和桔子洲。条件说不上好，不过还过得去。', '短评打分': 5}
{'短评内容': '设施中有些坏了，房间偏小，如果在这附近一带办事且时间不长又不介意房间空间的话还是可以考虑。', '短评打分': 1}
{'短评内容': '房间较小，空气不好，价格便宜，夜间太吵。', '短评打分': 3}
{'短评内容': '总体感觉不错，唯一不足的是，他只有无线网络，没有有线网络。', '短评打分': 5}
{'短评内容': '已如愿入住', '短评打分': 5}
{'短评内容': '房间没有空调。。。确实很一般,只是交通很方便，，空气也还好', '短评打分': 5}
{'短评内容': '地处河西的商业中心。去麓谷和大学城都很方便，去五一路也很近。房价较小，但是很温馨。有点点旧了。是长沙河西比较老的三星级酒店。', '短评打分': 5}
{'短评内容': '还行。怎么边单间了？我明明要大床房的', '短评打分': 5}
{'短评内容': '服务较满意,普通房的设施较差，没有达到三星级水平，希望能改进', '短评打分': 3}
{'短评内容': '＋服务还满意', '短评打分': 5}
{'短评内容': '+酒店太旧，太吵，一般般啦。', '短评打分': 5}
{'短评内容': '＋服务较满意', '短评打分': 5}
{'短评内容': '＋服务态度较好', '短评打分': 5}
{'短评内容': '设施不齐全，但性价比还可以,交通比较方便。', '短评打分': 5}
{'短评内容': '感覺一般。。。不過交通還是比較方便哦。。', '短评打分': 5}
{'短评内容': '总体感觉不错，开通无线网络，比较便利！', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '价格还算实惠，而且环境比较安静。。。。。', '短评打分': 5}
{'短评内容': '很好很满意！购物交通很方便！', '短评打分': 5}
{'短评内容': '不错的位置，就是价格稍显得贵了，还是值得住的，尤其是想到山上玩的人。', '短评打分': 3}
{'短评内容': '位置较好，离岳庐山很近，很吨多的景点可以玩，可以住', '短评打分': 5}
{'短评内容': '去岳麓山很方便，但设施太旧。', '短评打分': 5}
{'短评内容': '  位置好，服务好，除了我住的那个价位的客房设施一般（相信价位高的客房条件应该不错），别的各方面条件都很好。下次如果再去长沙，还会选择这个宾馆。', '短评打分': 5}
{'短评内容': '酒店位于湘江一桥西岸桥头不到200米，步行数分钟即可到达一桥西岸桥头看到橘子洲，离岳麓山很近，通过一桥即可到达中心城区，交通便利，位置不错。我入住的是三号楼的标准双人间，房间大小尚可，但装修及设施显得较为陈旧，相对于三星的身份和房间装修设施来说，价格一般。', '短评打分': 5}
{'短评内容': '价位合适，离湖南大学比较近', '短评打分': 5}
{'短评内容': '服务周到，热情', '短评打分': 5}
{'短评内容': '性价比非常好', '短评打分': 5}
{'短评内容': '还不错，就是感觉有点旧', '短评打分': 3}
{'短评内容': '设备不齐全...退房时查房速度蛮...房间旧...其他还可以...', '短评打分': 3}
{'短评内容': '西站很近', '短评打分': 5}
{'短评内容': '设施不齐全.', '短评打分': 1}
{'短评内容': '服务很好 然后就在通程广场旁边 很方便啊', '短评打分': 3}
{'短评内容': '性价比还可以 就是隔音效果好差啊 交通便利', '短评打分': 5}
{'短评内容': '酒店综合老说，还是很不错的，尤其是卫生，特别干净，唯一不足的就是不隔音。', '短评打分': 5}
{'短评内容': '服务还可以，价格有些贵', '短评打分': 3}
{'短评内容': '条件一般，交通便利', '短评打分': 1}
{'短评内容': '老宾馆，服务还可以，价格有些高', '短评打分': 3}
{'短评内容': '还可以住', '短评打分': 5}
{'短评内容': '交通很方便，离景区近，停车很方便，停车场保安态度也很好。房间因为是豪华间，所以还比较新，设施一般吧，这个价格也不算便宜了', '短评打分': 3}
{'短评内容': '二号楼是新装修过的，设施较新，房间在三星里面还不算小，卫生间不大，总体感觉还可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '本来订了经济房，但房间的设施太陈旧，卫生间很脏的样子，连招待所都不如。后来加钱换到标准间，才稍好一些。酒店的位置倒是挺好，旁边有很大的超市，距离岳麓山景区入口很近。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '设置也太旧了吧，真对不起通程这个名字', '短评打分': 1}
{'短评内容': '卫生间马桶不好', '短评打分': 5}
{'短评内容': '订的是大床/双人间，给分配一个小房间，还不如到外面找一家小旅店，才55块钱一晚上。', '短评打分': 1}
{'短评内容': '位置很好，服务也不错，稍微有点贵了。', '短评打分': 5}
{'短评内容': '房屋内略显老旧，中央空调制冷效果不好。', '短评打分': 3}
{'短评内容': '房屋内略显老旧，中央空调制冷效果不好。', '短评打分': 5}
{'短评内容': '离橘子洲非常近的旅馆，稍显潮湿，房间内的门及地砖有些陈旧，但总体性价比而言，还是不错的选择', '短评打分': 5}
{'短评内容': '退房有点慢', '短评打分': 3}
{'短评内容': '位置不错 ', '短评打分': 5}
{'短评内容': '地理位置还不错~。。隔音也好不错~。。就是前台服务慢了点~', '短评打分': 5}
{'短评内容': '房间很小,卫生间让人觉得很不舒服,房间床单上还有血迹,退房大概花了半个钟头,很不舒服', '短评打分': 1}
{'短评内容': '服务态度很好 酒店隔音效果差 装修一般 一点也不像3星酒店 ', '短评打分': 5}
{'短评内容': '环境很差，不推荐入住。就是一招待所。', '短评打分': 1}
{'短评内容': '相关细节希望能够做得更好，比如网络以及设施。\r\n热水的温度不恒定实在是个问题', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置好，其他一般', '短评打分': 3}
{'短评内容': '酒店设施一般，这个价位还是有很多其他可以选择的。\r\n不过酒店位置较好，离湘江很近，早上起床可以步行去玩。', '短评打分': 5}
{'短评内容': '还不错  地点蛮好的哦  交通方便   住的楼层高一点风景更好哦 。。', '短评打分': 5}
{'短评内容': '1号楼房间设施比较老。不过这个价位也就这样了吧。关键是位置比较方便。', '短评打分': 3}
{'短评内容': '设施一般', '短评打分': 3}
{'短评内容': '说真的，改重新翻新一下了。\r\n设施都比较老了。\r\n马桶超矮啊！', '短评打分': 5}
{'短评内容': '位置好，价格便宜，设备比较老，卫生一般，服务态度还行。', '短评打分': 5}
{'短评内容': '148的 效果太差了    至少住218的     248的网络房除了有电脑 房间 床 也比218的好   没有早餐不爽    2号楼（218 248）洗澡非常不爽 水不热', '短评打分': 5}
{'短评内容': '非常喜欢这家酒店，就是房间设施太陈旧了', '短评打分': 5}
{'短评内容': '环境太一般了，就是位置比较方便，早餐还可以\n\n', '短评打分': 3}
{'短评内容': '感觉酒店的环境不怎么好,房间里的设施很老旧,而且气味也不是很好,隔音效果也不好,人员服务一般,地理位置还可以,不过性价比比较低.', '短评打分': 3}
{'短评内容': '酒店的环境还不错，卫生服务也比较达标，硬件设施舒适度比较不错，位置也比较不错出行交通方便。价格合理适中的酒店。', '短评打分': 3}
{'短评内容': '交通方便，设施陈旧，卫生一般', '短评打分': 5}
{'短评内容': '比较满意！\r\n但是服务员应该每日清洁房间，及时发放卫生纸及牙刷牙膏之类消耗品！', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很一般的，隔音效果比较差。酒店的位置不错的，交通很方便的，酒店的价格还可以的。', '短评打分': 3}
{'短评内容': '感觉这酒店不怎么好,里面的卫生条件不是很好,硬件设施也很陈旧,而且酒店的一些方地方的规定也非常的不合理.', '短评打分': 1}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '酒店的住宿条件比较一般,而且当时办理入住的时候也等了很长时间,处理速度也点慢,不过其他方面还是可以的,酒店位于河西,所以大家要看需要选择了.', '短评打分': 5}
{'短评内容': '还算可以了，就是设施旧了点！', '短评打分': 5}
{'短评内容': '比前台贵前台才128，而且卫生间小。服务员态度差退房时排队1个多小时，开房时排队15分钟，这个酒店主要做会议接待，他们会议人员100块钱一晚上，包含早餐，我们团购早餐要15块1个人。', '短评打分': 1}
