{'descr': '位置很好找，房间也很大，就是挨着有KTV有点吵', 'star': 5}
{'descr': '整体环境和其他如家差不多 每次旅游都爱入住它 以后也会继续选择 大爱如家的床单。就是这里厕所隔音如无墙  环境干净整洁 不错3星半了', 'star': 3}
{'descr': '很好  不错  ', 'star': 3}
{'descr': '环境不错。那里有很多吃的！', 'star': 3}
{'descr': '一切都挺好，干净卫生，就是有点小贵。', 'star': 3}
{'descr': '还行！交通方便！\n\n发送自HTC手机', 'star': 3}
{'descr': '挺不错的，服务很好\n交通方便，离轻轨很近，附近很多好吃的', 'star': 5}
{'descr': '自主大床房很不错。卫生间空间大小合适，房间颜色搭配也很好，服务态度也不错。', 'star': 5}
{'descr': '真的再一次觉得如家比七天啊，虽然这次住的无窗的，隔音效果没有有窗的好，但如家的服务的确值得称赞，有免费的矿泉水，洗漱用品等，自从住了一次如家之后就再也没有住过七天了，真的很喜欢', 'star': 5}
{'descr': '＋还可以，前台找预订单耽误十多分钟', 'star': 3}
{'descr': 'check in的时候前台居然让续房的插我队，等了好久', 'star': 1}
{'descr': ' 不错 就是不靠窗大床房空气不太流通', 'star': 3}
{'descr': '朋友住的，说一切都很好，交通方便，附近吃的也多。', 'star': 5}
{'descr': '酒店环境还可以，就是早餐菜品少了点，交通还比较便利', 'star': 5}
{'descr': '各方面都很好,就是没有地方停车', 'star': 3}
{'descr': '嗯，很不错，环境好，也很干净，服务员也很热心，态度很好', 'star': 5}
{'descr': '有家的感觉，房间打扫很好，客房打扫的人员态度也很热情，地理位置还算不错，在工贸站可以做到很多车，当然，门口的公交站能去的地方也很多', 'star': 5}
{'descr': '酒店周边环境不错，交通较方便，就是房间内烟味过重，其他服务还行。', 'star': 5}
{'descr': '酒店不错，继续如住', 'star': 3}
{'descr': '交通还行，离步行街较近，吃饭的地方很多。', 'star': 3}
{'descr': '酒店不错，周围吃饭地方很多。', 'star': 3}
{'descr': '环境不错哦~~，交通方便，床很舒服，服务也不错。', 'star': 5}
{'descr': '环境还不错，交通比较方便，早餐差了点，需要改进下', 'star': 5}
{'descr': '环境还不错，就是有点不好找。但入住那天还在装修，有点味道，其他的都还行', 'star': 5}
{'descr': '环境不错，安静，服务态度也蛮好！值得推荐！', 'star': 5}
{'descr': '酒店环境不错，就是每天只有晚上20点才能有暖风，然后我住了8天，网断了3天', 'star': 5}
{'descr': '酒店环境不错，就是每天只有晚上20点才能有暖风', 'star': 5}
{'descr': '很舒适，温馨。交通位置很方便。环境，卫生都不错，很干净', 'star': 5}
{'descr': '环境卫生比较好，就是电视比较小。下次还是要入住。。', 'star': 5}
{'descr': '挺不错的，房间也很大，床也蛮不错，很赞的是他们家热水来的超快，洗澡很爽', 'star': 5}
{'descr': '一定要选4楼的房间。因为晚上有个ktv一直唱啊唱', 'star': 1}
{'descr': '房间很干净，美中不足的是特假房没有窗户…', 'star': 3}
{'descr': '前台服务员态度一般，网上的价格执行不好。', 'star': 1}
{'descr': '＋前台服务态度一般 缺乏热情 各楼层的服务员还不错 网管也不错', 'star': 3}
{'descr': '不能说是会展中心，要说后堡才能找到哦，房间还是不错的，不过办个如家的会员卡更划算哦~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '挺干净的，性价比较高.尤其适合外地去重庆而不知道在哪里有便宜舒适型酒店的朋友', 'star': 5}
{'descr': '开车不好找，GPS定位不到，找了半个小时。', 'star': 5}
{'descr': '价格实惠，住宿条件也好，比较安静，从店到菜园坝火车站不远。只是到店的公交不方便，从店里出来倒还可以。', 'star': 5}
{'descr': '服务挺好，环境也还不错！', 'star': 3}
{'descr': '酒店位置不错，参加会展很方便。酒店干净卫生，服务一般，电视小了点。', 'star': 5}
{'descr': '不错不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '房间特小  特小  气味很重  很重  后面有一家 当地的酒店 很不错很不错', 'star': 1}
{'descr': '还行吧   就是有点不猪方便  其他的都还可以吧 以后还会考虑', 'star': 5}
{'descr': '房间大，床也大很舒服，卫生间配置也比较好，卫生也不错。', 'star': 5}
{'descr': '经济型酒店，不错经济型酒店，不错经济型酒店，不错经济型酒店，不错经济型酒店，不错经济型酒店，不错', 'star': 5}
{'descr': '经济型酒店，不错\n经济型酒店，不错\n经济型酒店，不错\n经济型酒店，不错\n经济型酒店，不错', 'star': 5}
{'descr': '还可以。但是有的房间空调不行。有的房间就可以，另外周围吃的东西不多。', 'star': 5}
{'descr': '很满意，不错，环境也不错', 'star': 3}
{'descr': '已入住', 'star': 3}
{'descr': '还可以. 不过房间的布局不是很喜欢, 进门就是床, 厕所反而在里面.', 'star': 5}
{'descr': '地理位置有点背，但麦当劳居然能找到。酒店设施不错，房间也很干净。只是隔音效果不理想，如果有早睡习惯，最好不要选这家，如果睡觉时间在10以后，那就没问题了。建议订无窗的房间就可以，因为有窗的房间都临街，有些吵。', 'star': 5}
{'descr': '不错，就是隔音效果不够…', 'star': 3}
{'descr': '＋就是床有点小', 'star': 3}
{'descr': '酒店有中央空调，就是不给放热气，投诉以后依然放冷风，失望ING....', 'star': 1}
{'descr': '可以', 'star': 3}
{'descr': '还是不错 就是窗户有点小！！希望以后多多改进！！！！！！！！！！', 'star': 5}
{'descr': '不错，整体干净 就是隔音 不怎么样 1111111', 'star': 5}
{'descr': '酒店不错，服务好！ 就是交通不是很方便！叫出租车要走到工贸路口才有！', 'star': 5}
{'descr': '觉得地理位置较好，离南坪较近，公交很方便。\n\n价钱希望在底点哈', 'star': 5}
{'descr': '前期住了，觉得地理位置较好，离南坪较近，公交不是很方便。', 'star': 5}
{'descr': '我们定的是无窗的房间，很郁闷的是，进去就是一股霉味，而且我发现被子上还有霉点，隔音很差，房间在在走廊上有个窗子，很是奇怪', 'star': 1}
{'descr': '房间不错，挺有家的感觉，位置也很方便，唯一不足的就是，隔音不是很好，半夜有听见别人XXOO的声音', 'star': 5}
{'descr': '虽然有窗 但是还是不是很舒服 水温太低  不是很好  个人不是很推荐', 'star': 3}
{'descr': '水温太低  希望你们能提高点水温  有窗的房间和没窗的一样闷', 'star': 1}
{'descr': '还不错的酒店，旁边有小饭馆，价钱便宜也不贵，服务很好，房间干净卫生，就是隔音效果不好，一直能听到外面走道的声音。我住的特惠商务房，总体来说推荐入住，交通也还算方便。', 'star': 3}
{'descr': '床很大，房间很干净，服务很好。就是隔音稍差一些，能听到走道声音。住的特惠商务房，感觉还不错，旁边有小吃店挺实惠。', 'star': 5}
{'descr': '+很满意', 'star': 5}
{'descr': '连pose 机都不会刷，还说应该用现金，结果将我的卡刷了，还打印不出来，晕死。', 'star': 1}
{'descr': '服务很主动很热情，房间里挺干净，设施挺新的，住的挺舒适。 ', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '靠会展中心，到商业街也不远。只是房间通风不好，窗子外还有一层玻璃幕墙，抽烟味道散不掉。', 'star': 5}
{'descr': '酒店还不错 一贯的风格', 'star': 5}
{'descr': '挺不错的  离步行街很近 \r\n不过有会员卡的同学 可以通过会员卡预定 可能会更便宜些', 'star': 5}
{'descr': '很好啊 、一直都挺喜欢如家的。很温馨的感觉、价格也很合理、', 'star': 5}
{'descr': '各方面还算不错，卫生状况较好，就是位置比较难找，很多司机不认识路。闹中取静，离南岸区商业圈较近，附近也有好又多和沃尔玛，购物方便。', 'star': 5}
{'descr': '环境安静，交通方便', 'star': 3}
{'descr': '还行吧 位置不太好找', 'star': 5}
{'descr': '不错 ', 'star': 5}
{'descr': '基本上还行，设施和位置不是很好', 'star': 5}
{'descr': '感觉很温馨 有回家的感觉 房间住的很舒服 赞', 'star': 5}
{'descr': '位置很难找，扬子江酒店已经拆了，从会展中心过去走了很远的路，很绕。最生气的是第二天一早服务员退房找错房间，没有敲门就直接用房卡开门冲进来，我在睡觉，把我吓得半死！！然后服务员说了声找错房间了就关门出去了。很生气。本来一个人住就很害怕。大清早的吓死人了。', 'star': 1}
{'descr': '位置不是很方便。其他还好', 'star': 5}
{'descr': '位置好，服务到位。不过我去的时候正在装修，气味比较大！', 'star': 5}
{'descr': '如家嘛，服务，卫生，都非常到位。唯一的缺陷，就是网速，不是一般的慢。', 'star': 5}
{'descr': '空调制冷效果相当差。中央空调，等于没反映。\r\n\r\n重庆现在查身份证很严，大家一定要带全过去。', 'star': 5}
{'descr': '出门旅行就要住有家感觉的酒店。如家酒店（重庆会展中心店）让我旅程更轻松', 'star': 5}
{'descr': '很便宜,离展馆近!', 'star': 5}
{'descr': '离重庆展会较近，交通很方便。', 'star': 5}
{'descr': '位置很好，离江边很近~', 'star': 5}
{'descr': '在重庆的经济型酒店中还是不错的，价廉物美，就是设施简单了一点。', 'star': 5}
{'descr': '刚到这家酒店的时候感觉可以，我定的是99特价房间，没有窗户，隔音效果不是很好，走廊里说话我全能听的一清二楚，应该加以改善。最让我不能理解的就是酒店的网速，只能登陆个聊天工具，想做其他的真的做不了，怎么说呢，我传递个文件的速度只有10kb/s—30kb/s相当于手机的速度，并且有一天的时间不能上网，希望贵店能够与当地网络支持公司进行一次协商，不能浪费办公者的时间。谢谢！', 'star': 5}
{'descr': '我是第一次去重庆，不费劲就找到这家店，楼下不远便有夜市，吃重庆小吃相当方便', 'star': 5}
{'descr': '各个方面做得都还可以 不错 继续保持 争取更好', 'star': 5}
{'descr': '房子靠近走道，却有个窗子跟走道紧挨着，晚上噪音很大，前两夜都没睡踏实，希望以后可以改进，整体来说还是很不错的，服务好，位置距离各景点也很近', 'star': 5}
{'descr': '很舒适', 'star': 3}
{'descr': '位置所在的交通比较方便', 'star': 5}
{'descr': '如家的设施和布置一如既往的很好，酒店位置也还不错，离南坪步行街挺近的。就是前台的服务实在不怎么样，基本不理人！', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '一家很不错的酒店，如果下次我还回去住，但是我入住的最后一晚上，来了一个旅行团，那行人真的没有素质，吵死人了', 'star': 5}
{'descr': '隔音差了点，走廊太吵', 'star': 5}
{'descr': '下次我还去如家。', 'star': 5}
{'descr': '很好，位置离机场远了点。\r\n  不过比较静，房间没窗口但不影响通风', 'star': 3}
{'descr': '态度不怎么好，空气差，空调温度不行', 'star': 1}
{'descr': '性价比高 下次来还住 喜欢如家的经营模式', 'star': 5}
{'descr': '房价比较经济性，服务和设施都非常的不错。真的是给人一个到家的感觉。我非常喜欢这个酒店。有机会一定再次选择这家酒店', 'star': 5}
{'descr': '设施还是比较好，但是位置太偏了。\r\n在那边根本打不到的\r\n而且离新火车站很远', 'star': 1}
{'descr': '无窗的大床房，房间空气不太好', 'star': 1}
{'descr': '房间整洁宽敞，不错', 'star': 5}
{'descr': '很干净', 'star': 5}
{'descr': '比其他快捷酒店要好很多，相对比较安静，只是空气不太通风，早餐不错，比其他如家好', 'star': 5}
{'descr': '我上次订的是特惠房，价格挺好的，环境还行，就是酒店周围比较一般，不是很方便', 'star': 3}
{'descr': '这家酒店的设施方面还是有些陈旧了,其它方面还是不错的,性价比方面还可以了.', 'star': 3}
{'descr': '酒店的位置挺合适，比较方便，设施条件和人员的服务都很不错，很满意。', 'star': 3}
{'descr': '好。。很不错', 'star': 5}
{'descr': '卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错 ', 'star': 3}
{'descr': '还不错，隔声差了点，服务反应很及时', 'star': 5}
{'descr': '态度非常热情，但遗憾的是内部的通风效果不是很好，价格到是很合适', 'star': 3}
{'descr': '房间还行卫生和设施还是挺不错的,服务也还可以,位置是挺好找的,舒适度和性价比还不错,', 'star': 3}
{'descr': '酒店房间里的床还是蛮大蛮舒服的,卫生环境也蛮好的,价格也还算实惠吧,还是比较满意的.', 'star': 3}
{'descr': '总体很好  ', 'star': 5}
{'descr': '卫生不错很干净，设施完善，地理位置交通蛮方便的，服务热情周到，性价比不错的酒店，值得推荐', 'star': 3}
{'descr': '房间卫生设施都蛮新的，服务员都很有礼貌，性价比很高值得推荐下，美中不足的是热水不稳定，有时候有点冷，希望改进', 'star': 5}
{'descr': '由于南坪会展中心在修路，所以显得有点乱。另外，虽然酒店位置还算不错，但找过去还是费了点时间。不过可以总结是闹中取静。前台还OK，只是没有附送早餐，一位是12块，并不划算，对于想品味重庆早餐的人来说，还是不要在酒店内用餐。房间内还不错，有免费网线，数字电视，卫生间设施也不错，几乎没有什么可挑剔的。就是房间和外面走廊并不太隔音，是一间窗户和一扇毛玻璃隔开而已，对一些需要私隐的人来说，并不太好。即使是有', 'star': 5}
{'descr': '房间干净卫生，服务员态度有礼貌，被子温暖舒适，设施设置较为人性化，有如家的感觉啊', 'star': 3}
{'descr': '服务与管理还可以，就是觉得暖气不够暖。', 'star': 3}
{'descr': '关于位置：\r\n1、离万达广场比较近\r\n2、门口很多出租车，出行还是比较方便的\r\n\r\n关于硬件软件\r\n1、房间干净整齐\r\n2、灯光还算明亮，不错\r\n3、特别喜欢的是如家的床铺，被子很软很舒服，有在家的感觉，枕头有3个，比较人性化（两个人谁，觉得矮了还多出一个来垫高），舒服\r\n4、服务很专业，很有礼貌，就是笑容少了点\r\n\r\n关于价格：普普通通，不过不失\r\n\r\n如家的房间，住起来挺舒服的。', 'star': 5}
{'descr': '卫生不错。服务效率有待提高。\r\n水压过小，还有就是有长网线就更好了。\r\n吹风机太少，可以在过道安装。', 'star': 5}
{'descr': '设施很完备，颜色很温馨，卫生间很宽敞。服务员态度非常好。总体对得起如家的品牌，舒适度比一般同价位的旅店优秀，价格适中，可以接受。\r\n各层酒店走廊建议铺设地毯，可以减少外面人员来回走动的噪音。另希望可以改善室内空气流通。', 'star': 5}
{'descr': '管理与服务还可以，就是暖气不够暖，水压有点小，水温不是很高。', 'star': 5}
{'descr': '床单不干净', 'star': 1}
{'descr': '服务与管理较好，房间卫生干净，较为宽敞，特价房的性比价较高，总体舒适度还可以。', 'star': 5}
{'descr': '价格确实实惠，但是只要你不怕冷就没有问题，因为完全空调没有热风', 'star': 5}
{'descr': '大床住着还挺舒服，位置有些偏', 'star': 3}
{'descr': '性价比还可以，就是位置不太好', 'star': 3}
{'descr': '位置不太好，服务一般，住着还行', 'star': 1}
{'descr': '感觉房间设施还是差了一点', 'star': 1}
{'descr': '服务与管理较好，性价表高；下次还会考虑入住。', 'star': 5}
{'descr': '价格很优惠，条件不错，很卫生，服务也好', 'star': 3}
{'descr': '1、交通很方便、服务很好，离民航班车很近\r\n2、卫生间的热水很不稳定，时热时冷，建议改进', 'star': 5}
{'descr': '各项条件还算可以吧，只是感觉沐浴的水太小了，还有最重的是空调暖气不行，根本就没有热气，晚上睡觉感觉有点冷。', 'star': 1}
{'descr': '酒店骄傲同还是很便利的，卫生也不错，赞一个！', 'star': 5}
{'descr': '如家的服务员们都很亲切，态度蛮好的，喜欢', 'star': 5}
{'descr': '酒店就是地理位置稍微有点偏僻,不好坐车,不过酒店里面挺干净的,服务也蛮热情,价钱也跟一般的经济型酒店差不多,可看情况来选择.', 'star': 3}
{'descr': '房间有点潮湿，卫生间容易滑倒，第二天的时候居然给我换了个坏的杯子！呃 不过这个价钱也就这服务了。其他方面还行！', 'star': 1}
{'descr': '酒店比较潮湿，条件比较一般，价格比较优惠。重庆交通很差，很难打到车。酒店还是可以推荐入住的。', 'star': 3}
{'descr': '卫生、服务不错\r\n有点儿吵', 'star': 3}
{'descr': '总之比较满意', 'star': 5}
{'descr': '一般，有点吵。\r\n服务不错。', 'star': 3}
{'descr': '这家酒店还是很不错的,房间的卫生和设施方面都很不错,很符合酒店的价位,位置很好,出行都很方便.', 'star': 3}
{'descr': '住的房间正好在工作室旁边，有些吵。', 'star': 5}
{'descr': '这个酒店房间里手机信号很弱很弱，几乎没有，郁闷！', 'star': 1}
{'descr': '房间的卫生和设施方面还是比较好的,服务态度也还不错的,酒店还是比较好找的,价格也比较好,总体还是比较满意的.', 'star': 3}
{'descr': 'Ok', 'star': 3}
{'descr': 'OK', 'star': 5}
{'descr': '地点比较偏僻，打车不方便。', 'star': 1}
{'descr': '房间的卫生和设施都是不错的，位置也还好，出行很方便的，前台的服务也还不错，我觉得这家酒店性价比还是比较高的 值得推荐', 'star': 3}
{'descr': '网上说酒店离会展中心只有5分钟的距离，但实际上应该是直线距离，如果走路去比较麻烦，因为横穿高架桥又没有人行道，比较危险，十几分钟左右才能到。酒店的服务还是比较好的，有什么要求基本都能得到满足。酒店装修比较简单，但就这个价位来讲还是比较合适的，卫生也不错。唯一的遗憾是酒店没开暖气，这个季节感觉还是有些冷。', 'star': 5}
{'descr': '房间干静整洁，服务生热情有礼貌。价格相对便宜。特别是会展期间入住参加展会很方便。', 'star': 3}
{'descr': '很好哦', 'star': 5}
{'descr': '性价比很高，虽然是特惠房，但是空间等等都不错', 'star': 5}
{'descr': '就是位置偏了点。还有房间隔音不太好。其他都还可以', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '服务人员有服务意识，能热情的为客人服务，但服务的水平有待提高，可以多学习大酒店的服务理念和方式。', 'star': 5}
{'descr': '有家的感觉', 'star': 5}
{'descr': '还行吧，房型欠佳，内房居然都没有窗户，不知是怎么改建的，不可理喻。\r\n\r\n这是我入住如家连锁中最差的酒店，不过价格也是最低的了。\r\n\r\n这个价位可能就这样了，不能要求太高了。\r\n\r\n预算不多的驴友，就住这吧。', 'star': 1}
{'descr': '酒店的房间面积比较小，潮湿，有异味。', 'star': 3}
{'descr': '还不错，服务都挺好的，唯一就是门前是单行道，交通不是太方便', 'star': 3}
{'descr': '出行方便，性价比高，第二次住在这里了.', 'star': 5}
{'descr': '房间有些潮湿。不是很舒适。地理位置出行还是比较方便。价格算是合理适中，房间的配置比较一般，不值得主动推荐。', 'star': 3}
{'descr': '有家的感觉，交通比较方便,性价比不错，第二次入住还是选在这里。', 'star': 5}
{'descr': '新开的，自驾车过去还比较方便，附近打车不是太好打，价格很合理，还比较舒适', 'star': 3}
{'descr': '经济型的酒店,感觉很好,卫生,服务方便都很不错,性价比比价好了,值得推进给大家!', 'star': 3}
{'descr': '首先酒店环境和其他如家都差不多，基本上所有的连锁酒店都是这样的吧，装修设施差别都不大，这家店就是位置不在步行街不太好找，不过走到步行街也不远，步行大概10分钟以内，价钱还比较合理，至少比其他的在中心位置的酒店要便宜一点，个人觉得比较适合学生出游的时候去住，呵呵，服务态度蛮好的，出个门连打扫卫生的阿姨都要像你问好，恩，总体来说还不错，下次有机会还会去住。', 'star': 5}
{'descr': '总体来说酒店很不错，性价比很高，位置稍微偏一点，不过重庆打的不贵，到哪都方便！', 'star': 5}
{'descr': '房间卫生很好，前台服务速度稍嫌慢，总体服务不错（连打扫卫生的阿姨都会向你问好）。床很大，布置的也很温馨。美中不足就是洗漱间水压太小，洗一次澡，那不是一般的慢哟。。我住的是特惠房，所以感觉性价比很不错了。 \r\n温馨提示：周围无超市，只有一个小报刊亭，里面各类物品一应俱全，但价格可不是一般的黑啊！！！\r\n\r\n', 'star': 3}
{'descr': '商务大床房还是1.5M的，房间一股潮湿发霉的气味，早上起来洗澡，水又小又冷，真是受罪，第一次住如家，也是最后一次住了。', 'star': 1}
{'descr': '房间卫生很好，前台服务速度稍嫌慢，总体服务不错（连打扫卫生的阿姨都会向你问好）。床很大，布置的也很温馨。美中不足就是洗漱间水压太小，洗一次澡，那不是一般的慢哟。。我住的是特惠房，所以感觉性价比很不错了。\r\n温馨提示：周围无超市，只有一个小报刊亭，里面各类物品一应俱全，但价格可不是一般的黑啊！！！', 'star': 5}
{'descr': '房间大小合适，虽然有股装修的气味但开空调后就闻不到了，这样价格的设施和服务已经很不错了，总体满意。', 'star': 5}
{'descr': '客观讲，如果南坪的路修好了，这家如家不错，但在没有解决交通问题之前，不建议其他朋友去这家店，所谓五分钟可以步行到会展中心，不知说这话的是不是练竞走的，重庆的路去过的都有体会，看得到走不到，前台的接待问问题也是爱理不理，唯一可取的就是楼下有几家不错的价廉物美的餐馆。', 'star': 1}
{'descr': '各方面都不错，就是位置不太好找，重庆好多人都不知道南坪北路的位置。', 'star': 5}
{'descr': '希望特价房多一点，价格再实惠一点，才能有差距。', 'star': 5}
{'descr': '房间通风不好,装修设施也是差了一些,服务很一般,比其它如家还有差很多的.', 'star': 3}
{'descr': '酒店总体来说不是很满意，房间太小，比较拥挤，房间设施有些陈旧了，地理位置有些吵。', 'star': 3}
{'descr': '我住了几天觉得房间打扫的挺干净但还是有股味道,设施方面还是挺齐全的,周边环境不错的,交通不是很方便的,价格方面还算比较合适的.', 'star': 5}
{'descr': '酒店离会展中心比较近，本身环境也不错，房间挺干净的，而且服务人员也很热情，价格合理，值得推荐', 'star': 5}
{'descr': '酒店可能是新装修的,所以房间里有股味道,感觉比较闷,而且早餐供应的品种太少了,环境一般,不过价格还是不错的,很便宜,地理位置也比较理想.', 'star': 5}
{'descr': '性价比高，服务环境也不错，交通很方便，地理位置也挺好的', 'star': 5}
{'descr': '总体环境还是很不错的！', 'star': 5}
{'descr': '很不错的,干净舒适,性价比还是很高的,而且位置很符合我的要求；', 'star': 5}
{'descr': '交通坐车打车都不太方便.尤其是做公交车比较麻烦.', 'star': 5}
{'descr': '需要去参展，当时订了三个房间，设施不好，有一个房间漏水，要求换了一间；在对面有一家莫泰，房间要大一些，也很干净，要比这家好！', 'star': 1}
{'descr': '性价比很不好 不推荐住   住的房子居然有个柱子 很不爽  有窗子居然是在走廊的', 'star': 1}
{'descr': '可能是由于重庆当地气候比较潮湿,酒店有些房间会有霉味,并不严重,也不是所有的房间都有,卫生比较不错,服务人员的态度也很好,只是重庆市内现在在大幅度的进行基础设施建设,很多路不能直行或左右转,所以这家酒店不是很好找,但如果车上配有GPS的话那就完全没问题了', 'star': 5}
{'descr': '不错的经济型酒店，尤其是新开张，装修和设施都很新，床单被子很舒适，比一般的经济型酒店好很多。值得一提的是，服务非常不错，从保洁员到前台服务员都是非常礼貌，可见培训得不错，比我前一天在重庆住的索菲特还要好。', 'star': 5}
{'descr': '酒店整体来说还算可以，卫生服务都不错，设施也算是一般了。', 'star': 5}
