{'短评内容': '前台很好，很有礼貌', '短评打分': 5}
{'短评内容': '卫生还以，标间空间较小', '短评打分': 3}
{'短评内容': '环境整体上还不错，交通比较方便，周围环境也还可以！', '短评打分': 5}
{'短评内容': '装修和设施不错，氛围挺好，就是我们那间房在拐角，偏了一点，小了一点，但是一个人住会很舒服。早上楼上似乎在装修，很吵，隔音效果一般。', '短评打分': 5}
{'短评内容': ' 离民航大厦很近，不过顺路走过来不容易看到。整体设施还不错吧', '短评打分': 3}
{'短评内容': '酒店客房干净、床具较新，靠近漓江，虽然门脸较小，但是值得游客住宿', '短评打分': 5}
{'短评内容': '正如酒店的广告，四星的享受二星的价格，非常超值的酒店，设施不比四星酒店差，而且此酒店地理位置优越，离机场大巴也非常近，是桂林旅游的首选酒店，推荐给大家', '短评打分': 5}
{'短评内容': '以后再也不住了，酒店不行，保安更不行。。什么服务态度。。。', '短评打分': 1}
{'短评内容': '房价不算优惠，临街的房很吵，但卫生还行，随时有热水，服务还可以。', '短评打分': 5}
{'短评内容': '酒店服务热情，2010年新开张的，干净整洁，卫生间干湿独立，有有电吹风，装修很好，绝对三星级！', '短评打分': 5}
{'短评内容': '这家酒店是我在桂林住的三家酒店中，感觉最好的。离机场大巴很近，走过去三四分钟吧。适合赶早班机的朋友。房间虽然不大，但是很干净，淋浴的水也很大，玩了一天，可以痛快的洗个澡。性价比还算不错。', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 3}
{'短评内容': '酒店干净清爽，火车站区域算比较好的。价格偏高', '短评打分': 5}
{'短评内容': '距民航大厦很近，附近的崇善米粉很喜欢，自助游交通不是很方便。酒店整洁，服务还不错。', '短评打分': 5}
{'短评内容': '房间很干净，设施挺不错，除了电视机信号接收有点问题之外，没什么大问题了，个人觉得还是挺超值。', '短评打分': 5}
{'短评内容': '提醒下住维也纳的朋友，桂林市内有两家，不要找错了。\n环境很不错，房间很干净舒服，我以后还会入住', '短评打分': 5}
{'短评内容': '桂林是个好地方，这家酒店价格公道，住着安静，下次还来。', '短评打分': 5}
{'短评内容': '酒店设施很新，外环房间有点吵，内环很静很舒适。', '短评打分': 5}
{'短评内容': '临街吵闹些，新装修的内部环境不错，住的还算不错.价位合适', '短评打分': 5}
{'短评内容': '临街吵闹些.房间的窗户关不上，服务员2天都没来弄。新装修的内部环境不错，住的还算不错.', '短评打分': 5}
{'短评内容': '临街吵闹些，新装修的内部环境不错，住的还算不错', '短评打分': 5}
{'短评内容': '酒店很新，交通也便利，走着都到象鼻山了。就是临街有些吵。', '短评打分': 5}
{'短评内容': '酒店新装修，可以免费停车，服务很好，特别是门口的门卫。晚上有些吵，临街', '短评打分': 5}
{'短评内容': '晚上有些吵，装修新，住的还很舒服。下次还会住的', '短评打分': 5}
{'短评内容': '性价比很高，安静、整洁。早餐不贵不过品种不多，主要是针对旅游团的团餐，还可以接受。下次到桂林还会来。', '短评打分': 5}
{'短评内容': '设施都很好，很新。就是靠街道有些吵。不过可以接受，性价比很高。门口还可以免费停车。', '短评打分': 5}
{'短评内容': '我这次订了一个豪华标准间，但和我住过的普通标准间差不多，而且卫生间也比较小，房间竟然没有地巾，还好和前台联系后，服务员给送了一个。房间188元，前台付钱时又交了一个什么6元的旅游基金，等于194元，总体感觉性价比不是很高。', '短评打分': 1}
{'短评内容': '环境不错，服务有点慢，周围晚上有点吵。 床有点硬，希望可以改善\n\n', '短评打分': 5}
{'短评内容': '酒店位置不是很好，从外边进来根本就看不到酒店在哪里。', '短评打分': 5}
{'短评内容': '如实介绍，下次还住这里！', '短评打分': 3}
{'短评内容': '房间很宽敞，也挺干净，就是靠马路，太吵。', '短评打分': 3}
{'短评内容': '整齐洁净！', '短评打分': 3}
{'短评内容': '房间装修卫生还好，就是床太硬了睡上去腰疼，服务态度还行，酒店的位置还是一般，倒是价格感觉有些偏高。', '短评打分': 1}
{'短评内容': '位置挺好，漓江边上，服务和管理挺到位，卫生也不错，住的蛮舒适的。', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，就是远了一点，下次要是去桂林还是会到维也纳，不过可能不是这家，是另一家', '短评打分': 5}
{'短评内容': '挺好，挺新挺干净，服务也挺好，价格还便宜，下次还会光顾的。', '短评打分': 5}
{'短评内容': '酒店在当地算是比较实惠的酒店，环境也不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店装修的挺好，干净卫生，热水质量也挺好，用着很舒服，最主要价格还不贵，值得推荐。', '短评打分': 5}
{'短评内容': 'verygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\nverygood\n', '短评打分': 5}
{'短评内容': 'very good!very good!very good!very good!very good!very good!very good!very good!very good!very good!very good!very good!', '短评打分': 5}
{'短评内容': '房间小了点，但是装修还是不错的，相当新的酒店。设施很新，热水很大很暖和，疲惫一扫而光啊！', '短评打分': 5}
{'短评内容': '酒店位置很好，挨着水果市场，很新，大床很舒服', '短评打分': 3}
{'短评内容': '交通方便  环境好  设施新   服务好   如果不是房间小一点 能和五星级宾馆媲美！', '短评打分': 5}
{'短评内容': '感觉是一家比较实惠的维也纳。各方面都不错，入住挺愉快的。', '短评打分': 3}
