{'短评内容': '还行吧，就是东西挺简陋的，不过前台的服务挺好的~', '短评打分': 5}
{'短评内容': '房间虽然有点小，但环境不错，房间里有饮水机，比较贴心', '短评打分': 5}
{'短评内容': '不错的酒店，住过几次了，早饭吃的也好，就是购物不是很方便，', '短评打分': 5}
{'短评内容': '还好吧!二次住了,就是感觉房间有点小,紧凑了', '短评打分': 5}
{'短评内容': '第一次住，电话询问前台回答不仔细，结果绕了一大圈才找到，好几位住客都有同感。我住的420房间饮水机坏的，没有预先告知，房间的不间断电源插座也是坏的，早餐太简单了，其它还好吧。', '短评打分': 5}
{'短评内容': '酒店环境一般，色调蛮温馨的，带着宝宝去住的，宝宝看见绿色的墙壁高兴得唱起来了，说怎么像在家里，缺点就是网上订的房是靠马路的，打', '短评打分': 3}
{'短评内容': '住了两天了，还可以，走廊气味有点重，可能这段广东有点回潮吧！位置较好，离文化广场，沃马，还有那什么商场也很近。', '短评打分': 3}
{'短评内容': '第二次住了，总体感觉不错，呵呵，就这个价位还是超值的。', '短评打分': 5}
{'短评内容': '还不错，住了两个晚上，服务好，热水没问题，就是早餐不能吃，品种少啊，哈哈哈。', '短评打分': 5}
{'短评内容': '房间整洁，款式简洁顺眼，日用品整洁，设备全，就是没有提供专用停车场，停门口只能容纳3辆车，外边的停车位是市政规划的，要收费。。。', '短评打分': 5}
{'短评内容': '服务态度不好，房间很小，不过连锁酒店就是那样的。位置还可以。楼下有家连锁商店。买东西还算方便。', '短评打分': 1}
{'短评内容': '卫生还不错', '短评打分': 3}
{'短评内容': '＋房间很干净，隔音不大好就是有点吵，总体感觉不错！', '短评打分': 3}
{'短评内容': '还好吧，只是里东莞体育馆没网上说的0.6公里那么近', '短评打分': 1}
{'短评内容': '十不错啊，就是房间小了一点，其他都不错。', '短评打分': 3}
{'短评内容': '有点小，地面好像没有打扫，不过地理位置还不错，被子有点薄', '短评打分': 1}
{'短评内容': '性价比可以。平价之选。20字可恶.......', '短评打分': 5}
{'短评内容': '不错，值得推荐。就是房间小了些，如果大些那就最好不过了。喜欢他如家的感觉。', '短评打分': 5}
{'短评内容': '一直都很喜欢如家，卫生比较让人信赖。这家酒店比我之前住的如家小一些，但这个地理位置和价钱，绝对信价比不错。推荐。', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 3}
{'短评内容': '比较安静，服务态度很好，交通一般般，总体还是不错的。', '短评打分': 5}
{'短评内容': '服务员很热情，有点太热情了\n电梯坏掉了一次，只好爬楼当作锻炼身体\n阿姨收拾房间忘记给我换蚊香片了\n其他很满意的拉', '短评打分': 5}
{'短评内容': '第一次入住如家。很温馨的房间， 服务态度也非常好。换了两次房间，服务员也没觉得烦，还主动告知哪个房间比较通风比较好。已经办了如家会员，以后认定如家了。  ', '短评打分': 5}
{'短评内容': '涨价鸟，二个月不来，涨了不少价钱嘛，这是为什么呢？旺季？\n隔音不好，半夜听到某些声音哦\n下次挖掘一下其它店了', '短评打分': 1}
{'短评内容': '今天的冲凉房没有沐浴露了，很大的失误，望改进。', '短评打分': 5}
{'短评内容': '第二次入住了，酒店不错。物美价廉！点评晚了些，呵呵', '短评打分': 5}
{'短评内容': '这家店是我住过房间最小的如家，屋里有股味。住的当天才入住就停电，住在顶层（8层），又下不去，挥汗如雨的等了1个小时才来电，下次不会住了。', '短评打分': 1}
{'短评内容': '酒店位置不错，在路边挺好找得。但是可能是老城区又临近老社区，感觉购物、玩不太方便。不过总体上不错啦，哈哈', '短评打分': 5}
{'短评内容': '值得推荐  酒店干净 安静  服务很好 下次再来', '短评打分': 5}
{'短评内容': '酒店不错  服务礼貌周到  这个价格很实惠了', '短评打分': 5}
{'短评内容': '价格合适，这一次的感觉不错，赞一个！\n\n靠洗手间的地板有一点受潮变形，赶快维修一下吧。。。。', '短评打分': 5}
{'短评内容': '房间太小，设备比较陈旧，位置太偏远。。。。。', '短评打分': 1}
{'短评内容': '第N次入住了，感觉很好。\n呼吁大家能少用酒店的洗漱用品，尽量环保。', '短评打分': 5}
{'短评内容': '第二次入住了，感觉不错，除了房间小，看电视的位置有点别扭', '短评打分': 5}
{'短评内容': '服务很好的,价格又实惠,下次去东莞还住它家', '短评打分': 5}
{'短评内容': '连续四次入住了，如果不好不会每次都来。服务与价格都很好很合理。', '短评打分': 5}
{'短评内容': '近可园及市民广场, 但附近少东西吃...\n前台服务好', '短评打分': 5}
{'短评内容': '价格是不错的,问题是多多的,发票竟然不能打,这可怎么好噢', '短评打分': 5}
{'短评内容': '如家创业新村店，相比其它城市尤显性价比超高，非常适合中小公司的商务人士！', '短评打分': 5}
{'短评内容': '＋价格优惠，隔音效果一般，周边环境燥音大，房间面积小。', '短评打分': 3}
{'短评内容': '，温馨、舒适、干净！', '短评打分': 3}
{'短评内容': '离出差的地方稍微远了点。。。。其它还好~~~~~~~', '短评打分': 5}
{'短评内容': '服务还好，就是房间小点呵呵             \n不过感觉还可以', '短评打分': 5}
{'短评内容': '第一次入住如家。觉得真的很好。性价比高。所有服务员的态度都特别好，笑容亲切甜美。只是，美中不足，隔音有一点差，望改进。以后还会入住。', '短评打分': 5}
{'短评内容': '很好~ 很好~ 不多说~不然又说我是托了~', '短评打分': 5}
{'短评内容': '如家酒店（创业新村店）环境很舒适！', '短评打分': 3}
{'短评内容': '性价比蛮高的酒店。。。还不错。。下次还住！！', '短评打分': 5}
{'短评内容': '在住进去以后感觉环境还不错，不过隔音有点不好。', '短评打分': 5}
{'短评内容': '价格挺实惠的，就是周边环境不是很整洁，呵呵。', '短评打分': 5}
{'短评内容': '房间里挺干净。地点不错，因为靠近市民广场所以吃饭购物很方便，而且很多地道的本地饭馆。旁边就是广东四大园之一的可园。可惜这次匆忙未来得及去瞅瞅。不过酒店外墙很陈旧啊，而且没有停车位。', '短评打分': 5}
{'短评内容': '还不错的，就是隔音不够好，有人路过会有点吵', '短评打分': 5}
{'短评内容': '嗯。。。。。。。。。。。。。。。。还不错', '短评打分': 5}
{'短评内容': '离我去的地方较远，但是总体不错。。。。。', '短评打分': 5}
{'短评内容': '离我去的地方较远，但是总体不错。 。。。', '短评打分': 5}
{'短评内容': '挺不错的，挺干净，卫生也挺好，价钱实惠。下次也会选择。', '短评打分': 5}
{'短评内容': '第一次入住如家酒店,服务态度算不错吧,有问题能很快帮助解决', '短评打分': 3}
{'短评内容': '因为误车,只能在东莞多留一天,想想还是再订如家酒店,便宜呗', '短评打分': 3}
{'短评内容': '环境不错，就是早上不知道谁在外面好吵，要是有电脑就更好了', '短评打分': 3}
{'短评内容': '不错.实惠', '短评打分': 3}
{'短评内容': '房间干净,服务良好.住得还行.值得推荐.', '短评打分': 5}
{'短评内容': '第一次住，感觉不错。在运河边，交通便利。', '短评打分': 5}
{'短评内容': '第二次入住該酒店了。還是那句話。贊！\n而且交通方便，環境鬧中帶靜。\n唯一美中不足的是隔音效果略差，不過，影響不大。\n', '短评打分': 5}
{'短评内容': '酒店交通方便。房价很优惠，而且房间干净、舒适、各项提示到位，整个房间的装饰温馨。值得推荐与再次入住。', '短评打分': 5}
{'短评内容': '上个月底住了两天，很满意。\n酒店服务很好，员工很热情。室内格局跟7天相同，但房门走廊都有装修，很舒服。同时该店还一力支持环保。\n今天还要再订。', '短评打分': 5}
{'短评内容': '还行，对得起一百块这个价格了！', '短评打分': 3}
{'短评内容': '很好~ 与七天~ 等连锁酒店一样不错~ 只是隔音不是很好~', '短评打分': 5}
{'短评内容': '我对酒店一切都很满意。特别周边环境舒适，这让我更满意。要说缺点的话，就是没有电吹风机了。', '短评打分': 5}
{'短评内容': '不错，推荐', '短评打分': 3}
{'短评内容': '干净，就是隔音效果一般。\n20字字字字字字字字字字字', '短评打分': 5}
{'短评内容': '第二次了 感觉真的不错 不过这次安排到一个角落的房间 感觉空间有点小', '短评打分': 5}
{'短评内容': '不错，就是灯光暗了点 没有吹风筒 而且一次性拖鞋很容易破 其他的都满意', '短评打分': 5}
{'短评内容': '卫生环境服务都不错', '短评打分': 3}
{'短评内容': '各方面都还可以，就是今天一早有人来开门 。。。还好把门反锁了', '短评打分': 5}
{'短评内容': '服务很好，也很温馨，交通也很便利。', '短评打分': 3}
{'短评内容': '好久没去了，感觉还不错。\n空调有暖气，就是冲着暖气去住的。', '短评打分': 5}
{'短评内容': ' 大床房不错  干净大方 服务到位', '短评打分': 3}
{'短评内容': '干净舒适卫生，冲凉房很特别很喜欢。房间里面也有书桌，如果赶着考试的话很方便。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '价格合理，位置方便，服务好，但房间偏小，有点旧了', '短评打分': 5}
{'短评内容': '果然店如其名，有一种家的感觉。喜欢房间里温暖缤纷的色调，繁复中透出简约的宁静，不错。', '短评打分': 5}
{'短评内容': '服和態度好，環境也衛生，不過沒有停車場，總體來說還是值得推薦的', '短评打分': 5}
{'短评内容': '如家快捷酒店-东莞莞城创业新村店（原市民广场店）还可以，价格合适，', '短评打分': 5}
{'短评内容': '骗子，以后谁还敢到你们这里来定酒店，明明是按照步骤定的酒店既然说我的定单不符合条件，你们客服也太会说话了吧。', '短评打分': 1}
{'短评内容': '地点靠近文化广场，可园。靠近路边晚上可能有一点点吵。有线电视节目够看，不是特别丰富。', '短评打分': 5}
{'短评内容': '浴室挺干净的，刷洗用品齐全，但毛巾和浴巾有一点点泛黄，所以用自带的。房间打扫的干净，可以赤脚走也没问题，虽然有点小，但是感觉舒适。睡房还带有写字台和台灯，可以在那里写一些资料、看一些书。床舒服，隔音不错。\r\n就是不知道早上8点左右，有服务员敲门，不知是叫我起床还是有一些什么事，但是我没有要求叫醒服务。', '短评打分': 5}
{'短评内容': 'bucuo ~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间有点小，比较老的商务酒店了，临近莞城，交通方便，其它的还好&#183;&#183;&#183;', '短评打分': 1}
{'短评内容': '环境和卫生不错！服务态度很好！安全舒适！', '短评打分': 5}
{'短评内容': '还不错，服务挺好的，房间小了点...', '短评打分': 3}
{'短评内容': '还可以，就是房间小了点，附近没吃的地方。。。', '短评打分': 5}
{'短评内容': '住了两次了，连锁酒店基本都差不多，性价比还可以。门口停车比较麻烦，经常满位，而且由于酒店处在十字路口的交通要道上，有时候为了停车得跑得很远，其它都还可以。', '短评打分': 5}
{'短评内容': '眼看到的卫生做得不错，只是床铺的卫生很一般！睡觉被咬了好几个疱！打电话到前台，被告知服务员已经下班，没有人来给我换！还说我怎么这么晚才发现！！难道我非得在服务员下班之前上床睡觉的么？！！！后来听说我要投诉，才说派人来给我换了床单、被单和枕套，这才终于可以睡得着！以后不会选择这家店。', '短评打分': 1}
{'短评内容': '很满意，下次来还住这', '短评打分': 5}
{'短评内容': '很干净，很卫生，晚上没有人打扰', '短评打分': 5}
{'短评内容': '内部环境还不错就是感觉房间有些小卫生和设施还不错,服务态度挺不错的,位置还可以,性价比也还行.', '短评打分': 3}
{'短评内容': '不错的经济型酒店，门口有车到广州，交通方便', '短评打分': 5}
{'短评内容': '环境还可以，设施一般，地理位置也不错，就是停车不方便，酒店没有停车场，就门口几个车位，无人看管。去后面地下停车场还要顾客自己掏钱，15元一晚上（无发票）偏贵。开车一族就不要定这家了！', '短评打分': 1}
{'短评内容': '地理位置不错，房间内的床偏软了。', '短评打分': 5}
{'短评内容': '如家连锁酒店服务不错，环境和硬件的配备都挺好的，就是这个店的位置不好，交通不方便。', '短评打分': 3}
{'短评内容': '没借到吹风机', '短评打分': 5}
{'短评内容': 'room is not very big, but it is comfortable.', '短评打分': 5}
{'短评内容': '酒店还不错,房间内卫生间的地板比较滑很容易摔倒这点不太好,其它各项还是很满意的性价比很高的.', '短评打分': 5}
{'短评内容': '酒店应该说是在当时经济型酒店中最贵的,不过它各方面的条件对于这个价格感觉还是蛮值的,住的很舒适', '短评打分': 5}
{'短评内容': '感觉不错.', '短评打分': 5}
{'短评内容': '酒店的服务，环境都很不错，虽然我不太了解那个地方的地形，不过他门口就有公交设施，很方便。', '短评打分': 5}
