{'短评内容': '酒店地理位置特别好 附近小吃多 前台小鲍 小薛 王成岩服务态度特别好哦', '短评打分': 5}
{'短评内容': '酒店周边很多饭店，吃饭很方便，房间很干净，很大，很舒服', '短评打分': 5}
{'短评内容': '酒店挺好的，服务也不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间非常舒适，干净，服务也很周到，下次再来', '短评打分': 5}
{'短评内容': '干净,虽然在居民区,但是交通也比较方便,已经推荐给了公司好多人.', '短评打分': 5}
{'短评内容': '比较安静,干净,check in时比较慢', '短评打分': 5}
{'短评内容': '酒店外表看来一般，内部设施不错，服务也很好。', '短评打分': 5}
{'短评内容': '很不错，值得推荐。环境不错，也很干净。服务员也比较热情的。', '短评打分': 5}
{'短评内容': '一進入大庁時感覺不錯，前台的服務人員態度也很好。特惠房的房型真是比較小但看起來蠻乾淨的。我們看到商務大床房大了特惠房將近一倍，當下就改訂單去住大床房，但房間裡椅子壁上浴室都有污漬。看起來就很“落漆“～不過，整体飯店來說還不錯。', '短评打分': 5}
{'短评内容': '房间有异味，周围吃饭地方还好，就是清洁似乎不是很好，无烟处理不彻底。', '短评打分': 5}
{'短评内容': '很好。。。每次都是日本客人指定这个酒店。。。交通还是很方便的', '短评打分': 5}
{'短评内容': '之所以选择这家酒店是因为它的地理位置对我而言比较方便，但是对一般的人就没有必要选择这家酒店．因为我入住的当天，没有热水，据说是在维修，没有事先通知，入住后打电话给总台后才被告知的，一直到晚上１２点以后才有热水．要求提供多用插座，过了２个多小时也没有送来．实际上这家酒店的服务还不如锦江之星，虽然硬件上比锦江之星好一些．所以如果你不是一定要住在那个区域，就不要选择它', '短评打分': 1}
{'短评内容': '很好。。。每次都是日本客人指定这个酒店。。。不多说。。。', '短评打分': 5}
{'短评内容': '感觉很满意。服务意识强，硬件条件应该是非常标准的四星级', '短评打分': 5}
{'短评内容': '很好 不错的 客人每次都是指定这个酒店的 还是很实惠的 交通也算是便利的', '短评打分': 5}
{'短评内容': '不错 每次都是这个酒店 很实惠 离公司又近 交通算是比较方便的', '短评打分': 5}
{'短评内容': '房间干净 但是较小', '短评打分': 3}
{'短评内容': '非常好 已经住过N次了 不知道还要说什么了 反正都是预订这个酒店的，', '短评打分': 5}
{'短评内容': '很好 住着很舒服 交通也很方便 绝对物超所值', '短评打分': 5}
{'短评内容': '环境不错  服务一般  周边各种小店较多  离地铁有点远', '短评打分': 5}
{'短评内容': '房间里的毛巾颜色有点发黄，给客人感觉不太干净。请改善一下。其他环境都不错。', '短评打分': 5}
{'短评内容': '房间蛮大卫生也干净，服务也很好，交通便利吃饭也方便，不足的就是无烟房也有股味道，', '短评打分': 5}
{'短评内容': '房间很大，也很干净。周围吃的很多，挺方便。下次去上海还会选择。', '短评打分': 5}
{'短评内容': '帮朋友也订了间，我的还可以，他的房间有味道，隔音效果差，结果后来换了家酒店', '短评打分': 1}
{'短评内容': '酒店位置很方便，出门就是虹梅路，吃的很多的，酒店设施还过的去，性价比还马马乎乎，挺车也挺方便，总的来说，还过的去，可以推荐。', '短评打分': 5}
{'短评内容': '比较干净，价格适中，位置不错，离虹桥机场火车站比较方便，服务还可以，就是没有免费早餐。希望能提供免费早餐。', '短评打分': 5}
{'短评内容': '很不错，是性价比高的酒店！周边交通购物均方便。\n我已推荐我的的朋友入住，且我日后周边出差已作为首选酒店。', '短评打分': 5}
{'短评内容': '酒店里日餐厅气氛不错，房间设施很干净，前台服务态度好，很热情，每一楼都有免费无限网络，价格实惠。我是韩国人对同胞推荐这家酒店。', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很到位，交通也十分便利 性价比高 周围购物环境也不错，日本来的客人每次都是指定这个酒店的。', '短评打分': 5}
{'短评内容': '位置还行，就是酒店内的无线网络不太好，经常连接不上，工程部的人来了好几次也不行。最后还得使用有线网络。', '短评打分': 5}
{'短评内容': '房间还不错，床比较软。但空调的开关位置装的比较不方便。楼下的超市，餐厅也比较多。', '短评打分': 5}
{'短评内容': '房间较小，但价格便宜实惠，作为商务酒店还可以', '短评打分': 5}
{'短评内容': '非常喜欢住这家酒店，服务态度好，每一层都有无限网络，很好用苹果iPhone。', '短评打分': 5}
{'短评内容': '非常好 交通又方便 公司客人指定的酒店 性价比又高', '短评打分': 5}
{'短评内容': '非常好 每次日本客人来我们公司出差 都是选这个酒店 不错的 交通又方便', '短评打分': 5}
{'短评内容': '交通方便,周围环境良好,房间较大,服务有待提高,卫生有待提高', '短评打分': 5}
{'短评内容': '很好 每次同事出差都定这个 实惠 离公司也近非常方便', '短评打分': 5}
{'短评内容': '交通便利周围环境良好 房价适中 房间宽敞', '短评打分': 5}
{'短评内容': '交通方便 房间干净舒适周围环境良好 价格合理', '短评打分': 5}
{'短评内容': '反正日本客人还是每次都选这个酒店的，离公司近 也方便', '短评打分': 5}
{'短评内容': '非常好 日本的客人 每次都指定这个酒店，主要也是离公司近。。。', '短评打分': 5}
{'短评内容': '酒店不错，但两边的交通太堵，有点不方便。', '短评打分': 5}
{'短评内容': '交通便利，周围配套较好，房间干净明亮,价格适中', '短评打分': 5}
{'短评内容': '地理位置方便 房间较大 无线上网方便', '短评打分': 3}
{'短评内容': '交通还算方便，在虹桥这种地方算是性价比还不错的。吃饭挺方便的', '短评打分': 5}
{'短评内容': '酒店还可以，就是吴中路太堵了，虹桥路也很堵，酒店正好在这二条路的中间，有点不舒服。', '短评打分': 5}
{'短评内容': '给同事订的，，反馈意见是酒店整体比较小设施比较陈旧卫生间的门也坏了\n不过房间里卫生还是不错的。早餐一般，希望能改进', '短评打分': 5}
{'短评内容': '离虹桥很近，隔音稍差，但不影响睡觉，房间不错', '短评打分': 5}
{'短评内容': '每一层都有无线网络和有线网络。带iPhone方便使用。房间设施很新，很干净，对面三家日本餐厅，自己也有。离虹桥机场很近。非常不错的选择', '短评打分': 5}
{'短评内容': '周圍交通挺方便的，酒店工作人員態度也很好，房間整理的很乾淨', '短评打分': 5}
{'短评内容': '位置不错,房间大小也可以.缺点是英文不好,有团的时候很吵.', '短评打分': 5}
{'短评内容': '酒店里面设好无线网络，每一层都有，对我来说非常方便。另外，前台服务态度也很好，开房及退房速度也很快。里面装饰不错。下次还会选。', '短评打分': 5}
{'短评内容': '大门非常特别，感觉进了古代皇宫，大厅也很干净，只是上网有问题，需要网络整改，其他都不错的酒店', '短评打分': 5}
{'短评内容': '如果在相同的价目上有含早餐的选择便好很多.', '短评打分': 5}
{'短评内容': '不错，早餐丰富，环境不错，适合商务出行吧', '短评打分': 5}
{'短评内容': '感觉挺好的，服务态度也好，满意，下次去上海还会再入住该酒店', '短评打分': 5}
{'短评内容': '酒店不错，很安静，就是前台有点太机械，周围吃饭方便，打车也不难，就是从虹桥出来打车太近，估计司机不会很高兴，另外，同样价格携程可是含早的', '短评打分': 5}
{'短评内容': '位于虹梅路吴中路，距离虹桥机场很近，酒店早餐一般，房间干净，不是很宽敞', '短评打分': 5}
{'短评内容': '不错的酒店，环境服务什么都非常好。价格也非常的合理', '短评打分': 5}
{'短评内容': '比较难找的时候，这个酒店好不容易找到了。只希望晚上不让人家打电话。', '短评打分': 5}
{'短评内容': '嗯，比较不错的酒店，可以继续入住，浴衣稍微旧些，推荐', '短评打分': 5}
{'短评内容': '是一家四星级标准的酒店,设施还不错,格调比较高雅,在上海的这相地段算是性价比高的酒店.\n', '短评打分': 5}
{'短评内容': '上海虹梅嘉廷酒店是一家四星级标准的酒店,设施还不错,格调比较高雅,在上海的这相地段算是性价比高的酒店.', '短评打分': 5}
{'短评内容': '交通方便，清洁干净，环境优美，价格合理，服务良好', '短评打分': 5}
{'短评内容': '交通便利，干净清洁，价位合理，服务周到，环境优美', '短评打分': 5}
{'短评内容': '帮同事订的，反应还不错.离虹桥机场近，要是有早餐就更好了.', '短评打分': 5}
{'短评内容': '因没订到标间，订的是豪华间，房间还行。不知标间会怎样。停车方面，去机场可直接上中环。', '短评打分': 5}
{'短评内容': '整体环境还不错，饭店看起来挺乾净的，下次汇入住', '短评打分': 5}
{'短评内容': '不明白为什么这酒店是四星的- -完全不像四星酒店，里面的设备什么的不太好了。房内的空调制冷效果也差，嘉廷房虽然价格便宜，但是房间极小，第一次住到那么小的房间，不过能免费上网挺好的，液晶电视机也还好。其他好像没什么.......酒店的服务态度是不错。交通不怎么便捷，主要是离地铁站比较远，虽然附近有公交车能到地铁站，但是上海的公交车对于外来人比较难坐........反正我都是要打的到地铁站的....', '短评打分': 1}
{'短评内容': '可以推荐给其他朋友.\r\n', '短评打分': 5}
{'短评内容': '干净卫生，早餐好，以后有机会还住', '短评打分': 5}
{'短评内容': '很不错的一间酒店，以后来还会住这边，性价比也不错，就是网速慢了点，不带早餐', '短评打分': 5}
{'短评内容': '卫生间的浴缸设计得很不合理，每次洗完澡地上全是水。', '短评打分': 1}
{'短评内容': '酒店电视系统非常不好用。位置一般。卫生尚可，价钱稍贵了点。可能是因为世博会涨价了。', '短评打分': 1}
{'短评内容': '不错的酒店，房间很干净，设施比较完善，性价比蛮好的，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '酒店一切都很好， 就是价格有些高。位置也一般。', '短评打分': 1}
{'短评内容': '酒店的卫生服务算是比较达标的，配置硬件设施都还好，价格稍微有些偏高，位置在虹梅路上出行交通也算是比较方便的，还是推荐入住。', '短评打分': 5}
{'短评内容': '这家酒店的环境硬件设施都还不错，卫生服务也很达标，价格合理适中，出行交通还可以，就是房间里面有一股味道说不清楚是什么味道，其它都还好整体来讲算是比较不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '服务员热情周到，外语能力也不错，可以和老外做简单的交流。', '短评打分': 5}
{'短评内容': '酒店附近有很多吃饭的地方，位置也不错，出行挺便利。', '短评打分': 5}
{'短评内容': '酒店装修的很气派，尤其是大厅，房间也不错，性价比挺高。', '短评打分': 5}
{'短评内容': '各方面都过得去，就是房间稍微小了点', '短评打分': 5}
{'短评内容': '楼层服务员服务态度差，早餐也没有人服务，性价比根本无从谈起', '短评打分': 3}
