{'短评内容': '价格太贵', '短评打分': 3}
{'短评内容': '临走的时候火车票落在房间里，后来打了电话，说给我邮寄过来……到现在还没有回音。', '短评打分': 1}
{'短评内容': '河北人防大厦出行比较方便，离火车站比较近，性价比尚可。', '短评打分': 5}
{'短评内容': '楼层服务员态度不错，但前台服务员尚需改进\n', '短评打分': 5}
{'短评内容': '前台服务员态度很冷淡，但楼层服务员很热情。', '短评打分': 5}
{'短评内容': '其他都很好，说2点不足吧\n1.酒店在马路边上，房间隔音一半，汽车声吵得睡不好。\n2.附近吃饭的地方很少', '短评打分': 5}
{'短评内容': '位置还是不错的，但是整体感觉太陈旧了。但是价格到不贵。', '短评打分': 5}
{'短评内容': '房间布置的很温馨，采光很好，卫生条件不错，服务也蛮到位的', '短评打分': 5}
{'短评内容': '物有所值，房间很大．服务周到．下次还会选择这里．', '短评打分': 5}
{'短评内容': '性价比较高！', '短评打分': 5}
{'短评内容': '是个老酒店，设施太陈旧，卫生还是不错的，位置也蛮好，性价比一般。', '短评打分': 5}
{'短评内容': '第一次入住，性价比很高；位置离办事地点比较近，不错。', '短评打分': 5}
{'短评内容': '中央空调不好调，房间蛮干净的，服务也不错，性价比很好，下次如果在附近出行还会入住。', '短评打分': 5}
{'短评内容': '中央空调不好调，房间蛮干净的，服务也不错，性价比很好，下次如果在附近出行还会入住。', '短评打分': 5}
{'短评内容': '设施比较老，出去吃饭不方便。 送餐要加服务费,位置在火车站附件,比较方便. \r\n服务还可以．\r\n二点退房，比较人性化．', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '还好，以后还会来', '短评打分': 5}
{'短评内容': '整体设施一般，但是看地理位置和价格看，算经济实惠！', '短评打分': 5}
{'短评内容': '位置很好，这边交通很方便，房间的卫生和设施也都还不错，服务也还算周到热情我觉得这是一家性价比较高的酒店，整体感觉还是值得推荐的。', '短评打分': 3}
{'短评内容': '设施比较老，周五饭店少，出去吃饭不方便。', '短评打分': 5}
{'短评内容': '酒店条件还不错，挺干净的，位置也挺好的，外出方便', '短评打分': 5}
{'短评内容': '酒店的条件还可以，位置离火车站很近挺方便的，不过价格有点高了，168元的价格，到希望能在优惠点', '短评打分': 5}
{'短评内容': '酒店里面环境和设施都很好,位置在火车站附件,出行也比较方便,只是当时正在修路,会受些影响,现在可能修好了.', '短评打分': 5}
{'短评内容': '酒店位置还可以离车站比较近挺方便,酒店总体感觉还是不如想象的好,各方面都比较一般.', '短评打分': 5}
