{'短评内容': '房间挺大，就是有异味，然后给我换房间了！！', '短评打分': 5}
{'短评内容': '房间卫生及设备、环境都不错。只是服务跟不上，每位入住的顾客每天只有一双拖鞋，再向酒店要的话就需自费了，一双两块钱！这就是在我的拖鞋烂了以后向前台打电话得到的结果！退房的时候总会对不上数，不是这少了就是那少了，甚至连客房服务员说丢的那个东西（衣物袋）是干什么用的我都不知道，更没见过。还好他们经理在，说我们的房间根本没有放，这才不用赔钱。以后可能不会去了。', '短评打分': 3}
{'短评内容': '非常好的客房，性价比较高，但是也有部分缘于早前一个月预定。', '短评打分': 5}
{'短评内容': '住的是豪华标间. 感觉非常好. 房间大干净, 床也大, 睡得很舒服. 下次如果还来济南, 我就选这了.', '短评打分': 5}
{'短评内容': '酒店离火车站较近，交通方便，设施齐全，卫生也不错，如有朋友去济南一定会向他们推荐格林豪泰的.', '短评打分': 5}
{'短评内容': '性价比较好，但格局感觉太小，尤其是大厅，但毕竟是经济型酒店', '短评打分': 5}
{'短评内容': '第一次入住格林豪泰连锁店，服务很好，有求必应，高效率但不乏耐心！但房间窗户关不严，房间内发现疑似跳蚤的咬咬，老婆、孩子都被咬了，起了好几个包，卫生条件不是太好！', '短评打分': 5}
{'短评内容': '到达济南已是深夜,临时改的出行计划,没想到十一国庆订房紧张时还能在火车站附近订到房,交通也算方便,打的起步价即够,最大的遗憾是', '短评打分': 5}
{'短评内容': '酒店离火车站较近，交通方便，设施齐全，卫生也不错，要是我朋友去济南，我一定会向他推荐这家店的', '短评打分': 3}
{'短评内容': '酒店靠近火车站，交通方便，房间环境很不错，设施也很齐全，是一家性价比挺高的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '\u3000房间不错,很干净.服务员耐心周到.环境也可以,不过离火车站还有一段1.5公里距离.\u3000', '短评打分': 5}
{'短评内容': '还不错，就是离火车站不是非常近，要是行李多的话走起来挺费劲的', '短评打分': 5}
{'短评内容': '条件好，干净，物有所值。', '短评打分': 5}
{'短评内容': '酒店不错，床很大啊！', '短评打分': 5}
{'短评内容': ' 条件很好谢谢', '短评打分': 5}
{'短评内容': '酒店卫生和别的条件都挺好.找的时候也很易容.我定的是大床房可房间太小.在厕所有点挤.房间还送2瓶水很好.服务也不错.', '短评打分': 5}
{'短评内容': '+环境可以,洗澡水有点小', '短评打分': 5}
{'短评内容': '各方面都比较好比较平均，格林豪泰有种厚重感，让人平静的感觉', '短评打分': 5}
{'短评内容': '房子不错，就是有点偏。。。要是有个窗户就更好啦', '短评打分': 5}
{'短评内容': '酒店的床太咯得慌了。其它都还好。希望酒店进一步完善', '短评打分': 5}
{'短评内容': '酒店的床太咯得慌了。其它都还好。希望酒店进一步完善', '短评打分': 3}
{'短评内容': '总体还可以，位置很好，房间也不错，就是服务跟不上，一次性拖鞋一天只有一双，想要的话就交钱，通知前台说我的拖鞋烂了始终每人管', '短评打分': 5}
{'短评内容': '总体还是不错，就是位置比较偏僻，离火车站有点距离', '短评打分': 5}
{'短评内容': '位置不错 床很大附近设施很多 吃饭很方便 ', '短评打分': 5}
{'短评内容': '走廊感觉很暗，房间设施一般，但很齐全。前台服务态度超级不好，电梯很慢。地理位置一般，离景点都挺近的，只是坐车要走很远。总的来说还不错，就是服务员不热情，一直丧着脸', '短评打分': 5}
{'短评内容': '我预定的是豪华标准间，入住后整体感觉非常好，房间宽敞，采光好，床是1.20米宽的，床垫舒适，卫生间设施好，酒店内安静，性价比高。经济型酒店很少这样的大房间。', '短评打分': 5}
{'短评内容': '在济南能找到性价比如此高的酒店 确实挺不错的！', '短评打分': 3}
{'短评内容': '这个店还是比较干净的，离火车站也不远，性价比很高', '短评打分': 5}
{'短评内容': '地理位置很好,周边配套设施比较齐全方便.', '短评打分': 5}
{'短评内容': '干净，比较安静，地理位置也不错，离火车站进，不远有华联商场，买东西也方便', '短评打分': 3}
{'短评内容': '在连锁酒店同等价格情况下，设施、环境、服务态度等较好', '短评打分': 5}
{'短评内容': '干净卫生，就是房间小没窗户不太好，其他服务不错', '短评打分': 5}
{'短评内容': '该酒店还不错，整体环境和布局还不错的，饮食上再好些就更完美了', '短评打分': 3}
{'短评内容': '该酒店还不错，整体环境和布局还不错的，饮食上再好些就更完美了', '短评打分': 3}
{'短评内容': '服务好，位置优，正好在我出差来济南办事圈内，下次来还住这里。', '短评打分': 5}
{'短评内容': '还不错了~~卫生还可以~~服务也不错\r\n其他的都还满意', '短评打分': 5}
{'短评内容': '还不错了~~卫生还可以~~服务也不错\r\n其他的都还满意', '短评打分': 3}
{'短评内容': '房间真的太小了，床还可以，该有的设施都有，就是空间小', '短评打分': 5}
{'短评内容': '入住501', '短评打分': 5}
{'短评内容': '还不错，比较干净………………………………………', '短评打分': 5}
{'短评内容': '这个店比我想象中要好，之前参加网上预订的时候说是无窗户的房间，时间入住的时候是有窗户的房间', '短评打分': 5}
{'短评内容': '酒店卫生还可，只是店里应在大厅明码标价', '短评打分': 5}
{'短评内容': '房间小', '短评打分': 5}
{'短评内容': '还不错.就是大床房 感觉太小了点.别的还可以..', '短评打分': 5}
{'短评内容': '+房间很小,但很干净.电视里都是大雪花.而且浴室地很滑.但总体还不错.推荐.', '短评打分': 5}
{'短评内容': '挺不错的 感觉很人性化 屋内还有电吹风 房间不大 但是很干净', '短评打分': 5}
{'短评内容': '床垫不太好，钢丝一圈一圈都快出来了，睡着不舒服。房间小了点，其他的都还不错，交通、服务等还可以。', '短评打分': 5}
{'短评内容': '还行，比较安静，不过卫生间设施比较陈旧！', '短评打分': 3}
{'短评内容': '挺干净的，前台服务态度也可以，我只住了一天，是豪华标准间，在九楼比较安静。附近有麦当劳，高架桥去长途汽车总站、火车站都挺近，位置不错', '短评打分': 5}
{'短评内容': '格林豪泰里面的套房面积比较大，大约有70平方。很舒服的，只是房间里面没有窗，有点闷的很。', '短评打分': 5}
{'短评内容': '比较不错，性价比还行，位置还行，适合一个人住', '短评打分': 5}
{'短评内容': '格林豪泰405房间', '短评打分': 5}
{'短评内容': '格林毫泰405房间小巧玲珑', '短评打分': 3}
{'短评内容': '房间405干净,卫生', '短评打分': 5}
{'短评内容': '房间卫生条件不错，除房间略小外，其他都还好。', '短评打分': 5}
{'短评内容': '卫生，服务都不错。房间太太太太小了。性价比一般。', '短评打分': 1}
{'短评内容': '总的来说算是不错了！缺点是没有早餐，还是不错的\r\n！', '短评打分': 5}
{'短评内容': '很不错  房间很干净  服务态度也不错  最主要的是比较好找   交通方便', '短评打分': 3}
{'短评内容': '舒适  温馨  地理位置优越  距离中心景区群很近而且很方便 非常好', '短评打分': 5}
{'短评内容': '屋子小，卫生好，早餐不全。', '短评打分': 5}
{'短评内容': '酒店不错，床挺宽大，充电插头多且是万能插孔。位置、卫生都不错。', '短评打分': 5}
{'短评内容': '前台服务人员老师绷着脸，这点不好。早点为啥老是那些白菜豆角之类的？', '短评打分': 5}
{'短评内容': '，酒店名称是火车站店，可实际离车站还挺远了!', '短评打分': 5}
{'短评内容': '比较超值，这个价位算可以的了，虽然房间比较小，但是一份价格一分货', '短评打分': 5}
{'短评内容': '房间一进去就是床，空间较小，有点对不住格林豪泰这个名字。不舒适。', '短评打分': 5}
{'短评内容': '位置不错，离火车站、趵突泉和大明湖都很近，比较安静，很舒适。', '短评打分': 5}
{'短评内容': '各方面都挺不错的，只是觉得位置稍微偏西点了', '短评打分': 3}
{'短评内容': '服务较周到，能为客户着想。挺干净，不过似乎有点挤。网速较快，总体来说不错。', '短评打分': 5}
{'短评内容': '距离火车站也近，性价比高，推荐入住', '短评打分': 5}
{'短评内容': '推荐入住', '短评打分': 3}
{'短评内容': '离火车站稍微远点。', '短评打分': 5}
{'短评内容': '位置很好，房间又大，离景点很近很方便。性价比超高，推荐噢~~下次再来济南还住这里，哈哈！', '短评打分': 5}
{'短评内容': '酒店位置好，去趵突泉等中心区域比较方便。设施很新，房间很干净，空调效果不错。服务也很好，我们早上退了房，把行李寄存在前台，就可以放心出去玩了，直到下午回来取了行李继续行程。唯一的不足：房间很小（我们住的是大床房），洗的衣服没有地方晾，这点不太方便。', '短评打分': 5}
{'短评内容': '洗澡间很麻烦，洗澡不方便。早饭是自助，如果可以送餐多好，真的懒得下去吃早餐。房间有点小，比别的地方的小一些。但是离火车站很近，应该很方便吧。对面就是交警大队，不知道多安全。哈哈……', '短评打分': 5}
{'短评内容': '酒店离火车站很近，很干净，布置的很温馨，藤编的毛巾筐很漂亮，房间很高，面积较窄，感觉稍微有点压抑~~住得很开心！', '短评打分': 5}
{'短评内容': '实木家具不错。离火车站还是稍微远了点，但考虑到价格也不错了，特别是这里很安静，是休息的好地方。不过后来赶东站的火车就不如在偏东的方向选方便了，但这是很难预计到的', '短评打分': 5}
{'短评内容': '还不错  下次会考虑', '短评打分': 5}
{'短评内容': '早餐不好！望改进。', '短评打分': 3}
{'短评内容': '不错，下次还会入住', '短评打分': 5}
{'短评内容': '还不错卫生不错', '短评打分': 5}
{'短评内容': '房间很干净 卫生做的比较好 设备齐全   就是房间稍微有点儿小', '短评打分': 5}
{'短评内容': '点评过了', '短评打分': 3}
{'短评内容': '房间小了点，感觉很局促，含早餐的话性价比会高点，服务员保安都很热情。', '短评打分': 5}
{'短评内容': '怎么用ELONG定酒店，没什么优惠啊', '短评打分': 5}
{'短评内容': '酒店房间非常干净，服务人员也很热情。不过就是床垫不太舒服。房间光线不是很好', '短评打分': 5}
{'短评内容': '环境还不错，还是连锁。。。', '短评打分': 5}
{'短评内容': '希望改进早餐！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '感觉还是很好的，就是房间小了点，设备还是很齐全', '短评打分': 5}
{'短评内容': '格林豪泰酒店总体条件较好，特价房没窗户的感觉房间稍小一些，室内设施齐备，被褥干净，服务态度较好，下次再住一定要一间大房住。', '短评打分': 3}
{'短评内容': '是不错的酒店', '短评打分': 5}
{'短评内容': '酒店的大床很舒服，就是早点品种少点，希望能够多点品种！', '短评打分': 3}
{'短评内容': '什么都好，就是没有保健用品，不方便，建议以后每个房间都放几个。。', '短评打分': 5}
{'短评内容': '位置还行，就是房间有点小哦', '短评打分': 5}
{'短评内容': '设施齐全，被褥干净，只是褥子薄，床垫的弹簧咯的我不舒服，建议更换厚褥子，其他还好。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '酒店位置不错，稍微有点吵，卫生很好，床睡着很舒服，下次来还住在这里。', '短评打分': 5}
{'短评内容': '在经济型酒店中还算不错  房间相对比较大  还免费赠送2瓶水。服务也比较热情，周围吃饭的地方也多。里火车站很近。下次去德州还住这里。', '短评打分': 3}
{'短评内容': '很好，很干净', '短评打分': 5}
{'短评内容': '房间很闷  水龙头没有水  我去问服务员  居然骗我说是水压低的缘故，后来问总台说是维修。我晕，实际上花洒出水完全正常。', '短评打分': 1}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '还行，下次还选择', '短评打分': 5}
{'短评内容': '早餐有点不好,其它方面都还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '前台服务态度还是比较好的，就是房间小了点，桌子与床的距离太近，床头灯太高，淋浴器是固定的，不能拿下来。', '短评打分': 5}
{'短评内容': '这家店很不错的，但是虽然叫火车站店，还是离火车站有一段距离，建议在高架桥那坐公交。环境不错，周围很安静，单间的面积较小，但是床比较大，住的还算舒适。', '短评打分': 5}
{'短评内容': '位置比较合适', '短评打分': 5}
{'短评内容': '环境还好，干净卫生，服务很好。退房时Ipod忘带了，客房服务主动还给我，不错！', '短评打分': 5}
{'短评内容': '床不好，服务员找不到，环境倒是很安静，没有特殊原因不会再去', '短评打分': 5}
{'短评内容': '酒店位置还可以，附近有很多的小吃店，吃饭很方便，喜欢夜排档的人建议住这家酒店。', '短评打分': 5}
{'短评内容': ' 设施一般，淋浴间密封不好，淋浴时水漏到外面底板上了！卫生间没有晾衣服的地方！', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '位置不错，离火车站3公里内。内部装修一般吧，不过门看上去比较旧。室内设施可以。床不太舒服，弹簧的感觉太明显。', '短评打分': 5}
{'短评内容': '说是火车站店，其实距火车站很远。有被忽悠的感觉。', '短评打分': 1}
{'短评内容': '预定的特价房有点小，', '短评打分': 1}
{'短评内容': 'bu cuo', '短评打分': 5}
{'短评内容': '干净卫生，价格不算贵。只有早餐，午餐、晚餐都没有。像我这种宅男就餐不方便。', '短评打分': 5}
{'短评内容': '卫生较好，空间比较小，热水供应不及时，花洒不好用', '短评打分': 5}
{'短评内容': '房间小了些（一张大床就占了3分之一的房间），但卫生间还是比差不多价格的同类酒店要好些，性价比还是不错的', '短评打分': 5}
{'短评内容': '房间太小，这个价格在周围有很多比他好点的酒店，总的说感觉不好。', '短评打分': 1}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '连住了几天，还行吧', '短评打分': 5}
{'短评内容': '没洗衣服务，没手机充电器，问了前台一会有一会又没有', '短评打分': 1}
{'短评内容': '酒店位置不错，离火车站步行二十分钟可到。房间有点小，不过配置不错。但是楼梯、走廊比较旧。。。', '短评打分': 5}
{'短评内容': '价格还可以 房间有点小~~', '短评打分': 5}
{'短评内容': '对得起这个价格', '短评打分': 5}
{'短评内容': '酒店各方面都不错，也很安静。但开通房间的市话需收费，不合理', '短评打分': 5}
{'短评内容': '感觉还行吧 说是火车站店 不过离火车站还是有点远', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '整体都不错，就是当晚有旅行团来入住 很吵闹', '短评打分': 5}
{'短评内容': '酒店还不错，比较温馨的，尤其是卫生间', '短评打分': 5}
{'短评内容': '卫生、服务都还可以 ', '短评打分': 5}
{'短评内容': '有点被忽悠了，离火车站太远，很是不好找。不过卫生很好，空间很大', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也很好，下次去济南火车站会继续选择', '短评打分': 5}
{'短评内容': '价格合理公道', '短评打分': 5}
{'短评内容': '在大马路口旁的小路上，上次刚好修路，现在应该好了', '短评打分': 5}
{'短评内容': '房间太小 连上网的凳子都放不下。打开水龙头 水里都带着水锈,水也不热，要把热水开到最大才能洗澡。电视离床近 ', '短评打分': 1}
{'短评内容': '蛮好的', '短评打分': 3}
{'短评内容': '性价比好，可以考虑入住，比较安静', '短评打分': 5}
{'短评内容': '还不错，下次还会考虑入住', '短评打分': 5}
{'短评内容': '性价比性价比性价比性价比性价比ok', '短评打分': 5}
{'短评内容': '整体不错 ', '短评打分': 5}
{'短评内容': '房间很大 ，不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '该酒店不错，离火车站和汽车站还是比较方便的。价格还可以，不过硬件设备还是比较一般。', '短评打分': 5}
{'短评内容': '酒店整体性价比非常好，房间也比较明亮，距离火车站也不是很远下次还会住', '短评打分': 5}
{'短评内容': '参考大家的意见，没有定单人间，以至于有两床被子，就没那么冷了，而且还是有窗的，不过洗完澡确实冷。冬天还是别去的好！', '短评打分': 1}
{'短评内容': '非常好 非常好 呵呵', '短评打分': 3}
{'短评内容': '房间隔音比较差，旁边房间的情侣晚上办事吵死人。哎。', '短评打分': 5}
{'短评内容': '酒店的空间比我想象的大，采光也不错，前台的效率有点低，退房有点慢。总的来说性价比挺高，值得推荐。', '短评打分': 5}
{'短评内容': '话说这家经济型酒店位置尚可，坐火车或汽车或者机场巴士都还方便。不足之处在于房间真的够迷你的，3月9日那天还下了一点小雪，房间很冷，真的够冷，空调开了一晚好像没什么作用，薄薄的小被子把我冻坏了，一晚被冻醒来无数次....', '短评打分': 5}
{'短评内容': '房间温度太低', '短评打分': 5}
{'短评内容': '一直以为火车站附近住不到好的酒店，这次出乎意料，服务、卫生等各方面都很满意', '短评打分': 5}
{'短评内容': '性价比很高。房间就是太小了。', '短评打分': 5}
{'短评内容': '酒店位置比较偏僻，而且房间里面特别冷，热水温度也比较低。前台的服务员抽烟，弄得大堂很呛，很不舒服。', '短评打分': 1}
{'短评内容': '还不错，本来订的是137的大床房，后来去了觉得小又换成了标准间。第二天退房的时候还给免费延长到了2点.卫生还不错，还给免费2瓶水', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间好小\r\n墙壁也有发黄的地方\r\n让人觉得很不舒服\r\n刚入住的时候问服务员有没有带窗户的\r\n他说没有\r\n后来我在让他却人的时候\r\n才找出一间带窗户而且很小的房间让我入住\r\n感觉不是很好', '短评打分': 1}
{'短评内容': '空调燥音大，不开空调，简直要冻死。整晚都感觉冰冷。', '短评打分': 5}
{'短评内容': '不错，非常好，有家的感觉', '短评打分': 3}
{'短评内容': '位置很好找..就是房间稍微有点小了 空调噪音有点大 到不觉得房间不隔音 床硬是酒店的通病~', '短评打分': 5}
{'短评内容': '早餐遇上团队会议，十元基本白费。8点，什么都没有了', '短评打分': 3}
{'短评内容': '与相似价位的其他酒店相比，还是很不错的~', '短评打分': 5}
{'短评内容': '后半夜没有暖气，被冻醒。早餐干啥北京北农科技的会议，几乎吃不到什么', '短评打分': 5}
{'短评内容': '房间有点小，设施有些陈旧了，到了该装修的时候了。卫生还不错，早餐也可以，离火车站和西市场都比较近。', '短评打分': 3}
{'短评内容': '除了房间小点，隔音不太好之外，其他还是满意的。值得推荐', '短评打分': 5}
{'短评内容': '离火车站比较近，打车起步价。\r\n早餐不是特别丰盛，但也还算不错\r\n可以推荐给朋友', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 3}
{'短评内容': '感觉不错,关键是比较干净,下次还会来.', '短评打分': 5}
{'短评内容': '位置还行离火车站不是太远.房间的设施和卫生还行舒适度也还可以,酒店的服务态度还是比较不错的,性价比还是挺好的,总体感觉还是比较不错的酒店.', '短评打分': 3}
{'短评内容': '不错,下次还来', '短评打分': 5}
{'短评内容': '位置比较偏僻', '短评打分': 5}
{'短评内容': '整体感觉不错，有机会还会入住格林豪泰。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 5}
{'短评内容': '位置很好,出行很方便,卫生服务方面也都不错,住着很舒适,是一家性价比很高的酒店,我很满意.', '短评打分': 3}
{'短评内容': '还不错，但是好像建筑有些老，房间的墙壁都是裂缝！！', '短评打分': 3}
{'短评内容': '酒店的服务还不错，设施条件非常好，位置交通非常合适，价格又不贵。', '短评打分': 3}
{'短评内容': '酒店离火车站比较近，交通比较方便，酒店整洁卫生，位置比较安静，性价比高，推荐', '短评打分': 5}
{'短评内容': '环境很差,服务也一般,房间设施和卫生都不怎么样而且隔音效果也不是很好,酒店的位置也不是太好找,价格还是挺便宜的,但是和酒店本身比起来确实不怎么样.', '短评打分': 3}
{'短评内容': '卫生还可以很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错，值得推荐', '短评打分': 3}
{'短评内容': '酒店的空调声音太大了，不过总体环境还可以，位置交通也比较方便，反正也可以考虑。', '短评打分': 3}
{'短评内容': '唯一不太满意的就是房间里没有暖气，是空调供暖。', '短评打分': 5}
{'短评内容': '酒店离火车站很近，步行10分钟就可以到，酒店服务还不错，每次见到前台的人他们都会打招呼，问好，卫生也很干净，单人大床间床很大，就是稍微有点硬，房间空间有点小，总体来说还不错', '短评打分': 5}
{'短评内容': '酒店的服务挺不错，硬件设施条件也比较满意，交通方便，价格适中。', '短评打分': 3}
