{'短评内容': '服务很好，空间整洁，可停车。', '短评打分': 5}
{'短评内容': '酒店性价比较高，整体环境不错，卫生情况很好，蛮干净的，服务也很到位', '短评打分': 5}
{'短评内容': '酒店整体颜色是橙色的，有很多卡通动物，看起来心情很好 ，为了支持环保，酒店不提供洗漱用品，有些不方便，房间卫生条件不错，干净整洁，住宿条件很不错', '短评打分': 5}
{'短评内容': '酒店整体颜色是橙色的，有很多卡通动物，看起来心情很好 ，为了支持环保，酒店不提供洗漱用品，有些不方便，房间卫生条件不错，干净整洁，住宿条件很不错', '短评打分': 5}
{'短评内容': '房间给人感觉很不错，硬件齐全，也比较干净整洁，舒适度不错', '短评打分': 5}
{'短评内容': '房间给人感觉很不错，硬件齐全，也比较干净整洁，舒适度不错', '短评打分': 5}
{'短评内容': '地理位置很好，周边交通出行很方便，整体环境还是很不错的，装修的还可以，服务很周到', '短评打分': 5}
{'短评内容': '地理位置很好，周边交通出行很方便，整体环境还是很不错的，装修的还可以，服务很周到', '短评打分': 5}
{'短评内容': '酒店性价比蛮好的，服务不错，很周到热情，住宿环境很好，其他比较一般', '短评打分': 3}
{'短评内容': '酒店性价比蛮好的，服务不错，很周到热情，住宿环境很好，其他比较一般', '短评打分': 3}
{'短评内容': '不错不错，位置很好，距离我办事的地方很近', '短评打分': 5}
{'短评内容': '不错不错，位置很好，距离我办事的地方很近', '短评打分': 5}
{'短评内容': '房间通风很好，硬件设施齐全，服务周到热情，卫生打扫的很干净，住着很满意', '短评打分': 5}
{'短评内容': '房间通风很好，硬件设施齐全，服务周到热情，卫生打扫的很干净，住着很满意', '短评打分': 5}
{'短评内容': '新开业的酒店，房间硬件设施齐全，感觉很新，酒店距离武林广场蛮近的，周边有很多购物广场，服务很好，性价比很高', '短评打分': 5}
{'短评内容': '新开业的酒店，房间硬件设施齐全，感觉很新，酒店距离武林广场蛮近的，周边有很多购物广场，服务很好，性价比很高', '短评打分': 5}
{'短评内容': '不错。周围出行很方便，最喜欢的是布丁里面的窗帘，好多的马，还各不同。', '短评打分': 5}
{'短评内容': '不错。周围出行很方便，最喜欢的是布丁里面的窗帘，好多的马，还各不同。', '短评打分': 5}
