{'短评内容': '感觉还不错ke\u2006yi', '短评打分': 4}
{'短评内容': '地理位置太偏了。。车都打不到、、不过服务很好。。', '短评打分': 1}
{'短评内容': '总台小姐很热情。设施也不错。总体感觉很好， 下去如果去黄山， 还是会入住的。', '短评打分': 5}
{'短评内容': '总台服务很好，很热情！ 也很贴心， 打电话到总台咨询的时候，总台还很贴心的跟我讲怎么到酒店， 还有车资。 \n唯一不足的是空调声音有点大， 温度打不上去！还有就是刚进门看到两个虫子，有时间 应该好好杀杀虫了！\n总的来说， 还是很满意这家店。', '短评打分': 5}
{'短评内容': '服务不错，周到热情，房间硬件设施齐全简洁，卫生不错，干净整洁，服务也蛮到位的', '短评打分': 5}
{'短评内容': '性价比较高的酒店，房间硬件不错，蛮齐全的，服务很到位，卫生间很干净，用着很放心，住宿环境还是很不错的', '短评打分': 5}
{'短评内容': '酒店服务很好，服务员都很周到热情，另外这个酒店位置不错，距离机场，火车站和长途汽车站都不是很远，出行方便，房间卫生条件好，比较干净，舒适度不错', '短评打分': 5}
{'短评内容': '房间装修的很好，粉嫩粉嫩的，布置的很温馨，卫生间很小巧，但设施一应俱全，舒适度很好', '短评打分': 5}
{'短评内容': '干净卫生   位置也不错  就是价格有点偏高了   外面的停车场比较大 我们来了5个大巴停车都没有问题  嘿嘿', '短评打分': 5}
{'短评内容': '房间舒适度很好，卫生不错，床和卫生间打扫的都很干净，卫生间洗漱用品很齐全，性价比还可以', '短评打分': 5}
{'短评内容': '客房干净整洁，卫生间比较宽敞，服务周到热情，酒店距离长途客运站较近，走路10分钟左右可以到，周边出行很方便', '短评打分': 5}
{'短评内容': '挺好的，环境不错，服务也挺热情、周到。我很满意....', '短评打分': 5}
{'短评内容': '环境非常好！幽静！边上就是黄山不错的会所，方便！推荐下！服务态度也很好！', '短评打分': 5}
