{'descr': '不干净，，入住时前台接待态度不好！！！！！！！！房间墙上面很脏，，。，。，。，。，，。，卫生间的帘布太脏了', 'star': 2}
{'descr': '房间是无线网络，上不了网！酒店比较安静！105元的是没有卫生间的！价格一般！', 'star': 5}
{'descr': '酒店服务不错，就是房间潮湿。特别是网上预定的房间。', 'star': 5}
{'descr': '房间很干净,很温馨，感觉真好,价位也不高!', 'star': 5}
{'descr': '环境安静卫生不错下次还来住', 'star': 3}
{'descr': '环境不错服务态度很好下次还来入住', 'star': 5}
{'descr': '酒店环境安静，卫生良好老板态度也不错，下次还住那里', 'star': 3}
{'descr': '酒店卫生不错，环境安静，安全性好访客进门要登记', 'star': 5}
{'descr': '还可以,就是没电梯', 'star': 5}
{'descr': '早餐饭店老板人很好，酒店的饭菜的价格很适中，在石家庄不好找!', 'star': 5}
{'descr': '…服务热情，有问必答，整洁舒适，宾至如归。餐厅雅致，饭菜可口。', 'star': 5}
{'descr': '~~还不错，很干净卫生，就是洗手间小了点，但是也够用~', 'star': 5}
{'descr': '性价比还不多！环境不错！服务态度好，下次去还住这家酒店。', 'star': 3}
{'descr': '性价比很好，值得一试！希望下次再去的时候还住这家酒店！', 'star': 5}
{'descr': '官鲤酒店性价比蛮高的卫生服务都不错早点品种也很丰富下次还会住这里', 'star': 5}
{'descr': '住了很多快捷酒店，这家是真不错，就是房间有点小，但是足够了，下次还来，嘿嘿', 'star': 5}
{'descr': '房间内没有卫生间，没有地板或地毯，无线上网信号极端不好，有一个信号好的还输入不进密码。。。。。。。。房间内就一盏顶灯，一个开关，并且在门口，很不方便。。。。。。。我住的这间，安全链固定在墙上的一端没固定，告诉服务员后，服务员干脆将其拿走，说是让我将门反锁。。。。。。。郁闷啊', 'star': 1}
{'descr': '官鲤的卫生服务都还行,性价比较高.只是没说那个特价房没有卫生间...到了又换的大房间....', 'star': 3}
{'descr': '服务态度还行，卫生也还行啊，在那地段比起来，算是性价比蛮高的', 'star': 3}
{'descr': '定的105元的房间，到酒店以后才知道那个房间没有卫生间，实在不能接受，又到服务台换了个150元的标间，房间还不错吧，在这一带性价比算是高的啊。', 'star': 5}
{'descr': '周边的环境很热闹，吃饭的地方挺多的，公交车、出租车都比较好找。', 'star': 5}
{'descr': '我住的很好，房间也很舒适。', 'star': 5}
{'descr': '环境干净卫生，服务还算周到，这样的价位还能接受。', 'star': 5}
{'descr': '卫生条件不错。位置在CBD区域。交通方便。在院子里面。很安静。', 'star': 5}
{'descr': '房间里收拾的还是蛮干净的，住在里面感觉也还是蛮舒服的，下次应该还会来住的。', 'star': 5}
{'descr': '服务很周到，对我们很热情，给我们的第一印象很好。', 'star': 5}
{'descr': '位置不错，卫生打扫的也很干净，客房里没有什么异味，很舒心。', 'star': 5}
{'descr': '酒店离我出差的地方很近，房间的隔音效果很好，有助于我休息。', 'star': 5}
{'descr': '开始去酒店的时候不是很好找，其实找到后感觉位置还是可以的，周边还是比较热闹的。', 'star': 5}
{'descr': '酒店所在的位置还行，周边交通便利，方便我的出行。', 'star': 5}
{'descr': '酒店的服务人员挺热情的，我们有什么需求，都能尽量帮忙解决，给我们的感受很好~', 'star': 5}
{'descr': '客房住着还是挺舒适的，我是睡了一个好觉，感觉不错！', 'star': 5}
