{'descr': '房间很大，洗澡间里的东西不太好用，', 'star': 4}
{'descr': '酒店位置方便，各种设施完善，干净卫生，前台服务也很好，整体很满意，下次出差还会再光临的。', 'star': 5}
{'descr': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', 'star': 5}
{'descr': '酒店周围交通方便，吃饭选择也多，就是酒店设施有局部损坏（衣柜门坏的）被子偏厚，窗户开不了，还是推荐。', 'star': 3}
{'descr': '不错，房间很大，早上的自助餐也不错，就是被褥有点糙，酒店在小路里面，没有醒目的标志，自驾游特别是晚上挺难找的，花了不少功夫才找着的，自驾游下次好考虑。', 'star': 5}
{'descr': '酒店地理位置不错，交通很方便，酒店给我们安排的房间也很舒服，也很安静，整体来说性价比很不错。', 'star': 5}
{'descr': '很不错，很不错，很不错，很不错，很不错，很不错，很不错，很不错', 'star': 5}
{'descr': '感觉还行，就是遇上中午别人家炒菜时有油烟味', 'star': 5}
{'descr': '入住蘇州中翔公寓酒店，寬敞舒適，又有洗衣機，方便洗衣，很好的酒店。', 'star': 3}
{'descr': '房间环境非常好，价格也很便宜，离大润发超市很近，就是离市中心较远', 'star': 5}
{'descr': '房间宽敞整洁，真正的酒店型公寓，性价比很高', 'star': 5}
{'descr': '价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错价格便宜 环境还不错', 'star': 5}
{'descr': '这家酒店的各项服务和设施都很完善，洗衣机，冰箱，电视很齐全，环境很好，交通很方便，比起以前住的酒店，很好，性价比很高，比4星级也好看多 \n', 'star': 5}
{'descr': '这家酒店的各项服务和设施都很完善，洗衣机，冰箱，电视很齐全，环境很好，交通很方便，比起以前住的酒店，很好，性价比很高，比4星级也好看多', 'star': 5}
{'descr': '很好，性价比很高\n简直是超值……………………\n××××××××××××××××××××××××××××××××\n）））））））））））））））（（（（（（（（（（（（（（（', 'star': 5}
{'descr': '总体而言还可以 性价比很高 ，房间环境很好 比较安静 空间比较大  位置比较偏娱乐不太方便 就是服务有待提高', 'star': 5}
{'descr': '酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。酒店不错不错，继续加油。', 'star': 5}
{'descr': '这是朋友介绍的酒店！ 周边的环境非常好。地理位置不错！而且交通也很方便。早餐比较丰富。 房间干净！ 服务态度好！总体来说还是不错的酒店。下次还住这个酒店！ ', 'star': 5}
{'descr': '感觉不错哦，房间很齐备，也很宽敞，住着也挺舒服，如果去旅游就是稍微有点远                                               ', 'star': 5}
{'descr': '不错的酒店，装修设备象家一样，服务也不错。周边不远就有大卖场，购物方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '苏州中翔广场酒店公寓的房间很大, 挺舒服的. 设备很新，冰箱什么的都有,各种设施都齐全；性价比不错的地方。', 'star': 5}
{'descr': '还好。就是洗衣机的下水不太通畅。不知道是个别房间这样还是所有都这样。住了那么多次第一次洗衣服所以才发现', 'star': 5}
{'descr': '我们第二次入住了，挺不错的房间。各种设施都齐全。很适合一家人的居住，是网上订房性价比不错的地方。一个字舒服。', 'star': 5}
{'descr': '退房还是一如既往的慢啊，前台的培训真的是很不得力啊，其他方面都蛮好的。\n退房还是一如既往的慢啊，前台的培训真的是很不得力啊，其他方面都蛮好的。', 'star': 5}
{'descr': '性价比很高， 大力推荐，房间大， 设施不错， 位址方便,价格非常好\n========================================', 'star': 5}
{'descr': '房间较大 设施也很好 冰箱什么的都有  房间很干净 位置还可以比较方便出行就是晚上不太好打车 周边没什么玩的  性价比够高    服务员态度够好', 'star': 5}
