{'短评内容': '还好有点吵外面车多', '短评打分': 5}
{'短评内容': '还满意。', '短评打分': 3}
{'短评内容': '十房间挺干净，前台服务一般。', '短评打分': 3}
{'短评内容': '比较不错，经常在住。', '短评打分': 3}
{'短评内容': '离车站近!就是地面有点脏,其他还算可以的!前台服务员态度有待提高.', '短评打分': 5}
{'短评内容': '已入住  酒店卫生有点差  需要改造', '短评打分': 3}
{'短评内容': '友源酒店的环境太差了，这个价格成都大酒店四星的才120到了150元，也说明你们定的房间有上当的感觉', '短评打分': 3}
{'短评内容': '已经第二次住了，就是因为离火车站近，住起来也挺安静的', '短评打分': 5}
{'短评内容': '离火车北站很近，住起来也比较安静舒适，价格还可以', '短评打分': 5}
{'短评内容': '就是网上和店的对接有点问题，取得时候没有查到记录，差点就没房了', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '卫生条件还行，可是我明明订的是单床怎么变了，', '短评打分': 3}
{'短评内容': '去住了，还可以，就是厕所洗藻水流的少，还有就是冷热不能混用，非常烫！', '短评打分': 3}
{'短评内容': '设施陈旧，洗澡水小，洗起来有点冷，洗澡拖鞋都没有，非常不方便，不值得。', '短评打分': 1}
{'短评内容': '还可以，', '短评打分': 3}
{'短评内容': '环境干净舒适，设施简单实用，服务热情周到，整体感觉性价比挺高。', '短评打分': 5}
{'短评内容': '房间不大，但是打扫的很干净，设施还好，价格方面挺便宜的，住的挺划算。', '短评打分': 5}
{'短评内容': '酒店的位置挺好，购物交通挺便利，卫生很多，房间里收拾的很干净。', '短评打分': 5}
{'短评内容': '位置挺好，在火车北站附近，周边交通挺便利，价格也挺便宜，住的挺划算的。', '短评打分': 5}
{'短评内容': '在火车站附近，交通很便利，服务卫生都很多到位，价格还不贵，值得推荐。', '短评打分': 5}
{'短评内容': '服务人员态度很好，办事也挺积极，房间里挺干净，设施也挺齐全，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，交通很便利的，服务人员总是微笑服务，办事很耐心也很周到。', '短评打分': 5}
{'短评内容': '服务人员挺热情的，感觉很亲切，房间干净整洁，住的很舒适，出行也很方便。', '短评打分': 5}
{'短评内容': '卫生挺好，每天打扫挺及时，服务态度挺好，有问必答，办事也挺利索。', '短评打分': 5}
{'短评内容': '住过几次，感觉服务上更专业的，设施也有所改进，价格还是那么实惠，值得推荐一下。', '短评打分': 5}
{'短评内容': '住房条件不如人意：被盖破破烂烂、地毯陈旧；住10层淋浴水小点不爽；早上6：02入住接待睡意中。', '短评打分': 1}
{'短评内容': '还可以的。。大家不妨去看看。。  一般来讲 还算行', '短评打分': 5}
