{'短评内容': '好评。。。很满意！', '短评打分': 5}
{'短评内容': '交通方便，总体不错，房间的窗户挺大的，采光不错，不会感到很压抑，酒店旁边就是二环路，就是公交车站，服务不错，态度很好的，效率也很高。', '短评打分': 5}
{'短评内容': '装修过后的房间非常好，服务很周到，服务员很热情  下次来还住西尚', '短评打分': 5}
{'短评内容': '酒店房间环境一般，不过酒店被子枕头浴巾等都挺新净…', '短评打分': 3}
{'短评内容': '一般般，房间设施有点旧', '短评打分': 3}
{'短评内容': '浴室太小了，电吹风也不够，不过其它的还凑合吧。', '短评打分': 1}
{'短评内容': '一般，两百多的房间连个电吹风都没有，前台准备的电吹风又借不到', '短评打分': 1}
{'短评内容': '酒店环境一般,房内设施较简单,不过比较靠近欧尚商场,步行到一品天下要十五分钟', '短评打分': 1}
{'短评内容': ' 房间太小', '短评打分': 3}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '方便，好找。房价便宜、装修相对粗糙一点，不过也对得起这点房价的。', '短评打分': 5}
{'短评内容': '房间还可以吧，装修一般，就是网络速度太慢了。还有不能刷信用卡与借记卡。', '短评打分': 5}
{'短评内容': '特差,房小,浴室不好用,房有怪味.不值RMB218/晚.', '短评打分': 1}
{'短评内容': '酒店设备的205元休闲大床房很一般，跟99旅馆的设备差不多。价格就贵了一倍多。单间的面巾也只有一条。卫生间的换气扇声音大得要命。酒店自身没有停车场，后面的停车场给过夜还要给10元停车费，算算真不值这个价钱。', '短评打分': 1}
{'短评内容': '感觉性价比不算高，房间一般。不能刷卡！。。。。。。。', '短评打分': 5}
{'短评内容': '隔音超差，每晚半夜被隔壁吵醒，无语了。商务大床房全部临街，晚上车子的声音很大。之前的房间窗子关不严，车辆声音很大，后来换了一间，稍有改善，但仍有噪音。', '短评打分': 1}
{'短评内容': '性价比高 不错 会长期居住~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店位置较偏，房间很旧，卫生间不好，就是旁边吃的地方还比较多', '短评打分': 1}
{'短评内容': '地理位置不错！出门就是二环路，价格也比较适中，房间宽敞', '短评打分': 5}
{'短评内容': '虽然是2008年才开的酒店，但是就设施情况来说的话保养的不算好，卫生做的不干净，每天只是把表面的脏东西清理了，但是比如镜子玻璃都不会擦，仍然有水渍，位置还可以，但不算中心地段，到大部分景点还是要转车的~服务总体还可以，晚上会有骚扰电话~', '短评打分': 5}
{'短评内容': '应该说还是可以的  不过晚上有保健按摩的打电话 而且每天都会打  有点烦', '短评打分': 5}
{'短评内容': '＋很满意…', '短评打分': 5}
{'短评内容': '紧邻二环路,交通十分方便,不过不敢开窗,因为噪声太大.马路对过是加油站,宾馆的停车位很充足,自驾的朋友有福了.前台很友善,虽然宾馆无洗衣服务,但是邻居家就有洗衣店,洗了4件一共17元,真让我体会了成都的物价之便宜.唯一不足的是某些服务人员过于热情,每天趁我们不在时从门缝下塞进&quot;特殊服务&quot;的名片,夜间还有骚扰电话打进,不过他们从来不会一晚上反复骚扰,只打一次,算是有职业道德的. ', '短评打分': 5}
{'短评内容': '+价格合适', '短评打分': 5}
{'短评内容': '酒店房间宽敞明亮，硬件配置设施齐全，还不错的一家酒店。', '短评打分': 5}
{'短评内容': '性价比很不错的酒店，位置方便，环境舒适，价格也很有优势。', '短评打分': 5}
{'短评内容': '酒店装饰的很漂亮，环境舒适优雅。卫生很好。', '短评打分': 5}
{'短评内容': '酒店的地段优越，位置很方便。印象还是很不错的。', '短评打分': 5}
{'短评内容': '服务态度很好，员工都非常热情，做事情认真仔细。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '前台人员的服务不错，但酒店设施太过陈旧，与同等价位的连锁快捷酒店相比，性价比不高。', '短评打分': 5}
{'短评内容': '地理位置方便，打车到天府广场不远，服务热情大方，有很有礼貌', '短评打分': 5}
{'短评内容': '大堂服务员很有礼貌，经常微笑，呵呵，房间面积大，很宽敞，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '酒店装修的很漂亮，棕黄色的颜色，很温馨，服务员办事效率高。', '短评打分': 5}
{'短评内容': '设施齐全，电视机非常清晰，性价比高。', '短评打分': 5}
{'短评内容': '室内布置的简洁，电视效果非常好 ，卫生不错，很干净', '短评打分': 5}
