{'短评内容': '服务很好！位置不错！早餐很不错！下次还会去！', '短评打分': 5}
{'短评内容': '可以可以...............................................', '短评打分': 5}
{'短评内容': '可以.........................................................', '短评打分': 5}
{'短评内容': '酒店比较新，设施完备，位置很好，交通便利，环境很不错，房间挺宽敞的，不过就是价格稍微有点贵，在城阳算档次比较高的了', '短评打分': 5}
{'短评内容': '环境不错 可以............................................................', '短评打分': 5}
{'短评内容': '挺好 ................................................................', '短评打分': 5}
{'短评内容': '\n商务酒店，房间还算干净，价格合理，配置中等水准，推荐。                         ', '短评打分': 5}
{'短评内容': '房间一般，卫生一般。服务一般。               但相对价格来说还是可以的。                            \n', '短评打分': 5}
{'短评内容': '酒店很干净，性价比很高，离机场很近，只是早餐种类有点儿少，不过总体感觉很好，前台的服务也不错，下次还会去住', '短评打分': 5}
{'短评内容': '＋可以', '短评打分': 3}
{'短评内容': '离机场不远, 附近很多大排檔, 但比较没有干净卫生的餐厅, 房间设备不错, 早餐还算丰富, 整体评价这价格还是物超所值。', '短评打分': 5}
{'短评内容': '房间很干净整洁，给人温馨舒服的感觉，但有一点不好。在房间用餐后通知服务台来收拾餐具，但是到第二天早餐后都没人来收--这是我第一次遇上这种情况，一般应该在接到收餐具的通知后立马收走的。有点郁闷。', '短评打分': 5}
{'短评内容': '新酒店，但是设施不好，地毯有味道，脏。\n如果在城阳这个价位的话不如加点钱住到其他高级酒店了。\n也可以住到便宜点的酒店和这个设施都差不多。', '短评打分': 1}
{'短评内容': '不错的酒店 距离火车站和机场都比较方便，价钱适中，环境还可以。', '短评打分': 5}
{'短评内容': '比较来说还是可以的。干净安静，就是吃早餐不怎么样', '短评打分': 5}
{'短评内容': '比较新，总体不错，也很安静，比较适合休息', '短评打分': 5}
{'短评内容': '服务到位 交通方便 预定快速  一定会推荐给朋友', '短评打分': 5}
{'短评内容': '这家酒店位于青岛城阳中心。价格合算。设施比较好。', '短评打分': 5}
{'短评内容': '房间比较宽敞,前台的服务还有待改善。', '短评打分': 3}
{'短评内容': '整体感觉干净，就是房间装修的味道有点大！', '短评打分': 3}
{'短评内容': '酒店一切都较满意，接着续住', '短评打分': 3}
{'短评内容': '硬件环境还好，服务也不错，交通也方便', '短评打分': 3}
{'短评内容': '挺干净舒适的酒店，中规中矩挺不错的。下次还会住。', '短评打分': 5}
{'短评内容': '酒店硬件比较好，早餐品种有点少，附近餐馆、酒吧多，离机场进交通方便。', '短评打分': 5}
{'短评内容': '酒店设施新，服务好，带餐厅。所以续住一天。', '短评打分': 5}
{'短评内容': '城阳性价比非常高的酒店，距离机场也很近。', '短评打分': 5}
{'短评内容': '还不错~房间很干净，早餐不错，客房服务员态度较好', '短评打分': 5}
{'短评内容': '餐饮不方便', '短评打分': 3}
{'短评内容': '\n推崇', '短评打分': 3}
{'短评内容': '不错的一家酒店。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 相当不错，就是床比硬。', '短评打分': 3}
{'短评内容': '酒店位于城阳城区中心位置，距青岛国际机场只有十几分钟的车程。酒店干净整洁，餐厅菜肴价格适中。', '短评打分': 5}
{'短评内容': '早餐真的很不错； 在城阳是性价比很高的了。', '短评打分': 5}
{'短评内容': '该酒店地理位置优越,处于城阳区中心地带,离机场十几分钟的车程;酒店干净整洁, 餐厅的菜肴档次高,但价格适中', '短评打分': 5}
{'短评内容': '很不错，房间设施很新，也很大。尤其卫生间设计的木条地面防滑效果很好。值得继续入住。', '短评打分': 5}
{'短评内容': '很有档次的地方。早餐丰富，吃得很舒服。有意思的是，卫生间和房间的墙嵌了面大玻璃窗！莫非为方便房里人欣赏同伴的洗浴大片？(*^__^*) 嘻嘻……（当然里面有遮光窗的，还要看浴盆里的人愿不愿意被欣赏）', '短评打分': 5}
{'短评内容': '房间宽敞，硬件也很好，交通餐饮很方便，服务也不错，性价比很高 ', '短评打分': 5}
{'短评内容': '开车过去开始走错了地方，去了海梦园商务酒店，后经指点找到了这边，房间中央空调声音太大，需要整修了，其他都还好，卫生间居然是透过玻璃墙面跟卧室相望，很有情趣，可惜我是一人入住，呵呵，卫生情况不错，前台也不错，早餐也还好。', '短评打分': 5}
{'短评内容': '不错，房间大，卫生好，性价比比较高，离机场很近，交通方便', '短评打分': 5}
{'短评内容': '内容 还不错!', '短评打分': 3}
{'短评内容': '服务态度好，室内干净整洁，入住愉快\n就是电梯的到达提示音有点响，尤其是在晚上，在房间内清晰可闻。', '短评打分': 5}
{'短评内容': '该酒店是我公司在城阳使用最多的酒店，靠近机场，便利舒适。', '短评打分': 5}
{'短评内容': '很不错，犀利的偷明浴室。就有一点，没电脑啊。本来说有电脑的啊', '短评打分': 3}
{'短评内容': '透明的浴室 有点儿意思哦 哈哈哈 环境还算不错', '短评打分': 5}
{'短评内容': '青岛海梦圆大饭店装潢新颖，处于美食街。吃饭方便，适合商务出差。 \n', '短评打分': 5}
{'短评内容': '不错，服务挺周到，房间比较干净！环境优雅，值得推荐！', '短评打分': 5}
{'短评内容': '海梦圆的设施很一般，与338的价格相比感觉略微偏高。按照我的经验应该在300以内，270~280左右比较合理。但还是属于能接受的程度。至于推荐不太会主动推荐的，早餐还行，位置不太好找。的士司机把我带到海梦圆商务酒店去了，有打了次的才找到。', '短评打分': 5}
{'短评内容': ',青岛海梦园饭店很不错', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '酒店价格不贵，床很大。可惜没有商场。餐厅价格比较合理 ', '短评打分': 5}
{'短评内容': '住这个酒店很多次了，一般朋友来了都安排这个酒店，价格合理。', '短评打分': 5}
{'短评内容': '房间大，性价比高，早餐也不错，很不错的酒店。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '位置虽然不在市中心，但出行还算方便。酒店很干净、整洁，服务很温馨。', '短评打分': 5}
{'短评内容': '一般般吧，有点对不起这个价格了，总体可以接受，希望我的评价对你们有所帮助！', '短评打分': 5}
{'短评内容': '酒店各方面都很满意，已经第三次入住了，服务员态度很好，就是有一点不满意，每次入住总是在半夜听到走廊上有人吵架，前天还碰到几个傻X男人在找项链，希望酒店加强管理，省的半夜弄得客人睡不好', '短评打分': 5}
{'短评内容': '第二次入住，很好，就是走廊上有人吵架影响休息，前台结账有点慢', '短评打分': 5}
{'短评内容': '整体还算好.早餐不太丰盛,热菜有四个,味道挺好.饮品就没法喝了,橙汁是勾兑的.', '短评打分': 5}
{'短评内容': '酒店硬件不错，距离机场也很近。服务也比较贴心。', '短评打分': 5}
{'短评内容': '很不错的酒店，环境好，安静，干净，总体来说很不错，推荐', '短评打分': 5}
{'短评内容': '卫生很好，就是位置稍微偏点，房间很好也许是定的大床的原因', '短评打分': 5}
{'短评内容': '酒店挺好的，只是太贵了点。干净整洁，服务态度也挺好的。', '短评打分': 3}
{'短评内容': '总体感觉不错，位置稍远，自驾游首选，早餐不错很丰盛。', '短评打分': 5}
{'短评内容': '这次我们去了5个人，感觉服务很好，卫生、价位还好，很舒适！', '短评打分': 5}
{'短评内容': '为了赶上午9点30分的飞机，预订了这个酒店。事实证明这里确实不错，打的去机场只要12元，酒店的设施比较新，在旺季的青岛性价比挺高。', '短评打分': 5}
{'短评内容': '海梦圆好象是餐饮起家的民营企业，涉足餐饮、酒店、房地产的行业。酒店作为民族自主品牌，每个中国人都要支持，本人当然也不例外。当然，酒店的好评如潮，确实也是不错，我就不再多说了，我想提些中肯的意见，更能帮助酒店业务的提高。在于国际知名品牌相比，我认为有以下不足：一、床比较硬，虽然国内有些旅客比较喜欢硬床，但给人的感觉还是有些低档，和况据我观察酒店的大部分客人是韩国人，那就更需要和国际接轨了。二、不知为', '短评打分': 1}
{'短评内容': '房间还是挺新的，然后进去地方也比较大，位置还可以，价格是没问题。', '短评打分': 5}
{'短评内容': '该酒店舒适优雅，干净。位置离机场有点偏，离市中心旅游地点就更远了点，是属于市郊的高级酒店。', '短评打分': 1}
{'短评内容': '总体都很好，只是离市区有些远，但在城阳区中心', '短评打分': 5}
{'短评内容': '酒店不错！很好', '短评打分': 5}
{'短评内容': '位置是挺好找的，环境也挺好的，酒店的卫生设施都还不错。价格还是比较适中。', '短评打分': 5}
{'短评内容': '不错！干净！卫生！服务好！舒服！适合旅游度假休闲！', '短评打分': 5}
{'短评内容': '退房速度不快,枕头比较高，想要换个低的都没有', '短评打分': 5}
{'短评内容': '!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '入住海梦圆之前，只是在网上对这个酒店有那么点猜测的好感。入住的时候才发现，这家酒店真的很新，前台和客房服务都很温馨，早餐很不错。酒店附近也有很多有特色的小餐馆，是放松度假的好地方。', '短评打分': 5}
{'短评内容': '住得比较舒适，性价比还是不错的 ，值得推荐', '短评打分': 5}
{'短评内容': '从前台服务到客房服务都非常不错.就是早餐提供不太好.不太符合我的胃口.其它各方面都不错.', '短评打分': 5}
