{'descr': '床非常干净，地面干净，服务人员态度很好我十分满意', 'star': 5}
{'descr': '如家的酒店装饰还是很温馨的，给人家的感觉，特别是床单的颜色，看了心里暖融融的，还有床头灯既简单又温馨，很喜欢，比汉庭好，但我是汉庭的铂金会员，所以也只是偶尔住住如家，总体还是不错的！', 'star': 5}
{'descr': '停车方便，离市中心不远，尽管万达广场还没有开业，但是附近还有其他大卖场', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '房间干净，价格在泰州适中。。。', 'star': 3}
{'descr': '其他都还可以，就是隔音效果比较差。希望有所改善。', 'star': 5}
{'descr': '环境还行！就是空间小了点！隔音效果一般，电视该换了！', 'star': 5}
{'descr': '泰州如家快捷酒店万达广场店虽然大床房较小，但非常干净整洁，性价比很高。', 'star': 3}
{'descr': '是住过的如家中环境比较好的一家了，感觉比较新、干净，只是住宿那天隔壁住的客人半夜里号啕大哭一个小时，吵的整个楼层不得安宁，很郁闷！', 'star': 5}
{'descr': '很好服务一流   房间干净   给客人家的感觉下一回还住那里', 'star': 5}
{'descr': '下次还住', 'star': 3}
{'descr': '酒店的环境、设施、卫生状况等是不错的，早餐的花样也比7月份住的时候多了些，装修的气味也渐渐的不那么明显的，总之，性价比还是比较高的。\n但可能因为很多人赶14点退房的原因，13点多午觉时经常被隔壁或楼上的人收拾东西、走来走去或最后的那一重重的关门声惊醒，或是吵得睡不着。酒店的隔音效果其实还是不错的，但也架不住有的客人对别人完全的不管不顾，酒店里还应该做更多的相关提醒。', 'star': 5}
{'descr': '总体效果不错，地点适中，离马路有一段距离，不吵闹。房间的色调很温馨。窗户是双层的，隔音。网络线路设置的很隐蔽，不像其他酒店乱拉乱接。但房间墙壁不隔音。热水即开既有。一些小小的环保提示，让人很感动。唯一不足的是，电视太旧了。', 'star': 5}
{'descr': '1、舒适度：在连锁酒店中可打高分，设施洁净、完好，客房空间也不觉得小\n2、服务：前台、客房和物业态度都很好，比较贴心，有时还会给些有益的建议\n3、早餐：最近增加花样和品种了，水果、牛奶、豆浆、热菜、凉菜、玉米、包子、面包、2种粥，该有的都有了...哦，还缺煲汤，那样就赶上四星酒店标准了\n4、隔音：双层玻璃，虽然房间临街，关窗后也不会觉得吵；门也不错，但是有的客人太不注意，在楼道高声喧哗或在楼上房间', 'star': 5}
{'descr': '房间干净整洁，色彩明快，热水很大，酒店服务到位，交通也很便捷，总体感觉相当不错，以后还会入住，并做推荐。', 'star': 5}
{'descr': '房间布局不合理，床就在门口，一开门就是床。', 'star': 1}
{'descr': '房间还好，就是不送早餐，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '房间还不错，就是服务员不是很热情；总体好可以啦', 'star': 5}
{'descr': '离市中心和客运南站都较远，但是房间交新，室内也很干净', 'star': 5}
{'descr': '很不错，不过就是网络很卡，其他很好，早餐12元很超值', 'star': 5}
{'descr': '环境还不错，可是被子不是粉红色的，是我最不喜欢的绿色。。。', 'star': 5}
{'descr': '一楼太潮，房间网速简直太慢，网页打不开，号称免费宽带，只能挂QQ，连手机上网都不如', 'star': 1}
{'descr': '很不错,比我想像的好', 'star': 3}
{'descr': '交通便利\n干净卫生\n推荐入住\n第二次入住', 'star': 5}
{'descr': '酒店设施还不错，价格也适中，是出差商务不错的选择，就是淋浴间没有门啊？？', 'star': 5}
{'descr': '洗澡水很好。不错，就是不好找，在工商局后面。', 'star': 5}
{'descr': '很好，住了3天非常舒服，最满意的的一点是没有骚扰电话。要是餐厅提供午餐和晚餐就完美了。', 'star': 5}
{'descr': '房间很大，但是没有衣柜哦！', 'star': 3}
{'descr': '酒店附近交通方便,附近的风景很好.价格合理!下次过来还住这家!', 'star': 5}
{'descr': '喜欢床上的粉粉的被子，感觉象家里一样。不象以前都是白色的床上用品。黄和蓝的配件很不错，朋友来看我时看到我用黄色的杯子喝水还以为是我从家里带来的，哈哈。就是隔音效果不太好，还有电视机如果用遥控器关的话上面会有鲜红的TCL三个字母显示在上面（好大的字），所以总得自己爬起来去关掉电源，有点麻烦。', 'star': 5}
{'descr': '生意很好，提前一天到达，居然没房间。只能按照原先计划入住才行，这次定的房间巨大，感觉空空的，家具不多，挺好！就是房间点播电视反应有点慢，其他一切都好。早晨也不错', 'star': 5}
{'descr': '住过几次了，就是感觉出行方便。如家，感觉到哪里都差不多吧。', 'star': 5}
{'descr': '喜欢被子的颜色，喜欢床头灯，喜欢家一样的感觉。挺舒服的，下次还住。。。。', 'star': 5}
{'descr': '每次去北京都会住在这，嘛都不说了，一个字，值', 'star': 5}
{'descr': '每次去北京都会住在这，嘛都不说了，一个字，值', 'star': 5}
{'descr': '位置非常好，交通也很方便，毗邻后海。非常不错', 'star': 5}
{'descr': '位置非常好，交通也很方便，毗邻后海。非常不错', 'star': 5}
{'descr': '环境不错!', 'star': 3}
{'descr': '环境不错!', 'star': 3}
{'descr': '总的来说不错，不过北京的酒店比其他地方要贵的多啊。呵呵', 'star': 5}
{'descr': '总的来说不错，不过北京的酒店比其他地方要贵的多啊。呵呵', 'star': 5}
{'descr': '空间太小，走路很困难，要横着才能过去，卫生间马桶位置太窄', 'star': 1}
{'descr': '空间太小，走路很困难，要横着才能过去，卫生间马桶位置太窄', 'star': 1}
{'descr': '好好！！干净，其他的也都不错，床单很舒服！！做爱也是那么舒服！！', 'star': 5}
{'descr': '好好！！干净，其他的也都不错，床单很舒服！！做爱也是那么舒服！！', 'star': 5}
{'descr': '很脏，房间很臭。前台一个服务员态度非常差，真是砸了锦江的牌子。', 'star': 1}
{'descr': '很脏，房间很臭。前台一个服务员态度非常差，真是砸了锦江的牌子。', 'star': 1}
{'descr': '后海店离后海确实很近，到那边游玩非常方便。而且离到长城的919路也很近，步行10分钟即到，很方便。店里的房间稍小，但是在北京也不错了。', 'star': 5}
{'descr': '后海店离后海确实很近，到那边游玩非常方便。而且离到长城的919路也很近，步行10分钟即到，很方便。店里的房间稍小，但是在北京也不错了。', 'star': 5}
{'descr': '感觉还不错，卫生也不错，位置也比较适宜，价格也能接受', 'star': 5}
{'descr': '很好谢谢', 'star': 3}
{'descr': '很好谢谢', 'star': 3}
{'descr': '还可以，下次可能还会住。希望能免费提供早餐。', 'star': 5}
{'descr': '还可以，下次可能还会住。希望能免费提供早餐。', 'star': 5}
{'descr': '帮朋友订的 图的是离积水潭医院很近 很方便 朋友也很满意', 'star': 5}
{'descr': '帮朋友订的 图的是离积水潭医院很近 很方便 朋友也很满意', 'star': 5}
{'descr': '内部设施极差，并且比较吵，不建议入住。\n\n优点：离积水潭医院很近。', 'star': 1}
{'descr': '内部设施极差，并且比较吵，不建议入住。\n\n优点：离积水潭医院很近。', 'star': 1}
{'descr': '条件很一般。\n一楼有点潮。\n蚊子超大。\n地板都涨泡了。\n酒店餐厅是快熟品加热。\n服务态度还算不错。\n图方便就这，其他无推荐。', 'star': 5}
{'descr': '条件很一般。\n一楼有点潮。\n蚊子超大。\n地板都涨泡了。\n酒店餐厅是快熟品加热。\n服务态度还算不错。\n图方便就这，其他无推荐。', 'star': 5}
{'descr': '泰州就这一家如家，还算可以吧，早餐比想象的好些。电视节目丰富。', 'star': 5}
{'descr': '前台接待的男生，服务态度非常好，还赠了两张早餐券，早餐品种很丰富，不错！', 'star': 5}
{'descr': '前台接待的男生，服务态度非常好，还赠了两张早餐券，早餐品种很丰富，不错！', 'star': 5}
{'descr': '位置很好，也很好找，因为定商务大床房，所以总体空间很不错！推荐！', 'star': 5}
{'descr': '位置很好，也很好找，因为定商务大床房，所以总体空间很不错！推荐！', 'star': 5}
{'descr': '这家店还挺不错的，交通很方便，去长城或去故宫都有公车。不好之处就是离地铁站远了一点。', 'star': 5}
{'descr': '这家店还挺不错的，交通很方便，去长城或去故宫都有公车。不好之处就是离地铁站远了一点。', 'star': 5}
{'descr': '离地铁较远，步行15分钟！\n提供的地图质量差！\n早餐还不错！', 'star': 5}
{'descr': '离地铁较远，步行15分钟！\n提供的地图质量差！\n早餐还不错！', 'star': 5}
{'descr': '这家酒店地点不错，整洁、干净，房间还比较大，每次出差都住那', 'star': 5}
{'descr': '酒店位置、硬件都还算不错，比较干净\n性价比高', 'star': 5}
{'descr': '这个酒店挺干净的，服务还可以，位置不错，值得推荐', 'star': 5}
{'descr': '这个酒店挺干净的，服务还可以，位置不错，值得推荐', 'star': 5}
{'descr': '这家酒店地点不错，更重要的是整洁、干净，房间还比较大，总的来说性价比不错', 'star': 5}
{'descr': '房间小了点，倒是很干净。去八达岭长城方便，不要做错了，919快 不要坐919延庆直达，呵呵，', 'star': 5}
{'descr': '房间小了点，倒是很干净。去八达岭长城方便，不要做错了，919快 不要坐919延庆直达，呵呵，', 'star': 5}
{'descr': '服务硬件非常好，当然价格也不贵，总之性价比还不错', 'star': 3}
{'descr': '服务非常好，硬件一般，当然价格也不贵，总之性价比还不错。', 'star': 3}
{'descr': '交通方便，设施齐全，尤其是酒店的服务，前台都很热情，行李生很彬彬有礼', 'star': 5}
{'descr': '前台的态度太差，还从来没有经历过这种服务态度的。冷漠没素质。', 'star': 1}
{'descr': '比较明亮，我喜欢这类型的房间，性价比高，值得推荐。', 'star': 5}
{'descr': '第一次去 酒店的环境很干净 就是离商业区有点距离', 'star': 5}
{'descr': '+环境和地理位置好，性价比高，推荐入住', 'star': 5}
{'descr': '性价比很好，地段好找，周边方便，很满意', 'star': 5}
{'descr': '出差去泰州总住这家的，硬件也比较新 就是吃饭不方便', 'star': 5}
{'descr': '前台服务水平及质量需进一步提高,特别是网上预订信息掌握不够及时', 'star': 5}
{'descr': '服务比别的地方的如家差些，给我感觉不是很好。', 'star': 5}
{'descr': '卫生不错，硬件也比较新。不能吃饭不方便', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '性价比上来说还可以', 'star': 5}
{'descr': '值得一住，吃饭不方便，只有早餐！', 'star': 5}
{'descr': '不错，一如既往的锦江风格~位置很好，很容易就找到了。后海附近很方便~', 'star': 5}
{'descr': '不错，一如既往的锦江风格~位置很好，很容易就找到了。后海附近很方便~', 'star': 5}
{'descr': '地理位置不错,很安静.离汽车站也不远,一个起步价就到了.就是工作人员有点少,我看前台都很忙,但还是忙不过来啊!还有,早餐太油了,多点清淡的早餐就好.', 'star': 5}
{'descr': '不错。方便干净。', 'star': 5}
{'descr': '不错。方便干净。', 'star': 5}
{'descr': '不错的快捷酒店，性价比较高', 'star': 5}
{'descr': '不错的快捷酒店，性价比较高', 'star': 5}
{'descr': '位置不错.', 'star': 5}
{'descr': '位置好，就在后海边，房间有点小', 'star': 5}
{'descr': '位置好，就在后海边，房间有点小', 'star': 5}
{'descr': '离办事的地方较近，所以选择了这家，总体还凑合吧', 'star': 5}
{'descr': 'fuwu hao ,dan fangjian tai xiao.', 'star': 3}
{'descr': 'fuwu hao ,dan fangjian tai xiao.', 'star': 3}
{'descr': '虽然如家泰州店的地理位置相对比较偏，但是鉴于如家的定位和口碑，我仍然非常坚定地选择了它。不过住了三晚，感觉比较失望。\r\n首先是床铺的舒适度，我认为这是一个经济型酒店最应该关注的。个人认为如家的枕头比较高，睡着不太舒服。被褥比较单薄。\r\n其次在服务方面，泰州店的服务几乎让人恼火。\r\n虽然我未在门上挂请勿打扰的牌子，但是也不应该有服务员在早上7点多猛敲房门，而且在半小时候之内，连续有两人来敲房门，开门', 'star': 1}
{'descr': '位置很好，交通方便', 'star': 5}
{'descr': '位置很好，交通方便', 'star': 5}
{'descr': '房间大小适中，但是卫生环境很一般！！最要命的就是，隔音实在太差！几个晚上被隔壁的电视或呼噜声给吵得无法入睡或被吵醒了！单人间全靠路边，怕声音的住客就简直是郁闷！！', 'star': 1}
{'descr': '房间大小适中，但是卫生环境很一般！！最要命的就是，隔音实在太差！几个晚上被隔壁的电视或呼噜声给吵得无法入睡或被吵醒了！单人间全靠路边，怕声音的住客就简直是郁闷！！', 'star': 1}
{'descr': '很不错，价格也不高，卫生，干净', 'star': 5}
{'descr': '价格比较适中', 'star': 5}
{'descr': '价格比较适中', 'star': 5}
{'descr': '服务很到位，毕竟是泰州唯一的一家如家酒店 还不错哦', 'star': 5}
{'descr': '宾馆整洁，性价比高。只是宾馆服务员不是很尽职，因为我退房比较早，扒在总台上睡觉，一点形像都没有。而且连客房都没有进行例行检查就让我办了退房手续。搞到最后你们发了个短信给我，说没有我的入住记录！服务员差劲啊！', 'star': 5}
{'descr': '不错  住了好几次了 就是小点', 'star': 5}
{'descr': '不错  住了好几次了 就是小点', 'star': 5}
{'descr': '房间有点小，价位高了点，其他还可以吧', 'star': 3}
{'descr': '房间有点小，价位高了点，其他还可以吧', 'star': 3}
{'descr': '地段绝佳，出行方便', 'star': 3}
{'descr': '地段绝佳，出行方便', 'star': 3}
{'descr': '态度非常好！\r\n就是餐饮比较单一', 'star': 5}
{'descr': '态度非常好！\r\n就是餐饮比较单一', 'star': 5}
{'descr': '位置好啊，离景点和地铁都很近，强烈推荐旅游的人入住', 'star': 5}
{'descr': '位置好啊，离景点和地铁都很近，强烈推荐旅游的人入住', 'star': 5}
{'descr': '离我们要去的后海很近，店的服务很好！', 'star': 5}
{'descr': '离我们要去的后海很近，店的服务很好！', 'star': 5}
{'descr': '感觉很一般，卫生不好，很重要，服务倒是很不错', 'star': 1}
{'descr': '感觉很一般，卫生不好，很重要，服务倒是很不错', 'star': 1}
{'descr': '房间简直是太小太小了，但是地点很不错，离地铁也不远。房间设施一般，有一点潮。', 'star': 3}
{'descr': '房间简直是太小太小了，但是地点很不错，离地铁也不远。房间设施一般，有一点潮。', 'star': 3}
{'descr': '位置离地铁积水潭有点远，走路在10分钟以上吧，不过离后海的确是很近。环境和条件还可以，卫生清扫差了点，一楼的餐厅菜品有点单调。早餐很不错。', 'star': 5}
{'descr': '位置离地铁积水潭有点远，走路在10分钟以上吧，不过离后海的确是很近。环境和条件还可以，卫生清扫差了点，一楼的餐厅菜品有点单调。早餐很不错。', 'star': 5}
{'descr': '窗户关不上，好在经理得道歉比较有诚意', 'star': 1}
{'descr': '窗户关不上，好在经理得道歉比较有诚意', 'star': 1}
{'descr': '酒店的装修是原汁原味的锦江之星，除了位置（去后海实在是很方便），其它的相对我住过的锦江，包括比其档次低的很多快捷酒店就没什么优势可言。\r\n1、房间的隔音是很差的；\r\n2、前台的脸总是很长的；\r\n3、保洁人员不知道为什么早上总会在外面叮叮当当的弄着什么；', 'star': 1}
{'descr': '酒店的装修是原汁原味的锦江之星，除了位置（去后海实在是很方便），其它的相对我住过的锦江，包括比其档次低的很多快捷酒店就没什么优势可言。\r\n1、房间的隔音是很差的；\r\n2、前台的脸总是很长的；\r\n3、保洁人员不知道为什么早上总会在外面叮叮当当的弄着什么；', 'star': 1}
{'descr': '硬件一般，停车位少，但是地理位置好。服务还是有品牌保证的，', 'star': 5}
{'descr': '硬件一般，停车位少，但是地理位置好。服务还是有品牌保证的，', 'star': 5}
{'descr': '设施较旧，服务较好，千万别住一楼的房间，阴暗。去后海比较方便。', 'star': 3}
{'descr': '设施较旧，服务较好，千万别住一楼的房间，阴暗。去后海比较方便。', 'star': 3}
{'descr': '靠近后海，性价比不错，可以感受老北京的味道', 'star': 3}
{'descr': '靠近后海，性价比不错，可以感受老北京的味道', 'star': 3}
{'descr': '靠近后海位置不错，可以感受老北京的味道', 'star': 5}
{'descr': '靠近后海位置不错，可以感受老北京的味道', 'star': 5}
{'descr': '没想到泰州的如家搞得这么好，完全星级标准，不错，下次还会住', 'star': 5}
{'descr': '地理位置不错,唯一遗憾的是离地铁口有点远.从积水潭地铁站最近的B出口出来也要走12分钟.否则就完美了.', 'star': 5}
{'descr': '地理位置不错,唯一遗憾的是离地铁口有点远.从积水潭地铁站最近的B出口出来也要走12分钟.否则就完美了.', 'star': 5}
{'descr': '别的都好，就是喝的水烧好后，上面有一层小毛毛，估计的烧水的机子不太好。', 'star': 5}
{'descr': '别的都好，就是喝的水烧好后，上面有一层小毛毛，估计的烧水的机子不太好。', 'star': 5}
{'descr': '经济型酒店,位置距地铁站不远,步行去后海很方便.过年期间赠送饺子,很人性的服务,而且还有购物袋的小礼品,很好!', 'star': 5}
{'descr': '经济型酒店,位置距地铁站不远,步行去后海很方便.过年期间赠送饺子,很人性的服务,而且还有购物袋的小礼品,很好!', 'star': 5}
{'descr': '一楼有点吵，房间在拐角和隔壁房间门对着，对面开门关门听的很清楚。其他的都还可以，服务态度也很不错', 'star': 5}
{'descr': '一楼有点吵，房间在拐角和隔壁房间门对着，对面开门关门听的很清楚。其他的都还可以，服务态度也很不错', 'star': 5}
{'descr': '不错 很好', 'star': 3}
{'descr': '不错 很好', 'star': 3}
{'descr': '酒店不错，位置好，服务也好。缺点是房间小，停车场小，不过在北京也可以理解了。', 'star': 5}
{'descr': '酒店不错，位置好，服务也好。缺点是房间小，停车场小，不过在北京也可以理解了。', 'star': 5}
{'descr': '位置还不错，性价比不错。', 'star': 5}
{'descr': '位置还不错，性价比不错。', 'star': 5}
{'descr': '位置不错，卫生一般', 'star': 1}
{'descr': '位置不错，卫生一般', 'star': 1}
{'descr': '酒店离后海很近，喝完酒，溜达着就回酒店了。非常舒服', 'star': 5}
{'descr': '酒店离后海很近，喝完酒，溜达着就回酒店了。非常舒服', 'star': 5}
{'descr': '位置比较好，离恭王府很近，出行方便。', 'star': 5}
{'descr': '位置比较好，离恭王府很近，出行方便。', 'star': 5}
{'descr': '房间小。。。', 'star': 3}
{'descr': '房间小。。。', 'star': 3}
{'descr': '离地铁好远．．．房间小\u3000\r\n虽然空调和电暖器都有房间挺暖和的，但是洗澡水冷阿！！．．．', 'star': 1}
{'descr': '离地铁好远．．．房间小\u3000\r\n虽然空调和电暖器都有房间挺暖和的，但是洗澡水冷阿！！．．．', 'star': 1}
{'descr': '地段不错。。屋子比较小。。还算中规中矩', 'star': 5}
{'descr': '地段不错。。屋子比较小。。还算中规中矩', 'star': 5}
{'descr': '环境干净整洁，不过刚住的时候在卫生间里发现一个烟头，地段很好，价格也适中', 'star': 3}
{'descr': '环境干净整洁，不过刚住的时候在卫生间里发现一个烟头，地段很好，价格也适中', 'star': 3}
{'descr': '位置很好，去后海一带很方便，但是设施较差，电视老旧且信号不好，而且隔音很差。', 'star': 1}
{'descr': '位置很好，去后海一带很方便，但是设施较差，电视老旧且信号不好，而且隔音很差。', 'star': 1}
{'descr': '卫生还可，但是交通不方便，服务也一般。', 'star': 1}
{'descr': '卫生还可，但是交通不方便，服务也一般。', 'star': 1}
{'descr': '酒店的服务态度很不错，设施条件也还算是可以的，位置好，在后海，交通也比较方便，价格又不贵。', 'star': 3}
{'descr': '酒店的服务态度很不错，设施条件也还算是可以的，位置好，在后海，交通也比较方便，价格又不贵。', 'star': 3}
{'descr': '锦江之星的房间不错,餐厅还是上海的店好些', 'star': 5}
{'descr': '锦江之星的房间不错,餐厅还是上海的店好些', 'star': 5}
{'descr': '除了房间内的“电暖气”声音有点大，影响休息以外，其它都蛮好的', 'star': 5}
{'descr': '除了房间内的“电暖气”声音有点大，影响休息以外，其它都蛮好的', 'star': 5}
{'descr': '去后海玩，这里是个不错的选择', 'star': 5}
{'descr': '去后海玩，这里是个不错的选择', 'star': 5}
{'descr': '前台很热情,房间蛮干净,就是有点小,离地铁10分钟路程', 'star': 5}
{'descr': '前台很热情,房间蛮干净,就是有点小,离地铁10分钟路程', 'star': 5}
{'descr': '有点小，其他还好', 'star': 5}
{'descr': '有点小，其他还好', 'star': 5}
{'descr': '房间是我见过所有酒店里面最小的一家，一个人都转不开身。\r\n设施也差，很陈旧。位置还可以，步行到地铁口10分钟左右，绕着西海南沿走，观赏景色是不错的。\r\n就是房间太小太小', 'star': 1}
{'descr': '房间是我见过所有酒店里面最小的一家，一个人都转不开身。\r\n设施也差，很陈旧。位置还可以，步行到地铁口10分钟左右，绕着西海南沿走，观赏景色是不错的。\r\n就是房间太小太小', 'star': 1}
{'descr': '一半吧  比其他的锦江之星差点 ', 'star': 1}
{'descr': '一半吧  比其他的锦江之星差点 ', 'star': 1}
{'descr': '交通很方便,房间的空气不是很好毛巾用了很久是挺干净的但是感觉就很旧了,服务也挺好的,总体感觉还是比较不错的.', 'star': 3}
{'descr': '交通很方便,房间的空气不是很好毛巾用了很久是挺干净的但是感觉就很旧了,服务也挺好的,总体感觉还是比较不错的.', 'star': 3}
{'descr': '酒店的尚先生很热心，服务很好。', 'star': 5}
{'descr': '酒店的尚先生很热心，服务很好。', 'star': 5}
{'descr': '此店的位置非常好,周围景色也都不错.酒店房间虽不算太大,但性价比还是比较高的.卫生也不错,唯一不足就是餐厅的东西比较贵也不算好吃. 总体来说还是推荐的~', 'star': 5}
{'descr': '此店的位置非常好,周围景色也都不错.酒店房间虽不算太大,但性价比还是比较高的.卫生也不错,唯一不足就是餐厅的东西比较贵也不算好吃. 总体来说还是推荐的~', 'star': 5}
{'descr': '位置有点偏，其他还好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '窗帘不行、太小， 还有就是隔音效果太差', 'star': 3}
{'descr': '酒店位置不是很好,要去商场这些地方要走比较远,性价比也是很一般,比大城市的如家会差一些.', 'star': 3}
{'descr': '地理位置很好，离我想去的地方都蛮近的。其实后海现在基本废了，像菜市场一样，也就酒店附近那块还很安静，晚上有老人钓鱼。离地铁站和公交都蛮近的。酒店服务挺好的，可惜这毛巾。。我知道您消毒了，但黄迹斑斑的毛巾就不能都给换了吗。。还有就是房间通风不太好，我住的单人间是死窗，通风全靠卫生间的排气扇。。。', 'star': 3}
{'descr': '地理位置很好，离我想去的地方都蛮近的。其实后海现在基本废了，像菜市场一样，也就酒店附近那块还很安静，晚上有老人钓鱼。离地铁站和公交都蛮近的。酒店服务挺好的，可惜这毛巾。。我知道您消毒了，但黄迹斑斑的毛巾就不能都给换了吗。。还有就是房间通风不太好，我住的单人间是死窗，通风全靠卫生间的排气扇。。。', 'star': 3}
{'descr': '地理位置很好，离我想去的地方都蛮近的。其实后海现在基本废了，像菜市场一样，也就酒店附近那块还很安静，晚上有老人钓鱼。离地铁站和公交都蛮近的。酒店服务挺好的，可惜这毛巾。。我知道您消毒了，但黄迹斑斑的毛巾就不能都给换了吗。。还有就是房间通风不太好，我住的单人间是死窗，通风全靠卫生间的排气扇。。。', 'star': 5}
{'descr': '地理位置很好，离我想去的地方都蛮近的。其实后海现在基本废了，像菜市场一样，也就酒店附近那块还很安静，晚上有老人钓鱼。离地铁站和公交都蛮近的。酒店服务挺好的，可惜这毛巾。。我知道您消毒了，但黄迹斑斑的毛巾就不能都给换了吗。。还有就是房间通风不太好，我住的单人间是死窗，通风全靠卫生间的排气扇。。。', 'star': 5}
{'descr': '位置非常好,酒店里面打扫的也很干净,就是房间面积有些小,尤其是楼层低的房间觉得有些挤,其他方面都挺好的,值得推荐', 'star': 3}
{'descr': '位置非常好,酒店里面打扫的也很干净,就是房间面积有些小,尤其是楼层低的房间觉得有些挤,其他方面都挺好的,值得推荐', 'star': 3}
{'descr': '总体不错。\r\n地理位置不错，距离什刹海很近，打车到北海、故宫、天安门等都20元以内。\r\n具2号线积水潭地铁站15分钟路程左右。\r\n附近有几家小餐馆，随便解决几顿正餐的话还是不错的。\r\n我住的单人间房间略显小，10平米左右。\r\n设施一般，但是比较干净，就200元左右的价钱来说，由于是国庆期间，性价比算是比较高的。\r\n酒店有出租自行车，不过我住的时候服务员说都被租完了，有的客人租了不还。可见酒店的管理', 'star': 5}
{'descr': '总体不错。\r\n地理位置不错，距离什刹海很近，打车到北海、故宫、天安门等都20元以内。\r\n具2号线积水潭地铁站15分钟路程左右。\r\n附近有几家小餐馆，随便解决几顿正餐的话还是不错的。\r\n我住的单人间房间略显小，10平米左右。\r\n设施一般，但是比较干净，就200元左右的价钱来说，由于是国庆期间，性价比算是比较高的。\r\n酒店有出租自行车，不过我住的时候服务员说都被租完了，有的客人租了不还。可见酒店的管理', 'star': 5}
{'descr': '总分:2环境:2服务:1费用:￥208价格：单人间，208元（EL网预定可返现金，但不是当场抵扣）\r\n\r\n设施：1.5米大床。锦江之星是上海品牌.\r\n      房间要比其他同类经济型酒店稍大一些。\r\n      \r\n位置：在德胜门大街上，出酒店门口，往西（左边）走5分钟可到德胜门。\r\n      那里就是去长城换乘919的终点站。\r\n      去后海就往东，去天安门，4-5站路吧。\r\n\r\n\r\n', 'star': 5}
{'descr': '总分:2环境:2服务:1费用:￥208价格：单人间，208元（EL网预定可返现金，但不是当场抵扣）\r\n\r\n设施：1.5米大床。锦江之星是上海品牌.\r\n      房间要比其他同类经济型酒店稍大一些。\r\n      \r\n位置：在德胜门大街上，出酒店门口，往西（左边）走5分钟可到德胜门。\r\n      那里就是去长城换乘919的终点站。\r\n      去后海就往东，去天安门，4-5站路吧。\r\n\r\n\r\n', 'star': 5}
{'descr': '位置比较好，就是房间比较小！', 'star': 5}
{'descr': '位置比较好，就是房间比较小！', 'star': 5}
{'descr': '可免费借自行车，周围各种风味小吃、饭店多且价廉，附近有菜场，买水果方便。', 'star': 5}
{'descr': '可免费借自行车，周围各种风味小吃、饭店多且价廉，附近有菜场，买水果方便。', 'star': 5}
{'descr': '酒店的各方面都很好，  原来也住过锦江之星，条件都不错，地点很好，交通很便利', 'star': 5}
{'descr': '酒店的各方面都很好，  原来也住过锦江之星，条件都不错，地点很好，交通很便利', 'star': 5}
{'descr': '酒店的条件还不错,就是房间面积小了点,不过蛮干净舒适的,价格也比较适中,就是离地铁站远了一点，不是很方便。', 'star': 5}
{'descr': '酒店的条件还不错,就是房间面积小了点,不过蛮干净舒适的,价格也比较适中,就是离地铁站远了一点，不是很方便。', 'star': 5}
{'descr': '干净、舒适、方便。', 'star': 5}
{'descr': '干净、舒适、方便。', 'star': 5}
