{'descr': '暖气很足', 'star': 5}
{'descr': '比较干净，也很舒服。大厅的服务员也很热情。离省二院也很近，只有一条马路相隔。', 'star': 5}
{'descr': '恩  总体来说还不错  隔音真的不怎么样  旁边屋里放歌 听得一清二楚 楼道里的声音也很清楚  房间装修的很温馨 就是前台有个女服务员服务态度好垃圾啊 跟个大爷似的 其他服务员挺好的   见面后都说早上好', 'star': 5}
{'descr': '\r\n如家很好', 'star': 3}
{'descr': '位置挺好的，挺方便的。··················', 'star': 5}
{'descr': '拖鞋是一次性的感觉很容易湿掉，房间隔音不太好，其他都不错！', 'star': 3}
{'descr': '酒店的服务态度很好，吃饭吃宵夜什么的也很方便，值得一住。。。。', 'star': 5}
{'descr': '挺好，房间很舒适，服务很热情，热水也很舒适。。。\n就是因为房间对着楼梯，较吵。。而且525房间的网络接口有问题，上不了网。。。总的来说很好。下次还住这里', 'star': 5}
{'descr': '交通便利，环境很好，外面吃饭也很方便，111111111111111111111111111', 'star': 5}
{'descr': '已经入住，房间非常好，下次还会选择入住这家酒店。', 'star': 3}
{'descr': '如家就是如家，品牌的形象，很干净，服务很好，房间设施很齐全，为客人想得很周到！', 'star': 5}
{'descr': '环境不错，交通很方便，服务周到111111111111111111', 'star': 5}
{'descr': '服务挺好的 环境还不错 如果有无线可能就更好了', 'star': 5}
{'descr': '很干净很温馨，服务也周到，美中不足是手纸太少都不够用，其他服务很满意。', 'star': 5}
{'descr': '\n服务很好，设施很好，这个价格很值，地理位置也不错。建议居住。', 'star': 5}
{'descr': '酒店前台的男服务员有点娘,............', 'star': 1}
{'descr': '不错！和家一样', 'star': 3}
{'descr': '满意,服务态度很好,是有家的感觉,,,,,', 'star': 5}
{'descr': ' 满意,服务态度很好,环境也好,住着舒服.', 'star': 3}
{'descr': '超值舒适', 'star': 3}
{'descr': '酒店很温馨', 'star': 3}
{'descr': '交通很便利，服务环境没的说， 有想就医而住店的朋友，我推荐在这家店。', 'star': 5}
{'descr': '  房间有点小,比较吵', 'star': 3}
{'descr': ' 良好', 'star': 3}
{'descr': '房间干净温馨', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '价格便宜，又干净，又方便，真的很不错！！！', 'star': 5}
{'descr': '便宜，这个优点就足够了吧？\n没有晚餐，这是个缺点。\n早餐和其他的如家基本一致。\n服务同其他如家。\n特惠房真的很吵，真的！但是价格便宜啊。', 'star': 5}
{'descr': '特惠房119，价格便宜，窗口对着电梯口，窗口有做了幕墙玻璃做隔挡，反正就是睡一觉，早上一大早就离开了，不错。', 'star': 5}
{'descr': '一般吧，这个价格！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '基本可以 隔音效果不太好 走廊里走路的声音都能听得很清楚~~', 'star': 5}
{'descr': '还好吧，就是隔音真的很一般很一般，走廊里面讲话听的特别的清楚。还有 我的房间卫生间下水槽有问题漏水很慢。其它的都不错。', 'star': 5}
{'descr': '还不错。', 'star': 3}
{'descr': '省二院店的房间相比其他城市要更安静一些，隔音效果好 服务也不错', 'star': 3}
{'descr': '比较方便，比较卫生，对于来二院看病非常方便，价格也算可以吧。推荐。', 'star': 5}
{'descr': '中规中矩的一家酒店。\n没什么特别之处，只是不提供晚餐有些遗憾。', 'star': 5}
