{'短评内容': '感觉重新装修了，比去年入住时候环境好很多。', '短评打分': 4}
{'短评内容': '早餐需要改善，这是第二次入住该酒店，早餐无任何改善，酒店还比较便宜', '短评打分': 5}
{'短评内容': '大鹏的宾馆太少，选择不多，只能选择离核电较近的金大鹏，便宜，宽带可以，早餐太差', '短评打分': 5}
{'短评内容': '价格便宜，交通方便，宽带还可以，早餐不好，需要改进', '短评打分': 5}
{'短评内容': '性价比较高，电视台多，宽带上网速度较快，早餐太差', '短评打分': 5}
{'短评内容': '给外国朋友定的商务套房，比较满意，性价比较高，就是早餐太差，需要改善', '短评打分': 5}
{'短评内容': '已经是第二次住了，还可以，大鹏的酒店太少', '短评打分': 5}
{'短评内容': '这是我住过最差的酒店，服务态度不好，前台客服态度恶劣，电梯门坏的关到一半吓死人，我们要爬楼梯，设备不齐全，吹风筒都没有，很脏！房费贵可是基本服务都很恶劣，以后一定不再住这家酒店，也会叫身边的亲朋好友不去住。', '短评打分': 1}
{'短评内容': '交通不方便 周围什么都没有 要走好多路才有 房间一般般 空调不冷', '短评打分': 1}
{'短评内容': '房间住着还舒服，离海边的距离也不远，价格也不贵，不错', '短评打分': 5}
{'短评内容': '房间住得还不错。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '晚上的安全不好，服务态度差，早餐真无语。', '短评打分': 1}
{'短评内容': '物品过于陈旧,吵，比较偏僻，感觉非常不舒服。', '短评打分': 1}
{'短评内容': '房间地毯太脏，卫生间不清爽，早餐8点去，就吃剩饭剩菜，价格不便宜，上网就喝不了开水，反之亦然，不值得推荐', '短评打分': 1}
{'短评内容': '酒店位置还是可以的，新装修的，房间比较大。', '短评打分': 3}
{'短评内容': '条件不怎么好。但是房间挺大的。还好啦。', '短评打分': 5}
{'短评内容': '酒店的位置是原来的大鹏汽车站，新装修过，房间还是比较多的，还不错', '短评打分': 5}
{'短评内容': '+不错的服务,较人性化', '短评打分': 5}
{'短评内容': '整体来说还不错!跟其他酒店相比还算值.其实都可以考虑去沙滩露宿,这样就可以不用订房了!', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '很好很强大', '短评打分': 5}
{'短评内容': '这家酒店在当地来讲还是不错的，房间打扫的蛮干净的，设施方面也比较新，就是洗澡水是冷，这点不太好，酒店位置还可以，出行还比较便利，价格方面觉得还算比较合适的。', '短评打分': 5}
{'短评内容': '这个酒店位置有点偏，设施也比较差（洗澡水不热，房间的灯也是待修状态），性价比较低。如果两个人出差一天，可以考虑。', '短评打分': 1}
{'短评内容': '环境和服务都是比较一般的酒店，但在大鹏填这种偏辟的地方应该已经算是可以接受的酒店了。我入住的时候有很多的房间在装修，搞得进出通道的卫生都不大好。加上酒店在马路边上，隔音效果非常差。', '短评打分': 1}
{'短评内容': '其实酒店无论是服务还硬件，地理位置都还是不错的，但是他靠近马路的房间很吵，隔音效果不好。', '短评打分': 1}
{'短评内容': '还比较不错', '短评打分': 5}
{'短评内容': '卫生环境不错,服务也很热情,酒店周边的交通也方便,价格也比较便宜', '短评打分': 5}
