{'descr': '总体服务很满意，尤其是老板和服务员美女的态度，很好！', 'star': 5}
{'descr': '地理位置优越,离机场大巴三分钟,不会延误飞机,服务态度好,卫生状况可以,价格合适,给中外宾客以满意舒适感觉,下次来京仍为首选,谢谢', 'star': 5}
{'descr': '地理位置优越,离机场大巴三分钟,不会延误飞机,服务态度好,卫生状况可以,价格合适,给中外宾客以满意舒适感觉,下次来京仍为首选,谢谢', 'star': 5}
{'descr': '性价比好', 'star': 3}
{'descr': '性价比好', 'star': 3}
{'descr': '便宜，方便', 'star': 3}
{'descr': '便宜，方便', 'star': 3}
{'descr': '位置非常好，去机场方便，去其他景点也方便，但房间的窗帘不好，白天全拉上屋里也很明亮，不能睡觉', 'star': 1}
{'descr': '位置非常好，去机场方便，去其他景点也方便，但房间的窗帘不好，白天全拉上屋里也很明亮，不能睡觉', 'star': 1}
{'descr': '便宜,方便,整洁', 'star': 5}
{'descr': '便宜,方便,整洁', 'star': 5}
{'descr': '地理位置还算可以，可房间设施不怎样，服务态度也一般，不过性价比来说比较值。', 'star': 3}
{'descr': '地理位置还算可以，可房间设施不怎样，服务态度也一般，不过性价比来说比较值。', 'star': 3}
{'descr': '挺对得起这个价钱的，性价比高，也很舒适方便', 'star': 5}
{'descr': '挺对得起这个价钱的，性价比高，也很舒适方便', 'star': 5}
{'descr': '位置比较容易找到，价格也便宜。总体还行。褥子有点儿薄，灯光不是很舒服。', 'star': 5}
{'descr': '位置比较容易找到，价格也便宜。总体还行。褥子有点儿薄，灯光不是很舒服。', 'star': 5}
{'descr': '服务很好，就是设施太差，住的人可能比较少点，但当时周围，一间住了女生，多多少少有些嘈杂。但是，酒店摆设中，放有夫妻用品（收费），请有孩子的时候，酒店提前去掉', 'star': 5}
{'descr': '服务很好，就是设施太差，住的人可能比较少点，但当时周围，一间住了女生，多多少少有些嘈杂。但是，酒店摆设中，放有夫妻用品（收费），请有孩子的时候，酒店提前去掉', 'star': 5}
{'descr': '服务还算可以 分店也多 就是设施不怎的 住起来不是很方便', 'star': 1}
{'descr': '服务还算可以 分店也多 就是设施不怎的 住起来不是很方便', 'star': 1}
{'descr': '这家酒店就是位置出行不是很方便，服务卫生方面还是可以的，房间打扫的挺干净，整体感觉性价比还是可以的。', 'star': 3}
{'descr': '这家酒店就是位置出行不是很方便，服务卫生方面还是可以的，房间打扫的挺干净，整体感觉性价比还是可以的。', 'star': 3}
{'descr': '太脏了，也没有餐厅，性价比不高', 'star': 1}
{'descr': '太脏了，也没有餐厅，性价比不高', 'star': 1}
{'descr': '办事的时候住的，第一次还觉得一般。这次最夸张  连热水也没有！而且屋里的纯净水，感觉就是过滤后的水。口感很次（到不至于差）。而且，唉！除非办事，不会再住了！', 'star': 1}
{'descr': '办事的时候住的，第一次还觉得一般。这次最夸张  连热水也没有！而且屋里的纯净水，感觉就是过滤后的水。口感很次（到不至于差）。而且，唉！除非办事，不会再住了！', 'star': 1}
