{'短评内容': '小而精致 蛮舒服的 地理位置也很', '短评打分': 5}
{'短评内容': '宽带比猫还慢，QQ都上不去，问前台说等晚上11点半以后。', '短评打分': 1}
{'短评内容': '蛮好的酒店', '短评打分': 3}
{'短评内容': '在胸科医院看病，挺近的，还有停车场', '短评打分': 3}
{'短评内容': '干净，很小，电视机遥控器不怎么好', '短评打分': 3}
{'短评内容': '价格贼贵，我就纳闷，居然敢要近400快，以后不会再来。', '短评打分': 1}
{'短评内容': '周边吃的地方挺多，门口有便利店。离地铁站要走一段路，不算近。', '短评打分': 5}
{'短评内容': '房间整洁安静，服务周全。\n\n发送自HTC手机', '短评打分': 3}
{'短评内容': '不错，价格有些小贵，另外毛巾比较脏，请大家自带毛巾。', '短评打分': 5}
{'短评内容': '小小的酒店，但是比较干净，早餐也还不错，在徐汇区中心地带', '短评打分': 5}
{'短评内容': ' 房间感觉小卫生还是干净', '短评打分': 3}
{'短评内容': '商务大床房也没有窗子，早知道订特价房都是一样！房间挺紧凑的，黄金地段也没办法了！', '短评打分': 3}
{'短评内容': '虽然离地铁较近，但是也走好一会。总之交通较为方便，保持宜必思的风格。', '短评打分': 5}
{'短评内容': '酒店感觉很不错！服务员小伙子态度很好，温馨感多过商业化，也有点商务性质。房间空间还是偏小一些了。', '短评打分': 3}
{'短评内容': '干净 房间小 位置还行 有停车场但有点远', '短评打分': 5}
{'短评内容': '感觉还可以的，一直都是入住经济型的宜必思，法国的一家酒店。', '短评打分': 5}
{'短评内容': '无论到哪里出差都选择宜必思,我挺信赖的.', '短评打分': 3}
{'短评内容': '不错的酒店，感觉还好，就是走路距离徐家汇很远，应该叫交通大学店，弄个徐家汇店，还以为很近呢', '短评打分': 5}
{'短评内容': '地理位置不错，周围餐馆众多，酒店装潢清新，但是停车场太小', '短评打分': 5}
{'短评内容': '酒店附近交通很方便，很容易找到，前台的服务态度很好，房间很温馨，感觉是到家的感觉，', '短评打分': 5}
{'短评内容': '酒店附近交通很方便，前台的服务态度很好，房间很温馨，感觉是到家的感觉，谢谢', '短评打分': 5}
{'短评内容': '服务员服务态度还好，网络很一般，位置算方便', '短评打分': 5}
{'短评内容': '跟周边酒店比，稍贵。其他还好！住过几次了', '短评打分': 5}
{'短评内容': '房间小 味道大 感觉不像是ibis的服务和质量', '短评打分': 1}
{'短评内容': '比起周围几家经济型酒店还算干净,价格不算便宜的在这个地段.', '短评打分': 5}
{'短评内容': '就在交大昂立学院旁边,很多都是学生住在这里.', '短评打分': 5}
{'短评内容': '位置不错,公差首选,除了网速不够快以外几乎无可挑剔', '短评打分': 5}
{'短评内容': '非常不错的酒店，很干净也很安静，早餐也很好。', '短评打分': 3}
{'短评内容': '房间比较小， 房间比较拥挤， 但是周围配套算比较好。 ', '短评打分': 5}
{'短评内容': '虽然周围的酒店较多,此酒店还是比较安静和干净的.', '短评打分': 5}
{'短评内容': '离公司近，但是价格越来越高，但是没有任何的服务提升，我觉得要加强。洗头水什么的太差了', '短评打分': 5}
{'短评内容': '地处闹市区，交通便利，内部装修比较好。随处于闹市区，但房间内比较安静。总之，值得推荐。', '短评打分': 5}
{'短评内容': '连锁宜必思，没有特别的 不好\n而且地理位置还算方便', '短评打分': 5}
{'短评内容': '地理位置很好，有免费停车场难得，房间条件很好！服务很客气', '短评打分': 5}
{'短评内容': '第一次住宜必思，感觉还不错，实际要比想象中的好很多。早餐30一位， 没啥吃的，不过可以自由选择，不吃就不用付钱咯。。。。', '短评打分': 5}
{'短评内容': '交通方便，服务员的态度还可以，但不知道为什么每次入住都有一些小问题，希望下次改善。但交通的确方便，周边吃得也很多，而且周边有很多有特色的老房子', '短评打分': 5}
{'短评内容': '性价比还不错，房间干净但过于简陋，酒店服务一般，几乎没有任何服务，房间里也没有应有的设施，如冰箱等。', '短评打分': 5}
{'短评内容': '在经济型酒店里来说算不错的了 不过厕所还是有股怪味 毛巾也有点黑黑的 感觉还没有完全达到宜必思的国际标准', '短评打分': 1}
{'短评内容': '房间较小，位置还可以，到地铁口还是要走十几分钟，离淮海路较近。', '短评打分': 5}
{'短评内容': '不错，环境简洁，位处交通之地，去徐家汇很近', '短评打分': 5}
{'短评内容': '还不错，位置离交大很近，还挺干净的。以后会继续入住', '短评打分': 5}
{'短评内容': '很方便的宜必思 因为去胸科医院就医 很近 附近吃的也多', '短评打分': 5}
{'短评内容': '环境不错，服务还好，离办事地点较近，下次还会去的。', '短评打分': 5}
{'短评内容': '和速8，锦江之星等国内的经济型酒店比，没觉得有什么好的，很一般。。。。', '短评打分': 1}
{'短评内容': '该酒店环境很一般，设备很一般，早饭贵品种少，和国内的经济型酒店差不多，让我很失望。性价比不高，下次不会再住。', '短评打分': 1}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '有特色 干净 地段也不错 是上海会展中心附近性价比高的一家酒店了', '短评打分': 5}
{'短评内容': '位置很好，比较安静。房间小了一点。早餐贵了点，30元一份。', '短评打分': 5}
{'短评内容': '装修简单实用,房间很干净,只是毛巾感觉有些旧,摸起来有些硬.早餐十分的简单.', '短评打分': 5}
{'短评内容': '干净简洁，风格我很喜欢，离徐家汇非常近，地理位置非常理想。', '短评打分': 5}
{'短评内容': '酒店是新的，整天感觉还不错，不过早餐有点贵，品种也不是很多，8个小时的早餐供应还是头一回听到，时间太长了，食物还能保持好的口感吗？特别是在炎热的夏天，在人性化的同时也要保证品质呀！', '短评打分': 5}
{'短评内容': '离交大很近，在徐汇区中心，离淮海路非常近，推荐。旁边有家日式小店，比较平价，不错。', '短评打分': 5}
{'短评内容': '很不错，就是觉得酒店里德物品稍微少了点，至少小毛巾还是要备的。', '短评打分': 5}
{'短评内容': '很干净，坐地铁不太方便', '短评打分': 3}
{'短评内容': '环境、卫生条件还可以，就是早餐30元每位且就几样有点贵，其他还行吧', '短评打分': 5}
{'短评内容': '住过两次，总的感觉还不错。服务、卫生、设施都蛮好的。只是价格有点偏高。', '短评打分': 5}
{'短评内容': '房间硬件还行，服务态度还好。就是早餐真是太简陋了! 还30元一份! 让人太深刻体验到上海的粒米贵如油啊。是我住过的包括成都、北京、南京等地的宜必斯早餐中最寒碜的，太具有外省人眼中的上海气质了。。', '短评打分': 1}
{'短评内容': '地段不错，也蛮安静，睡的也舒服，下次有机会再会去的！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '乾淨、衛生，走廊是地毯，隔音比較好，服務員態度好。觀景比較差，早上打掃時，服務員互相談話聲音太噪。', '短评打分': 5}
{'短评内容': '对[上海银星皇冠假日酒店]发表了点评：卫生良好，交通方便，餐厅饭菜可口，以后还定此饭店并推荐给别人 ', '短评打分': 5}
{'短评内容': ' 乾净卫生，打扫房间的服务员非常有礼貌，笑容、问候都有。门口招牌不显眼，第一次去容易找不到。', '短评打分': 3}
{'短评内容': '挺好挺干净的一个酒店。周边也挺方便的。值得推荐', '短评打分': 5}
{'短评内容': '有点远了·交通不是特别方便，房间还可以吧·每个地方的感觉都差不多', '短评打分': 5}
{'短评内容': '基本每次还会来这里，卫生间如果再大一点就更舒适了', '短评打分': 5}
{'短评内容': '很干净的房间，入住方便，交通便利。', '短评打分': 3}
{'短评内容': '上海徐家汇宜必思酒店交通方便，挺喜欢的。', '短评打分': 5}
{'短评内容': '这家酒店很安静，但房间很小床铺也太小了吧！', '短评打分': 1}
{'短评内容': '酒店还算干净整洁。但有一个缺点：卫生间的排风扇永远开启，关不掉，加上卫生间是一体式的，共鸣比较大，睡觉喜欢安静的人会觉得那个声音很烦，24小时响彻不停。。。。', '短评打分': 5}
{'短评内容': '酒店位于交大北门附近，在番禺路路边，酒店很干净，房间小了点但是还是比较舒适，卫生间是一体式的，比较清爽，下次可以再住。', '短评打分': 5}
{'短评内容': '服务挺好的，原本预定下午2点到5点入住的，但是我10点多到也让我提前入住了。房间挺干净的', '短评打分': 5}
{'短评内容': '宜必思酒店，房间小巧，很干净，交通便利。', '短评打分': 3}
{'短评内容': '位置好，性价比也不错，服务和设施一般。房间小。', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务也很好，下次还会入住。', '短评打分': 5}
{'短评内容': '经济型酒店中最好的了，就是价格高了点，房间设施很新', '短评打分': 5}
{'短评内容': '环境很好，经济型酒店中最好的了，就是价格高了点，如果在260以内就好了', '短评打分': 5}
{'短评内容': '中规中矩。世博期间入住的，该酒店客房不多，小巧玲珑。', '短评打分': 5}
{'短评内容': '房间有点小，不过很干净', '短评打分': 3}
{'短评内容': '位置接近市中心，价格合理，免费上网，客房简洁\n', '短评打分': 5}
{'短评内容': '不错哦。', '短评打分': 3}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '性价比还行的酒店，床小、卫生间更是小的可怜，但是卫生还不错，环境布置温馨、人性化，和Holiday Inn Express比还是有竞争力的', '短评打分': 5}
{'短评内容': '很干净,很新', '短评打分': 5}
{'短评内容': '宜必斯还算干净舒适,布局紧凑也与经济型酒店相符,早上出租不太好打', '短评打分': 5}
{'短评内容': '+酒店干净安静，推荐！', '短评打分': 5}
{'短评内容': '和美國的客人一起訂的, 她很滿意\r\n酒店很新, 希望能保持質素, 國內的酒店就是總在維修保養方面出問題的', '短评打分': 5}
{'短评内容': '房間冷氣壞了 酒店立即幫我們換了房間呢', '短评打分': 5}
{'短评内容': '舒適 簡單 服務態度好  ', '短评打分': 5}
{'短评内容': '朋友反馈还不错，要是价格能再便宜点就更好了', '短评打分': 5}
{'短评内容': '酒店位置不错，靠近4号线地铁较近，出行方便，另外房间打扫的很干净，总的来说住宿环境还是可以的', '短评打分': 5}
{'短评内容': '性价比比较高，比较新的酒店，各方面感觉都很不错，下次还会住的', '短评打分': 5}
{'短评内容': '环境蛮好的，卫生设施都不错，价格还是有些贵了因为也是世博会原因，位置还行。', '短评打分': 5}
{'短评内容': '酒店房间装修的很简约，大方，住着蛮舒服的，位置还可以，附近吃饭的地方挺多的，蛮方便的', '短评打分': 5}
{'短评内容': '酒店蛮不错的 房间很干净 \r\n地理位置也不错 离徐家汇港汇蛮近的 呵呵 周围也有蛮多小店的 比较便利', '短评打分': 5}
{'短评内容': '酒店大堂看上去还过去，但是房间的话和酒店的价格都不成比例里面毛巾洗漱用品都没有，也不提供早餐，位置还行，按经济型酒店的服务还是可以的但是按照三星级标准的话这个服务肯定不过关。', '短评打分': 1}
{'短评内容': '怎一个差字了得。\r\n这样的酒店也敢收500一晚，如同抢劫。\r\n门关不上，电话不通，窗户也没有。\r\n天。。。。\r\n本来是预定5晚的，住了一晚赶紧撤了。', '短评打分': 1}
{'短评内容': '这家酒店的硬件设施不够齐备.可能是新装修的原因吧.不过服务方面非常到位,综合性价比很高.', '短评打分': 5}
{'短评内容': '性价比很不错，卫生条件特别好，很干净，硬件设施齐全，服务周到，还会住的下次。', '短评打分': 5}
{'短评内容': '酒店装修很时尚简约，但整体感觉很压抑，没有空间感。价格稍高，不是非常满意。', '短评打分': 5}
{'短评内容': '硬件设施比较好,卫生条件也不错,就是位置不方便出行,周边交通不是很好.不过性价比不错.', '短评打分': 5}
{'短评内容': '地段吃喝相对还方便。酒店自助餐一般，比锦江之星15元餐差，价格25比较不满意，房间小，性价比一般。其他地方还好，挺舒适的，适合短住。', '短评打分': 5}
{'短评内容': '房间是有些小，位置是挺好找的，卫生设施都还行，价格比较适中，服务态度还可以。房间大小和价格不是太成正比。', '短评打分': 5}
