{'短评内容': '实惠大气上档次', '短评打分': 5}
{'短评内容': '环境不错，离火车远了些', '短评打分': 3}
{'短评内容': '价格很实惠，特价房无窗也就算了，竟然连厕所的门都没有，一晚上都味儿得很，最后只住了一天，原本定了三天的，实在是住不下去。不过价格够便宜罢了。', '短评打分': 1}
{'短评内容': '酒店环境不错，就是电话出了问题，处理了一个下午。希望酒店能第一时间解决问题。', '短评打分': 3}
{'短评内容': '房间条件不错  也和干净   只是西楼没有电梯  让我爬了六楼', '短评打分': 5}
{'短评内容': '会不错，在那儿住了7天，可以帮叫出租车，房间虽然比较旧，但是设施齐全。', '短评打分': 5}
{'短评内容': '感觉还不错就是小了点。', '短评打分': 3}
{'短评内容': '前台服务态度有待提高，其他还算不错，就是网速真的是烂到家了，我的返利怎么还没有来？', '短评打分': 5}
{'短评内容': '行政标间很不错，挺大挺干净，这个价格挺值的，离火车站和汽车站都很近', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '今天入住的红达中元酒店也不错 感觉是刚装修的 很整洁', '短评打分': 3}
{'短评内容': '交通方便，环境也不错\n就是设施感觉有点旧，尤其是电视\n还有隔音效果差，大早上听见大妈在走廊喊人', '短评打分': 5}
{'短评内容': '酒店很好，干净，卫生，住了四天', '短评打分': 3}
{'短评内容': '部分房间的硬件有待更新，基本卫生，服务态度不错，距离火车站也不是很远', '短评打分': 5}
{'短评内容': '＋酒店离火车北站不远，交通方便，周围不闹。凌晨三点到的，总台依然灯火通明有人接待。住的九十九元的双人间，设施都齐，但有些陈旧，特别是卫生间。毕竟价格很便宜。下次要住就选好点价格高的房间。', '短评打分': 3}
{'短评内容': '整体环境不错，房间配置都是按照三星来的，房间面积稍微有一点小，但不影响，性价比高，酒店要是再考虑下内窗房间的通风换气就好了。', '短评打分': 5}
{'短评内容': '环境还可以，就是周围用早餐不方便，离火车北站不远，交通方便', '短评打分': 5}
{'短评内容': '整体感觉不错，比三星标准来说就面积稍微小了一点，其他的都可以说超过了，内窗的房间稍微有些异味，可能因为通风原因，希望通过清新剂之类的调节一下，网速不是很稳定，其他方面没什么可说的，设施比较新，干净卫生，对于出差和旅游来说，很到位了。', '短评打分': 5}
{'短评内容': '第一次去  酒店给我定的是升级版的房间  感觉不错  但是第二次去就是一般的标准间  一般  厕所味道很重  房间有点潮湿  建议大家定商务标准间还是不错的', '短评打分': 5}
{'短评内容': '很好 ，住了几天 很满意.经济实惠 推荐入住', '短评打分': 5}
{'短评内容': '地点交通方便 ，住宿环境对得起这个价格。周边吃的一般，总体讲还是很好的。', '短评打分': 5}
{'短评内容': '感觉不错，卫生各方面都不错。', '短评打分': 3}
{'短评内容': '红达中元酒店确实不错，干净卫生、居住舒适，感觉是一家管理较规范的连锁酒店！', '短评打分': 3}
{'短评内容': '酒店离火车站挺近.交通非常方便，但是厕所给人感觉不太卫生。总体感觉还是挺不错的。这个价钱值了！', '短评打分': 3}
{'短评内容': '价格合理，交通方便，房间设备有点老，枕套都破了几个洞', '短评打分': 5}
{'短评内容': '酒店交通便利，环境优越，价格合理，服务周到。。。。。。。。。。顶一个！', '短评打分': 5}
{'短评内容': '性价比非常高，以后还住，就是网上订的不一定保险，出了点小误会', '短评打分': 5}
{'短评内容': '大床房床真的很大，很干净，很安全，很便捷，楼下就有个小超市。此酒店最大特色是房间号码都很顺，住起来很安心，顺便说一下，自费项目很多，服务很到位的。唯一一点不足就是不能刷卡呀！交押金时很不爽呀！', '短评打分': 5}
{'短评内容': '还是不错的总体来说 对得起这个价格 而且交通很便利 ', '短评打分': 5}
{'短评内容': '屋子有异味，商务大床房间竟然窗户朝走廊的，真晕！不喜欢，以后不会在来了！', '短评打分': 3}
{'短评内容': '距离汽车站和火车北站都很近，也很好找。整体的环境还是很不错的，服务也可以，对得起这个价格', '短评打分': 5}
{'短评内容': '前台服务不错，只住了一晚，但是感觉挺不错', '短评打分': 5}
{'短评内容': '经济实惠，晚上有电话打扰', '短评打分': 3}
{'短评内容': '怎么说呢，价格对得起观众，不过前台服务态度相当恶劣，让人很郁闷，不好找，如果非要去，打的更方便的', '短评打分': 1}
{'短评内容': '酒店环境不错!值这个价格！靠近处置间的房间比较的吵，其他还好！', '短评打分': 5}
{'短评内容': '房间有点破！有异味  安全锁是坏的！住的不安心！价格还是比较实惠的！', '短评打分': 1}
{'短评内容': '今天入住红达中元酒店，双人间大床109元一晚，房内有电视洗澡卫生间，总体感觉性价比还不错，只是没有网络，无法传照相机拍的照片。', '短评打分': 3}
{'短评内容': '房间有点破 我得房间6068安全锁是坏的 住着有点不安心 别的还算中规中矩 只是房间会给你塞小广告哦~', '短评打分': 3}
{'短评内容': '有一个前台服务员简直就是有脑残，找钱/给发票都是头都不抬甩出去。\n房间内有异味', '短评打分': 5}
{'短评内容': '地上有小强尸体，床能动，可以玩飘移。最搞笑的是，早上清扫大姐就急着用万能开房锁开门了，所以有裸睡习惯注意。价钱都还适中。要求不太苛刻的还是可以住。', '短评打分': 5}
{'短评内容': '价位适中\n房间异味大，用了清新剂来遮，味更难闻。\n房间在12平米左右。\n交通方便', '短评打分': 5}
{'短评内容': '性价比高，是个不错的宾馆。下次去成都，还住这里。', '短评打分': 5}
{'短评内容': '比较好。 离火车站打车起步价。没有直达公交车。走路15分钟。', '短评打分': 5}
{'短评内容': '108的房间比较小 希望订下来的朋友有心理准备', '短评打分': 5}
{'短评内容': '特价房还可以，比较干净，很好了。', '短评打分': 3}
{'短评内容': '房间小点，离汽车站火车站很方便。卫生还可以，就是吃饭不太好找。', '短评打分': 5}
{'短评内容': '闹中取静，交通方便，周围餐饮业海方便。就是房间门不隔音，走廊外响声容易影响休息，希望能改进。', '短评打分': 5}
{'短评内容': '很不错、性价比很好的酒店，距离成都火车北站走路只要5分钟，附近吃的地方很多，很方便；唯一美中不足的是浴室的地板太滑了，又没有提供防滑垫，打肥皂后要特别小心，容易滑倒。以后再出差到成都来还会来住！', '短评打分': 5}
{'短评内容': '离火车站步行10分钟左右，服务态度好，也比较干净。缺点是我住的房间第一晚没有注意，床单有个破洞，说了后及时更换了，希望今后不要有破损的卧具给我们使用。', '短评打分': 5}
{'短评内容': '感谢酒店在我入住期间为我提供的优质服务！尤其是前台的江蓉小姐，人很好！', '短评打分': 5}
{'短评内容': '总体来说还是不错的，就是酒店太不隔音了，大清早的就被吵醒了。', '短评打分': 5}
{'短评内容': '还可以了，就是热水有点小，其他的都还满意，不知道床单卫生不，这个看不出来', '短评打分': 5}
{'短评内容': '还可以了，房间温馨空间紧凑，适合出差在外人士居住。', '短评打分': 5}
{'短评内容': '酒店还行，就是有的楼层，电梯不到，大床房有点小，但总体还挺不错，交通方便。', '短评打分': 5}
{'短评内容': '：宾馆太差了，门打不开，服务员态度差，主管不会说话，叫他们早上叫我也不叫我，还误了飞机。太让人生气了，要索赔。', '短评打分': 3}
{'短评内容': '西栋  不错 就是没电梯   .....', '短评打分': 5}
{'短评内容': '环境较好，房间安静，房间整洁，交通便利。服务较好。', '短评打分': 5}
{'短评内容': ',服务好,有遗失东西,迅速找回', '短评打分': 3}
{'短评内容': '房间简陋，卫生间竟然在外面阳台。。。。，。。。', '短评打分': 1}
{'短评内容': '离火车站近，如果要求不高的话，还是很适合的，性价比还可以！', '短评打分': 5}
{'短评内容': '房间好小，但设施好，房间干净。', '短评打分': 3}
{'短评内容': '这家酒店还可以，只是服务差点，一分价钱一份服务吧，希望可以提高一下服务质量。', '短评打分': 5}
{'短评内容': '，房间一般，交通美食方便', '短评打分': 3}
{'短评内容': '价格便宜，卫生尚可，一般要求不高完全可以满足。', '短评打分': 5}
{'短评内容': '态度不很好！什么时候退店最晚什么时间也不提醒，直到我去退房的时候才知道，直接就扣钱了！', '短评打分': 1}
{'短评内容': '交通便利，离火车站很近，设施很新，很全！总之性价比很高！', '短评打分': 5}
{'短评内容': '酒店房间感觉挺舒适的.还不错', '短评打分': 3}
{'短评内容': '在火车站附近还算不错了，也还算干净，109返10元等于99元住一晚', '短评打分': 5}
{'短评内容': '在网上点的是108的特价房，谁知道却是自动跳到138房价上订了，房间的窗户在走廊里，卫生间的味道很大，完全没有隔音，夜里12点多走廊里还很吵，最气人的是一早上6点多钟，服务员就开始在走廊里做卫生了，吵闹个没完，服务员的对讲机和前台的对讲机没完没了的呼叫，根本没可能睡着。', '短评打分': 1}
{'短评内容': '不错，就是床单看起来不是很干净，看起来好像很破旧，总体说对得起这个价钱', '短评打分': 5}
{'短评内容': '环境不错，位置不错，附近吃放的地方不多，酒店没有挂衣服的地方', '短评打分': 5}
{'短评内容': '酒店还行吧，就是窗户朝向不好，其他的都还过得去', '短评打分': 3}
{'短评内容': '价格的确比较便宜，新的房间面积虽然显得比较小，但配置还是比较齐全，老的房间面积要大些，不过设施没新房间的好，我住的房间在楼梯处，所以早上7点过，服务员、住客的声音便把人吵起来了……  入住的时候电梯坏了，晚上11点电也停了，冻得够呛', '短评打分': 1}
{'短评内容': '服务态度比较好，前台也蛮靓的，呵呵。不过，房间比较小，周围吃饭的地方不多。', '短评打分': 5}
{'短评内容': '可以啊，卫生环境都还可以。。值得一住。价格优惠', '短评打分': 5}
{'短评内容': '感觉挺好的，价格也比较合理。', '短评打分': 3}
{'短评内容': '作为火车站附近的价格还可以。卫生也不错，就是稍为点远，有点难找。', '短评打分': 5}
{'短评内容': '隔音效果太差了，房间有点小。好像宽带不是很好用，然后就是服务员的态度不是很好', '短评打分': 1}
{'短评内容': '本来我要的是大床的  结果给的是双床  除了房间小了点外  其他感觉蛮不错的  挺干净的  ', '短评打分': 5}
{'短评内容': '比想象的远，但是还很安静，早上起来发现一小强。', '短评打分': 1}
{'短评内容': '位置挺好找，就是对于北方人来说，客房冷，卫生间在阳台上，根本没法洗澡。卫生条件倒是还可以。', '短评打分': 1}
{'短评内容': '很遗憾没有中央空调。房间不是很大。 其他的都还说得过去。', '短评打分': 5}
{'短评内容': '房间比较干净，这个价格确实值了，就是晚上没地方吃东西。', '短评打分': 5}
{'短评内容': '肯定好评，因为你家很人性化。下次来成都一定住你家。', '短评打分': 5}
{'短评内容': '对不起，不知道如何评价。反正我打车花了60元钱从外面回来，也一定要住他家。', '短评打分': 5}
{'短评内容': '很满意，干净，整洁', '短评打分': 3}
{'短评内容': '酒店设施还比较好', '短评打分': 3}
{'短评内容': '挺干净的', '短评打分': 3}
{'短评内容': '房间性假比还行，便宜实惠，就是说的有网，结果就看到了一根网线，没得电脑', '短评打分': 3}
{'短评内容': '很超值，值得入住', '短评打分': 3}
{'短评内容': '干净卫生，价格实惠，。', '短评打分': 3}
{'短评内容': '酒店整体感觉不错！', '短评打分': 3}
{'短评内容': '跟网上描述的不一致。', '短评打分': 3}
{'短评内容': '还可以干净利落', '短评打分': 3}
{'短评内容': '酒店不给发票  叫我到红达第一招待所拿发票   我去了之后却说没有发票 而且那个态度极其得差，太忽悠人了', '短评打分': 1}
{'短评内容': '额。呵呵。一分钱一分货。', '短评打分': 3}
{'短评内容': '房间很干净,设施也是很齐全的,条件不错!', '短评打分': 5}
{'短评内容': '这个而酒店还是不错的~~~性价比是相当的刚呀~~~~房间很干净~~~设施也是很齐全的~~~~条件还是不错的~~~~~', '短评打分': 5}
{'短评内容': '这个地段 这个价格  值   房间还可以就是没有一次性的拖鞋 是循环使用的 ', '短评打分': 5}
{'短评内容': '还可以,酒店是新装修的,虽然走廊一些地方有点乱,但房间里面还很不错', '短评打分': 5}
{'短评内容': '价位合理，服务不错，床特别舒服！！！缺点：没有早餐', '短评打分': 5}
{'短评内容': '还可以，干净整洁，性价比高', '短评打分': 3}
{'短评内容': '房间不错，才装修的，环境靠街道的批发市场，早上可能会有点吵，热水很给力，网速也不错，这个价位值！', '短评打分': 3}
{'短评内容': '订好了，特地还打电话告诉前台是夜里到，结果到了告我没房了，给我推荐到旁边一个招待所凑活一宿，房间小的要死，而且环境很差，卫生间居然是蹲坑，无语。。。。。。', '短评打分': 1}
{'短评内容': '酒店不错，很干净，空调、液晶电视、还有两个靠枕，挺温馨的。唯一不足的是空间比较小。物有所值。', '短评打分': 3}
{'短评内容': '性价比很高，正在装修，我住的８０的，就是房间小了点。另外服务还差点，我住两晚，第二晚连毛巾都没有换，我和前台讲，她说要客人提出来才换的。我晕，那要是我不住了，下一个住店的就用我用过的？还好及时处理了，不过总的来讲在成都还是很不错的了。值得推荐。', '短评打分': 5}
