{'短评内容': '帮朋友订的，听说还挺好的，入住的很舒心。', '短评打分': 5}
{'短评内容': '乐清比较好的了，停车场到是很大，硬件不错的，但是服务上还是有缺陷啊，特别是送餐服务，呵呵，体会过的就知道了。', '短评打分': 5}
{'短评内容': '虽然说这家酒店算是在柳市镇上最好的酒店了，好像都说是5星的。可我觉得一点都不是5星，远远没有达到5星级的标准，最多只能算式4星，而且这个4星不是正式的，', '短评打分': 1}
{'短评内容': '酒店整体都很好，价格也低，性价比高，自助早餐种类丰富，周边环境略差', '短评打分': 5}
{'短评内容': '还可以的.一个可以的选择...........................', '短评打分': 5}
{'短评内容': '酒店位置很好，近在电子巿场，酒店设施很不错，足五星级标准。', '短评打分': 3}
{'短评内容': '去乐清一直选择的酒店，干净舒适，早餐也不错，挺好', '短评打分': 5}
{'短评内容': '酒店空调声音太大，工作人员与客人争上电梯。。。', '短评打分': 1}
{'短评内容': '酒店不错，我第二次住了。自助餐蛮好的，应该是乐清比较好的酒店了。比我上次住的那个什么茉莉花假日酒店强多了！', '短评打分': 5}
{'短评内容': '每次来都住这里＇很喜欢＇但是早餐没以前丰盛了＇美中不足', '短评打分': 5}
{'短评内容': '这个酒店比较新，干净整洁，特别是车库管理比较好，让车多的柳市地下库显得非常有秩序', '短评打分': 5}
{'短评内容': '房间很大，硬件都不错。不过九楼的自助餐厅很忙，我是六点去的，就已经客满了。\n算是柳市最好的酒店了，值得推荐。', '短评打分': 5}
{'短评内容': '不错。但餐饮不方便。只有包厢，没有大厅。今后希望改善', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间有味道。停车乱。其余还好', '短评打分': 3}
{'短评内容': '硬件上达到5星级的标准，房间够大，设施也齐全，还是很不错的。服务上，态度都很不错，但是细节上确实离好的5星级酒店还有一定差距。不过就酒店本身来说，在乐清应该是最好的了。', '短评打分': 5}
{'短评内容': '乐清新聚丰圆大酒店位置不错，理我办事的地方很近，酒店环境也不错，下回还住在这里。', '短评打分': 5}
{'短评内容': ' 很不错，是我入住的五星级酒店中较好的酒店，以后还会选择住这一间酒店。', '短评打分': 5}
{'短评内容': '不错～房间设施不错，早饭也不错，隔音效果欠佳', '短评打分': 5}
{'短评内容': '卫生间味道特别重不过房间卫生装修都很棒，位置也是蛮显眼的周围也有很多餐厅吃饭很方便，性价比还是相当高的，酒店的装修还是挺精致的餐厅早餐也很好，服务态度也很不错。', '短评打分': 5}
{'短评内容': '真的很不错的一家酒店。早餐很好，餐饮很高档。地点也不错', '短评打分': 5}
{'短评内容': 'goodgoodgoodgoodgood', '短评打分': 5}
{'短评内容': 'good good good good good ', '短评打分': 5}
{'短评内容': '很不错的一家酒店，性价比高，早餐不错，服务也可以', '短评打分': 3}
{'短评内容': '很不错。条件很好，卫生安、早餐也不错，性价比很高的一个酒店', '短评打分': 3}
{'短评内容': '酒店性价比很高，环境好，值得注意主。各项服务都不错，下次还会煮', '短评打分': 5}
{'短评内容': '各方面都很不错的酒店，去哪里都很方便，是去乐清住店的首选。', '短评打分': 5}
{'短评内容': '酒店环境还是很好卫生设施还是比较一般，位置还是挺好的，价格服务基本都还行。', '短评打分': 3}
{'短评内容': '新聚丰圆酒店整体不错如果服务员能熟练工作和热情服务就更好了', '短评打分': 5}
{'短评内容': '性价比很高的酒店，设施完善，服务周到，下次出行还会住的。', '短评打分': 5}
{'短评内容': '服务态度非常得好，前台的服务员很热情也很有耐心。房间很大也很新，特别是游泳健身这块很好，以前只有住在温州市区的酒店才有游泳池，没想到现在住在柳市也能游泳真是感觉到非常的好！', '短评打分': 5}
