{'短评内容': '还不错 客服很热情！！！', '短评打分': 3}
{'短评内容': '酒店还可以，可以更多关注一些细节会更好', '短评打分': 3}
{'短评内容': '＋隔音差了点，但是整体环境还不错，还挺温馨的', '短评打分': 3}
{'短评内容': '靠近街边比较吵还算干净', '短评打分': 3}
{'短评内容': '房间很不错，和如家168的差不多，交通也挺方便的，不过我总是感觉有一种嗡嗡的声音存在。', '短评打分': 5}
{'短评内容': '酒店真的很不错，比一般的七天、如家经济连锁酒店都要好些。位置也近桂林汽车站，步行十分钟就够，是搭火车或汽车前后住一晚不错的选择。', '短评打分': 5}
{'短评内容': '是熟客了 ~~不错的~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间干净整洁，服务人员也很热情，还有有线电视和网络提供，感觉非常不错', '短评打分': 5}
{'短评内容': ' 洒店很干净，前台和警卫都非常热情', '短评打分': 3}
{'短评内容': '酒店很不错，老人很满意。', '短评打分': 3}
{'短评内容': '不错，床比较舒服，干净。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置虽然就在汽车站边上，但是入住后也不吵，120元得价格非常不错，妈妈都觉得非常好，下次来桂林的话还会光顾的。\n就是晚上热水小了点', '短评打分': 5}
{'短评内容': '在桂林汽车站后面，里面环境不错，卫生很干净，新装修的，设备比较齐全，下次有机会还会去········住了三晚\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '在桂林汽车站后面，里面环境不错，卫生很干净，新装修的，设备比较齐全，下次有机会还会去········', '短评打分': 5}
{'短评内容': '很不错..环境很好。就是是个男服务员- -换个女生多好。给满分。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离火车站、汽车站都很近，交通便利。酒店很干净，服务态度也不错。楼下是消防队，能听到起床号和熄灯号，晚上有时还能看到消防队员在训练，挺有意思，安全感也倍增。一楼有一个旅游咨询的大姐，很热心，介绍的一日游还不错。下次如果再去桂林，还会去住这家酒店。', '短评打分': 5}
{'短评内容': '干净，舒适。这两点是挺好的。由于硬件设施的限制，房间较小，显得有点压抑。但这也无法改变。总体来说，性价比比较高，值得入住。', '短评打分': 5}
{'短评内容': '客房干净、很清爽的感觉!', '短评打分': 3}
{'短评内容': '装修不错，服务态度也好，交通方便，离火车站和汽车站都挺近的。唯一的不足就就是房间太小了，住着不是很舒服。', '短评打分': 5}
{'短评内容': '很干净啊，比想象中好的多， 可以说出乎意料，真是很不错的，刚开业了大概半年吧，价格合适，设施比较齐全，服务态度也挺好的，我可是极力推荐，', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度很好，干净温馨，有网线，地段交通便捷，不错不错', '短评打分': 3}
{'短评内容': '酒店是全新的，设施很全，隔音不太好，门很薄没有质感，一次性纸杯和其它设施不相衬，使用玻璃的和陶瓷的会更显档次，其他都还不错，决定下次还去那。', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '距离火车站走路稍微有点远，但是价格合适，房间内还能免费打长途，非常贴心。房间很干净，也比较舒适。我是夜里23:40分入住的，第二天17:00退房，房费按1天半收的，当然这是旅店业的规矩，希望未来能有所改革。', '短评打分': 5}
{'短评内容': '位置还不错，不足的是电梯里较热，另外早上有人喊早，呵呵', '短评打分': 5}
{'短评内容': '交通非常方便，离火车站和汽车站都很近，而且房间设施非常全，布置也很温馨，环境卫生也非常好。', '短评打分': 5}
{'短评内容': '很干净舒适。里面生活必须品也一应俱全。价格也很公道。酒店还有优惠价送客去机场的服务，很贴心。', '短评打分': 5}
{'短评内容': '环境不错，就是隔音不太好。不过性价比高，干净舒适。', '短评打分': 5}
{'短评内容': '很新很干净，就是消防队早哨很吵，6点多就开始叫唤了，不过总体还是很不错的', '短评打分': 5}
{'短评内容': '服务一般!卫生和地段较好,性价比高.强烈推荐!', '短评打分': 5}
{'短评内容': '交通很方便，离火车站很近，省了很多事。房间设施也不错，对于这个价钱来说是很不错的选择，而且附近有味道很好的桂林米粉。', '短评打分': 5}
{'短评内容': '出了火车左拐第一个红绿灯转左就到,交通便利,酒店装修新,订的是夫妻房,感觉很温馨', '短评打分': 5}
{'短评内容': '不错，酒店很新，很干净\n离火车站，汽车站很近，很方便出行\n步行到夜市，十字街，有点距离，大概要走半个小时，但是吃完饭没事溜达过去，也不会累', '短评打分': 5}
{'短评内容': '环境好。服务周到。是家好的酒店。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在汽车站后面，环境还好，但是离火车站和汽车站都还比较近', '短评打分': 5}
