{'descr': '这个酒店没有情侣酒店的', 'star': 5}
{'descr': '总体很可以啊，以后出差在宿迁会尽量选如家。还有早饭还没吃过 下次要试下怎么样', 'star': 5}
{'descr': '房间很干净，毕竟新开的。总体还狠满意。希望继续保持哦。连续住了几晚', 'star': 5}
{'descr': '非常好的酒店，每次都住这，靠近楚街，还会再来', 'star': 5}
{'descr': '还行吧，住了几回，宿迁可选的酒店不多，这个算不错了', 'star': 5}
{'descr': '1、房间靠近街边很吵！对晚上睡眠有很大的影响！\n2、服务员管理很死板，我连续住了两个晚上，第三天和他们商量能否推迟到一点前退房，他们坚决不同意，说规定十二点前退房，如果推迟退房要收半天房费！一个小时的灵活变通都没有，给客户带来很大的不便！\n3、商务套间很小！没想象的好！', 'star': 1}
{'descr': '该酒店交通方便，从汽车站打车过来就是起步价。旁边就是楚街，吃饭购物很方便，酒店设施不错，下次继续入住', 'star': 5}
{'descr': '酒店不错，环境挺好！', 'star': 3}
{'descr': '房间很好，环境很温馨！', 'star': 3}
{'descr': '如家离车站不到十分钟路程，周围有超市、商场、夜市什么的。房间很宽敞，干净。不错。  ', 'star': 3}
{'descr': '房间新装的，不错。但入住时卫生间没有打扫干净，有不少头发。马路对面的工地在用汽锤打桩，比较吵，近期不推荐。', 'star': 1}
{'descr': '   定房间很方便', 'star': 3}
{'descr': '酒店服务不错，早餐吃着也很可口，酒店设施都比较新呢~就是附近有施工的最近，白天有点吵，不过总的来说不错！', 'star': 5}
{'descr': '干净，大床房面积可以，有飘窗。就是新装修有些味道。', 'star': 5}
{'descr': '＋还不错，挺方便的', 'star': 3}
{'descr': '很好的酒店，服务态度和硬件设施都很好！下次还会选择的', 'star': 5}
{'descr': '新酒店，还不错,新酒店，还不错,新酒店，还不错,新酒店，还不错,新酒店，还不错,', 'star': 5}
{'descr': '房间还是蛮宽敞的 因为住的是家庭房，还接待了几位客人 哈哈', 'star': 5}
{'descr': '如家的服务非常的好，室内的装修风格也极别致。挺好！', 'star': 5}
{'descr': '还好！', 'star': 3}
{'descr': '旁边有条街，挺繁华的，晚上逛逛不错。\n装修确实有家的感觉', 'star': 5}
{'descr': '酒店位置不错，靠近汽车站，旁边还有楚街，吃饭很方便。', 'star': 5}
{'descr': '很整洁干净，感觉很舒服，整个环境蛮不错的……但门 墙的隔音效果不是很好，不时还有咚咚声', 'star': 5}
{'descr': ' 办理入住时说没有我的预定... 房型很怪,灯光很亮,态度很好... ', 'star': 3}
{'descr': '不错 但是浴室的淋浴头支架有点松动 其他不错 ', 'star': 5}
{'descr': '环境较好，商务房空间大，值得推荐。服务员也较热情。', 'star': 5}
{'descr': '很干净,不错！', 'star': 3}
{'descr': '挺干净，地理位置不错，就是大厅比较小，打印的话一块钱一张，有点贵。', 'star': 5}
{'descr': '很好，设备比较新，也很整洁。\n比想象的要好', 'star': 5}
{'descr': '房间还是蛮好酒店也是刚开业，出行也很方便，价格的话也差不多和一般快捷酒店都一样。', 'star': 5}
{'descr': '挺好的，便宜。旁边就是楚街，而且宿迁打的费比较便宜只要5块，如果把机顶盒换成是广电的就最好了', 'star': 5}
{'descr': '189元的大床房，最多值100元，强烈回避。', 'star': 1}
