{'descr': '订了5次，还是没有找到住的地方，让我评价啥，', 'star': 1}
{'descr': '已入住', 'star': 3}
{'descr': '在一条破旧的街上，价格还不便宜，推开窗，一片破旧景色影入眼帘，门口停满车，拖行李都得绕道，晕。', 'star': 1}
{'descr': '房间很小但设施很全，晚上很安静，周围就是超市和饭馆，非常方便，推荐一下！', 'star': 3}
{'descr': '比较好找，可是坐出租车不好找，说去汉庭燕莎店被拒载过。周围有公车站，附近就是个大超市.房间服务和设施都还不错，网速也还行。', 'star': 5}
{'descr': ' 不错', 'star': 3}
{'descr': '乾淨交通方便', 'star': 3}
{'descr': '房间很好，我订的是新春百元房，只要100一晚，很合算。但是酒店位置其实不是特别好，虽然离三元桥地铁站很近，但那片特别绕，走路很不方便。', 'star': 5}
{'descr': '服务很周到，很早打车去机场，服务人员在办理退房手续的同时出去帮我叫车。非常感谢！', 'star': 5}
{'descr': '环境不错 干净整洁  只是因为过年服务员少了 没有收拾房间 希望下次改善', 'star': 5}
{'descr': '环境很干净，周边交通也方便，下次还会入住该店。', 'star': 5}
{'descr': '虽然位置不起眼,但房间干净,就是没有早餐供应', 'star': 5}
{'descr': '优点：酒店位置很好，附近有很多吃饭的地方，交通也很方便。前台服务热情，房间干净舒适。\n缺点：网不是很快，电视有点小，而且不是数字电视。\n', 'star': 5}
{'descr': ' 很好', 'star': 3}
{'descr': '服务不错，房间干净整洁，周边环境不错，吃饭娱乐的地方都有，哈哈', 'star': 5}
{'descr': '简洁,干净,温馨是连锁酒店的特点.交通.吃,玩,银行周围都可以.', 'star': 5}
{'descr': '住了好几次了，除了一次忘记帮我叫出租车之外，服务还不错。不过最近旁边的美容院在装修，白天有点吵，晚上还好。', 'star': 5}
{'descr': '酒店设施优良，服务态度很好，是一家不错的酒店哦！', 'star': 5}
{'descr': '除了房间有点小，其他的都还好。不过晚上会有轻微的嗡嗡嗡的声音，不知道是不是旁边的京客隆在装修，因为声音很小，影响倒是不大。', 'star': 5}
{'descr': '\u3000第一次在网上订酒店，很满意。汉庭的房间很精致。', 'star': 3}
{'descr': '很好，卫生不错，环境也不错。。就是位置不太好找。。下次有机会还去。。', 'star': 3}
{'descr': '位置不错，房间不大，卫生还行，交通方便！推荐', 'star': 3}
{'descr': '位置还可以，性价比高，可以考虑短期出差，购物方便', 'star': 5}
{'descr': '+挺好的，就是房间小了点', 'star': 3}
{'descr': '挺好的，价格比较合理，卫生还行，就是标间的床太小了……', 'star': 5}
{'descr': '服务挺好的,但枕头下面和被褥上有头发', 'star': 5}
{'descr': '马路边有点吵酒店新很干净', 'star': 5}
{'descr': '这家酒店设施新潮,服务优良,我们十分满意!', 'star': 5}
{'descr': '酒店干净，早餐不方便。', 'star': 5}
{'descr': '位置稍有不便，要走一段时间才能到地铁口。不过周边餐饮超市还是很多的。室内配置基本是汉庭标配，有个开放的多格衣橱能放很多东西，还不错。只是我住的是特价房，感觉淋浴的空间太小。', 'star': 5}
{'descr': '位置和服务都不错，在东三环附近办事很方便', 'star': 5}
{'descr': '目前为止住过的最好的连锁酒店，房间很不错', 'star': 5}
{'descr': '＋酒店干净，简洁！', 'star': 5}
{'descr': '酒店很不错就是房间有点儿小地方挺好找卫生也不错', 'star': 3}
{'descr': 'bi jiao man yi. chuang you dian er xiao .wu zi ye bi jiao xiao !qi ta de dou hen hao .', 'star': 5}
{'descr': '这个酒店在东三环，离燕莎，三里屯都比较近，酒店服务态度很好，虽然临街，但是也挺安静的，总体感觉不错，就是有一点，我开的两个房间，但是同样的价钱，一个大一些，一个小一些，这个有点不好，当然谁给钱都希望能够住大一点 的房间，总体，值得推荐。', 'star': 3}
{'descr': '很干净，地板地，服务也不错。地点非常方便，周边有很多服务设施。房间小了点儿。没有衣柜放衣服，住一两天可以。如果住的天数多，衣服没地方放。旅馆的前厅会客的地方太小。', 'star': 5}
{'descr': '酒店的位置还算不错，去燕莎，去三里屯等地方都很方便，前台服务很热情，很多的问题都很耐烦的给你一一解答。房间隔音效果倒也还OK，不错吧，虽然我住的房间是对着街，也不感觉吵，唯一不足的就是离地铁站有点远，走路得15分钟左右。整体觉得不错，性价比也值，会向朋友推荐。', 'star': 5}
{'descr': '位置好，就是出租难找。吃得好，就是起的晚了没赶上。酒店人员服务好，这个倒是真的，货真价实，童叟无欺。酒店人员服务水平真的不错', 'star': 5}
{'descr': ' 都还不错  大厅有电脑还可以打印', 'star': 5}
{'descr': '房间挺舒适的，就是洗手间的水不能流下去，然后洗完澡后整个洗手间都有点淹水', 'star': 5}
{'descr': '服务好。舒适。干净', 'star': 5}
{'descr': 'good!', 'star': 3}
{'descr': '帮父母预定的，他们说不错。只是前台服务让我不满意。当时我父母在前台办手续，前台一个劲让我爸妈办什么金卡，要花188元的样子。我父母经不住说，准备办了。这个时候他们正好接到我电话，我觉得不划算，因为父母不是经常旅游，我妈让我和前台说，那个前台的男服务员不停地劝我，大概磨了10分钟，我开始态度还好，最后我发脾气了。而且业务不熟练，我们在网上订单，他把天数都算错了，如果不是我的电话，我父母可能会冤枉多交', 'star': 5}
{'descr': '不错 来北京赴美签证的好住处', 'star': 5}
{'descr': '地方很大，房间也比较多', 'star': 5}
{'descr': '在小区里 所以周边配套设施很全 挺方便', 'star': 5}
{'descr': '前台服务人员精神状态倒是不错，进进出出都大声打招呼。\r\n酒店旁边有超市，肯德基，李先生，还有很多饭店，购物餐饮很方便。\r\n\r\n因为怕吵，要了北面的房间，但是空调轰隆声持续整晚，好像空调主机在北面。而且都快十一点了，走廊里服务员推着车走来走去，大声地说话。\r\n还有客人声音也很大，睡得不好。\r\n因为没有冰箱，夏天我买回的冷饮没法放。\r\n\r\n246元不含早餐的房间来说性价比不怎么样。\r\n\r\n', 'star': 1}
{'descr': '通过E-LONG定的大床房，结果就在电梯旁边。房间是在太小了，开门就是厕所，后面就是床。一点其他空间都没有。打电话去前台问能不能换房，被告知都住满了。只好凑合了一晚上。以后不会再去了。', 'star': 1}
{'descr': '吃饭、去机场都十分方便，旺中带静。', 'star': 5}
{'descr': '除了KFC,不知哪里吃早餐', 'star': 5}
{'descr': '房间虽小但床比较舒适,但卫生间居然有小强,淋浴也是坏的.服务态度还不错.', 'star': 1}
{'descr': '床有点硬，服务不错', 'star': 5}
{'descr': '床有点硬 其他都不错', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '家庭式酒店，一般，但可住', 'star': 5}
{'descr': '去机场非常方便的酒店', 'star': 5}
{'descr': '酒店不错，办美国签证非常非常方便', 'star': 5}
{'descr': '总体来说性价比很高的一家店。卫生干净，环境优雅，就是位置不算太好找。挺不错，如果下次有机会，还来。。', 'star': 5}
{'descr': '空间小，风景视野不好', 'star': 5}
{'descr': '对了，楼下的驴肉火烧很好吃，嘿嘿', 'star': 3}
{'descr': '还有很安静，很安全，上楼必须刷房卡才行，很人性化', 'star': 3}
{'descr': '性价比很高，地理位置也不错，有肯德基和京客隆超市，房间虽然小，但是很温馨，卫生比较干净，关键是服务人员特有礼貌，对了，还有洗澡水很爽，下次还会入住，提个小建议，规范一下门口停车就更完美了', 'star': 5}
{'descr': '住过一次，感觉不错，周边吃饭、购物、出行都很方便。将再次入住。', 'star': 5}
{'descr': '打车超级方便，位置也算不错。就是房间小了一些。', 'star': 5}
{'descr': '都很好，就是我的房间窗户对着个大烟囱。', 'star': 5}
{'descr': '干净舒适，离三里屯很近，但又很安静，不错。', 'star': 5}
{'descr': '各个方面都好，如果有机会还会住这里', 'star': 5}
{'descr': '舒適衛生服務好，交通也便利，旁邊有京客隆超商及菜市場，購物方便...', 'star': 5}
{'descr': '不错, 下次还会入住', 'star': 5}
{'descr': '下飞机后坐机场大巴，提着行李箱走了好长的距离才来到宾馆，直观感觉，远，呵呵，但其他的真的很不错\r\n', 'star': 5}
{'descr': '总体不错，安全卫生服务好。\r\n唯一不满意的是缺衣柜，冬天衣服太多，无法挂大衣。\r\n另外，就是门缝塞有不良卡片。', 'star': 3}
{'descr': '各方面都好，就是缺衣柜和空间小了点', 'star': 5}
{'descr': '服务热情，早餐不行，天天面包,利乐包牛奶加白煮蛋.', 'star': 1}
{'descr': '入住周日百元房，性价比很高，可是位置一般，空调也有问题，好在前台孙经理态度比较好，希望继续努力', 'star': 5}
{'descr': '位置不错，去机场和使馆的话会很方便的。', 'star': 5}
{'descr': '很好。交通方便。', 'star': 5}
{'descr': '我怎么觉得我刚才点评过了。。 离地铁比较远。。我觉得。。', 'star': 3}
{'descr': '离地铁还是有点远。。~', 'star': 5}
{'descr': '适合出差，旅游。', 'star': 5}
{'descr': '距离国展和农展很近，想去使馆区的可以走着去，离地铁也很近。新开一个月的酒店，各项设施比较新。配有液晶电视，房间虽然略小，但是很暖和。', 'star': 5}
{'descr': '不错 空间和设施都不错', 'star': 5}
{'descr': '卫生实在不好~里面的烟味住了两天还有。门后的垃圾又打扫一遍也还在原地。订了两个房间，一个空调不制冷，另一个换气扇不工作。说是大床间，跟单人间没什么意思。地铁十号线有点远，不带行李也就无所谓了~', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '去机场快轨就一站路，很方便，服务很好，性价比高，下次去北京还住', 'star': 5}
{'descr': '订的是新春百元房，由于要到机场所以选择了新源里店，位置和交通都很方便！', 'star': 5}
{'descr': '真的是很好！当时我住的是百元新春特价大床房，不仅非常值，而且工作人员的热心也让我们身在外地的人们心里暧暧的！这下我再去哪个城市，肯定会首选汉庭了！', 'star': 5}
{'descr': '挺干净的！服务态度也不错', 'star': 3}
{'descr': '不错的', 'star': 3}
{'descr': '酒店各方面很不错，性价比高', 'star': 3}
{'descr': '很不错哟，就是牙膏少了点。', 'star': 5}
{'descr': '虽然房间很小，但是感觉很温馨，服务态度也不错，以后也许还会选择这家居住', 'star': 5}
{'descr': '第一次入住汉庭酒店，服务态度还不错，价格也很优惠，酒店环境也不错。就是北京太大了，去坐机场快轨要走好远，出门打的很方便。希望以后要是有接送去机场的车就好了。', 'star': 5}
{'descr': '因我在外交办公大楼有公干，所以感觉位置非常好，其他评为很好', 'star': 5}
{'descr': '不错。坏境喝设施都很新。很方便也 ', 'star': 5}
{'descr': '参与的是新春特惠房100元/夜；该酒店离三元桥机场高速口，非常近，极其便利。适合去使馆区做签证等事务的朋友。至10号线亮马桥站，也仅10分钟步行。\r\n遗憾的是该酒店的服务并未跟上。', 'star': 5}
{'descr': '由于酒店是新开的，所以被褥等比较新，房间比较小，但是房间布局挺好,服务员服务态度非常热情，就是当天入住的时候房间网络出现问题，不能上网，只能在大厅上网。楼下有郭林家常菜、KFC、李先生、京客隆超市，吃饭购物都比较方便。酒店所在位置离亮马桥地铁站有点远，不是很好找。离国际SOS救援体检中心比较近，如果是出国体检的话住这家酒店比较合适。', 'star': 5}
