{'短评内容': '去武汉经常入住这里，武汉大学医学部对面，很方便！', '短评打分': 5}
{'短评内容': '东湖边，湖景不错', '短评打分': 5}
{'短评内容': '毕竟是4星级酒店,各方面条件还不错,而且当时住的湖景房,视觉感很好,住着比较舒适,价格也合适.', '短评打分': 3}
{'短评内容': '环境不错，服务也很好', '短评打分': 3}
{'短评内容': '环境好，服务好~~~推荐~', '短评打分': 3}
{'短评内容': '很干净舒服的酒店，服务态度也很好，紧靠东湖，环境优美~装修也不错！', '短评打分': 3}
{'短评内容': '干净整洁，环境优美，是个非常好的酒店！', '短评打分': 5}
{'短评内容': '酒店的设施条件很一般了,周边交通还是挺方便的,价格也还可以了.', '短评打分': 5}
{'短评内容': '风景不错，湖景房的确能观景，可是落地窗户并不太干净，透明度不过，湖景有瑕疵。设施一般，没有收到其他住客所称的水果和总经理名片。\r\n\r\n服务非常差，与四星级酒店不符，尤其是前台的服务员，无论入住还是办理离店的，均没有丝毫笑容，面部表情相当僵硬，办理入住后并没有行李生指引电梯位置，经询问前台才很敷衍地告知。最恶劣的是，酒店得洗手盆堵塞，以至于水溢出洗手台，用擦手巾擦拭后，留下污渍，前台竟然提出要住客赔', '短评打分': 1}
{'短评内容': '住了两天大床房，各方面都不错，特别是服务，唯一的遗憾是楼层太低。说是5-19，可是只有7层的房，如果再往上，便看不到东湖景了（环形廊，环形设房）。各层01是商务套房，应该是景致最好的，02-03是标间，景也不错04往后才有单间，景就要差一些了，过了09后面就看不到东湖了，不过也能看到个水果湖～希望对想入住的朋友有点帮助。', '短评打分': 5}
{'短评内容': '东湖边上,环境很不错,房间开间比较大,也比较舒适.不过楼层之间隔音效果差了一点', '短评打分': 3}
