{'短评内容': '不错。？。。。。', '短评打分': 5}
{'短评内容': '地理位置比较好，靠近火车站汽车站等重要的交通位置上，服务周到，且环境舒适，价格也符合普通消费群体的消费理念', '短评打分': 5}
{'短评内容': '很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐很惬意！推荐', '短评打分': 5}
{'短评内容': '特别满意  性价比超高   很干净', '短评打分': 3}
{'短评内容': '地理位置不错，酒店是如家直营店，所以各方面都中规中矩', '短评打分': 5}
{'短评内容': '不错，位置很好，房间也很干净，服务态度也很好。推荐', '短评打分': 5}
{'短评内容': '离火车站很近，打个车大概5分钟就到了，步行估计10多分钟吧，酒店边上超市、餐饮都非常方便。房间还可以吧，就是那个10周年庆的房间不是很给力，窗户是对走廊的，去看了下没要，换了个标间。', '短评打分': 5}
{'短评内容': '环境很好\r\n十年庆典房间真便宜', '短评打分': 3}
{'短评内容': '酒店干净安静有家的味道感觉满意', '短评打分': 3}
{'短评内容': '不错,还行,就是热水壶是坏的,想要喝水时已太迟了,服务员说工作人员已下班不能换了.想想就一晚也就算了', '短评打分': 5}
{'短评内容': '很好，很干净！', '短评打分': 3}
{'短评内容': '房间不错，挺好的，住着比较舒服。对于早餐好像稍微花样少了点，不过我是北方人，还好吃的惯。总的来说不错。', '短评打分': 5}
{'短评内容': '交通挺方便 对面就是超市', '短评打分': 3}
{'短评内容': '位置较偏。整体较干净，性价比还算高。总体来说还可以。', '短评打分': 5}
{'短评内容': '房间还算干净', '短评打分': 3}
{'短评内容': '还好，值这个价。周围环境一般，交通比较方便。', '短评打分': 5}
{'短评内容': '如家的感觉，真的如家一般的温馨。', '短评打分': 3}
{'短评内容': '房间还不错，毕竟在潍坊，跟北京上海不具可比性。前台服务一般，甚至可以说差。', '短评打分': 5}
{'短评内容': '上网不方便', '短评打分': 3}
{'短评内容': '有点小，不过干净温馨，总体来说还不错，没有停车场，路边停2元', '短评打分': 5}
{'短评内容': '鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '地方还不错、离着泰华挺近的。吃饭看电影什么的都比较方便，服务员很客气。我个人比较喜欢~~建议、入住前先看一下前台给找的房间位置，因为我的房间在拐角出，人员出入什么的我比较觉得烦~~（本人比较喜欢安静）', '短评打分': 5}
{'短评内容': ' 交通方便 服务不错 环境还是比较喜欢的 关键是坐车方便 呵呵～', '短评打分': 3}
{'短评内容': '房间很大，服务也特别好。早餐，晚餐也不错。其中餐厅一个服务的小伙子特别热情的帮忙介绍哪里可以买到正宗的风筝，特别热情。 只是位置找起来有些费力。', '短评打分': 5}
{'短评内容': '整体还可以 服务态度挺好 比较舒适 就是被子有点不舒服 房间略小 早餐一般  ', '短评打分': 5}
{'短评内容': '该酒店不错 就是早餐一般 而且 空调有滴水的声音 吹风机太少 借的时候没了', '短评打分': 3}
{'短评内容': '不错 服务挺好的 就是借的时候没有吹风机了 还有空调滴水声音较大  早餐很一般 花样太少', '短评打分': 5}
{'短评内容': '不错，挺满意的。收拾卫生的工作人员很热情。', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '交通很方便,离火车站、汽车站很近，交通很便利，到市中心步行即可。', '短评打分': 5}
{'短评内容': '火车站附近还算不错的吧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店一楼还提供没带手提电脑的人上网，卫生间各方面很满意，交通很方便，步行10分钟即可到繁华街区购物，楼下的便利店和药房也很方便。很满意该酒店。', '短评打分': 3}
{'短评内容': '是这个酒店的老顾客了，房间内很舒适，房间虽临街但有双层玻璃，十分满意。交通也很方便，距潍坊市繁华街很近。总之，没有什么不满意的地方，很不错！', '短评打分': 5}
{'短评内容': '住如家，图的是方便便宜\r\n基本满足需求，去火车站汽车站都很近，走路都可以\r\n对面的超市买东西还算方便\r\n早饭种类还可以', '短评打分': 5}
{'短评内容': '离火车站近 离中百、百大、佳世客都很近 位置很好 停车位有点不好 下午去的时候没有地方停车 不得不停到佳世客那里 花了2元钱 可能是因为靠近小商品城的缘故 总之不错 前台美眉服务态度很好 一见了就打招呼', '短评打分': 5}
{'短评内容': '房间不错，给人一种家的感觉，色调很温馨。服务和设施也很好。就是房间隔音有时不太好，有时有点吵…', '短评打分': 5}
{'短评内容': '房间整体有些小，但是比较温馨，位置有些不太好。整体感觉不错，可以向朋友推荐。', '短评打分': 3}
{'短评内容': '房间整体有些小，但是比较温馨，位置有些不太好。整体感觉不错，可以向朋友推荐。', '短评打分': 5}
{'短评内容': '酒店的挺干净的，服务很到位，硬件条件也很不错，而且离火车站很近，很方便。', '短评打分': 3}
{'短评内容': '一般般，半夜还有小姐电话骚扰', '短评打分': 3}
{'短评内容': '房间设施太差，半夜还有小姐骚扰。空调声音特别大。早餐难吃。', '短评打分': 1}
{'短评内容': '位置良好，交通便利，客房服务态度很好，舒适度也很好，\r\n就是我们住的房间外面有一个管道不知道是干什么的，有时会发出嗡嗡的声音，还有就是房间里的饮水机也会发出很大的噪音，晚上睡觉的时候一定要记得关掉，要不然会很影响睡眠的。总体感觉如家的服务还是有品质的，只是有点细节做的不是那么如意罢了。希望能改善！', '短评打分': 5}
{'短评内容': '停车不方便', '短评打分': 5}
{'短评内容': '酒店性价比高，下次还会选择的，前台服务人员态度也蛮热情，房间也很干净，床单被罩用起来都很舒服干净，就是我住的那个房间上面有个水箱，睡觉时有些吵.总之不错的酒店，值得推荐。', '短评打分': 3}
{'短评内容': '有点乱', '短评打分': 5}
{'短评内容': '房间不错，象全国的如家一样，但是酒店下面很乱，而且不好停车。', '短评打分': 5}
{'短评内容': '这家酒店整体来讲都还不错,价格挺便宜的,服务态度也很好,交通位置也比较方便,还是可以选择的.', '短评打分': 5}
{'短评内容': '一般。商务大床房间“太紧凑了”一个人可以“转身”。位置不错据候车站步行15分钟。饮食也很方便，隔壁的饺子馆不错。', '短评打分': 5}
{'短评内容': '酒店的硬件设施比较一般，环境还是不错的，主要是他的位置不错，交通很方便，价格也比较合适。', '短评打分': 5}
{'短评内容': '酒店的卫生服务以及酒店的房间设施都很一般的,但是酒店的位置不错的,价格也可以接受的,整体来讲性价比还可以的酒店', '短评打分': 5}
{'短评内容': '秉承如家酒店一贯作风，舒适、干净。值得入住。', '短评打分': 5}
{'短评内容': '酒店离火车站不远，房间比较干净，服务也不错，值得推荐', '短评打分': 5}
{'短评内容': '服务太粗心，凭良心说话，和服务员评理时态度很让人恶心，不能站在顾客的角度看问题。本来出差3天，住了1天就退了，真让人生气。', '短评打分': 1}
{'短评内容': '酒店的房间里面有提供的书籍，可以随时阅览，床也挺舒适的，而且位置也市中心很方便', '短评打分': 5}
{'短评内容': '酒店挺干净的,内部服务也跟其他商务酒店差不多,价格也比较适中', '短评打分': 5}
{'短评内容': '我经常住这样的酒店，服务很好、房间也很干净的，价格也挺实惠的。不过这家如家唯一需要改进的就是空调噪音太大了,影响休息.', '短评打分': 5}
{'短评内容': '我是春节前入住的，正好赶上大风降温，入住后发现没有暖气，而空调只能吹出凉风。\r\n和服务台多要床被，告之每房一床，没有多余的。\r\n晚上睡觉的时候，把脚一伸，就出床沿了。\r\n哎！在寒冷的冬天，在“温暖”的如家冻了一宿！', '短评打分': 1}
{'短评内容': '知道如家可以打印东西的，不过次日清晨去大堂要求打印，他说自助服务，这点很好，不过打开电脑我就傻了，那机器只有WORD2003的程序，而我的文件是WORD2007的，所以比较郁闷，由于时间比较赶，害我又耽误了时间去打印社，你们应该像他们提议，即时更新软件。', '短评打分': 5}
{'短评内容': '其实我以前住过这个如家 ，感觉他们服务，硬件设施都挺好的，位置也不错，而且房间里很干净。', '短评打分': 5}
{'短评内容': '如家一直是我最好的选择', '短评打分': 5}
{'短评内容': '不错啊，房间小了点～～～', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格在潍坊地区有点偏高了，设施挺齐全的，就是餐厅的饭菜不好吃。', '短评打分': 1}
{'短评内容': '不错不错，挺好的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '挺不错的！比较温馨！卫生也不错！值得推荐', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '不错!', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '总体定价高了，房费也不含早餐，服务还不错，装修和价格比很一般。', '短评打分': 3}
