{'短评内容': '交通还可以，但是房间很小的，条件也一般吧。', '短评打分': 1}
{'短评内容': '整体感觉还是不太好,前台服务较差，房间没有可以放置电脑的地方。', '短评打分': 1}
{'短评内容': '这个店在杭州东站附近，现在杭州东站已经停用了，所以人流和车流量不是很大，虽然是在一个十字路口，但是隔音效果还可以，不是很吵。距离西湖和武林广场不是很远，比较方便。卫生嘛，连锁酒店都差不多。如果下次去杭州，没有订到西屋附近的话，选择这个店应该不错。', '短评打分': 5}
{'短评内容': '整体不错，房间里有免费洗漱用品，很多酒店都没有了。\r\n后面有一个停车场，开车来的可以听到后面', '短评打分': 5}
{'短评内容': '还行吧，就是网速没有想象中的快', '短评打分': 5}
{'短评内容': '酒店方面还可以，但是位置有点偏，周围吃东西的地方也不是很多。', '短评打分': 5}
{'短评内容': '卫生条件真不太好，床下垃圾都清理不干净，垃圾桶里，还有小垃圾，怀疑保洁的认真做没有', '短评打分': 1}
{'短评内容': '酒店位置不错，靠近火车站和客运站，性价比高，楼下可以洗澡', '短评打分': 5}
{'短评内容': '离火车东站比较近，很容易找。 沪杭高速下来比较好找， 后面有个免费的停车场也满大的', '短评打分': 5}
{'短评内容': '环境和服务都还可以.', '短评打分': 5}
{'短评内容': '不错满意的!', '短评打分': 5}
{'短评内容': '酒店距离批发市场比较近，出行方便，服务很专业，价格很合理', '短评打分': 5}
{'短评内容': '总的来说，服务蛮到位的，位置很好，价格比较经济实惠，环境还是不错的', '短评打分': 5}
{'短评内容': '酒店在汽车东站附近，周边有小商品市场，交通便利，房间比较宽敞，硬件设施很齐全，电视效果蛮好的，总体感觉住着很舒适', '短评打分': 5}
{'短评内容': '酒店地理位置优越，周边有很多快餐店，购物很方便，服务很好，随叫随到，着装很规范，比较干净整洁', '短评打分': 5}
{'短评内容': '酒店装修的中规中矩的，价格实惠，地理位置很好，出行方便，其他都还可以。', '短评打分': 5}
{'短评内容': '房间布置的很舒适，温馨，卫生条件不错，打扫的很干净，周边有很多小吃店，交通方便，附近就有公交车站，还有一些大的商场，购物很是方便的', '短评打分': 5}
{'短评内容': '房间较宽敞，硬件设施配备齐全，服务还可以，位置优越，出行方便，住宿环境还蛮好的', '短评打分': 5}
{'短评内容': '酒店服务不错，服务员都是随叫随到的，房间里可以上网，很方便，价格还可以接受，酒店靠近公交车站和火车站，出行很方便', '短评打分': 5}
{'短评内容': '房间的基础设施很齐全，服务很规范到位，地理位置超方便，打车坐公交都很方便，性价比较高', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，出行还是很方便的，住宿环境很好，服务也很周到热情，住着还是蛮舒服的', '短评打分': 5}
{'短评内容': '大家不用住这家酒店原因如下：\r\n1。我住了三天被单有一次不小心弄得水上面有痕迹退房的时候要我50\r\n2。电话是8毛一分钟这个可以接受可是打通打不通都收 只要你提起电话就是8毛弄得我电话费就交了120元 \r\n所以是家黑店 而且服务也特别差', '短评打分': 1}
{'短评内容': '非常好，大标间性价比很高，建议有电脑的旅客不要定大床房，大床房没有写字台', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '首先这家酒店是我在通辽最实惠的一家酒店，但是我竟然晚上在墙壁上发现了小强!我住的是大床房，床垫确实比较硬，多送一个枕头也确实是很好的服务，总体来说还是不错的', '短评打分': 5}
{'短评内容': '不错，价格高，服务还可以，就是没有电梯，其他还算可以', '短评打分': 3}
{'短评内容': '环境不错，还比较合适，推荐入住，就是价格有点高一些', '短评打分': 5}
{'短评内容': ' 本宾馆服务极差', '短评打分': 5}
{'短评内容': '距离火车站非常的近，方便、快捷、带有洗浴等服务，是性价比很不错的宾馆。', '短评打分': 5}
{'短评内容': '比较小的宾馆，在通辽这个小城市相比较这个价位有点高了', '短评打分': 5}
{'短评内容': '位置很好 服务还可以', '短评打分': 5}
{'短评内容': '相对于价格，还算不错。不过设施条件是比较差。。', '短评打分': 1}
{'短评内容': '價格可以再低些！', '短评打分': 5}
{'短评内容': '宾馆距离火车站很近，我入住的是大标在二楼，没有电梯，走廊很长非常不方便，楼层服务员态度很好。早餐很简单，经济紧张的朋友可以考虑这里，后门就是人民公园', '短评打分': 5}
{'短评内容': '比较干净，还不错！', '短评打分': 5}
{'短评内容': '设施差，房间连椅子都没有，糟糕的宾馆。 \r\n', '短评打分': 3}
{'短评内容': '性能价格比低，设施差，以后不会入住，房间连椅子都没有，从来没有住过这么糟糕的宾馆。', '短评打分': 1}
{'短评内容': '很一般的酒店，价格偏高，其他都还好。', '短评打分': 1}
{'短评内容': '房间没有桌子不方便，上网只能在床上，但是有无线网络，不然就疯掉了。\r\n服务和卫生都挺好，早餐10元有点简单。', '短评打分': 3}
{'短评内容': '整体感觉还不错，但是服务员还是需要多加培训。。\r\n\r\n本来早上想睡个懒觉，10点过服务员就敲门了， 气得我恼火。 不过说是宾馆根据客户需要，统一给换床垫，还每个房间多给个枕头，多安逸的，我就忍了。。。。不过能不能等我退房了再整啊。。。\r\n\r\n\r\n', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '怎么我到哪里都这么背呢。半夜有一对夫妇在走廊里吵架，好像是抓奸来的，搞的头半夜几乎没有睡。我订的大床房，在2楼，卫生很干净，住着算是比较舒适，就是房间不是很大，并且没有写字台。', '短评打分': 3}
{'短评内容': '这个价位还算是不错，就是早餐稍微简单了点', '短评打分': 3}
{'短评内容': '一般，卫生间味道太重，是地漏的问题', '短评打分': 3}
{'短评内容': '离车站挺近，便宜，设施一般，不过挺干净。前台小姐太过热情了点。上……嘎嘎\r\np.s.宾馆餐厅的凉拌茄子挺好吃的……… \r\n推荐给像我这种住不起星级的，但要求干净舒适的人~~', '短评打分': 5}
{'短评内容': '就是地漏的问题，味道很重，但是服务员很热情', '短评打分': 1}
{'短评内容': '阴暗的房间，陈旧的设施，惟卫生间尚称干净．百多的价位称不上实惠，这样档次的客房算不上物超所值！！', '短评打分': 1}
{'短评内容': '总体性价比是比较高。价格便宜，卫生挺干净，服务比我住之前想的要好的多，看样子他们在服务上面倒是下了不少的功夫。装潢风格老了一点，跟锦江他们不是一个风格，现在一般只有星级才搞这样的装潢，经济型必须要有家的感觉才行。别的都是一般的酒店没什么两样，2张床，不过是液晶电视，应该是24寸的我估计，有一个电脑桌，网速只要不下载只是浏览网页还可以，估计是他们做了限速之类的。早餐简单了点，不过10元钱倒是便宜的价', '短评打分': 5}
{'短评内容': '我订的是单人间...房间和照片拍的一样,但是这几乎就是整个房间的大小了,没有写字桌,上网一塌糊涂,每分钟平均掉线5下...找服务员来了,修好了,说上网高峰,忍耐下...尽管服务很热情...床很硬,钢丝感觉很明显,早上起来背疼...不适合商务人士...因为连写字桌都没有...而且设计很有问题,点插头在床左边,床头柜在床右边...唉...就是价格便宜...\r\n不过总体感觉有些陈旧...唯一好的似乎就是', '短评打分': 1}
{'短评内容': '前台服务态度很不错\r\n不过地暖的味道有点大 ', '短评打分': 5}
