{'短评内容': '早餐还行 中规中矩 有停车场 房间唯一不合适的是手机充电的地方很少 床头没有查口 希望可以放简易的充电口或者转换口', '短评打分': 5}
{'短评内容': '+环境不错，离香山、植物园很近。饭店吃饭性价比不好。', '短评打分': 5}
{'短评内容': '+阳光房很不错，鉴定完毕', '短评打分': 5}
{'短评内容': ' very4 good', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，出去香山和植物园都很近，房间里面设施有些陈旧该换换,希望东楼价格能优惠些。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错OK', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '酒店很安静.', '短评打分': 5}
{'短评内容': '客房设施不太好，服务也不是很周到.早餐还可以.', '短评打分': 5}
{'短评内容': '去香山的话可以考虑入住那边的选择不是很多，东楼标间条件很一般，配置也不是很好，但是主楼豪华房条件很不错。', '短评打分': 5}
{'短评内容': '我住的普通房间，一点都不好，听说豪华房间才行', '短评打分': 5}
{'短评内容': '如果季节不好，不是爬山我是不会住哪里的', '短评打分': 3}
{'短评内容': '没有四环的那家档次高', '短评打分': 5}
{'短评内容': '建议在温暖的季节去住,尤其是夏季.', '短评打分': 5}
{'短评内容': '地理位置非常好,出去玩都很方便,卫生和服务方面也都不错,住着还是比较舒适的,建议出来玩的朋友可以选择这家酒店.', '短评打分': 3}
{'短评内容': '酒店环境很好，很安静，房间里面设施有些陈旧，该换换了。出去香山和植物园都很近，如果别赶上节假日或旅游旺季还是很舒服的。', '短评打分': 5}
{'短评内容': '这家酒店离香山挺近的,早上去爬山还是蛮方便的,酒店环境也还可以了,房间里打扫的挺干净的,设施方面也比较齐全的,整体感觉价格还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店老了一些,我们去时酒店西餐厅都接团对了我们没地吃饭,酒店的环境还是很好,但是酒店的装修像泳池,餐厅应该装修了,感觉有点跟不上现在5星级酒店的标准了', '短评打分': 5}
{'短评内容': '原来住过多次，酒店周围环境很好，现在感觉价格有点贵了，设施也有点陈旧了，希望价格能优惠些', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，在香山附近也就这家酒店了，卫生服务都挺好的就是价格有些偏高，再优惠一些就更好了。', '短评打分': 5}
{'短评内容': '室外空调机的噪音太大，关上窗子都能听见，影响休息。 室内地毯清洁程度不高', '短评打分': 5}
