{'descr': '价格合理，家人去的，服务还可以', 'star': 5}
{'descr': '建设大街上餐馆很多，很方便。去东山浴场出酒店到马路对面坐7路，终点站就是。\r\n', 'star': 5}
{'descr': '比较干净，离东山浴场和市中心都比较近，餐厅不错，早餐差一些，电脑有时候断网不稳定，灯泡有些是坏的，不过总体来说是个不错的选择。', 'star': 5}
{'descr': '还算不错的位置很好去哪都不算远。不过标间太小了点儿，建议要大床房室内空间还大点儿。明明预订时有要求要大床有窗的楼层高的采光好的，可还是给了双床且只有3楼的还是阴面.第二天才换了大床房，空调可是有年头了.楼下的私厨味道还不错。', 'star': 5}
{'descr': '一般', 'star': 1}
{'descr': '总体来说此店服务意识稍差，但是地理位置很好，无论去那个市区、海边等任意方向，非常方便。但是本店的押金抵押方式不好，若是先交代现金抵押，结帐只能现金结帐，信用卡抵押结帐要信用卡结帐。而且入住时没有特意提前交代，所以如果现金不富裕，那就先把信用卡刷上，预交抵押金，出店后在退回相当麻烦。而且六层为三合板类 隔离出来的，所以隔音很差，另外6层 没有抽风口 部分房间还没窗户，独立空调有些年头了 够老大', 'star': 5}
{'descr': '只提供纸质拖鞋，卫生间有点水就非常滑，服务还可以，隔音效果一般！', 'star': 5}
{'descr': '设施配套较差，位置比较好。', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '还不错，住过几次了~', 'star': 5}
{'descr': '还不错~', 'star': 5}
{'descr': '房子隔音一般，其它还好', 'star': 5}
{'descr': '性价比高，交通方便', 'star': 5}
{'descr': '隔音效果，环境不好，晚上睡觉很吵，房间到是蛮干净的，服务热情周到，设施一般化，其他都还可以。', 'star': 1}
{'descr': '整体感觉不错,性价比挺合适的.', 'star': 5}
{'descr': '位置还算可以，基本上没什么服务，退房的时候发现有一条毛巾脏了，服务员竟然让我赔！', 'star': 1}
{'descr': '都挺好', 'star': 5}
{'descr': '地理位置不错，周围购物吃饭都比较方便', 'star': 5}
{'descr': '我觉得，没有诸位说的那么好。感觉很一般。', 'star': 1}
{'descr': '服务热情周到，卫生干净整洁，打扫及时彻底，价位可以接受，唯一缺陷，装修有些陈旧，需要翻新。整体来讲满意。', 'star': 5}
{'descr': '作为经济性酒店硬件还说得过去，价格也算合理，就是房间隔音效果太差，尤其是凌晨2点钟还能听到楼道内频繁的走路声音及大声说话的声音，当然这种情况的发生也和入住客人的素质有直接关系，也希望酒店能在自身硬件的完善上多做些改进，尽量减少类似情况的发生对客人的影响。', 'star': 5}
{'descr': '希望楼道的装修能改下，还有室内家具尺寸加大点', 'star': 5}
{'descr': '服务很好，手机电池忘酒店了，服务员还帮我快递过来，非常感谢', 'star': 5}
{'descr': '总体不错..~~卫生间很漂亮..~希望标间里能多加一些衣挂..这样会更方便些..~~期待下次入住', 'star': 5}
{'descr': '总体还不错~~每天都打扫~~就是小了点~', 'star': 5}
{'descr': '不错', 'star': 5}
