{'短评内容': '不错，下次再来', '短评打分': 5}
{'短评内容': '听说是政府的专用接待酒店！\n\n住的很舒服', '短评打分': 5}
{'短评内容': '赣州酒店中性价比算不错的了，就是明明跟我媳妇住，竟然只给一张早餐券', '短评打分': 5}
{'短评内容': '环境还不错，但比周围同等的酒店价格贵，房子里没有无线上网。', '短评打分': 5}
{'短评内容': '酒店房间还算卫生，周围很多小型酒店。酒店电梯小得吓人。', '短评打分': 5}
{'短评内容': '不错的酒店，挺干净的。', '短评打分': 3}
{'短评内容': '还不错，性价比还合适，干净、舒适，下次还会去住', '短评打分': 5}
{'短评内容': '干净卫生，设施都很新，服务热情周到，感觉很舒服，还有免费的纯净水、水果、饼干送，下次还来住！', '短评打分': 5}
{'短评内容': '酒店设施什么的都还不错，距离火车站很近，早餐一般！', '短评打分': 5}
{'短评内容': '卫生不错，房间有点小，价格有点高，总体来说还行。', '短评打分': 3}
{'短评内容': '卫生不错，房间不是很大，价格有点偏高了。总体来说还行吧。', '短评打分': 5}
{'短评内容': '环境很好，服务周到', '短评打分': 5}
{'短评内容': '海天大酒店相当不错，几乎无可挑剔。房间内还赠送免费的瓶装水和苹果及点心。少有。就是早餐没有亮点。国内二、三星级酒店的水平。下次', '短评打分': 5}
{'短评内容': '酒店的位置还可以，周边有个大批发市场，出行还是挺方便的，房间硬件设施很齐全，卫生还可以，在当地来说，这个酒店还是蛮不错的', '短评打分': 5}
{'短评内容': '酒店环境很好，卫生条件也不错，服务周到热情，总体感觉住着还是蛮舒服的', '短评打分': 5}
{'短评内容': '酒店各个方面都挺好的，环境也不错，房间的硬件设施很齐全，服务蛮好的，比较齐全，房间大小适中，卫生条件也不错的，总体感觉住着很舒适', '短评打分': 5}
{'短评内容': '酒店的服务很好，比较周到热情，酒店有自己的地下停车场，停车也很方便的', '短评打分': 5}
{'短评内容': '酒店周边有很多商务写字楼，感觉还是比较豪华气派的，商务氛围很浓，服务比较人性化，住着很舒服', '短评打分': 5}
{'短评内容': '房间设施以及服务蛮不错的，距离火车站也很近，就是吃饭的地方太少了', '短评打分': 5}
{'短评内容': '还可以,服务态度不错!', '短评打分': 5}
{'短评内容': '位于江西南昌商务中心，附近有许多写字楼，服务人性化，住进去非常舒适。', '短评打分': 5}
{'短评内容': '房间设备很齐全，几乎是拎包就可以入住，个人是非常满意的。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，住着很舒服，要是卫生间再大一点就圆满了。', '短评打分': 5}
{'短评内容': '服务很好，不随便打扰客人，但是随叫随到，很满意。', '短评打分': 5}
{'短评内容': '床铺收拾的很整洁，走廊啦外面啦都挺干净，感觉卫生挺可靠的。', '短评打分': 5}
