{'短评内容': '总体上不错，只不过在顶楼的话外面的空调噪音有点大', '短评打分': 5}
{'短评内容': '宾馆诚信度极差，预订的豪华标准间，可宾馆却给个普通间，而且态度很不好', '短评打分': 3}
{'短评内容': '一般  环境一般  条件一般  服务一般  ', '短评打分': 1}
{'短评内容': '离北站和西直门很近，交通方便；附近有郭林菜馆，万州烤鱼', '短评打分': 5}
{'短评内容': '中洋宾馆的房间好小  还没有窗户', '短评打分': 3}
{'短评内容': '在北京169算是很便宜了，穿过大堂到后面的居民楼里才是房间，房间设施比较陈旧，隔音不太好，但热水器水流很大!', '短评打分': 3}
{'短评内容': '每次都定这家，主要是方便，卫生，安全。以后还会继续支持的。', '短评打分': 5}
{'短评内容': '地板有点脏、电视机像招待所的。其他的还凑合吧', '短评打分': 5}
{'短评内容': '我已入住北京中洋宾馆.服务好.条件好.     ', '短评打分': 3}
{'短评内容': '房让很潮湿，整个房门异味很重，熏的人头疼，本打算住七天，结果只住了一天赶紧换地方', '短评打分': 1}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '中洋宾馆地理位置优越，去海洋馆太近了。就是设施有些陈旧望改善', '短评打分': 3}
{'短评内容': '除了离得近，什么都不好 。二百多根本不值 ，还有异味 。早上还有进来施工的 。真是生气', '短评打分': 1}
{'短评内容': '死飞虫太多，墙上床上都有。厕所极其简陋不干净，还有异味，我入住那天甚至是供应热水的坏掉了，没法洗澡。', '短评打分': 1}
{'短评内容': '离动物园北门就2分钟的路程，带宝宝去玩非常方便，价格也适合。', '短评打分': 5}
{'短评内容': ' 宾馆房间还不错，热水供应充足，交通便利。', '短评打分': 3}
{'短评内容': '酒店还可以，主要是位置很好，紧挨着动物园海洋馆大门，去动物园很方便。不过地铁口在动物园另一个门口。', '短评打分': 5}
{'短评内容': '房间夜里有噪声,其他还可以', '短评打分': 3}
{'短评内容': '这家酒店服务态度极差，卫生条件也不是很好，建议朋友不要去这家酒店住宿。', '短评打分': 1}
{'短评内容': '前台服务态度值得称赞，屋里有点味太重，可能是因为是一楼吧！169住的，在北京还是比较划算的……宾馆有待重新装修一下。', '短评打分': 5}
{'短评内容': '此行主要目的是去动物园和海洋馆，定了这家酒店，感觉相当满意，住宿条件干净舒适，饮食方便，最大的好处是里海洋馆太近了，走着不到５分钟，非常适合带孩子来玩得住，会推荐给朋友。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还不错，是比较经济实惠的宾馆，干净，整洁。', '短评打分': 3}
{'短评内容': '设施陈旧；卫生非常一般；洗手间狭小；最无法忍受的是床竟然是凸凹不平的，很硌人；酒店介绍里面说可提供票务服务，其实根本没有；没有早餐供应；房间干燥异常，令人感觉口干难忍；服务态度一般；那位女经理素质非常有限；周边环境对于出行在外的人来说，还算可以。总体来说，满意度较低，不推荐入住。', '短评打分': 1}
{'短评内容': '挺干净的，地毯不太好，还有就是几个电源插座都不太好使了，有安全隐患。', '短评打分': 5}
{'短评内容': '我们住的商务间干净卫生就是灯是坏的，门卡也特脆。', '短评打分': 5}
{'短评内容': '感觉非常不错！各方面都很好！希望继续保持！', '短评打分': 5}
{'短评内容': '还行吧，房间挺大的，就是设施陈旧了点，服务也还不错，网速很好，热水器里面水似乎不太够，洗澡洗慢了水就冷了。', '短评打分': 5}
{'短评内容': '除床单未换之外其它还不错。', '短评打分': 3}
{'短评内容': '房间特别的差，看房的时候表面没看出来，后来发现：拖鞋特别烂，床单都是洞，床上的弹簧凹凸不平让人无法入睡，卫生间的洗脸池完全堵了，马桶也漏水，巨烂无比的宾馆啊！', '短评打分': 1}
{'短评内容': '很好，很好很好，很好很好，很好很好，很好很好，很好很好，很好很好，很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '给朋友预定的，说不错。这已经是第三次住了。以后还来住。', '短评打分': 5}
{'短评内容': '很好就是隔音不给力', '短评打分': 3}
{'短评内容': '不错挺舒适', '短评打分': 3}
{'短评内容': '环境很差，房内设施也很陈旧，服务态度差，没有餐饮服务！', '短评打分': 1}
{'短评内容': '性价比还好，关键是离学校比较近。环境比较温馨\n', '短评打分': 5}
{'短评内容': '洗澡热水不足，房间没有窗子，隔音较差\n能听见隔壁房间的谈话声', '短评打分': 1}
{'短评内容': '出行很方便，但是条件一般，位置不错！周围环境还好，性价比好！', '短评打分': 5}
{'短评内容': '性价比很高，我是预定的经济大床间，结果没有了，然后酒店给我免费升级成了商务大床间，很不错，就是在5楼，人少了点，一个人住有点害怕，呵呵。', '短评打分': 5}
{'短评内容': '帮朋友定的，他说住的还不错，就是以前房间内有电脑可以上网，现在说都取消了。不过总的来说服务不错。', '短评打分': 5}
{'短评内容': '位置不错，隔音一般', '短评打分': 5}
{'短评内容': '特价房还算正常，环境、卫生也与价格相符，省钱将就还能住', '短评打分': 5}
{'短评内容': '紧邻北京交通大学。这是最大的亮点。大堂跟一堆小卖部、小饭店挤在一条街上。', '短评打分': 5}
{'短评内容': '电梯超级小！！窗外很杂乱，不过很便宜，位置也不错。', '短评打分': 5}
{'短评内容': '离办事地方比较近  交通也便利 服务还不错  就是房间有些潮湿', '短评打分': 3}
{'短评内容': '，房间比较潮湿服务还可以', '短评打分': 5}
{'短评内容': '酒店还可以  也算方便  服务不错 还会去住', '短评打分': 3}
{'短评内容': '住了好几次，感觉不错。以前房间里都配备了电脑可以上网，最近一次好像都撤掉了。希望能恢复。', '短评打分': 5}
{'短评内容': '总体还可以,但是房卡不好用!!', '短评打分': 5}
{'短评内容': '还不错 这个价位算好的啦 卫生 环境 位置都可以', '短评打分': 5}
{'短评内容': '还不错，这个价格也就这个品质了', '短评打分': 5}
{'短评内容': '服务一般，卫生还行，就是普通标间的房子有点小，但是对于169来讲，很不错了。', '短评打分': 5}
{'短评内容': '店面比较小 不太好找 隔音不好 屋子比较小 没有接线板 从大厅到房间要穿过一个走廊 旁边是类似厨房的地方 交通还算方便 可以坐公车到西直门然后去别处 短期入住还是可以接受', '短评打分': 5}
{'短评内容': '房间干净，设施齐全，就是有点小，隔音效果还可以', '短评打分': 3}
{'短评内容': '地理位置还可以，就是没有停车位，吃饭很方便，附近好几家饭店。服务态度也不错，一楼很潮，第二天就给换到了三楼。离动物园特别近，下次去的话可以考虑。', '短评打分': 5}
{'短评内容': '都没房间了，只能住了个特价房，没窗户的，价格也便宜，不晓得普通房间什么样的。\r\n', '短评打分': 1}
{'短评内容': '房间比较干净，东西齐全，隔音效果好', '短评打分': 5}
{'短评内容': '性价比不错，房间稍小了些', '短评打分': 5}
{'短评内容': '位置和乘车都比较方便', '短评打分': 5}
{'短评内容': '不错，挺好的，有机会还去。', '短评打分': 3}
{'短评内容': '不错，挺好的，有机会还去。', '短评打分': 5}
{'短评内容': '就是一家小客栈，隔音很差，床单、毛巾好像都没消毒！', '短评打分': 1}
{'短评内容': '总得来说，位置非常好，价格与住宿条件成正比。', '短评打分': 3}
{'短评内容': '服务不错。离我去的地方很近，价格也还好，给个好评。', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 3}
{'短评内容': '房间小，设施还可以，根据这样的价钱还算比较不错', '短评打分': 5}
{'短评内容': '中洋酒店非常难找，前台业务也不是很熟练，去的时候正赶上酒店做清洁，床单被罩扔的一地都是，总之，下次肯定不会选择这家了。', '短评打分': 1}
{'短评内容': '总体来说这样的地段、这样的价格真是性价比很高了，虽然发现了一只小强，但工作人员的服务态度也是很好的，感觉不追求高享受的话，住这里还是很合适。', '短评打分': 5}
{'短评内容': '就是门面有点小，不好找！', '短评打分': 3}
{'短评内容': '定之前看过评价，，还有点忐忑，去了之后发现，还不错，对得起这个价钱，，特价也有窗户，隔音也不错。还向前台接了吹风机，总之挺满意的！', '短评打分': 5}
{'短评内容': '交通方便，正在施工环境有望更好，但酒店设施老旧，房间太小，隔音效果太差，希望改善。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '还不错，就是房间有点小', '短评打分': 5}
{'短评内容': '位置毗邻西二环，居住办事比较方便；但最近夜间附近施工噪音太大，影响客人休息。', '短评打分': 5}
{'短评内容': '价格算便宜', '短评打分': 3}
{'短评内容': '价格还算可以', '短评打分': 5}
{'短评内容': '还可以 就是有味', '短评打分': 5}
{'短评内容': '房间的条件特别不好很小设施也不太齐全桌椅板凳感觉很旧了而且房间的隔音效果不是很好,价格还是挺便宜的,位置还行,就是里面真的需要改善一下.', '短评打分': 3}
{'短评内容': '酒店墙纸都掉了，洗手间也很差，非常狭小配置也很不好。酒店也很不好找，酒店真的很糟糕，不值得推荐入住。', '短评打分': 3}
{'短评内容': '酒店的服务人员称打扫卫生有直接开门就进入的问题.这点很不好.已经和前台反映了一下.不过酒店位置还是挺方便出行的.价格也比较合理.其它各方面就有些一般化了.毕竟价格与服务成正比', '短评打分': 3}
{'短评内容': '价格经济，房间配备电脑，挺方便', '短评打分': 5}
{'短评内容': '建议尽量不住这家宾馆。我前几天住的，他家知道是网上预订的，给留了一间紧把边的，条件很差的一间。很有可能是低一个价位的房间，硬说成是商务大床房。明明其它商务大床房还有，就是不安排。另外房间的设置太老旧。电视遥控器不好使，空调不听使唤，也不知道他们咋设置的。\r\n前台服务员态度还好，笑容满面，但原则上的事就是坚持，没有别的房，就是没房了。其实是笑里葳刀。\r\n还有，这家宾馆为顾客服务的配套设备也不齐全，连', '短评打分': 1}
{'短评内容': '性价比不错，就是没有窗户', '短评打分': 5}
{'短评内容': '酒店的位置还可以，但是找的时候很不好找，没有明显的招牌，价格也有点高，不过环境条件还不错，服务也还可以，就是不好找。', '短评打分': 3}
{'短评内容': '酒店的位置还是不错的，交通也挺方便的，服务态度也很好，但是门帘小，不好找，而且房间不隔音，面积也小。', '短评打分': 3}
{'短评内容': '酒店房间有点潮，通风效果不好，不是特别干净。价格到是便宜，交通方便。', '短评打分': 3}
{'短评内容': '酒店环境一般，网总是掉线，位置比较方便，价格比较实惠，要是从经济方面考虑的话可以推荐', '短评打分': 3}
{'短评内容': '房间里的床头灯每间房差不多都开不了,其它设施还可以,位置很好在动物园这边,旁边还有个商场挺方便逛街的.', '短评打分': 3}
{'短评内容': '有些承诺的服务不能兑现', '短评打分': 1}
{'短评内容': '为了赶火车4号早5点赶到结账，前台服务员竟然用了20分钟也没有结完帐，因为新服务业不会刷卡和换纸，老服务员也不愿起来帮助。酒店里贴有3公里免费接送，我申请过2次，但都说司机不在。本来可以乘地铁，结果打车去了北京站。', '短评打分': 1}
{'短评内容': '位置还不错，但是特价房间竟然没有窗户，只有8平米大，电脑不能用，卫生间里趴满了黑色的小飞虫，一次性牙具很差劲。', '短评打分': 1}
{'短评内容': '非常满意,感觉挺不错的,位置也好找,服务和卫生方面都挺好的,很满意.', '短评打分': 3}
{'短评内容': '酒店可能是将某些房间出租，并在清晨5、6点的时候装修，服务人员不能及时解决。出行还算方便，不过房间内配有电脑并能上网，很方便\r\n', '短评打分': 5}
{'短评内容': '酒店服务不错，位置也方便，总的来说性价比还可以，值得推荐', '短评打分': 5}
{'短评内容': '房间小了点 洗手间也小 周围环境倒是可以 交通业很方便 我是去首体看演唱会才定了这家的房间 所以可以将就住一晚上 在北京 以这个价位找一个像样的酒店 已经很不错了 卫生条件也过得去 有窗户 电视遥控机是坏的 勉强可以用\r\n只是出于找个地方住的想法 还是可以考虑这家酒店的~', '短评打分': 1}
{'短评内容': '酒店的房间里有很多长头发，感觉卫生打扫的很不彻底，前台的服务元还不错，楼层就比较差了，酒店的环境配置硬件设施都还不错，价格合理适中。位置对于我来讲非常方便，我经常回去那附近，我觉得酒店的这些缺点都是可以改进的，就看管理人员了。', '短评打分': 1}
{'短评内容': '房间洗手间太小太小了，还有就是放在柜子里的被子有很多头发都没有清理，另外其中一个双人床的房间只放了一床被子，结算时还找我们要，工作上的很大失误呀！', '短评打分': 5}
{'短评内容': '酒店前台比较负责，态度也很好！但是房间设施一般，不过性价比很好！推荐入住', '短评打分': 5}
{'短评内容': '酒店离市中心比较远,也不太好找,其他方面都还可以,所以要看个人需求了,不过自己下去是不会去住这家了.', '短评打分': 1}
{'短评内容': '酒店位置还可以了,周边交通挺方便的,房间里的卫生设施方面一般了,价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店的位置有点偏,房间内的电脑,只能看见显示器,却看不见主机,非常不理解,房间的卫生还可以,服务这些都不错,房间里的设施希望更完善', '短评打分': 5}
{'短评内容': '感觉比较一般，价格应该再低一点，卫生间装修有些问题，怎么吊顶上扣板之间还有缝隙，插座也不结实，是不是有管工程的收了回扣了？！', '短评打分': 1}
{'短评内容': '总体还不错，不过为什么房间里只有显示器没有主机，哈哈', '短评打分': 5}
{'短评内容': '酒店干净舒适,,交通便利,一般选择酒店只要干净舒适一些就好了', '短评打分': 5}
{'短评内容': '上次去的时候酒店周围好象有在装修，房间的隔音又太好，有点吵，而且觉得楼层的服务人员的态度不是很好。酒店位置有点偏，出行不是很方便，不过价格很便宜', '短评打分': 1}
{'短评内容': '酒店价格很优惠，位置也便利，下次去还会住', '短评打分': 5}
{'短评内容': '在北京这个价位这个环境已经很不错了...还有电脑...个人认为还是不错的', '短评打分': 5}
{'短评内容': '上次住的房间还不错，有电脑，而且比较干净，服务也还行。', '短评打分': 5}
{'短评内容': '设施简陋布局不太合理房间面积很小.采光很不好.感觉房间里面比较黑.', '短评打分': 5}
{'短评内容': '没有暖气，太冷了，而且店面也是非常的不好找，早餐没去吃不知道，卫生还可以。', '短评打分': 5}
{'短评内容': '房间里竟然没有暖气，空调制暖效果不好，最不好的就是楼道里一股臭味，是在不行，但是酒店位置还算不错，不算臭味也挺舒服的。', '短评打分': 1}
{'短评内容': '位置不便利，司机也找不到，出入都要打车才行。258一晚的商务房间太小了。空调还会响。前台的服务一般吧。&lt;br /&gt;\n总的来说是性价比不太好的酒店。我是住一楼的，不知道其他楼层怎么样，不过上网倒是挺快的。', '短评打分': 1}
