{'短评内容': ' 挺好的', '短评打分': 5}
{'短评内容': '这次特意要的无烟房，果然没有那种令人皱眉的烟腐味儿，房间够大，白枫木色的宜家风格装饰大方素雅，配上大红色的沙发有不至于让颜色显得太过单调。另外还专门配有紧急情况下逃生用的面罩和手电也是让人觉得贴心的设计。因为是自驾，比较关心停车问题，锦江提供了门前免费停车和地下车库5元过夜两种选择，实在是很赞。美中不足的是房间内没有提供纯净水，只能用电热壶烧自来水喝，另外隔音也不太好，但是总体来说还是很满意的。', '短评打分': 5}
{'短评内容': '房间非常好，超出想象的大，还有沙发和茶几！推荐推荐啊！以后去漯河，就住这里了\n！', '短评打分': 5}
{'短评内容': '房间很大，很干净，安排的高楼层，视野很宽阔！确实不错！', '短评打分': 5}
{'短评内容': '非常不错 面积大 酒店新 可惜退房时间卡的太严了', '短评打分': 5}
{'短评内容': '第二次住了，房间很大，床睡着非常舒服，下次去还会住这里的', '短评打分': 5}
{'短评内容': '很好的，喜欢', '短评打分': 3}
{'短评内容': '优点：房间很干净，特别宽敞，服务态度好。\n缺点：马桶在卫生间门口，感觉别扭；早餐菜品太少，敷衍了事', '短评打分': 5}
{'短评内容': '酒店装修还不错，其实锦江之星到哪儿都是这样的，没什么大差别。价格还算合理', '短评打分': 5}
{'短评内容': '还不错，下次还会选择', '短评打分': 3}
{'短评内容': '酒店很卫生，经济又实惠很好！', '短评打分': 3}
{'短评内容': '锦江的风格，干净整洁，快捷里最好的。餐厅能好点更好。', '短评打分': 5}
{'短评内容': '房间宽大舒适，性价比超好!  酒店位置也不错,胜过四星级酒店。  今后来漯河，只住这里。', '短评打分': 5}
{'短评内容': '这个旅馆的环境真不错，房间面积很大，布局也很合理', '短评打分': 3}
{'短评内容': '当地的最佳选择，很不错的酒店，交通便利，房间很大，就是早餐的价格有些贵，还有就是周围的小吃店比较少！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好，新建的，设施，空间，服务等都很不错。只是能送早餐就好了。早餐还算不错，就是贵了点。', '短评打分': 5}
{'短评内容': '干净，舒适；服务规范；由于我们2大1小，前台特意安排了无烟房！就是餐厅自助餐能丰富些就可以了 ！', '短评打分': 5}
{'短评内容': '相当不错，下一次我还会选择锦江之星。找不到缺点长。', '短评打分': 5}
{'短评内容': '挺方便的， 往南走，有一条小吃一条街，晚上3点都有吃的', '短评打分': 5}
{'短评内容': '酒店还是不错的，楼层比较高，最好选择靠小区的那面，安静点，靠街的比较吵', '短评打分': 5}
{'短评内容': '锦江之星当然是没的说啦，一如既往的好~ 只不过他总是比其他如家莫泰之类的连锁酒店贵，而且最近早饭从15上升到18 让我非常郁闷！', '短评打分': 5}
{'短评内容': '还可以，房间挺大，但上网不够稳定，总掉线', '短评打分': 5}
{'短评内容': '锦江之星，一如既往，品质一贯保证，好，推荐入住', '短评打分': 5}
{'短评内容': '酒店内部整体环境和硬件设施还是比较干净满意的,尤其是对于商务人士来到漯河这种中原小城市,与其去什么所谓星级酒店还不如到全国连锁的品牌经济型商务酒店更适合.早餐简单实惠,前台服务效率尚好.因为才开店一年多,所以整体情况还不错,性价比合适.望该店能保持设施良好和服务的水平.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '对面的蔬菜市场不错，每天下去都买个西瓜，水果也很多', '短评打分': 5}
{'短评内容': '房间相对来说比较的大，值得这个价钱，下次还来住', '短评打分': 5}
{'短评内容': '前台服务还是不错的，基本都很好，只是觉得40元的全天套餐中，中午那顿没用处，基本也不会中午在酒店吃饭的', '短评打分': 5}
{'短评内容': '顶楼还是不错的，视野比较开阔，就是地段偏了点，去闹市区有点麻烦', '短评打分': 5}
{'短评内容': '酒店价格不错，还有一个低碳活动，如果不用提供的一次性洗漱用品，能够优惠10元房价', '短评打分': 5}
{'短评内容': '基本上来说，每次来漯河都会住在此处，虽然上次的旁边住宅的火灾让我没睡得了好觉，也没有因为享受到优惠价格什么的，但是还算是凑合啦', '短评打分': 5}
{'短评内容': '锦江一贯的风格，就是周边环境偏了点， 门前的公园不错', '短评打分': 5}
{'短评内容': '锦江之星是个不错的连锁店，就是办会员卡还要收费，觉得划不来，呵呵。', '短评打分': 5}
{'短评内容': '地理位置好，酒店的环境和管理也不错，推荐入住。唯一就是酒店早餐还要另外收费', '短评打分': 5}
{'短评内容': '性价比还行，值得推荐，在濮阳还算不错的酒店。', '短评打分': 3}
{'短评内容': '酒店不错，房间够大，交通方便，服务也很好', '短评打分': 5}
{'短评内容': '优点：酒店交通便利，环境不错，客房在10-16楼层，视野比较开阔，可以俯瞰漯河市貌；房间空调制暖效果很好，不过有2天供应的热水不够热，但是用水桶提供了热水。\n缺点：马桶和洗手台间距有点挤', '短评打分': 5}
{'短评内容': ' 新饭店，高性价比。推荐。', '短评打分': 3}
{'短评内容': '环境非常好，楼层很高，视野开阔。刚开店3个来月，非常舒适', '短评打分': 5}
