{'短评内容': '位置环境服务设施好', '短评打分': 5}
{'短评内容': '酒店设施较新，临近大海，晚上有散步的好去处。\n房间干净，舒适。\n已经入住几次了，以后也会继续。上次入住是420，这次特价298，挺实惠的。\n唯一的缺陷：游泳池有点小', '短评打分': 5}
{'短评内容': '说是五星级也就四星标准了。关键是这地方太不方便了，叫出租车要走15分钟，让酒店轿车，他们只叫租车公司的车，价格高得离谱。不会再住了。', '短评打分': 1}
{'短评内容': '环境很好,很安静,房间也很大,不错的一家酒店,每间房都是有一个厅和一个大阳台,可以看海.酒店服务也很周到,那里的很适合休息养生,酒店的泳池也还不错,还有几个温泉池也很干净.', '短评打分': 5}
{'短评内容': '第一次订这家酒店，还挺难找的，GPS上也没有这家酒店，可能太新了，转了好久才找到，酒店房间很大，装修算不上豪华，但整洁舒服，就是地板没拖干净，赤脚在上面走，一会脚底都黑了，床很硬，而且还不是一般的硬。泳池很不错，看到都想跳进去，在整体上还算满意，很值这个价格。', '短评打分': 5}
{'短评内容': '房间很大，干净，游泳池也不错。缺点是打车不方便。', '短评打分': 5}
{'短评内容': '酒店的价格跟设备个个方面的都还不错啦，就是餐厅的东西不怎么好吃', '短评打分': 5}
{'短评内容': '酒店新、裝修用料不錯﹗工作人員服務大致良好﹗達到國內4星水平。印象較深是房間內放了一瓶 風油精，以防蚊子咬之用，特別細心。可見管理層有心把酒店做好﹗贊﹗', '短评打分': 5}
{'短评内容': '新开业的酒店，配置较高，不错，下次还住在这里。\n', '短评打分': 5}
{'短评内容': '房间非常好，1房1厅，很新，可能新，一进去还有很大的装修味，海景只有阳台能看到一角，而且离的很远，有点名过其实，对面看到的是农田和烂尾楼。所谓的温泉只是露天4个小小的池子，而且只开了2个。旁边的露天游泳池还可以。房间内部的装修和格调非常喜欢，床也很大，房间配了抽油烟机可惜没有炉子，整体来说还是不错，如果海景名副其实就更加好了，不过298元的价格就不能要求太高了。服务都还不错。', '短评打分': 5}
{'短评内容': '离市中心远，离海边也有一段距离，出行不方便，我住的颐康海景房内上网线在床头柜处，上网很不方便！但酒店服务还是不错的，态度和蔼！', '短评打分': 1}
{'短评内容': '舒适的酒店大堂，相对的宽松的房间给人感觉还是不错，不过比较可以赞一下的是酒店的家具及装饰，不错的说！', '短评打分': 5}
