{'短评内容': '非常好非常满意', '短评打分': 5}
{'短评内容': '订了一百元大床房，很划算，离地铁也近，非常好找。服务很好，入住快。去鼓楼，后海吃饭游玩都非常方便，酒店自己的餐厅也不错，比较方便。', '短评打分': 5}
{'短评内容': '离恭王府那片和酒吧一条街挺近,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈呵呵呵呵呵呵 为啥要50个字以上啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '还不错就是小广告烦人！', '短评打分': 3}
{'短评内容': '酒店还是不错的，干净，但房间太小，适合个人出行，价钱合适，酒店餐厅很便宜，但只有一个服务员，需要等很久。', '短评打分': 5}
{'短评内容': ' 环境不错。', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '住了双人房，房间很干净，就是有点小。酒店不是很好找，离地铁站大概有5分钟的路程，周边吃早餐不太方便。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '酒店离地铁很近，非常方便出行。酒店设施一般，服务还过得去，就是我想续住一天时，原本提前两天让前台预订成功后，到续住当天又给取消了！说是续住的要按门市最高价收费，郁闷！可能时房源紧张，想多捞笔钱！', '短评打分': 5}
{'短评内容': '这家店交通便捷，只走个100米吧就有地铁4号线。附近卖东西的也很多，而且大厅有电脑，只要是住在这店都可以上网，查起东西来方便，非常人性化', '短评打分': 5}
{'短评内容': '地理位置优越，交通方便，附近有老北京特色的九门小吃，离地铁近。住宿卫生条件不错。', '短评打分': 5}
{'短评内容': '还不错~离地铁很近，内部环境也可以!前台的服务态度也不错！下次应该还会来~', '短评打分': 5}
{'短评内容': '就在地铁鼓楼站附近，交通比较方便。房间有点小，还算干净，就是卫生间有小虫。', '短评打分': 5}
{'短评内容': '环境 地理位置都非常好 靠近后海 恭王府 逛街游览很方便 早餐也很不错', '短评打分': 5}
{'短评内容': '地点不错 地铁很方便 周围还有小吃 饭店 总体来讲还不错\n', '短评打分': 5}
{'短评内容': '房间很不错', '短评打分': 3}
{'短评内容': '还行，算是比较方便吧，房间有点小，风格有些独特，总之一句话，推荐一下吧', '短评打分': 5}
{'短评内容': '住过最好的酒店！地理位置优越无比！离地铁近，附近有很多小吃，离后海也不远。房间非常干净，布局很合理，我很喜欢，前台很热情。真的是非常满意的一次入住，有机会再来北京就选这里住了！', '短评打分': 5}
{'短评内容': '只有一点值得推荐——地理位置好，交通便利。', '短评打分': 5}
{'短评内容': '距离地铁口100米，交通方便，但距离便利设施较远，房间不是特别的干净，在北京，又想追求价格，又想追求地理位置，这个酒店算是不错的选择', '短评打分': 5}
{'短评内容': '  服务不错，设施不错', '短评打分': 3}
{'短评内容': '总体来说还不错，但不知道是不是宾馆外面有施工，晚上有点吵。还有本来是临二环路的，为什么确认短信上留的地址是西绦胡同，害的我在小胡同里面拎着行李找了半天，结果找到的却是宾馆的后门，根本进不去，又只能拿着行李再走回来。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '地理位置不错,不过移动手机的信号不好', '短评打分': 3}
{'短评内容': '汉庭酒店一直都是我非常喜欢的酒店，干净，安静，舒适，下次有机会我还会入住的。', '短评打分': 5}
{'短评内容': '服务很好，房间也很新，采光也很好。大床房的床也很大，当时刚好也住到周日百元房，真的很值！交通业很方便，下了地铁口走路5-10分钟左右就到了。大厅还有免费咖啡机，大厅也可以免费刷房卡上网。', '短评打分': 5}
{'短评内容': '，己入住', '短评打分': 3}
{'短评内容': '还不错 ，不过自带的洗漱东西忘记拿走了，在前台等查房的时候，查房的人员也没有提醒一下。。。', '短评打分': 5}
{'短评内容': '酒店干净整洁，工作人员热忱周到，值得推荐，地理位置紧邻地铁，交通便利。', '短评打分': 5}
{'短评内容': '还不错。但是房间有点偏小。洗澡的碰头也不怎么样，没有其他汉庭好。最大的有点是位置，去哪都方便', '短评打分': 5}
{'短评内容': '地理位置优，距地铁近，环境好，干净，清静，服务态度好，下次还会住在这里！', '短评打分': 5}
{'短评内容': '服務還不錯~非常親切~離地鐵站很近很方便~但附近沒有生活機能~房間也小了點~冷氣不會冷', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '客房，地点是不错，距离地铁站50米是误导，应该100米', '短评打分': 5}
{'短评内容': '我住的是周日百元房，那是相当的不错，各种设施齐全，汉庭就是不一般。舒服。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '不错的性价比', '短评打分': 3}
{'短评内容': '离地铁口很近,交通方便。房间也挺干净,就是随街有点吵。', '短评打分': 3}
{'短评内容': '很好，很安静，方便，服务也很好。就是洗衣时间较长', '短评打分': 5}
{'短评内容': '位置相当好，离地铁非常近，而且有提示，很好找，我订的是百元特价房，简直是太超值了。屋内设施非常齐全，和外卖200多的房间是一样的，只能说，“订上了你就捡了一个大便宜”', '短评打分': 5}
{'短评内容': '出差前预定了这家快捷酒店。和想象的差不多，很干净，交通也便利，离地铁2号线也就100米，出去吃饭也方便。唯一的缺点是临近二环，晚上睡觉时能听见过车的声音。', '短评打分': 5}
{'短评内容': '挺好的，新春房便宜实惠，条件也挺好的！顶\n挺好的，新春房便宜实惠，条件也挺好的！顶\n', '短评打分': 5}
{'短评内容': '很方便 旁边就是地铁，设施还是不错的，住着很舒服。', '短评打分': 5}
{'短评内容': '当时定的百元特价房，很值，住的蛮舒服的。、。。。。', '短评打分': 5}
{'短评内容': '房间很干净，新开的所以设施还是很新的，只是价格来说不是很优惠', '短评打分': 5}
{'短评内容': '环境不错，100元很超值了，朋友很喜欢。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '交通很方便，出门右拐一会就到地铁站，周围也有吃饭的饭店，就是没有大超市，房间也干净，安静，就是我的房间总会有下水的声音，不知道其他房间如何，新春百元房真是划算啊，哈哈哈', '短评打分': 5}
{'短评内容': '挺划算哦！下次还会入住去哪里也很方便  旁边就是地铁站', '短评打分': 5}
{'短评内容': '不错嘛···就是白天的时候热水不太热。晚上还可以', '短评打分': 5}
{'短评内容': '酒店服务很周到', '短评打分': 3}
{'短评内容': '酒店很好!交通便利!', '短评打分': 3}
{'短评内容': '都不错。就是隔音效果差一点.周围没有便利店', '短评打分': 5}
