{'短评内容': '下次去还会选择', '短评打分': 5}
{'短评内容': '  我们入住2晚，酒店位置好，出门右转几步路就到大昭寺和八角街。但是进来是步行街要走十五分钟路。酒店的卫生间属于比较好的都是名牌洁具，维护打扫干净。但是大问题是全玻璃房且没门的，帘子缺一块，所以非常尴尬，叫了服务员来了后，先是回答都是这样的，据理力争之下，服务员后来也承认有点怪怪的，又给我们装了一块，总算是可以拉起来了。这个酒店外国游客偏多，所以服务员好像对内地客不咸不淡，院子是四方的，有回声，第', '短评打分': 5}
{'短评内容': '地理位置很不错,房间也蛮干净,装修很有藏式风格.就是有一边晚上很吵,有演出.幸好第二天换到另一边,阳光很舒服,也很安静.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店地段不错，临近大昭寺，房间一般由于窗靠停车的院子，每天早晨有些吵！\n由于地段设置在宇拓路，8点-20点没有出租车，需要走到北京路上打车，不太方便！', '短评打分': 5}
{'短评内容': '酒店还不错，就是不太好找。但离大召寺和布宫很近。推荐。', '短评打分': 3}
{'短评内容': '总的感觉还是挺好的，各方面的服务基本上也算到位。只是感觉房间内部设施的布局不是很合理，用起来不顺手，有些别别扭扭的。', '短评打分': 5}
{'短评内容': '确实不错，早餐很丰富。酒店装潢也很到位。就是我们住的219楼下好像是个ktv晚上睡觉有点吵。', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，服务好、位置好。值得体验一下。', '短评打分': 5}
{'短评内容': '这间酒店各方面都很好,值得推荐.很有藏式风情.', '短评打分': 5}
{'短评内容': '这间酒店无论是环境、服务、设施都比较好，值得推荐。', '短评打分': 5}
{'短评内容': '很有藏族的特色。早餐比较单调，还要改进。正餐上菜太慢了。严重提醒！感谢藏族的那位门童，帮我们拿行李很辛苦。总体很好，推荐大家一定住一次。', '短评打分': 5}
{'短评内容': '房间不大。设施还算可以。主要购物方便。早餐品种不多', '短评打分': 5}
{'短评内容': '这个酒店也就三星吧~但是总体还是不错的~服务人员很热情~早餐不是很好~我住的是他们那里最好的一间房~房间空间超大~还是很不错的~', '短评打分': 5}
{'短评内容': '性价比一般般，但是很有特点。有机会可以住住', '短评打分': 5}
{'短评内容': '入住唐卡大酒惹非常满意!地理位置在步行街!房间干净舒服有民族特色!网络方便!没想到这里是名符其实的天堂!', '短评打分': 3}
{'短评内容': '西藏风情味道很足的一家酒店，，离景点也很近，，夜间附近的活动场所也丰富。出差去的话还会再住。', '短评打分': 5}
{'短评内容': '酒店设施还可以，就是白天不给空调，房间很焖热', '短评打分': 3}
{'短评内容': '再次入住，服务员很礼貌，哪怕是修理工见到顾客也都点头问好让行，培训得不错。因为是再次入住，给我升级了豪华房，非常感谢。', '短评打分': 5}
{'短评内容': '孙经理很好，很感谢孙经理的周到安排，如果不是孙经理的周到安排，我们从林芝返回来时也不会再次入住，就会选择去机场方便的航空酒店了，不过孙经理真的很好，所以就再入住了唐卡，所以，嘿嘿，老板该考虑给孙经理年底多整点提成哈。。。。\n前台接待的弟弟妹妹很好，酒店设施除了排风扇很响以外其余的也很好，住在停车场侧没有听见OK噪音，逛街很方便，大昭寺八角街华侨商城就像是自己家的一样，下楼就到了。限行的时候打车不是', '短评打分': 5}
{'短评内容': '环境不好！太杂了！交通不方便！太吵！服务员效率太慢！', '短评打分': 1}
{'短评内容': '位置在大昭寺广场步行街的一个巷子里面，处于拉萨黄金地段！但是性价比不高，不如住青年旅社！推荐仙足岛的在高处客栈，有空可以自己baidu！', '短评打分': 1}
{'短评内容': '酒店很有藏族特色，每个细节无不透出浓郁的藏族文化，地理位置方便，原预定的房型，酒店还给免费升级套房，非常舒适！', '短评打分': 5}
{'短评内容': '设施不完善，酒店说空调坏了，屋子里很闷，休息不好，价格偏高。', '短评打分': 5}
{'短评内容': '酒店设备齐全，房间的网速很快，餐厅的味道比较好，吃的挺习惯', '短评打分': 5}
{'短评内容': '离大昭寺很近。但是酒店设施不能算准五星的标准，早餐也很简单。', '短评打分': 1}
{'短评内容': '酒店各方面都非常到位，服务很周到也很热情，而且室内的硬件条件也不错，整体来讲非常好.', '短评打分': 5}
{'短评内容': '距离大昭寺很近，酒店设计独特豪华，风格迥异，是个不错的体验', '短评打分': 5}
{'短评内容': '价格略高了一些.热水不够充足.位置稍有一些偏.不太好出行.其它各方面条件还不错.', '短评打分': 5}
{'短评内容': '酒店地理位置很好，服务人员热情 真诚而都能歌善舞。卫生条件一般。因酒店位于步行街里面，所以出租车不能进入，若座人力车一定先谈好价格。', '短评打分': 5}
{'短评内容': '离大昭寺非常近，步行2-3分钟即到，由于出租车不能开进酒店，只能在大约200-300米处下车，所以，乘车很不方便。酒店设施比较陈旧，冬天入住没有空调，很冷，服务员服务精神很好，准备了电热炉。', '短评打分': 5}
{'短评内容': '位置有些偏了有些难找出行不是很方便,价格还是比较好的,房间的卫生和设施都还是挺不错的,还是比较满意这家酒店的.', '短评打分': 3}
{'短评内容': '环境和服务都很不错～', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '冬天全家来到拉萨,入住该酒店,位置绝佳,距离大昭寺不到100米,自由自在者首选,大多为外国游客,全藏式样,服务十分周到,十分舒服,下次还会住这里,唯一不方便是白天打车需要走出步行街,约需五到十分钟,不然只能坐三轮', '短评打分': 5}
{'短评内容': '饭店在大昭寺旁边，对于想了解西藏文化的人来说位置不错，但饭店内服务设施和娱乐设施很少，晚上要想找些娱乐就要出去了，且周围夜里很静。', '短评打分': 5}
