{'短评内容': '很一般吧，周围没有太好的酒店，只能将就', '短评打分': 3}
{'短评内容': '装修不错，挺干净的。离机场近有点吵。周围吃饭方便。', '短评打分': 5}
{'短评内容': '环境不错，挺干净的。周围吃饭很方便，还有超市。', '短评打分': 5}
{'短评内容': '性价比高，环境不错，就是有点吵。吃饭方便。', '短评打分': 5}
{'短评内容': '我认为还可以吧，希望他们会做的更好，前台很热心\n', '短评打分': 5}
{'短评内容': '装修不错  有免费机场接送服务 房价实惠', '短评打分': 5}
{'短评内容': '宾馆性价比较高，很干净，吃饭方便，旁边还有超市。', '短评打分': 5}
{'短评内容': '卫生条件很好，服务人员也很热情。就是 有点吵。', '短评打分': 5}
{'短评内容': '宾馆挺干净的，就是有点吵，吃饭还是比较方便。\n\n', '短评打分': 5}
{'短评内容': '宾馆挺干净的，就是有点吵，吃饭还是比较方便。\n', '短评打分': 5}
{'短评内容': '宾馆挺干净的，就是有点吵，吃饭还是比较方便。', '短评打分': 5}
{'短评内容': '有蚊子环境一般', '短评打分': 3}
{'短评内容': '房间空间很好，卫生状况很好，就是有点吵，交通不方便打不到车，半夜到的服务人员态度还是很热情', '短评打分': 5}
{'短评内容': '卫生条件很好，设施也很合理，就是交通不是十分方便，服务人员态度很热情、亲切', '短评打分': 5}
{'短评内容': '部分前台接待服务态度差；到店后的房间情况跟预订情况完全俩样！', '短评打分': 1}
{'短评内容': '环境还不错，就是在路边有点吵…', '短评打分': 3}
{'短评内容': '环境很一般，前台服务态度不好，而且公交都不是很方便，房间里面太吵，只要车子一经过就会干扰信号，电视网路时常断开，太郁闷了。本来想住两天的，结果只住了一天，', '短评打分': 1}
{'短评内容': '酒店房间不错，也挺干净，就是感觉地点比想像中的远一点！', '短评打分': 5}
{'短评内容': '酒店的房间不错，挺干净的，就是感觉地点比想像中的要远一点！', '短评打分': 5}
{'短评内容': '房间比较干净，就是太吵了，晚上1点前，几分钟就会有飞机从此飞过，很难让人接受', '短评打分': 1}
{'短评内容': '酒店是住过最好的，很卫生，房间很大，设施设备很齐全。很喜欢。', '短评打分': 3}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '挺干净的，就是太吵，房间没有窗口', '短评打分': 3}
{'短评内容': '性价比较高，隔音效果差，有点吵。吃饭挺方便，周围还有超市。', '短评打分': 5}
{'短评内容': '性价比较高，离虹桥机很场近，但隔音效果差，有点吵。', '短评打分': 5}
{'短评内容': '性价比较高，离虹桥机很场近，吃饭也很方便。', '短评打分': 5}
{'短评内容': '经济酒店，在虹桥机场飞机的航道上，每3分钟有一架飞机呼啸而过，看飞机还不错，可住店就免了', '短评打分': 1}
{'短评内容': '\n还可以，\n环境可以，价格实惠！靠着虹桥机场，白天有飞机的，', '短评打分': 5}
{'短评内容': '其实不关酒店的事，只是虹桥那块真偏啊，飞机起起落落，像利比亚吧。。。。。', '短评打分': 1}
{'短评内容': '还可以，不错，希望更多人来住，只是地段不是很好，周围交通再改善一些', '短评打分': 5}
{'短评内容': '信价比比较高,值得推荐.靠近虹桥机场和火车站,非常便利.不过质量需要进一步提高', '短评打分': 5}
{'短评内容': '房间很不错蛮大挺干净的，这个价位很不错了，离机场不是很近性价比比较高推荐', '短评打分': 3}
{'短评内容': '酒店性价比很高，挺干净的。附近吃饭方便，还有超市。', '短评打分': 5}
{'短评内容': '酒店在虹桥机场附近，吃饭很方便，性价比高', '短评打分': 5}
{'短评内容': '感觉很好。', '短评打分': 3}
{'短评内容': '酒店内部布置的很好，也很温馨，第一次入住，很不错的，下次还会选择这家酒店', '短评打分': 5}
{'短评内容': '不错的酒店。标间很大。房间蛮干净的饿。。', '短评打分': 5}
{'短评内容': '离2号航站楼打车18元这么近，很干净，空间挺大的。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '离机场很近，性价比高，服务也不错，附近就有超市。', '短评打分': 5}
{'短评内容': '酒店价格便宜，性价比较高，就是隔音稍差，有些吵', '短评打分': 5}
{'短评内容': '靠近机场，交通方便，房间简洁、干净，价格适中', '短评打分': 5}
{'短评内容': '比想像中的要好很多，喜欢浴室的装修风格，整体来说还是很不错的，对得起价格', '短评打分': 3}
{'短评内容': '  已入住。因为单间完了自动升级为标间，环境还可以！', '短评打分': 3}
{'短评内容': '房间内还算可以。就是外面太吵。服务员素质低。', '短评打分': 3}
{'短评内容': '。格林联盟酒店服务及环境很好，价格实惠，是个不错的酒店，下次来上海定住贵酒店。谢谢', '短评打分': 3}
{'短评内容': '不错服务态度也不错', '短评打分': 3}
{'短评内容': '只有宽带没有电脑！房间还没有窗户！感觉好小啊', '短评打分': 1}
{'短评内容': '酒店离机场很近，就是方便去机场和火车站，其他没有特色，就是胜在价格便宜。', '短评打分': 5}
{'短评内容': '还不错，除了飞机飞过噪音有些大，不过离机场火车站都很近，很方便，这噪音可以忽略了', '短评打分': 3}
{'短评内容': '酒店设施一般，吹风机都没有~\n靠近路边，太吵', '短评打分': 1}
{'短评内容': '离机场很近，性价比也高很不错啊，里面设备都很齐全。', '短评打分': 5}
{'短评内容': '服务态度特差，打他们的电话竟然没人接，说是在红桥枢纽附近，但是到了酒店周围的时候，想打电话咨询一下怎么走，两个电话都没有人接听。结果真找到他们的时候，服务员竟然在玩游戏，这种态度。。。。\n到了晚上，蚊子太多了，有电蚊香竟然没有蚊香片，找前台要，被告知酒店没有，气愤啊。。。\n', '短评打分': 1}
{'短评内容': '很吵，靠近北翟路高架，晚上很多大货车！房间还算比较干净', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '，酒店，整体不错，房间不错，服务不错，', '短评打分': 3}
{'短评内容': '环境和服务都挺好的.', '短评打分': 3}
{'短评内容': '位置很方便，三人间房间超大，只是相对还是有点吵，因为离机场太近了。', '短评打分': 3}
{'短评内容': '服务，卫生不错，服务热情，距离机场就很近，强烈推荐', '短评打分': 5}
{'短评内容': '比较偏，靠马路的一边晚上吵。房间大小还行，卫生间紧凑，卫生可以。', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务也不错，就是坐地铁不太方便，不过价位上来说还是值得推荐！', '短评打分': 5}
{'短评内容': '超赞，干净卫生尤其是卫生间是透明玻璃的开放式很喜欢', '短评打分': 5}
{'短评内容': ' 格林联盟酒店干净舒适，服务热情。房间较大，交通也还算便利，价格也比较实惠。是一家很不错酒店，下次来我还会住这家酒店的。', '短评打分': 3}
{'短评内容': ' 该宾馆条件很好，房间也比较大，干净舒适，交通也算便利，就是用餐不太方便，附近餐馆很少。', '短评打分': 3}
{'短评内容': '非常不错，房间明亮，隔音还不错~~~~~', '短评打分': 5}
{'短评内容': '窗外飞机起落车来车往声音太吵！晚上到机场可以考虑。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': ' 房间挺好，就是飞机在头上过，吵了一点。', '短评打分': 3}
{'短评内容': '环境不错，就是有点吵！', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '整体环境干净卫生。\n服务态度不错。\n价格挺优惠。\n周围的饭店挺少。', '短评打分': 5}
{'短评内容': '额定风格额定风格额定风格额定风格额定风格额定风格', '短评打分': 5}
{'短评内容': '整体环境还行，就是那个房间隔音一般有一点点吵', '短评打分': 5}
{'短评内容': '不错，挺干净，离虹桥机场也近.前台服务也很热情！', '短评打分': 5}
{'短评内容': '离虹桥机场近，离地铁2号线也比较近，打车只要起步价。位置不是很好找，因为是凌晨到达虹桥机场，司机饶了一个大圈才找到。房间很干净也很大，价格实惠。', '短评打分': 5}
{'短评内容': '住\r\n\r\n张大勇', '短评打分': 3}
{'短评内容': '这家酒店不错,前台服务很周到，住宿环境也不错', '短评打分': 5}
{'短评内容': '很不错。住在三楼。就是前台的电脑有点慢，办理手续要等。', '短评打分': 5}
{'短评内容': '离虹桥机场很近，住的也挺舒心，门口就有营业到凌晨的便利店。', '短评打分': 5}
{'短评内容': '隔音很差,一開始前台也溝通不良,讓人心情變差!!很多地方要改進!但是後續的服務有點怪,因為價格換了房,卻跟之前房間一樣,雖然不差這20元,但是前台與客人的溝通真的需要改進!!', '短评打分': 1}
{'短评内容': '不错，很满意！', '短评打分': 3}
{'短评内容': '总体情况还不错、蛮干净的、服务员的态度也还不错、就是我打的过去的时候、找了蛮久、可能是那边的门牌号比较乱、要找到它不容易、害我跟着那司机绕来绕去找。。', '短评打分': 5}
{'短评内容': '房间设施感觉还行,就是地方有点不是很好找,不过离虹桥机场很近', '短评打分': 3}
{'短评内容': '不错，环境很好，就是宽带不够给力', '短评打分': 3}
{'短评内容': '訂的是無窗特价房、很闷。早上六点多跳电了，一片漆黑，又不透気，只好把房门开着。等了半个钟才来电。', '短评打分': 1}
{'短评内容': '住宿还可以,只是不隔音', '短评打分': 3}
{'短评内容': '酒店服务很好，环境整洁，值得一去，离机场很近，适合赶早班的飞机。', '短评打分': 5}
{'短评内容': '不错,感觉满好的，服务态度也不错哦，房间挺大的，蛮实惠的！', '短评打分': 5}
{'短评内容': '酒店没有描述的那么好一般，地点在高架桥下，离机场太近太吵。', '短评打分': 1}
{'短评内容': '还行吧，朋友临时说要到虹桥机场附近，所以就选了就近的离机场近点，没听他们说有什么不好的地方', '短评打分': 5}
{'短评内容': '房间很干净很舒适，环境优雅，离机场很近打车15分钟就可以到，下次还会光临，赞一个', '短评打分': 5}
{'短评内容': '酒店装饰还可以 房间的隔音效果好 离虹桥机场T2航站楼大概15分钟的路程 我们订的复试大床房 到了酒店却被告知酒店没有复试大床房房型 ', '短评打分': 5}
{'短评内容': '位置不是很好找，设施环境还好，服务和价格也还行比较合理。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '服务和设施都不错，就是外面公路交通噪音大。', '短评打分': 3}
{'短评内容': '装修卫生还好，位置的话还行，价格和服务都还差不多比较合理。', '短评打分': 5}
{'短评内容': '昨天晚上凌晨到虹桥，早上需要赶回宁波的动车，酒店离虹桥很近，早上打车24元，晚上接待的mm很贴心，早上的叫醒服务怕我没起床，还让大叔上来敲门。mm和大叔都很细心，早上的时候已经叫好的士早早在等待了。', '短评打分': 5}
{'短评内容': '不错，很实惠的。房间干净整洁，舒适。适合赶飞机，呵呵。', '短评打分': 5}
{'短评内容': '服务和硬件设施都还不错，就是墙壁的隔音效果不太好，哈哈！', '短评打分': 5}
{'短评内容': '比较干净，但比较吵些，就在高架道路的边上，就这个价格，也不能抱怨啥。', '短评打分': 5}
{'短评内容': '位置有点偏，外地人肯定是找不到的，不过酒店内与订的价格还是很合适的', '短评打分': 5}
{'短评内容': '酒店还可以挺不错的，酒店找还是挺方便离虹桥机场比较近，性价比还是合适，最主要就是交通方便。', '短评打分': 5}
{'短评内容': '位置有点偏，交通不方便，等出租车也要等30分钟才有车，地铁口过去都要30分钟，而且在虹桥机场过去，没有一个司机认识路，到店跟在图片上看的相差很多，房间洗手间漏水，走路起来很容易摔跤。不过有个好处就是房间空间够大。其它没有什么好。', '短评打分': 5}
